,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[-9866.372273080266, -1376.7787227764104, -3971.1740393178475, -4210.047012551235, -3175.4279201047475]","[-68.52106768439366, 29.638310486760293, 5.556988888788114, -18.821695750151587, 0.7111769928241674]","[-70.15880621310762, 29.41261247419742, 4.468619542845293, -18.348561192540327, -0.5064478653549244]","[-69.39004943982037, 29.285059734761916, 5.1154148613176975, -23.84539716520006, -0.050828209569115504]","[-68.99521328217209, 29.317347434985237, 5.340837808260236, -59.70913569898627, -1.663271308808814]","[-119.49473269321653, 10.638014230748988, -33.39454017037366, -63.372124522012285, -62.15870672486285]","[-69.14820619957469, 23.90968621969541, 1.3813696090429795, -40.080702384120535, -160.6563171312167]"
ETH,"[-278.8298042283933, -134.50777157532488, -218.22778901803818, -98.02568944752508, -178.31400576084636]","[-203.16751325571332, -129.50107585145318, -126.19388195573266, -66.26859919123295, -15.415726412844291]","[-204.46248860391242, -129.65829501312567, -126.44519842185642, -66.08080829785554, 1.9005012606391491]","[-202.11149107553865, -128.67777987920078, -124.50776931998948, -64.81226575299212, 2.411318179903044]","[-204.02325116583953, -135.90913659862576, -126.78428970565446, -80.38317373511714, -3.4263175808345503]","[-259.04271702951735, -171.16724879867317, -187.31949120729868, -89.47820035098265, -29.364619795440838]","[-222.58328430166645, -128.17460813232952, -132.8048281387485, -65.2431146225681, 1.249776194124268]"
BNB,"[-1024.4316731418035, -107.0449853632167, -590.1559429713787, -64.04036443657459, -107.36304216801254]","[-238.67107262180974, -36.26892760513231, -10.409784757966763, -58.2238590610918, 2.1161192516543577]","[-239.56914196202504, -35.89893409516979, -10.581859028742334, -58.31674044174924, 2.03930950818144]","[-248.87250403285685, -36.20083960459628, -10.65012909438753, -57.89060028955285, 2.0878104294681297]","[-238.829177414569, -35.9162097513342, -10.418852316278143, -60.791578138433756, 2.07266387203184]","[-452.6038120012795, -210.158343696156, -193.40799157260463, -453.5531172269821, -119.37646713837378]","[-249.3612552249468, -118.89500228027934, -49.15680828011282, -61.78947508131923, -37.70248606714014]"
XRP,"[-731.8930970236287, -157.3376781802027, -1294.4200376124963, -1138.2227063877942, -1065.093684772649]","[-156.28399929601775, -73.99631298064946, -61.14371480541691, -112.98961321745145, 0.5965950443928751]","[-154.8015500824465, -73.89607744482373, -61.33169104185182, -114.53807616278195, 0.15982395723048393]","[-156.16055354342743, -74.55372901674745, -61.44504899559928, -112.96751348751717, -1.2755561587128639]","[-157.81819104577602, -77.22559678814069, -61.913482678688005, -113.75727866277126, -3.6956211161176187]","[-210.07871147477468, -106.83464039207198, -232.541070153706, -1534.2495025660855, -32.16042058411436]","[-257.3996892580055, -260.74621601920995, -187.08577110727472, -115.21918211198259, -5.652228077884891]"
ADA,"[-11883.85364275904, -791.5506482445163, -2388.37077203546, -1004.0011726774401, -456.87975830514864]","[-142.82982092651199, -90.42921421350295, -41.1775620844963, -50.39225627399075, 0.25103724134925287]","[-139.04463261453674, -90.41562319016056, -41.27502172241412, -41.12308851408527, 0.5331199120296763]","[-141.0459884452033, -96.9952127612803, -45.609897948295284, -43.14751460661455, -1.1476789781007708]","[-140.8988998702958, -95.34134861258553, -45.278708187043655, -45.08416414422857, -1.7521833291583615]","[-194.8633922441926, -114.70435667454113, -56.84839204735189, -52.14674560945858, -137.37517612176347]","[-360.12335957640295, -435.02685645701877, -208.4102968054952, -65.00879865578754, -91.10023496003411]"
DOGE,"[-75.92758980874756, -839.0752037789721, -1137.162425012602, -637.1616386977639, -477.55900008442467]","[-53.77441247757334, -72.99087186632322, -38.668846103644555, -6.736752306883018, 2.1263182926481976]","[-56.22491317708762, -69.56218390235752, -38.28652517443856, -6.668876303884709, -31.905600154427344]","[-55.26367806692375, -70.81384166720319, -38.54136274156733, -6.3152610425810805, 2.692937626794961]","[-63.65877856720393, -69.57841749702168, -37.87154362487838, -7.978364541155332, 1.7829794633274412]","[-137.6915829730119, -184.9286721877213, -59.38674531160498, -48.198976361623394, -43.412274394610186]","[-63.9755687482166, -148.02650544002748, -59.93553865306723, -78.55179418963664, -0.9751865205646774]"
MATIC,"[-580.711373219581, -968.1777725752952, -175.5650562106539, -517.6856104343847, -387.0412343312551]","[-141.55664924705172, -85.66471036751504, -44.46387836903979, -64.17633905704618, 0.12600616613101212]","[-141.82577639576402, -86.93942471932145, -44.957331183626906, -63.900532192847756, 0.13389730447245124]","[-143.30165086438313, -85.38303836818221, -45.186894495512476, -64.34693509087646, 0.13007709187676808]","[-143.89900535177262, -86.30897346052262, -45.66335113425393, -65.62349854140524, -1.435886165172045]","[-177.35196682079737, -112.79146584348084, -88.56868107014294, -3270.448161970309, -3273.6397026567693]","[-139.99227096453697, -85.588528645508, -44.10602698476399, -66.47100145779751, 0.6086239448932299]"
LINK,"[-645.9863770809397, -299.9483082328326, -1131.5857207365302, -152.1511848612401, -1194.4867765224842]","[-130.09529836977734, -72.24433953628662, -53.37666633251785, -45.16964357663736, 0.9309630112753366]","[-131.14725703872475, -73.06320545997559, -55.98313441597642, -46.4520228561068, 0.18401602876140696]","[-131.88137444782836, -73.22156753708391, -55.10742462934226, -47.051719144211354, 0.38656549057141454]","[-130.9420222803768, -72.84423245948581, -55.15472179562225, -68.84662238723402, 0.6108363293131769]","[-164.18700499129216, -103.30584858849122, -93.28769558971503, -50.52193057234995, -1309.7052783923011]","[-130.80362387652434, -76.43929402220441, -53.928944440638915, -45.4695172455019, 0.888794000190498]"
ETC,"[-163.55364034066122, -145.70728531900446, -84.8204792537209, -66.74286157324661, -69.16319572953493]","[-151.363444729817, -50.49959244888248, 17.821348334774296, 18.15283733326382, -0.7031519727045185]","[-147.11090034317198, -52.33567704304903, 20.14311100592637, 11.47364633282714, 1.2804627715631984]","[-149.7483122785789, -49.15789058518666, 17.8909309608448, 19.281560350617372, -0.9576723722317578]","[-148.8819848260543, -50.655318011412334, -22.799915351543564, -30.972628374249293, -6.062451817485276]","[-290.9985372294085, -314.092517776288, -26.161120358835504, -83.4844331722284, -53.77681262196346]","[-148.4422950901131, -123.50635277154755, -19.1900348299904, 14.946514414879003, -15.16498016294493]"
XLM,"[-194.16072770935128, -225.74343593277507, -23.301285633602216, -597.742536664573, -20.106108456208556]","[-47.659824370492544, -33.38835169050578, -22.726072750431275, -38.86741915394459, -0.8521974201105521]","[-48.84772380270912, -35.390103633380775, -20.706379229938086, -38.8683016801193, -0.19627665016580775]","[-41.270494676293715, -32.30545722628286, -20.877461899595726, -38.05270025181563, -0.7787476053784617]","[-41.276275064986756, -33.986978896969305, -36.581122389475446, -40.60241950439377, -0.3513272763482532]","[-93.98323060473123, -72.07186459289801, -121.03652352416904, -708.9461967593205, -692.2731031604175]","[-381.96363130385214, -440.28121517914417, -861.1592982794175, -323.528769094988, -11.7490431014751]"
LTC,"[-183.52241197484125, -227.68071696294575, -1133.8163453752607, -276.2525614170935, -4.360100755050865]","[-170.92285052988862, -23.221466465404532, -48.88166669315389, -85.5726621213563, -28.323803069398828]","[-170.77951926298468, -23.964628615229675, -40.61513736791183, -85.39427485920856, 0.16921310603823703]","[-170.0315138584454, -25.34561297802545, -41.094658814799004, -87.07809375074572, -0.5760867900668633]","[-172.6611246164183, -23.158693948506723, -46.078263376464044, -107.36422187529185, -9.099707471969452]","[-235.2813633885307, -29.126041934458968, -65.10561502572169, -99.18065819285457, -33.11820857313507]","[-185.3588112694412, -41.45793273104881, -107.29592123333775, -89.26623918958366, -89.27387070253805]"
TRX,"[-672.4357242453708, -1406.2963921021333, -397.5939193219999, -2020.063516278828, -3263.22792665094]","[-82.12991110455971, -59.15796868398912, 56.63393230211181, -24.058833766266876, -1.0917063092629944]","[-90.46766628882312, -55.528105838205086, 57.28091490570869, -22.56716155987637, 0.8770487194460018]","[-79.27787606074644, -55.12800284556175, 57.52614603760085, -22.547076271578245, -0.5607919845008863]","[-82.73692542905599, -60.48934057156939, 53.30295610637927, -25.52014061974304, 0.4508906956638146]","[-129.775713609109, -789.7430920065782, 38.64743337746839, -325.25115167174397, -90.75720484076326]","[-403.2428434795717, -539.9260176253265, -101.45578184741797, -68.3560746071572, -3.973409830684402]"
ATOM,"[-1252.6709044805148, -651.4816357831138, -696.3524755199091, -340.44023918817106, -190.2004712319006]","[-171.85509624789893, -99.59810354380151, -40.33261025032206, -64.43875925916494, -11.475311964860639]","[-177.63784143955232, -99.01413808326357, -41.92892816931854, -64.27032406202724, -0.3590680503196641]","[-181.72749988175295, -99.42635717520008, -36.26656957130515, -63.599884897931105, 0.13804257184164984]","[-169.7951379241158, -98.92370592826869, -36.99549441159891, -68.72232396664441, -0.14355873792221147]","[-735.2296571077504, -169.49067280309964, -134.55941521454338, -310.19526508110994, -200.817314987694]","[-169.34874641403138, -101.9895278743526, -53.942349502068446, -63.694760272024354, -1.1733629184346108]"
XMR,"[-252.10181248358242, -429.2783472412983, -38.98932969754213, -145.27946476145308, -2864.8367160399357]","[-63.65251003838205, 3.11657634753485, -4.584250184051708, -31.05667239550265, -0.23424196185764723]","[-62.07920057803699, 3.166544216400217, -4.5063762149699595, -32.11154185930543, 0.7037709316003835]","[-66.59891659608783, 1.0487966149406698, -10.04410566114995, -31.45719582537121, -1.0260485868977471]","[-62.45374080552454, 2.979158741641009, -4.553721227354699, -35.08662259161951, 0.7813930722073962]","[-977.532954028892, -26.617658476305245, -26.009859519317015, -68.28103305610433, -39.71718203488348]","[-80.39263172933501, -64.69662299800189, -134.10798356407184, -56.78205499983166, -216.81884110106213]"
VET,"[-543.2656021044216, -1057.3329695675102, -69.71145801350187, -896.4680423908902, -311.17980465498033]","[-49.82698259329338, -62.12400082385051, -25.03866643067973, -34.1954683854909, -0.10086026744402249]","[-49.387233870711235, -39.35098494953199, -24.54368686015999, -36.52884682356465, -0.019431180515254956]","[-49.606170650381614, -43.77364127810435, -26.281425531971454, -34.1577111509316, -0.027868855802550187]","[-55.41505146884587, -97.05505047608708, -24.32184046303731, -51.52798845433867, -0.2912328446185983]","[-107.92184834115852, -152.86101075048728, -72.36322881534198, -69.91320161764403, -83.45940791391449]","[-94.19084250935077, -80.21835383588224, -455.9476339081829, -81.5071899001395, -51.62567205565162]"
