,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[-15.870023768330837, -310.5885156432223, -89.88229550043627, -82.75128759825812, -25.219685474485377]","[20.773881889881242, -4.981953591208856, 29.609095780703576, 52.27727656175516, -0.4925315813154318]","[20.78767717710896, -4.492862503559645, 29.862175992005163, 52.393360817467716, 0.07136471965581394]","[20.67481880588076, -4.840057001042422, 29.77396816667241, 52.196589719948896, 0.25103126941271403]","[20.984455450833376, -4.746544518600108, 29.8491663999553, 52.34844986395542, -0.49593449495361963]","[-24.310549897166265, -70.26743666819894, 2.3563373378204235, 18.45019022998644, -286.3267587254511]","[1.9664647613990553, -9.742233944292861, 22.277577796486277, 52.43670946491938, 0.2832775824814931]"
ETH,"[-114.93856375737099, -240.3927508163237, -679.7969728667209, -131.47348105827012, -329.00483434202425]","[15.753394595564846, 12.360010971754152, 15.10178512225711, 37.52198220821988, 0.7220332404294656]","[15.879536816607928, 12.64530147997655, 14.749464602382123, 37.65893313116494, 0.05847344401900913]","[15.357926344097567, 12.421872733708993, 15.459338233306127, 37.65899722139939, -9.517083049987395]","[15.266346857510321, 12.611720378368386, 15.40807024707311, 37.618972375546086, 0.022507569694207624]","[-40.10708025084858, -40.13962293546188, -63.3754061503131, -4.574537437886543, -56.16855413760632]","[-1.5907355535758911, 4.803188530791409, -126.35116811056302, 37.8004865246651, -8.646837311894908]"
BNB,"[22.550993063898506, 28.024284878083876, 29.220237046639802, 44.55181782308822, -32.878986029648]","[28.001330074735815, 28.939279505599004, 28.641002287871014, 45.28967129357595, -2.636171168216644]","[27.659581036610575, 28.885658239580923, 28.71908715472492, 45.29268286726532, -5.761596356864729]","[27.401630436831876, 19.656911375482863, 28.335710522681616, 42.19603973284966, -1.2649801419755247]","[25.0919107449075, 21.90182805839453, 28.836774824389465, 42.27448562486106, 1.1175262839179878]","[-80.76770602919451, -73.91050423070827, -69.02599947769866, -46.45195600684068, -193.59859108519498]","[10.126924066329629, -0.4522200851538845, -3.109307739943938, 44.558991580340276, -173.51817862984916]"
XRP,"[-40.781294143500105, -43.013041440534764, -58.631484530137726, 20.609570961079125, -75.19830075704012]","[-10.987875522592576, -42.09179815070404, -58.54506519536133, 24.086604991096504, 0.3640972497548458]","[-11.897072897893015, -43.76008880064464, -56.27244318452125, 24.50752242488992, 0.28716270646339015]","[-11.370118260712454, -43.60166957838606, -57.172908287605026, 24.007352357413065, 2.158391561439055]","[-12.277435347705959, -41.61753437656184, -55.03612880057007, 23.972359590620957, 0.8181610993779077]","[-54.57268041173863, -82.66533997160263, -135.53385906783814, 3.4015024265974136, -20.154942123269304]","[-11.901719963215482, -43.14915797940393, -56.31638455463184, 24.489341815688203, 2.0152492561466637]"
ADA,"[24.74666841019119, -32.70968112680673, -19.957822553237374, 33.66841067975725, -390.54526208946845]","[25.948620252470185, 19.320553169369084, 14.680160611245258, 33.564430516271074, -2.4833684784118497]","[25.916398722170925, 20.32510786032754, 14.864516238932787, 34.28316290311956, 1.3942949791736599]","[25.90542610203091, 19.751937284182336, 15.17083724791394, 34.21582784876758, 1.5000522932519953]","[26.92459553817665, 20.436010522802214, 14.923319950910155, 34.16463525407908, 0.5690940223129112]","[-19.645580447583903, -17.93737846403041, -29.450758649882108, -3.5647644246672208, -195.87916603022504]","[14.201576613131008, -33.464427296227434, 14.733135188699103, 21.30452077906087, -10.92278822015004]"
DOGE,"[-74.57894495963723, -65.42135486041948, -105.66909982434444, -38.586535822073984, -10.781011447524879]","[-75.53656519861507, -56.67840998304582, -100.92377906219703, -36.71415318689029, -0.015279096122613385]","[-75.57826037258913, -55.5281017026956, -100.1777644243039, -37.12122739517486, -0.7942631553811761]","[-75.01866238422163, -55.41507670437566, -100.66671913987733, -36.88263602370569, -0.34655622663061897]","[-75.9606879491173, -55.36625433322351, -99.74682312085355, -54.69673212074769, -0.6045577147781404]","[-131.5794578734738, -79.07712725595198, -127.81220585671187, -58.4865260926833, -17.4527039268722]","[-129.20328491765983, -57.266226815665355, -103.60944237063174, -36.297311915716136, -0.35845057917346534]"
MATIC,"[4.98749260785039, 12.378376470208138, -91.32734239403969, 2.0458727899487257, -13.393284601316822]","[16.531277310550845, 44.53851776788719, 34.684297423227825, 44.88888114685902, -0.060731002790013824]","[13.414714143823462, 44.56017263856859, 34.56514779176555, 43.838681613488475, -0.20512269773464023]","[17.08956797318158, 44.2660367396979, 34.6408740599993, 44.77264968064823, -0.1386798913195753]","[12.872838224035382, 32.32644854179126, 34.66822570854516, 44.73250269547705, -1.3465643771619824]","[-71.18969478985076, -14.384085475713936, -61.686569726292504, -19.354319035476486, -191.34643208466008]","[2.341491865378311, 39.6375042095006, 34.168526484797454, 44.178556841952364, -0.3806992984784167]"
LINK,"[8.548347128358062, 32.88427841071396, -114.68077481178598, 15.771148479604308, -762.0097303581189]","[18.793586846819135, 33.583642361966525, 35.72249066762446, 41.94021060935738, -1.2035786140198617]","[19.198308413447528, 33.6286400981143, 36.27144192744536, 42.71002580054776, -0.5044756517918775]","[18.916399541963173, 33.482277338557445, 35.916516770474985, 42.530162592793104, -0.8284021885263471]","[17.55498285865246, 33.82657222778525, 36.31863703396864, 41.730096570476114, -8.476802565852115]","[-119.84697142768755, -57.19625575912125, -65.59695973115865, -2.1181750368677825, -98.49716197596615]","[5.413389859093895, 33.18962851881711, 25.90791681961983, 42.49875550202183, -49.38519373987532]"
ETC,"[-150.9642974982745, -199.1703235736934, -428.35870455749, 6.984941745093752, -375.5839383828439]","[36.59097476950842, 17.034181919173005, 6.677100760017314, 40.312849430194554, -2.8899013778405873]","[36.11019142499832, 18.811894462665474, 8.63250780165259, 40.52530958103875, -0.023365311437876388]","[36.43674852907269, 18.645947079005904, 8.67933786599369, 40.37813079351043, -1.820808058227668]","[36.37091552671908, 15.751750762872636, 7.087509043177821, 39.05571683902006, -1.0497122176463198]","[-30.979538117213878, -28.14671528792837, -40.33073859223334, -26.602936242878382, -67.68712730905986]","[36.7293252158272, 18.035540090125323, 7.794919125083552, 39.69840921067276, -1.7285845802325728]"
XLM,"[-646.7021921890561, -635.2421930320963, -27.450004927677497, 13.339020557414713, -33.42450709829836]","[-26.209763560130806, -12.887215605621307, -16.855339809134282, 12.74039890012185, -0.1318776136977112]","[-23.41057632850416, -11.918914849499302, -16.540270261231083, 13.065800255832926, 0.2309603519872855]","[-22.866416346270228, -14.21423567436387, -16.439651182610895, 11.31500329325124, 0.49764401501060607]","[-23.077225061953996, -12.051647329332827, -17.535312714632997, 13.07319468227957, -0.16638882619203768]","[-62.41494634911705, -63.76649303507992, -59.74974262503833, -64.18411528301863, -64.3849687171257]","[-25.200478777604673, -20.654894150921255, -25.88417109171376, 12.948896368903984, -7.677709662852007]"
LTC,"[-19.15647121223285, -121.2645890042767, -170.38431862066324, 38.64241472782907, -0.004608077998024832]","[10.771901874472366, 18.638215293340092, 9.23531972818515, 49.2259236710397, -0.06823405546267024]","[11.182517001089796, 18.295523962648662, 8.144138369196485, 48.76439603353322, 0.19887593174167478]","[10.460897727842942, 18.199348124339647, 9.25183483872437, 49.25151833019972, -5.706001636332937]","[11.367276238394465, 18.01126549703989, 8.90003971889603, 47.93648841550592, -0.4138476895762239]","[-69.66302840426735, -65.48350697369175, -87.82556804039953, 13.280272176638963, -115.13363963252654]","[-6.918639238923792, 13.256342727148827, -7.761880730085413, 44.221563669302576, -4.421974223243874]"
TRX,"[-13.667190342964991, 3.8057668131056097, -162.28311809938097, 48.46296491681095, -160.64338524933015]","[41.46599128786407, 23.23464511601791, 13.714031457700615, 67.28438210560613, 0.46525540093574097]","[41.41111398324382, 23.44137513931588, 14.792667666190715, 67.51473684187724, 0.05864784446595946]","[41.795052119423524, 23.487557786671136, 14.803064457961987, 67.25868857189457, -1.0553246709034114]","[40.031653482022136, 20.76982504336975, 1.1034947024693642, 63.787071106309, -0.7697875912736711]","[-7.757965147254827, -29.804845613648467, -612.8639105991131, 32.23747110202723, -111.04002838623647]","[40.5252471195987, 8.255733333545736, 5.910166137064656, 5.862675119147263, -188.6845353584976]"
ATOM,"[-183.68363380903958, -1309.5611390461422, -241.7497650633091, -745.5972864488202, -701.4566456788352]","[24.829329754158397, 29.520474411537172, 20.068408853227023, 43.815505616180744, -0.3446281707282443]","[10.84293044951628, 28.43331022252026, 3.2821144156466815, 44.05993540322889, -9.136084885688987]","[24.27669322130697, 29.68081223833201, 20.12529277479827, 44.029913676176996, -18.054875081369726]","[24.153284692038053, 29.5107689878857, 20.013904973752805, 43.146804274476466, -0.41884494605146416]","[-34.38790282398989, -185.43763555549063, -40.31249291930658, -5.445786777483796, -71.17037732003311]","[4.02096237976969, -4.822628987527221, -28.673907781589396, 41.125060138984146, -217.76540541820165]"
XMR,"[15.700445707719174, -259.61669370262103, -111.88666618314822, -14.588537167445798, -26.561685827855964]","[28.90927953536248, 16.60610642109287, 11.793789723825036, 33.48940532504286, -0.41089315221270584]","[29.550277988022362, 17.181325769972677, 11.39603243085579, 33.29458274376367, -0.6131504939287759]","[29.20969685952205, 16.817555501378788, 11.718399110656689, 26.73475937498181, -8.954405232410439]","[26.07987772188749, 15.582636904003627, 11.61279960421387, 32.896370609648265, -8.081577967849206]","[-26.62390440912874, -45.88108892534589, -60.067330639265094, -12.467633669116083, -31.433411450660607]","[27.010704047246225, 10.605977132786885, -8.72756494771199, 16.068678698392187, -14.297688808098744]"
VET,"[-389.5181667817417, -40.03793833685672, 24.895314322250908, 33.24030484623871, -65.76468432262033]","[29.589935137053907, 41.386615531514295, 53.315120596350205, 53.32543348387654, 0.2891821847655354]","[29.4896095509116, 39.045590669803694, 56.29131311262032, 53.43551862722597, -0.21729607322965075]","[29.606307432290947, 41.32220983043465, 56.28260616659455, 53.41986756425655, 0.1925395519643885]","[28.64103427489078, 39.267812898683765, 52.090009315270706, 53.41984314643572, -7.323256681747322]","[-47.4956795025969, -13.974823969040568, -2.2823859112866125, 13.1823060982301, -116.49390434717834]","[26.135536783678347, 39.9973904316084, 54.391916003991135, 48.247576374890436, -8.937577338680182]"
ALGO,"[-29.29380530727258, 36.52692293823828, 14.046286372466302, -44.0594479366603, -191.59114789092848]","[5.089332102461431, 37.08048089859661, 22.205295746239333, 36.443676052413885, -0.9944569667707397]","[7.012385120475255, 37.103049200083, 22.01846641063286, 37.54566493477087, -0.9956578919499205]","[1.9920586710771224, 36.87522592112491, 20.835868913413425, 37.040245843445994, -1.3719057185136094]","[7.78197849687345, 37.690666894532754, 22.1444081338666, 29.704639369425877, -4.718644745746199]","[-67.08559532969134, 6.45596741111559, -59.974800146862414, -93.51320222193844, -186.1259442533215]","[1.9011454237857577, 37.35136756309256, 22.111695622545017, 37.64721213410397, -0.6354259249882761]"
EOS,"[-64.40371536824047, -27.163159267933505, 25.138351219708955, 22.467940138022556, -52.094751435830275]","[-1.58227369576571, 18.087119343405867, 33.2536524948824, 41.69611585894381, -0.909584379482716]","[-1.5619528866170658, 18.252763115608715, 33.610354662750844, 41.86702957511925, -0.10694297399044542]","[-2.1945515149504833, 18.375316640840104, 34.004583881708506, 42.10718783650648, 0.38495857392766036]","[-1.3190267542944067, 11.894277037449998, 32.53846086584517, 35.732391297450675, -0.34748404136503747]","[-52.478859408566805, -323.06427472646055, -16.37282313770235, 7.338828240741485, -70.43019091031374]","[-5.74359521138311, 15.223016203488191, 28.363565375623573, 38.81970315997784, -0.5042087792657788]"
CHZ,"[-267.4770202939633, 29.95248761102543, -124.76172858080434, -89.66587761510073, -547.4819006972668]","[24.607463692502126, 34.18807538338874, 13.516512664551106, 18.18293865308176, -0.08310663375306757]","[24.028397708315254, 34.07043695192755, 10.33862570433268, 14.988360503040047, 0.31799863189617805]","[23.838740700140203, 33.929154609293875, 12.89181555558617, 18.314839477252328, -1.528732739627314]","[24.467555498964217, 32.19800395350012, 13.403933164291432, 18.270332026304416, 0.14206464237141017]","[-43.99860088130347, -36.52879816191069, -48.84975011268363, -56.557011587088134, -140.32165840460357]","[24.000423740786374, 33.86280380732398, 13.117697810979609, 16.15704059397022, -21.870886306967073]"
IOTA,"[-5.849179648615819, 24.602264733445416, 23.807276258364553, -4.627201457285332, -0.5054696924930228]","[8.664582759149155, 28.65593608966927, 24.94976935561939, 32.58096179799537, -1.0706537516347896]","[8.431047318067108, 28.698435281194577, 24.962848387668558, 25.759867912309094, -125.60725763417028]","[8.84684541762802, 27.867911670485263, 25.024259002725945, 32.49867534546936, 0.00566776440731952]","[8.822821904511462, 28.48563465723965, 24.014671584050575, 32.578278039834615, -7.791094460642922]","[-54.92142119539999, -20.6384200404213, -34.31752213988559, -18.74400766145007, -101.97814091899772]","[-99.63585346802961, -10.183141806800235, 14.714711665962085, 31.056133294774313, -0.7279387203734947]"
NEO,"[-555.314908329405, -573.0276982861127, 45.80322969701238, -159.19234555950564, -428.9445327113226]","[-4.043150619869083, 27.498188803505048, 54.00662474777419, 44.9386315599114, -0.35985647412216754]","[-3.363880269972249, 27.202323886541496, 53.757259412469836, 44.7639065193828, -0.7608806381927768]","[-12.887187199495859, 20.385553028056943, 49.01102605051027, 44.214287174086856, -2.641083904526701]","[-2.6081209460194894, 27.431177701499077, 53.87034700112989, 43.084509727676966, -1.0050887675621443]","[-78.24697718865936, -47.346139900349534, 9.714927749404769, -0.06361280800978357, -143.08253805993567]","[-4.030110124036228, 6.745969444372868, 51.40601307161954, 44.43099490721366, -8.630697196195468]"
XTZ,"[-1525.5664829714044, -468.892966020685, -1281.2200606266981, -2089.127447968403, -653.9470252867031]","[27.78927078104753, 35.46026914758883, 49.75139704777857, 51.15266274064455, 0.09066649804605245]","[27.78473594453694, 35.3388593176748, 49.39573170066419, 51.36106534550373, -0.058009833724862174]","[26.864635103386707, 35.3650092222475, 49.56451035862287, 50.46623514730319, -10.683363614287806]","[26.7669463234345, 32.73023501022492, 45.747905873235254, 27.196416426656278, -4.707160209320019]","[-27.63415163754754, -3.2566547307210385, -0.1316955210429438, 1.9429914861883972, -107.1337901335227]","[26.836713023433646, 34.12269330658199, 49.78598661770307, 50.32254932989184, -0.04678481159514759]"
