,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[22.789700309687184, 14.487740138566876, -14.918372367169589, 5.104640038934994, -44.15370436765923]","[26.22626035410056, 23.844066258296028, 29.62510359579507, 16.32811002403471, -4.628968288502636]","[26.749492401675568, 24.115512477991444, 29.337310045748733, 17.191150000533085, -6.056020350595592]","[26.419511240519544, 23.637972691066533, 29.307112884328284, 16.4471262125079, -3.2536159948095262]","[24.6024234516307, 23.08071233977235, 29.93381466606247, 15.229002068912662, -1.934421571001299]","[-19.190946978189565, -31.24329989985285, -19.68944029157541, -32.86773516916074, -69.90687119979768]","[4.566089531734309, -28.297693176401868, -50.29798530276229, -65.82782600607214, -84.0248182442926]"
ETH,"[-25.00224346753086, 9.583836737679976, 38.78561114711107, -101.03020250210812, -66.62716276429038]","[37.452862558708695, 31.828250340422876, 47.23167094650121, 39.04466617992201, -1.5042750207059632]","[37.80482028212893, 31.498033220882466, 46.727632446792924, 39.071235751679616, -2.1627218372485997]","[37.96836439486355, 30.288488926569908, 46.79482392343992, 39.585256305146146, -1.1718287521150328]","[37.21145756377994, 22.961092883483193, 47.707444105102276, 38.9220039550569, -4.162097360115078]","[-49.36329018461461, -59.99045466722413, -10.870181534929213, -26.039279987319837, -113.13602676019185]","[33.359237332125375, 25.713527113837564, 39.91871773202222, 33.619779039164825, -3.3256973532165057]"
BNB,"[38.58174199794808, 19.9268656832215, 39.7616278631954, 23.42704823309714, -19.98154094020407]","[29.72869324665197, 30.619091703740647, 41.82057822710414, 21.132351385969496, -0.9868140331330424]","[42.4717318001676, 30.55911703508199, 41.490901642508916, 24.0884135123233, -1.174676541252517]","[41.599225387075975, 31.30547237317713, 41.55419142165089, 23.975499976737737, -1.8416274205194392]","[42.12173474301955, 30.47445289842229, 41.045603669266725, 23.245657911716414, -0.3351357591186223]","[-0.535483939532784, -53.58331844312395, -13.387276695416602, -29.028722354183895, -110.40603113794256]","[40.138950735767445, 10.560236766062246, 18.731597564152345, 20.09928729716858, -6.5828288662848875]"
XRP,"[28.63039394555943, 16.680696287896655, 9.149038703821057, 12.39046113096297, -34.58112194769189]","[34.16644477564658, 20.15622999966505, 22.451559312961447, 25.433184314887598, -3.710107055845957]","[34.323947423582766, 20.909672012395188, 21.03518381375471, 22.76069889403598, -6.375255834018258]","[24.914146707594853, 15.542504294924553, 23.226913298450715, 26.34976292474572, -0.6331937591652765]","[34.6759324588508, 19.82665999215589, 20.12762863913849, 26.407598672152645, -0.6944433799109264]","[-3.382159065088909, -45.35120972713679, -14.325304618726173, -176.65269351255674, -372.2951474348582]","[28.50726033477919, -2.8114825713757363, 12.594080597888196, 7.844014254002357, -25.72232097243628]"
ADA,"[17.080394880844153, 19.225189712108257, 38.7637983318218, -5.404116431900231, -5.428491863232424]","[28.286115502821215, 30.812019986584193, 39.13510552592489, 7.341669640059248, -1.7832368307822415]","[27.5244090405299, 30.545766643935675, 39.03892353003857, 7.443473666080311, -1.828403148659496]","[26.78821169950175, 29.303654354591917, 39.8522499813232, 7.831111510656527, -0.4607806631556754]","[28.360230919703138, 30.843021282539958, 39.202512758823, 6.578325888651215, -4.4468197902444935]","[-35.904647832291516, -43.896920218175595, -14.744507142043917, -62.91149231616715, -73.26719185859987]","[26.083045857181542, 29.76192747232987, 37.01368730779897, 7.81334805812548, -9.301549884998874]"
DOGE,"[27.518766141545452, 4.352147507929357, 24.527669385764174, 32.601978510754456, -7.782758998305145]","[37.41427116636811, 4.104533693875079, 33.99219794425687, 38.546538441166625, 1.1126404892289437]","[37.5120295716544, 5.399798397373682, 33.80444195425354, 37.98119612160043, -0.12627352307275694]","[38.81348321748279, 4.971107926712572, 33.73398074459485, 37.93040305836435, 1.0087246101293825]","[36.49300661685567, 5.943480439979952, 32.64301204493775, 38.44894922811752, -0.44362279944190125]","[-25.32559747534392, -93.83917178503695, -37.749462755818485, -13.708665538620272, -81.197037350708]","[6.914465164607629, -3.4307030807610697, 31.221335388306304, 33.963003481732386, -46.7300314460025]"
MATIC,"[7.213599855657581, 33.87179953867414, 13.949222949090212, 35.20437707766199, -24.466601816432256]","[41.47241500664167, 35.608823889075985, 48.43486333535837, 27.683517533132058, -51.542398484195736]","[39.80902346816218, 35.52601191863624, 47.55251999342992, 36.33734549180119, -1.2393170190791671]","[-9.567510566634839, 32.7489841193035, 46.08426524068405, -5.890412292081718, -247.9022710591822]","[41.68397190416759, 35.042176499507974, 48.75911646842262, 36.58239851912719, 0.3935539026518903]","[-26.319779284394446, -51.004195514917846, -11.575786419819805, -16.671057711138705, -96.84563009574786]","[-23.361492538634394, 23.931540643196318, 15.83021951477567, -49.13583985237967, -17.491695223269254]"
LINK,"[27.652845219381046, 31.31779122200956, 44.34785700919125, -6.023887271868102, -83.23304006917594]","[42.0509938144737, 39.53727121658612, 45.923350606338595, 32.92230280759108, 0.5515116694766239]","[41.36826772369604, 39.506244040523576, 45.84073428926236, 32.916292698812555, 0.03784692810143755]","[41.39843434360774, 39.5198233986298, 45.69275894330017, 32.91611748882331, -3.50814987720895]","[40.86833558922392, 40.035153514773526, 44.924440784270544, 31.765029764028846, -2.8765289196894908]","[-32.83364361945871, -21.575723620497612, -18.391470180426836, -25.73559784545581, -109.82819005336214]","[39.238888730435555, 26.855233117109346, -5.360531719028949, 33.87134706291452, -23.70967772920263]"
ETC,"[9.752651588519068, -6.845929813159874, 39.07156116736268, 25.927135394705292, -2.0757189296420577]","[11.51864982097962, 14.77658193920984, 35.49167662680902, 22.74196387305133, -2.4633360105804956]","[12.609886033946854, 16.290918993407704, 39.39507777075186, 13.89858411776212, -0.3050107731931538]","[11.739573829120156, 16.377095083812414, 42.78927880382368, 25.662414028217277, -0.05533820671599678]","[2.012650389088688, 8.21619698044481, 34.27329272978174, 20.631181678722726, -9.210923810301315]","[-56.76284611364083, -50.85156713646196, -7.712812463907167, -24.704161145259008, -81.30908781626637]","[9.348231481320216, 14.64935851123808, 42.1959911243575, 26.07724053303395, -0.2657408121383769]"
XLM,"[42.359720545033646, 28.071249262788804, 26.89700215107078, 21.894773552616243, -33.84658745005872]","[44.70219388777309, 33.85494224138915, 38.77335675064243, 28.164229915534627, -3.6625915446011]","[43.995804094296965, 33.089141403210505, 37.593562589732734, 27.726495356968066, -1.1022318241603473]","[43.91418402492893, 33.26439592331648, 39.43349016320582, 28.005897241136708, -0.8513566989521791]","[44.54799475968137, 33.83551616850996, 37.83695525860467, 27.37663367561234, -8.297008256377003]","[-5.040473582866229, -29.734706675644784, -6.908816186863522, -49.31286008153432, -95.71478630586218]","[43.86121683000002, 15.51462354010235, 35.57438264176337, -3.707598153644555, -3.437945901926515]"
