,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[-5946.653854726683, 27.971169351081176, -786.8718671607974, -2676.1103031009625, -723.4449122774496]","[44.81730582591885, 37.263100144927435, 33.02969405763444, 37.38078447459294, -3.1352589892171023]","[45.67424433376877, 45.720759655601825, 30.137515973074443, 34.816178947167245, -4.0041199857862715]","[-8.162787101410778, 5.82339264992648, 20.491915352395736, 36.34788218287824, -52.430098137533186]","[-91.89976935399736, -271.9307626924676, 30.200721410492644, -86.7285449975119, -177.33501565264083]","[-117.58626779283448, -23.168810682667377, -1670.4221827908839, -4821.262443116465, -168.14870987185915]","[-1783.1477106579737, -2406.1663864259276, -2444.074292934869, -13443.012993259055, -20154.0686650541]"
ETH,"[-1802.4804650056844, -160.08102912306322, -2972.7086566471344, -1398.55115149846, -1254.810111029285]","[21.429582586610618, 60.339165883924395, 22.436397115678393, 51.401242765841715, -24.630612458747283]","[19.09340971440855, 58.744242814268745, 31.16679825362928, -29.67635742472537, -65.45815876161568]","[18.81795125712413, 60.982334832038276, 33.23800761532596, 52.41154530960483, -13.014662278877351]","[46.26473581303311, 58.54748146655409, 24.790046669902296, 49.23265520804498, -6.1005040349314]","[-28.438673614359423, -17.06520967600159, -123.22593379769229, -35.18279134698207, -678.9812261917695]","[-7252.431522741014, -3150.184401742949, -3781.920060685915, -2275.579890766467, -13599.793145855316]"
BNB,"[-26401.011680622876, -13796.43107583493, -109054.01879570252, -49350.291919689684, -139294.44344038682]","[-600.1966068438774, -873.241265529231, -658.8603583833294, -154.92475113193655, -1373.3381929514017]","[22.707138162645162, 31.05241421318435, 24.814450316105678, 39.07257079319339, -6.2811690456943445]","[23.484278128586713, 14.267306062626101, 23.85526146858534, 40.217655943023, -2.8946015790985196]","[-0.07219793825675186, 30.3091517858807, 14.897783904058839, 15.248827631927094, -111.20393664612213]","[-511.8310347440464, -1045.9420071706534, -424.4120852963219, -716.190156004095, -1067.851373534841]","[-1415.9599565340154, -3045.731308969751, -2153.337655857239, -264.13302375428157, -134.22955051612487]"
XRP,"[-37498.06047471953, -16534.76094682448, -38603.44561353791, -8209.637643663646, -78616.93679489836]","[22.97681945518672, 35.97619924609772, 24.287694470315678, 53.898724091179126, 1.174358413291213]","[22.371577063872355, 35.140192562261575, 25.020765047527544, 55.71877371788933, 0.9680978635710085]","[22.676860791348467, 31.497114347352863, 22.75066024119573, 52.33039417676652, -10.670596467001491]","[17.924604495411337, 35.898453528538475, 23.490014341737773, -54.13119137485555, -1269.6306750087256]","[-967.9102693697567, -629.3239380409584, -947.6755894080927, -353.3089381766453, -3918.434027055519]","[12.104143663414408, 30.29339004437961, -42.411738144918466, 53.346658653442525, -9.727983565713767]"
ADA,"[2.722170676794808, -1381.3225681370905, -52.03992029899028, -8217.80702151563, -3743.6002692534958]","[19.08235811385158, 20.014410703795214, 10.609432919792706, 35.579197476542426, -0.13949878339022864]","[18.8655861510033, 22.229866294134855, 11.055912094778485, 36.72820709164102, -1.3075247956407083]","[19.467215154391273, 22.190495833189082, 8.116284126640055, 35.94882863346499, -30.88565357306916]","[19.69747262621964, -2.2433983530736468, -49.06210685149989, -126.48774152389299, -8.982197833717787]","[-296.99342672773605, -80.21447687972308, -126.6654367868413, -295.20882449553096, -852.9254360648994]","[-668.9552893047107, 4.494593593484745, -5129.652813884156, -602.1198946487501, -1603.6277528093685]"
DOGE,"[34.99300147062423, -0.2540893383119874, -449.242025464235, 47.94468967226178, -799.4053133566075]","[38.84770071274455, -33.00649129347325, 21.785303011138318, 33.06826749354956, -11.683180273016168]","[40.096970187098805, -94.83578543793824, 50.66271216689957, 51.31927533309691, -29.29642095175381]","[18.529737144161835, 7.21451323797395, 49.396641698819586, 50.232432796453175, -3.082281081821505]","[-595.4846585009682, 13.131993070068548, 27.154749918809085, 51.61899429717723, -289.1692225931275]","[-1388.4315948245392, -1061.9130145411848, -1123.8194255877547, -695.8842177044867, -1774.5783359630782]","[-246.93639522244752, -694.0973430733894, -326.2778919111132, -264.75461720778503, -485.51685797077886]"
MATIC,"[-4904.089475721397, -14667.447375514566, -43975.54476421565, -268.6029838970993, -13821.695064628117]","[28.37218144206293, 30.366138061882523, -1033.7703891163605, 4.683892979372419, -288.23545791030284]","[29.06888956836332, 19.5777201020633, 29.577364933810756, 46.08721134403941, 0.23866109891586665]","[32.79705470329796, 26.71899028195804, 31.43393995317726, 46.258726906758554, -6.500162658934623]","[19.323208216175917, 32.456676167701715, 18.23313220300391, 45.529992347935014, -3.2692011650291173]","[-214.64939977997003, -553.227256176347, -435.67077815007235, -81.98832472099551, -1215.0212068074752]","[-10984.28736970644, -4776.897346150694, -1895.810846348321, -12484.498579228839, -9636.998556255288]"
LINK,"[-1474.6645181367585, -2164.7361191195914, -3422.0305188093535, 27.777530239046904, -3536.9660603053467]","[33.27628067293803, 41.79304079695541, 15.214516073276208, 51.37570534365372, -22.257972459385613]","[36.71076509751634, 41.809056286905864, 16.03084255518084, 52.6403220380364, 0.5837176233197097]","[23.835766786651956, 40.51842059206934, 21.712905629832697, 21.665045123893474, -34.76955063077981]","[37.16310991010744, 41.7753514841542, 22.012233058695784, 51.69879404130753, 0.3194997499681356]","[-118.68817971027426, -59.405198560921505, -112.23565046136899, -6.96819069643985, -179.9396052271581]","[-441.3547279578128, -206.2185285879456, -1073.5827353423463, -293.46487831028776, -447.0987403804698]"
ETC,"[-239.43574162714904, -533.1747936488879, -135.96615614810312, 35.87626598287614, -216.15939670118078]","[36.383649106214676, 33.48442775963328, 34.890552613419715, 46.01995030565643, -35.02654088790516]","[36.00410854104581, 32.880394963885436, 33.16680264057153, 24.599080482720783, -106.73069864277491]","[34.946451601711125, -3.543708276477961, 31.756780649024112, -27.69034929029617, 0.004876422765052528]","[34.367719427346024, 32.763804235592914, 34.62332631445206, 21.714331392194907, -10.96216042611666]","[-81.98144792851059, -383.65207954710456, -172.55442415237658, -83.05936903434157, -241.93737446378069]","[-248.03070250899273, -91.64871037965204, 31.398669589756718, 22.918472520435976, -15.161994580295573]"
XLM,"[-2906.357516385361, -866.0570764306391, -1167.05521514461, -1505.7220027239264, -8558.33153991594]","[-24.481142040982398, 11.326184741459585, -153.5545893865575, -124.96703425054147, -343.93607185360554]","[9.202364803741693, 6.454075767940721, -6.941302635126903, 20.4630940663885, -8.542469371464406]","[8.276452827860583, -13.253816177633531, -13.624192993098779, -31.530815260871996, -44.10587115385226]","[8.951791096920072, 11.564917211883108, -29.16678305179116, 19.23634109027064, -15.9238045520073]","[-607.2479312480161, -172.3565498931315, -750.3836820952542, -239.25051717672915, -190.43782120233658]","[-47.31297795434721, -100.3540122125838, -41.3448458339727, 20.494232561198082, -15.948019286843548]"
LTC,"[-1583.9934858174774, -3922.6105293121045, -1592.8569010456633, -396.6012232578441, -5760.908497911498]","[-15.043281209874895, -10.567027988329194, -15.458512150721024, 44.12226882357883, -7.685888973215546]","[17.59250819256897, 11.964619947730906, 4.947488531165292, 45.73616267725387, -280.4999616774224]","[31.04916174332227, 20.325878634012877, 16.392803759539, 46.09392678732645, -0.055877295635407526]","[28.157792634964775, 27.000519158257475, 18.115968202283515, 34.53823122022286, -124.70602861677393]","[-82.82712078351304, -91.01526472525212, -74.44881476716101, -3.8227695734589986, -31461.027868402933]","[-79.4816133150606, -178.70509718252734, -209.49420186431468, 41.390910914816494, -87.02205955709405]"
TRX,"[-1837.4683252575123, -4102.617353840244, -529.1287209669741, -2465.8866080004577, -5310.277039013495]","[-20.48608200163132, 6.850431508784204, 31.28199893399486, 42.067524608045446, -0.31685876122027207]","[-43.36221114321271, 0.16710783625866124, 32.72055810886953, 41.33176091614263, -8.958781969559821]","[-25.728396693117077, 6.139314737042287, 32.79825536703027, 41.929004572696186, -166.32153297023459]","[-1398.3724004451904, -644.859828681148, 29.175628225854382, 42.244728752709996, -1515.5571151541026]","[-3866.2085968434417, -2939.640260048294, -2915.2328828407076, -547.611765612841, -1297.2959041874979]","[-145.34976585121672, -470.0342738693964, -109.59009067593013, -191.81726774062125, -163.95898651025107]"
