,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[8.203014500322169, -2.5909107356362324, 0.17714676206082708, -2.863283092651236, 3.299925261758058]","[-21.492017581559118, -10.50864817510134, -25.69069713570846, 0.8444305142226285, -34.24177603045537]","[12.636872195193236, 1.383329178931247, 6.318809850000457, 6.579165426403165, 6.061272129241747]","[11.35426565025692, 1.4894510047347738, 5.1944010149987525, 6.315427051134293, 5.5659926061737055]","[8.882073546684229, 0.2020313231275352, -4.589571412178432, -5.471948252168363, -0.6162702072937527]","[8.909079526111615, -6.272220459820978, -25.696593550392453, -4.474860225337321, -11.05261309306957]","[12.336216900631367, -2.0748874956022583, 6.167007816182803, 7.159835793698843, 5.783631778285475]","[12.842270791664525, 1.416101840850319, 6.020515100225378, 6.95108645653591, 6.54564912418102]","[10.310225729359718, -1.2566039878913609, -3.7386562488184234, 1.1393239698486908, 6.255511918236015]","[-28.018137814899863, -52.17365689653065, -43.29238547715986, -62.94817981079712, -65.9237007273962]","[-68.63445046433519, -23.562141332241488, 5.440041820825435, 0.9107780111074344, -11.772382036925034]","[12.521325811693435, 1.077128269123522, 4.5614313514689115, 6.746236581203147, 5.605589130584352]"
ETH,"[1.6526601646743948, 3.771784710141733, -2.3500353313466067, 7.151908600790906, 3.1020213812065123]","[-14.149937148456864, -6.730305741846997, -28.301386761827764, 3.5604777739136595, -15.052063844070195]","[7.07182266946627, 2.7000066155545914, 1.677941777669992, 6.504320611770812, 3.946058704188361]","[3.6059867898455202, 3.2844218299168655, -1.9222819847975854, 5.5743646517913, 0.8183134936931059]","[5.640184099266486, -22.118514072084565, -17.591915000137163, 5.274278895687735, -26.42581756439547]","[5.765739979608957, 0.19100735821999393, -0.18918820102023, 7.04942240423813, 2.9193007066752372]","[7.344953317731122, 2.7790690491100745, 1.9833365859160605, 6.372478013542743, 2.224619573774364]","[5.673597429138165, 1.6035127210046902, 0.8556566072228879, 7.384761898508069, 4.387528657640943]","[4.184924640512224, -0.6925302516788746, -1.5515235808988712, 7.133535329714613, 4.162977545456483]","[-52.43682278003595, -25.92264576892058, -76.55325475794731, -16.488544580895635, -73.22058398601028]","[6.112467480157196, -4.509019301823062, -7.297726580487282, 6.709170529761789, -1.2354216023027675]","[6.006673067778603, 2.4526179101923375, 0.48097282089780735, 6.053852883867231, 2.874588286052268]"
BNB,"[-0.29525133987037844, -0.8100137795959593, 5.522576338756731, 5.5425525783895475, 9.63273260100628]","[-17.60297705600205, -9.658809059106485, -5.118478393159425, -1.762065726633072, 6.026537920971661]","[-0.38463223814302366, 2.586905360720794, 5.537972091326301, 5.361202090206486, 10.902360522334687]","[-0.7510335704468569, 2.655691877870386, 5.69514763575629, 5.174602948828108, 9.291496923322864]","[-66.93152303408712, -187.297060510216, 2.7049544482998265, -2.659982900890826, -109.66438740957767]","[1.6813174522609247, -4.398933331079603, 5.567101466959387, 6.2532709107953375, 9.20435307951407]","[-1.0553852796595418, 2.1459160125760324, -9.110986196061145, 2.098946266021127, 7.108187034145843]","[-42.421243780331395, 3.099071277828516, -8.211387630333382, 2.457456569081574, -8.321765453947256]","[-0.9603098028644267, -0.28779734911456745, 3.499785342224667, 4.804205795701896, 9.227618609039814]","[-85.52997736549818, -55.232363226243464, -28.387528969929534, -16.824391594685736, -49.91846626447831]","[1.753488450016759, -1.4855873738509737, -16.96736777560303, -3.9062272823745916, 6.240921183747897]","[1.392810780932827, 2.8513239686388983, 5.608983644710451, 4.739885905155682, 9.03177311268442]"
XRP,"[3.424029901658538, -13.268828548720984, -8.101481900107283, -1.6518986523181374, -12.035852703614678]","[-2.121039444853979, -76.91766624101905, -21.480916718520575, -5.083506661529722, -52.43077136310493]","[11.767245012851308, 5.985243757240694, 0.30317799128807965, 1.4015707985051398, 10.791494370228575]","[10.291337012443352, 5.011844334713885, -0.9583463162272506, 1.4264936790733025, 7.079831029990842]","[-193.84342506726276, -146.39039360554133, -2.4538732875983666, -53.85308058483985, -7.6701467961136816]","[5.7011264147162475, 2.026046277163986, 2.0178153751570473, -0.33895438983236875, 7.32023967556391]","[10.461663012227097, 5.799484806947626, -5.652502991648983, 1.2397209186743445, 10.564670404759545]","[12.782179908362284, 6.029898924685807, 0.3171865192478841, 1.7577176424384364, 9.183518916074657]","[13.049800637786424, 2.4488220289797047, -10.353352188583786, -5.66203946946968, 5.634995360887093]","[-81.13774208976727, -58.571522801705335, -46.96188973303499, -18.561213736041044, -75.98145494170284]","[-38.35556511526118, -21.546216410761986, -29.031476062280987, -11.655830914533235, -57.521831906199]","[12.672333568043697, 6.407920802233494, -0.04638432877484062, 0.9247391018240445, 10.343560143789299]"
ADA,"[5.146953240972615, 6.435719204155263, -2.1826776512091506, 1.3486276930580041, -0.26179639344683353]","[-35.46442136658147, -14.554745495406385, -21.194003337916232, -12.204924330431373, -22.563324295142063]","[5.315894307740387, 6.815623730115965, -17.445244407717507, -0.4556339843527645, 4.483945210778759]","[2.889670756130341, 7.525177961787283, 1.1926747357074408, -2.7029374556033594, 0.1428847354699896]","[-64.37501705337363, -24.73510897018165, -13.817597593226797, -41.387435035940555, 4.800412999427593]","[3.138846015790037, 4.783313579050463, -3.7376072601737342, 0.5965426219025898, 2.3022130010438726]","[4.484646526248265, 7.063385281762337, -12.598238730771902, -1.3538449614822852, -4.34644290456963]","[5.133083939845242, 7.035244771840139, -12.320406148086773, -6.2396987689626195, 2.215142595073142]","[4.82392834390896, 6.945533166916562, -5.856909537416912, -3.7500611914955315, 0.19856272931252208]","[-114.91515755110761, -96.99289639594126, -41.25186582651649, -31.397348619748232, -63.19051650313009]","[-10.9070764319656, -0.9231908082755508, -16.623425236423433, -18.4935726328078, -4.363522409961005]","[3.8941615759943766, 6.484253483256197, -1.2418384239417732, -0.5752147056491751, 3.41523933504811]"
DOGE,"[-5.889997920220662, -8.220298081915574, -8.219696483668217, -8.628108214957335, -27.015388276364938]","[-26.979902650134274, -13.989390769504976, -19.198563381950624, -11.59161556140183, -18.88806647024439]","[1.0307932986351334, -0.3604388722788507, 2.6238465490840706, 4.613838180385708, 1.9464103474923937]","[-33.246732877629206, -38.80615288973534, -15.468506281327846, -6.192211224288016, -18.83915271955541]","[-19.810739099477654, -19.84975560098959, -5.133243142545886, -2.158293312604211, -18.857892055035663]","[-8.617313297440388, -18.415345772444038, 1.6041022084202519, 2.6669080221335317, -1.5600675585428456]","[1.5962001978356795, -3.146952512393883, 2.579899959480434, 4.458677595231875, 3.2769666906532935]","[-32.44538636642402, -22.852274421026568, -16.45534788970141, -13.702510534076136, -25.467559672427043]","[-0.9110042592014429, 0.22302207351760925, 1.1259650831689993, 3.8836865991177456, 3.6295665478229306]","[-80.13370052068159, -109.26400786496005, -24.694648773383594, -23.9745695602306, -94.75263800484505]","[-20.866944129539906, -12.164623136080452, -17.24165357011017, -0.9455391825988319, -13.669030442039205]","[0.4687759121423697, 0.6823076196081791, 0.27522714457650466, 4.888278757626876, 6.076543169353405]"
MATIC,"[0.7863336674627861, 5.771114408352115, 4.791422177864474, 2.327894551179027, -4.242949040109253]","[-24.389473839138386, -7.911947125511588, -7.448960895057284, -0.17029571321082526, -12.072055691232265]","[4.525613755354272, 7.660135258329159, 3.9264332057749485, 6.340801629739176, 3.9586397178710633]","[1.5144974769795296, 8.285000783971244, 0.7754649380893123, 4.914122003640619, 1.8630579099776996]","[-1.7866382596227273, 7.302610630475101, -3.7441382294358942, -2.759981860397762, -10.914382498035641]","[4.403940088848128, 8.782504670437799, 4.7442863859976585, 6.307644280314209, 4.255464980823371]","[5.0253511150112296, 8.186479777193712, 3.545732370376329, 1.488668240239841, -7.029535528109723]","[4.9138642141423015, 7.124860969218096, 4.374075129484226, 7.100865404611674, 2.6470584368392567]","[-3.813380018677533, 4.3038082522429635, 1.2587207497699866, -0.4564511148453571, 0.1420019889850331]","[-98.1233807658536, -50.55513745391871, -26.871021135922526, -24.481163399120085, -67.66104403915712]","[-18.78067297617046, 4.736687686921947, -12.483625434214291, 2.413571894472286, -89.73445268029344]","[4.894853679392528, 8.29413441391899, 4.039251723205234, 5.578274171192591, 3.6908879878601373]"
LINK,"[2.9601453802672384, -7.656273302901376, 5.617859152483291, -2.9535384543240832, 5.590293083720801]","[-1.5393741967124603, -11.548795958458115, -9.085925071735799, -2.3094970980820198, -13.050655439005974]","[9.41753247230559, 6.558493817090075, 6.7495001242318375, 6.160452167781346, 5.928902008181545]","[-11.966037489064583, -5.171437141225756, 6.116855401261956, 0.22739742074079547, -1.7030163363238828]","[-17.630594933589176, -28.954455243956822, -5.052189959673551, -18.314990090284898, -2.237124751749868]","[9.100387808178315, 6.522649864412747, 7.798334763640631, 7.189568671309429, 2.220756012016678]","[8.755474391819137, 5.889114361643659, 1.399957425615594, 5.922772522883416, 1.7900203140030446]","[9.734336886844677, 3.8440120389215098, 4.751321837292315, 5.843238111401242, -0.31671795687423776]","[10.197087417106875, 5.438438572453262, 0.4064162232489356, 5.507740749340291, 3.9266546910559064]","[-86.18957607889371, -56.98470102454265, -36.738432978669636, -15.137987010132004, -57.866980572645446]","[-2.721993742282221, -12.369133119463312, -6.870758733971696, 8.99948225097456, -14.627521315597239]","[9.37741853503137, 6.307135453634805, 6.998697370514123, 6.020696223197361, 4.835497966494708]"
ETC,"[-11.442632990865189, 4.635090891750066, -8.54457685078524, -2.9809837939751636, -9.977233596835255]","[-34.33054879341042, -22.448894369305844, -12.090315229173108, -2.5402550089542633, -30.7023881259861]","[4.2677751412815885, 6.78408996807967, 0.3721166820389971, 6.688196510978772, 0.012382497845236828]","[2.0956434251741403, 6.406529136178793, -0.35423206269105173, 6.298482319329531, -1.1008822341275661]","[-21.94851853681111, -11.433746626901193, -18.887364790079282, -4.793574478533864, -28.697665525948313]","[4.933096992971729, 8.54915595225222, -1.2482092239307878, 6.324332219050375, -2.362959628222329]","[3.9917808955031844, 6.778188669398184, -1.6814963543416408, 6.136113012821816, -0.15425925568411872]","[3.495134600524472, 5.33683772746095, -0.632774981624339, 7.597880800216451, -0.5563389572770973]","[-0.13774464044580573, 4.5861511368510435, -9.904525605299382, 6.164695974127646, -2.095182054258893]","[-64.51565878859871, -55.96001976782365, -44.08687688299012, -26.907920111298882, -83.53833973674146]","[-1.4076874955587844, 0.21035245398826102, -19.62998627070198, 6.234236098850093, -10.290719716425206]","[3.1680369734087854, 6.547370738314838, 0.023367772290829796, 6.188458310652744, -1.9582781318662847]"
XLM,"[2.8908579813934265, 5.9248926999238725, -0.34008404719451407, -4.074983268746071, 7.585704050456034]","[-17.292533542097765, -21.753677192994278, -19.69725983551071, -20.02062905306536, -13.613507952893722]","[4.083913485902451, 8.143899904237948, 2.2432689549230442, -0.8014389243552519, 8.600333059551309]","[-2.264415169088944, 6.623092515059141, -2.3811469316091776, -4.748025893582765, 2.784176890308056]","[-15.167239825083955, -12.11971209045386, -13.032208614913548, -13.918482645489561, -1.7879413875089778]","[-1.1481135767479136, 3.761579753194794, -4.6183921487743085, -6.0474898725024335, 9.513009487147407]","[-1.8558425086944046, -4.37040796938503, -19.372270543128472, -17.4442832954527, -13.345077397845758]","[2.558305422495261, 7.9098139258577405, -0.8993991558347779, -3.2928521691104535, 3.3521221949058897]","[5.078848550821145, 4.47625462729162, -0.7261400147673595, -0.9553566997521749, 2.274909781090965]","[-65.85468613327903, -42.1082804468376, -34.717763189854125, -35.755867704839815, -38.18513233294454]","[-5.4661318926928, -15.402558221875918, -17.924953578580237, -12.422933192917283, -7.5526959576604975]","[3.0665112136057218, 6.710963072480111, -4.370186084348365, -3.1876479246399367, 5.067488311533933]"
