,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-1.2645121850144383, 2.774345868897106, 8.297146479030584, -1.677824239110852, 5.260691327862447]","[-8.470825732210155, -17.084103996489546, 0.8896838039885061, -0.5693925513806056, -9.21705216371929]","[-0.8691883815856151, 2.8905046004174135, 4.142003264098659, 2.012612232550853, 4.407757140076983]","[-7.5602288175319625, 0.7259135808284076, 0.45536428969459664, -16.475237528741076, -4.37475753516315]","[-6.975896927957254, -6.291854952726167, -0.9174219639927357, -6.060360681471043, 1.3699471391187965]","[-3.269972384736327, -0.5835865498041403, 3.4525851898680173, 1.050871250419392, 3.4683662145406724]","[-1.3121577892732694, 3.924060503144188, 3.938193726411132, 2.7857308963841776, 4.15485360191772]","[-5.974793382592196, -1.2558970695101117, 4.587257904612082, -9.502755410105527, 1.1998975006191583]","[-1.3472762849773665, 2.871529176942704, 6.646944743212209, -0.008745341963839002, 4.643595590557142]","[-31.13579231515403, -43.24720268248441, -7.150059207299024, -15.056655194323485, -123.73391335069437]","[-12.89744171068693, -15.048569546979873, 0.4386704539385205, -5.716989953200753, -14.015709953285066]","[1.0036164540404517, 1.6549749049194298, 2.7644904029390545, 1.347709083581248, 3.956136518778837]"
ETH,"[-2.0133835819798467, 3.9412185087394502, 1.9545392685821956, 1.0935237320046718, -3.58374519558855]","[-6.848194933265697, -6.7948832805922486, -11.030495493403034, -2.358813267796664, -12.48144931062131]","[-12.183240664843341, 0.8639005622402699, 0.27225320669504804, 3.7023901391525316, -7.888445071732235]","[0.6253081136653346, 3.5848597051684847, 2.5627062954220805, 2.7944914875289517, 0.4556668167900414]","[-20.695580572956292, -3.800925032766283, -2.5424537386833905, -0.4515384458764465, 0.5125016249053068]","[-7.938432701356894, 1.8339095356165631, 1.8283735599138575, -6.907313146169907, 0.3219035478788243]","[-3.836712670446237, 5.227860579040103, 1.8021071351856994, 2.8415350196324094, -1.0825290227636855]","[-6.939330928627127, 5.2759653464761325, 3.5889352405783184, 3.1550021706981535, -0.60140224853255]","[-3.178881342146612, -0.43631756825180046, 5.202307369664058, -1.5896054366293901, -2.5651789716463544]","[-60.55511210878017, -15.515407968709368, -34.71467768228677, -8.931237803852715, -39.63005812732469]","[-16.712798287528607, -16.617318245966032, -2.679745618018423, -5.805438784425347, -8.414392445356505]","[0.17111670109947189, 4.510267997099331, 2.9447669990099588, 3.10559236807386, 0.3616509034987314]"
BNB,"[-4.060969542914281, 6.511851116832, -14.777307507371834, -2.75659043923003, -0.9437323243005694]","[-29.414267874019835, -10.433475981696404, -13.590969987893978, -3.297113048564124, -15.736681854079546]","[0.244869228265184, 8.426912996710174, -0.4579264969092494, 1.2537567992126806, 5.54138997270039]","[-1.3667140135453202, 7.389008147776785, -1.950471122596088, -0.5644034374184874, 2.488296240407951]","[-11.1736038996247, -3.5786445517433694, -6.43754819778161, -19.667097758590398, -24.573710415272448]","[-3.3443736084607325, 7.043420522456845, 0.4953866159233591, -1.191748988075316, 5.231498679611915]","[-2.1781767814956017, 8.415100501480076, -0.0634642874545243, 1.7080531301840265, 5.562667926857084]","[-2.04279183094432, 8.434091619102569, -0.832996961660707, 1.8501334387564363, 5.278332450300447]","[-5.269186061415982, 3.346700311101002, -6.973685876862673, -10.117915297740627, 0.6124445284327653]","[-57.70298221997706, -38.956482567528845, -35.49709026638283, -22.753723264175036, -66.17805512641294]","[-6.84000035273008, 2.2809140415386615, -10.596783072674906, -4.063133685859344, 0.14879586552739238]","[1.989001945772651, 8.20981942357242, -1.819263322635531, -0.11312742463962965, 4.876492225131555]"
XRP,"[3.222359732046636, 4.962031490776183, 4.747434385391277, -6.315006605251713, -2.5702573043417103]","[-6.85533224847993, -11.85383091838179, -12.06911364569191, -6.384257457225545, -14.02082696472911]","[6.097424294139702, 5.044649307723305, 6.480209595529534, -2.9602555474813204, 2.702229729062405]","[1.4745039350722844, 3.2774960835755285, 9.318757639257115, -3.2198895400338574, 3.644505314471622]","[-6.1589431323802035, -13.450896955161351, -9.026423520113672, -23.36169394184248, -20.810492614389524]","[5.832382307124959, 5.0797585824535085, 8.796086997726713, -4.28216169163149, 3.7915052509619858]","[2.2900674575941395, 4.874886943180926, 7.351226254235693, -3.17288631601339, 3.631118991316999]","[-1.9073621438375106, -22.502445063348905, -6.747087092392308, -14.160724443105357, 1.1695308790230825]","[-9.747459358276188, -6.3402632131102505, 2.7107246885843943, -41.991489046213886, -7.535391213931384]","[-54.42112550054161, -56.21661497189944, -36.14894080816341, -9.726433239900615, -29.708418597422792]","[-19.776947822077247, -14.633390337125519, -8.088127936043382, -30.38508752152539, -14.322556271378664]","[6.91005172370534, 3.2533322659591644, 6.2284007139136035, -2.5306822740897186, 4.545445308767868]"
ADA,"[1.7831515573652614, 2.4499597543175726, 1.8034486914699548, 4.426224544749299, 0.19566395617293073]","[-20.028146613052233, -17.742862279673428, -20.62728396215519, -4.0961294746380394, -56.30789244965225]","[2.4446069939519424, 0.8684484018898809, 5.140281232184464, 5.8584933795477685, -1.2375809197395777]","[-3.417639139229555, -2.1599741402840626, 2.835295959457399, 2.927804112804342, -2.309975721516019]","[-12.064619747673271, -23.30049566409208, 4.5953104144379715, -23.3345348328206, -2.7510906481287085]","[-3.5661069330578625, -1.1455252780091376, 2.1599004328307085, 4.532104496399507, -4.386008580668581]","[-2.443952363966472, 0.8536893422759633, 5.023450555461852, 5.863681250744956, -1.2005957203464233]","[-12.444957159916953, 0.8256073721111628, 4.513022511090819, 5.64315303551662, -23.15757941159677]","[-2.433505737789355, 0.8054448435846228, 4.512361029961897, 4.8967240085774115, -0.36869580719567496]","[-28.782939137770935, -25.95845909036906, -30.65616806877361, -24.87798687064227, -53.40466816927437]","[-5.628317873421449, 2.1945343721726003, -0.33976403307913033, 3.750718051950414, -7.411496771045669]","[3.4677619762653267, 0.266885122976221, 4.180241692260033, 5.600040278921828, 0.25324503038741736]"
DOGE,"[-1.0771783730885602, -3.8642259528117013, 4.685879514753723, 1.4292654175692916, 0.5711294032181866]","[-17.770779452244017, -2.5864852862915844, 0.5800675857717087, 0.17256378188446134, -5.5280677977076005]","[-6.931207666111707, -4.918305017608698, -1.031659691563715, 3.668287148202079, -0.928852530353459]","[-0.9427985188314283, 1.1888483420754345, 7.717339640658047, 2.833161225958426, -5.85520211256743]","[-0.24077744055102926, 1.6048277165965217, 6.920260964493933, 6.095269226945969, 0.37582136006637495]","[-3.4434574659604444, 2.631074652094793, 8.012236720907497, 4.985700226819758, 1.1837748777393127]","[-1.0255220292138685, 2.142306219458537, 8.551512308336903, 6.275400173159365, 1.2685157939969092]","[-0.42464538858823386, 2.049475504383198, 9.89032218278663, 6.062434089614301, 1.1775395694540043]","[-1.1858971801800222, 1.4173655366158278, 10.367426666710115, 5.97876712929357, 0.6022183686735137]","[-81.94038320265514, -47.69439012640039, -37.51053827703302, -25.277458096128804, -17.364387469611543]","[-5.821317733907191, -0.7898369177334306, 4.485242709942465, -7.492764195733661, -45.65721836626245]","[0.8144717222322122, 1.1927123802388366, 9.611196809625163, 5.051207800530297, 1.4502402149718037]"
MATIC,"[1.8344782648087876, 4.169036901344489, 7.039223018362814, -4.758585218548864, 1.3239056542500582]","[-26.987347163308044, -3.6575067318205283, -3.1389315996957663, -20.633324608597132, -41.88221473512209]","[-4.620634648611241, 1.4649970299750708, 4.071252125886226, -6.1604948749815, -16.75160429073646]","[2.129606405477165, 2.6367869865100904, 6.9500937507500415, -0.35914409410226433, 2.285009596080775]","[-24.497468768492396, -9.818177614527873, -4.661007485295463, -25.364121258565387, -53.282735741667764]","[1.7552220988174443, -4.069324957000376, 2.2471071179164332, -13.318045999533279, -17.882959193218163]","[-10.98056891914274, -2.1615152036254126, -0.04291790821943274, -17.01703965757983, -22.771369834906487]","[1.935696207349668, -16.523503773192363, 4.369890685677805, -20.216306353767838, -17.318604236248277]","[5.747145196267913, 3.8341855112328016, 8.085048355534589, -2.9246686897759644, 3.9892916534403327]","[-100.8106884100179, -11.145470041341344, -32.09198352424331, -30.03440619366758, -74.54591454057235]","[0.6053031285837587, -2.8263906026159336, 5.589013314861868, -10.434817807398039, 5.55909720050568]","[5.145823579237715, 3.7293724885477824, 7.155787834775191, 0.12147245292057597, 4.71569134137738]"
LINK,"[-0.9527079696103492, 8.837026665072893, -5.742588991845149, 0.3515979775611717, 3.204956544523283]","[-16.867572050434443, 0.39327245441389314, -15.640552204131641, -2.0082856241319287, -11.903315786341883]","[7.294809306603997, 8.304791146583925, 5.971272011137492, 0.545982884929284, 0.9802305700006373]","[-13.509062867018878, 5.874393997360433, 4.616371857530362, -8.059728310689032, -13.664986027691445]","[-22.10103840518487, 2.873053154270786, -6.8734013046904225, -9.743971828223588, -32.50193758284556]","[-1.605128819022613, 7.279374848572761, 4.523885275243226, 1.3614565859721337, 3.690036742010065]","[-19.418154800567812, 8.705212513325696, -0.6755606269943417, -16.701059814706856, 1.9996990620104036]","[0.8078496576896991, -18.495275946498257, 5.231273886538122, -27.757983981111124, -36.883942292112444]","[7.802480748595757, 6.073656663921666, 3.346263238144996, 1.0439150047238621, 4.022128526422794]","[-50.36733338747148, -19.617170540145192, -25.084845101108904, -16.837812386304734, -79.6909789108974]","[1.8202667891151392, -20.871363244877735, -9.022665774683425, -11.289611918422935, -21.236406748176805]","[7.099546979556252, 7.858444263492811, 5.667339507709428, 0.5153430331186623, 3.3919991848716475]"
ETC,"[4.637104547222736, 4.802470552146813, 6.336332499436373, 10.206811751042268, 0.3903380917722391]","[-17.444534375715122, -23.072724212504014, -33.64423499089019, -1.9444229413742045, -56.71132697960704]","[0.03967412418102119, 7.792680803453586, 3.499438179682768, 7.031808232145102, -1.6943704815563516]","[3.6169073345296336, 8.118058315740415, 6.438539461901827, 7.515758410614614, -0.601824844031659]","[-13.771308168961463, -0.1369072468279028, -4.355116631456903, 6.84710742051028, 0.31919758296579825]","[1.6058223327891759, 3.955894176679923, 7.640597772989828, 8.89965876351452, -0.8644638564286078]","[3.9105818617649195, 9.466442378008862, 7.768415548939814, 8.366660498382979, 0.1328749192379278]","[-1.1233958708276406, 9.423215074910052, 7.794335132128352, 8.380783878603273, 0.22892662898585164]","[0.45877626249890113, 9.064906094146398, -0.9412657091833847, 7.545350417239906, -4.651655371105452]","[-25.238741957200922, -18.104590760657203, -38.880714872772884, -20.13359046500375, -69.30715618952378]","[-19.480636152056356, -7.25467324952641, -21.993832635673574, -13.32208098343651, -28.017800541642462]","[5.094981447829273, 8.740433629460194, 7.953058003886289, 7.905664375531245, -0.21191814471960196]"
XLM,"[2.622471170594149, -7.125064764227168, 2.5531649205558358, -3.8923865030783924, 3.88450071117093]","[-4.433342622792515, 1.5705410949682932, -5.836139780333208, -2.287598612215029, -15.595177018529267]","[2.221598528170772, 5.509684338325103, 5.088344432790709, 0.6084215867987725, 5.061034246377654]","[1.849052050117064, 1.9313638577302343, 4.28470011659827, -0.8758002886720255, 2.201627721284157]","[-1.7570791570090167, -10.111609266949598, -7.611425254628099, -27.445417613503086, -7.18672048020715]","[-1.54563179340498, 4.550269329744143, 5.748990728209074, -0.6230581183614805, 4.5708495177450414]","[2.5130060677682557, 5.080779754078497, 5.155945468038327, 0.8427350871995695, 5.349816481401164]","[1.4116046171869088, -3.405751445442647, 1.7008091641416674, -11.905204160282755, -19.446282236896543]","[-2.6478333173762807, 2.107573189634696, 6.046035936392951, -2.878667177391453, 2.1624979955900643]","[-31.614245945125873, -16.943674849640338, -19.252456591974234, -8.071068579686875, -15.291327040925399]","[-5.758487624469897, -3.8747582723918326, -10.011425962403523, -32.992108119541676, -12.4978551882036]","[4.829631113414714, 5.281243343943685, 5.042236417857036, 0.010446235903222299, 5.83263442221963]"
