,train_volatility,test_volatility
BTC,"['normal', 'normal', 'low', 'low', 'low']","['low', 'low', 'low', 'low', 'low']"
ETH,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'low', 'normal', 'low']"
BNB,"['normal', 'normal', 'low', 'low', 'low']","['low', 'low', 'low', 'low', 'low']"
XRP,"['normal', 'normal', 'normal', 'low', 'normal']","['low', 'normal', 'low', 'normal', 'low']"
ADA,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
DOGE,"['high', 'high', 'high', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'low']"
MATIC,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']"
LINK,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']"
ETC,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']"
XLM,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
LTC,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']"
TRX,"['low', 'low', 'low', 'low', 'low']","['low', 'low', 'low', 'low', 'low']"
ATOM,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
XMR,"['normal', 'normal', 'normal', 'low', 'normal']","['low', 'low', 'low', 'normal', 'low']"
VET,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']"
ALGO,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']"
EOS,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
CHZ,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
IOTA,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
NEO,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
XTZ,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
