time,open,high,low,close,Volume,Volume MA
1642464000,2004990878338,2018937002849,1991936034722,1995760986215,134904805202.56895,117617232709.80783
1642478400,1995691074581,2007837448582,1985355432682,1995868643831,134904805202.56895,116768692511.80637
1642492800,1995898804049,1995978875608,1959504797933,1979500638186,134904805202.56895,118184438733.1342
1642507200,1979531554157,1982863774440,1947096927615,1958918675840,134904805202.56895,119600184954.46204
1642521600,1958908985245,1968688805459,1947215970052,1964585225406,134904805202.56895,121015931175.78987
1642536000,1964593495708,2005833951978,1951934479450,1990319161034,134904805202.56895,122431677397.1177
1642550400,1990381297428,1997193853192,1953611390602,1959645468967,128477155178.62659,123526041117.24841
1642564800,1959626382320,1965424160129,1924760170868,1928994497154,128477155178.62659,124620404837.37912
1642579200,1929064078696,1968462501859,1923459946994,1964774597618,128477155178.62659,125729221859.83809
1642593600,1964746378808,1988483105881,1957949074278,1965316247003,128477155178.62659,126838038882.29704
1642608000,1965098374012,1979340856325,1951442075087,1964452488302,128477155178.62659,127946855904.75601
1642622400,1964395335908,1967768280192,1946125316124,1947238790747,128477155178.62659,129055672927.21497
1642636800,1947201178839,1967090670705,1946224871996,1963965834957,100115765241.11871,128746420452.79854
1642651200,1963944595509,1978314539419,1959141472840,1975178253296,100115765241.11871,128437167978.38211
1642665600,1975198633826,1978671646010,1961514429626,1975875561661,100115765241.11871,126874455683.78593
1642680000,1975855526723,2031964807924,1964674786107,2026423392565,100115765241.11871,125311743389.18977
1642694400,2026439787403,2032811912952,2001427503938,2005804525679,100115765241.11871,123749031094.5936
1642708800,2005790054843,2008017667699,1886402201505,1893316690734,100115765241.11871,122186318799.99744
1642723200,1893231218223,1912917595297,1793728834670,1804674589833,225291246865.85406,126882380586.63803
1642737600,1804641873568,1835193021793,1804198119206,1833745139574,225291246865.85406,131578442373.27864
1642752000,1833531066013,1840614118138,1811173720223,1818130069112,225291246865.85406,136097764456.4429
1642766400,1818200279936,1819638805494,1760041086085,1808840615615,225291246865.85406,140617086539.60715
1642780800,1808996396629,1819727072567,1766838860721,1767444071153,225291246865.85406,145136408622.77142
1642795200,1767477681507,1780565749739,1640179469633,1681919439771,225291246865.85406,149655730705.93567
1642809600,1681530993165,1700376074136,1665211890780,1677713681737,235584970685.2542,154689738980.06995
1642824000,1677696462583,1682052169939,1586712107254,1600059693095,235584970685.2542,159723747254.20422
1642838400,1600018741986,1622455849649,1518705386053,1595968000387,235584970685.2542,165079138029.5356
1642852800,1595968642884,1646122647718,1573433498709,1573736372180,235584970685.2542,170434528804.867
1642867200,1573745603559,1612154769980,1549379083170,1559176292783,235584970685.2542,175789919580.19843
1642881600,1559194230763,1621738112819,1553625223358,1593190516014,235584970685.2542,181145310355.52982
1642896000,1593168206370,1624740264732,1585496847698,1599944045981,149329561319.7953,182187930662.58826
1642910400,1599912641396,1642833803063,1595684901714,1637674754144,149329561319.7953,183230550969.6467
1642924800,1637622902884,1666611023413,1630639078144,1642670548007,149329561319.7953,185691240773.58054
1642939200,1642618549136,1657967503074,1602263586238,1615387152085,149329561319.7953,188151930577.51437
