,train_volatility_class,test_volatility_class,period_volatility_class,train_volatility,test_volatility,period_volatility
BTC,"['normal', 'normal', 'normal', 'low', 'low']","['low', 'low', 'low', 'low', 'low']","['normal', 'normal', 'low', 'low', 'low']","[0.21344373477840684, 0.2252270674790046, 0.20833129882639373, 0.1935056057130395, 0.18694232423854878]","[0.18912856041566425, 0.19211256937090873, 0.19927568735254547, 0.1694387159921921, 0.1369730101139219]","[0.20698745721742165, 0.21694844295198065, 0.2060673959579317, 0.18748888328282765, 0.17444999570739209]"
ETH,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.30011933930760865, 0.29757487232824487, 0.2699538002985817, 0.24095457895582564, 0.2473251504286535]","[0.23434696890862922, 0.22933557892084455, 0.25918118903800325, 0.2534586833271127, 0.15888866828667225]","[0.2826551553044535, 0.28051504897639484, 0.26726064748343714, 0.24408060504864743, 0.2252160298931582]"
BNB,"['high', 'normal', 'normal', 'normal', 'low']","['normal', 'normal', 'normal', 'low', 'low']","['normal', 'normal', 'normal', 'normal', 'low']","[0.36533326566903157, 0.35215017712264113, 0.2910608037368885, 0.22544601541753734, 0.20604408764726706]","[0.23414805275061135, 0.2159826732929538, 0.2262073202090468, 0.17594226943980057, 0.15270179114799654]","[0.330500361168209, 0.31810830116521926, 0.274847432854928, 0.21307007892310312, 0.19270851352244942]"
XRP,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['high', 'high', 'normal', 'normal', 'normal']","[0.4355886368298324, 0.4537074396328308, 0.34756631508606356, 0.2544544992415404, 0.24152259120266228]","[0.2818639982539171, 0.2469020796201967, 0.23459741985050744, 0.24306827413728266, 0.16961127974571205]","[0.39477095977755505, 0.40200609962967226, 0.3193240912771745, 0.251607942965476, 0.22354476333842474]"
ADA,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.3649011125709965, 0.35411018540278844, 0.30343953608574953, 0.2807028560483463, 0.2684588880772526]","[0.25199529193521647, 0.27580529291222095, 0.3143079832976017, 0.21526338802193515, 0.18871761099634166]","[0.33492183685614263, 0.33453396228014654, 0.30615664788871255, 0.2643429890417436, 0.24852356880702486]"
DOGE,"['high', 'high', 'high', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['high', 'high', 'high', 'normal', 'normal']","[0.5724971149290369, 0.5968650540313755, 0.40226427071250415, 0.2863959087422388, 0.28650775179211185]","[0.3044323183355319, 0.23069746285494908, 0.32405794503623536, 0.30476784748515096, 0.2083295509944486]","[0.5013193102660934, 0.505323156237269, 0.3827126892934369, 0.29098889342796685, 0.26696320159269604]"
MATIC,"['high', 'high', 'high', 'normal', 'normal']","['high', 'normal', 'high', 'normal', 'normal']","['high', 'high', 'high', 'normal', 'normal']","[0.4885126003002649, 0.49632583101615296, 0.43894450079953595, 0.35676093622163635, 0.33900673277030036]","[0.36549280910459636, 0.33820208213941455, 0.3665879174208981, 0.31223019875058833, 0.22194974672251708]","[0.4558478163425284, 0.4567948937969684, 0.4208553549548765, 0.34562825185387436, 0.30974248625835454]"
LINK,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['high', 'normal', 'normal', 'normal', 'normal']","[0.4141556102261078, 0.38324006764665663, 0.35812352841223755, 0.3086569215036273, 0.2938032900502957]","[0.3104467327461723, 0.2993524562675365, 0.31617157549717284, 0.2658858383861777, 0.18902156048299568]","[0.3866183493963177, 0.36226816480187657, 0.3476355401834714, 0.29796415072426485, 0.26760785765847067]"
ETC,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.3771499466952172, 0.3902198111238898, 0.35162011991997233, 0.2845752952633341, 0.31279389701104254]","[0.25508059643032144, 0.24796052967191248, 0.35068475968776824, 0.3397364016734469, 0.22592832390434228]","[0.3447375282094633, 0.35465499076089546, 0.35138627986192134, 0.2983655718658622, 0.29107750373436747]"
XLM,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['high', 'normal', 'normal', 'normal', 'normal']","[0.39531215259047714, 0.40501516482159533, 0.309973173272122, 0.25597235271080865, 0.2312813525775621]","[0.2819768346346869, 0.2372500551413197, 0.24869016835641938, 0.20790383423494715, 0.1489561624928583]","[0.36521883476067424, 0.3630738874015264, 0.2946524220431963, 0.24395522309184328, 0.21070005505638614]"
