,train_volatility_class,test_volatility_class,period_volatility_class,train_volatility,test_volatility,period_volatility
BTC,"['low', 'low', 'low', 'low', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']","['low', 'low', 'low', 'low', 'normal']","[0.007823338297854822, 0.005864791886927991, 0.00733381917837506, 0.009102191798508016, 0.010712676640869724]","[0.004648926767052761, 0.011979083436352825, 0.010678565192118466, 0.009480381294137889, 0.010555149120651143]","[0.006980453865693247, 0.007393364774284199, 0.00817000568181091, 0.009196739172415484, 0.010673294760815081]"
ETH,"['normal', 'low', 'low', 'low', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","['low', 'low', 'low', 'normal', 'normal']","[0.010035654285425927, 0.008389403917717059, 0.008526754505250693, 0.009170925246095989, 0.011733438188332475]","[0.007327240227362321, 0.010275058403838862, 0.009910477107086781, 0.015014779054071782, 0.021361477787210845]","[0.00931650365758891, 0.008860817539247508, 0.008872685155709714, 0.010631888698089937, 0.014140448088052067]"
BNB,"['low', 'low', 'low', 'low', 'low']","['low', 'low', 'normal', 'low', 'normal']","['low', 'low', 'low', 'low', 'normal']","[0.0054602211598591644, 0.004372257091550391, 0.004517322729475858, 0.006969793934179456, 0.008647223826618092]","[0.00356697429151419, 0.006208952816658028, 0.011133454694366149, 0.0085992639688301, 0.012252590125915069]","[0.004957517494602683, 0.0048314310228273, 0.0061713557206984305, 0.007377161442842116, 0.009548565401442336]"
XRP,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.014098473485158044, 0.011198347896669928, 0.009808082066078947, 0.010643052164138835, 0.011636065630757917]","[0.0077351651625290185, 0.01048486504514415, 0.013709126284743337, 0.010714205562386258, 0.019523072064526303]","[0.012408858427329354, 0.011019977183788486, 0.010783343120745043, 0.01066084051370069, 0.013607817239200012]"
ADA,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'high', 'high', 'high']","['normal', 'normal', 'normal', 'normal', 'high']","[0.013494169830727787, 0.01135832370663083, 0.010808484362087676, 0.012749657377489726, 0.015510312523952761]","[0.00959648543205197, 0.011925763261031317, 0.01672672343938589, 0.01787845087144107, 0.024530866341558304]","[0.012459238641357765, 0.011500183595230952, 0.012288044131412228, 0.01403185575097756, 0.017765450978354146]"
DOGE,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']","['high', 'high', 'normal', 'normal', 'high']","[0.027293074000565364, 0.0219239456310065, 0.01389031086331972, 0.014016425996886569, 0.015989185766458438]","[0.013712242344077858, 0.013196462679155814, 0.015140572967426035, 0.01963052165279347, 0.021493120598008248]","[0.023687028764153264, 0.019742074893043825, 0.0142028763893463, 0.015419949910863293, 0.017365169474345892]"
MATIC,"['normal', 'low', 'low', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.011231325621262367, 0.009264607104865001, 0.008839454823942678, 0.010161821384799475, 0.012011929649568286]","[0.007741841841493765, 0.010280028882778656, 0.01246359343012601, 0.013292166635800193, 0.018749113675042853]","[0.010304781748261709, 0.009518462549343415, 0.009745489475488511, 0.010944407697549657, 0.013696225655936927]"
LINK,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.012297945780211074, 0.010104350845551934, 0.009735422095154884, 0.010799713543826212, 0.013026684983220531]","[0.00862706946755355, 0.010950612461864274, 0.012821458702060815, 0.015307983785736504, 0.02014013933152008]","[0.011323237722888733, 0.01031591624963002, 0.010506931246881365, 0.011926781104303787, 0.014805048570295418]"
ETC,"['normal', 'normal', 'low', 'normal', 'high']","['low', 'normal', 'high', 'high', 'high']","['normal', 'normal', 'normal', 'high', 'high']","[0.01204566193164947, 0.009945732973449679, 0.009366327969579986, 0.014757349156024755, 0.021084524287237155]","[0.008454065439635923, 0.01105109724261698, 0.024766884785821362, 0.027435590833273123, 0.020969959496165834]","[0.01109200461899491, 0.010222074040741503, 0.013216467173640332, 0.017926909575336845, 0.02105588308946933]"
XLM,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.01131828060335947, 0.010375306703693106, 0.009853048641712997, 0.010265456458680138, 0.010675135776585947]","[0.00960743028543877, 0.010127785693409297, 0.011061153397192346, 0.010836468239156195, 0.013497983749705796]","[0.010864007713804509, 0.010313426451122154, 0.010155074830582833, 0.010408209403799152, 0.01138084776986591]"
LTC,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.011630534855098037, 0.009230904590408774, 0.010248941365165702, 0.012826033876766127, 0.01461338788750842]","[0.007906357989531198, 0.014392643993068242, 0.016179099647698942, 0.013268420021758064, 0.020794493477173246]","[0.01064167418843789, 0.010521339441073642, 0.011731480935799014, 0.012936630413014114, 0.016158664284924625]"
TRX,"['low', 'low', 'low', 'normal', 'normal']","['low', 'low', 'high', 'normal', 'normal']","['low', 'low', 'normal', 'normal', 'normal']","[0.008532515421256536, 0.007214030393639094, 0.006332121605515693, 0.011062280666601903, 0.012576772732737152]","[0.006019732547872796, 0.006553837449645108, 0.02061327200228781, 0.010563208746278543, 0.010945197918595238]","[0.007865309690422309, 0.007048982157640598, 0.009902409204708721, 0.010937512686521064, 0.012168879029201675]"
ATOM,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.013375067937200972, 0.011175554915914267, 0.009699554653582047, 0.011041763475390562, 0.012916552423701674]","[0.008120245058281414, 0.010131632607952567, 0.0148734127599377, 0.013744611903214753, 0.021444861960463933]","[0.011979783061427898, 0.010914574338923842, 0.010993019180170963, 0.011717475582346608, 0.015048629807892237]"
XMR,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.010086469615121612, 0.009001762286950982, 0.009424650199175344, 0.01039688205674978, 0.011101331371587192]","[0.00790252741420554, 0.011980049498620412, 0.011308069257423385, 0.01001587535871778, 0.011853150688610193]","[0.009506579180617132, 0.009746334089868339, 0.009895504963737357, 0.01030163038224178, 0.011289286200842942]"
VET,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.01682543861810693, 0.01493124078982497, 0.011821450648470596, 0.012439754199603371, 0.013307304978784485]","[0.01181779152250481, 0.012390335775643194, 0.013111135300662104, 0.014420443860048161, 0.017440821628253132]","[0.015495784999574462, 0.014296014536279529, 0.012143871811518474, 0.012934926614714569, 0.014340684141151649]"
ALGO,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.013899132947834982, 0.012587151424382954, 0.011467491938224375, 0.012465867531507245, 0.014071778230835108]","[0.010963327706007598, 0.011843237482258661, 0.014591037406255477, 0.01578105980399119, 0.01881466536878171]","[0.013119604361139915, 0.01240117293885188, 0.012248378305232148, 0.01329466559962823, 0.01525750001532176]"
EOS,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']","['normal', 'normal', 'normal', 'normal', 'high']","[0.013347065211364813, 0.012933835184050502, 0.01188742658765884, 0.01333933439488624, 0.016027310424675555]","[0.01165423990939613, 0.013738731887083192, 0.014625031388179397, 0.019718167998764073, 0.018752708287813804]","[0.012897578407415953, 0.013135059359808672, 0.01257182778778898, 0.014934042795855697, 0.016708659890460116]"
CHZ,"['high', 'high', 'high', 'high', 'normal']","['high', 'normal', 'high', 'normal', 'high']","['high', 'high', 'high', 'high', 'high']","[0.026001803917722315, 0.025882079761044806, 0.022384701761144068, 0.01911688531390386, 0.01618274528114047]","[0.024718254029013665, 0.014837360780195626, 0.01779504113250229, 0.015915833930723506, 0.018301474951829513]","[0.0256609898145106, 0.02312090001583251, 0.021237286603983625, 0.018316622468108768, 0.016712427698812735]"
