,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.0012532316316007665, 0.002772077114656623, 0.0021337048242228117, 0.0016967416604516663, 0.001969829862407423]","[0.001338546400717404, 0.0028414193530622773, 0.0024406252603750523, 0.0018542022025235317, 0.0020754659648051306]","[0.0011249614004828008, 0.002692798053480883, 0.001976720657708762, 0.0016424811132396083, 0.0019468643421667942]","[0.0011076691326305985, 0.0026395361153056574, 0.0020123130949696727, 0.0016664082969909551, 0.0019537133089996394]","[0.0011397539817693614, 0.0034896241981575596, 0.0021508784810138695, 0.0017427739455836814, 0.0033355922145132774]","[0.001122550975430936, 0.0027633806712372235, 0.002045930086614994, 0.0016498850403368066, 0.0019437686132372186]","[0.0012509481405474805, 0.0028471309045849957, 0.0021140711878968373, 0.0019221137378536608, 0.002075761263410907]","[0.0011128826144351938, 0.0027265929268423766, 0.0020075906451989937, 0.0016537571338962824, 0.001959772991980341]","[0.0012279017849223884, 0.0036638604973713495, 0.0022315145842067845, 0.0018539275518266684, 0.0019408636557478375]","[0.0017198336108883285, 0.0028552063158487303, 0.0023813639052267673, 0.002469417672458654, 0.0026770275629654327]","[0.001198339145208364, 0.0030868893972301518, 0.0021730430773288737, 0.0017632228646441322, 0.0019123924858781942]","[0.001173701388880871, 0.0027043337992930573, 0.0022182259732213346, 0.0018289542708500126, 0.00197487352207211]","[0.001109277851650308, 0.0026807484970150716, 0.0019911810737246217, 0.0016604558248537414, 0.0019545491380351487]"
ETH,"[0.0015514157433180818, 0.0020135243694451802, 0.0020885350506300296, 0.002727916092744124, 0.004656154737369666]","[0.0016223432393219779, 0.002242264417682928, 0.002233358262219427, 0.002994157534690479, 0.004762619179774937]","[0.0015049185708305736, 0.002005858357162633, 0.0020454158231236947, 0.002782578295501979, 0.004606748852655041]","[0.001526712764185605, 0.002007719091586568, 0.0020753451543902863, 0.002841443188304742, 0.004608163504026612]","[0.0015982608082859703, 0.0021420353577477585, 0.0022025193228843794, 0.0027768215256698727, 0.005236214608062866]","[0.0016474202812969089, 0.002025016913907105, 0.002150817229282804, 0.0027315514586932323, 0.004645655921585542]","[0.001530335367360925, 0.0020598701621333186, 0.002114555084137355, 0.002624212547134345, 0.004936645652903055]","[0.0015447988737073643, 0.0024239486443669504, 0.0021931068066490295, 0.0027064981641934183, 0.004905713880381121]","[0.001535244174108426, 0.0019888048574568788, 0.0021332708682366033, 0.00275822406980345, 0.0050424312746848105]","[0.002226110057939844, 0.002330523994219135, 0.0025965748977823323, 0.0036110413189812066, 0.005268821026221827]","[0.002045231835218238, 0.0022575648877441227, 0.002299753307959708, 0.0031399873661209867, 0.0049870206627856085]","[0.0015642269915164182, 0.0020560052096893983, 0.0021628224724503714, 0.002727451086671448, 0.004774364096214453]","[0.001513747411898129, 0.0020099896927761214, 0.002046050208487925, 0.0028027677283618394, 0.004622279330649092]"
BNB,"[0.0007028405642743546, 0.0017764449206087497, 0.002182782847455435, 0.0015274602933736897, 0.0023912078080386627]","[0.0008495018362864385, 0.0017338219719022392, 0.003607694747546448, 0.00164640318115338, 0.002497726671722458]","[0.0006883453607745005, 0.0018168882045583382, 0.0020681917427552423, 0.0014779758201541896, 0.0023770603998485547]","[0.0006895290216632739, 0.001785987227446182, 0.00214037031333128, 0.0015112748105364062, 0.00243273945815444]","[0.0006914631462184266, 0.002060963409087352, 0.0022293733851707766, 0.0014700077904750758, 0.0023729716192700773]","[0.0006931021140772004, 0.0018711967527803453, 0.0021003883879954716, 0.0014769592645978008, 0.0023731342367740876]","[0.0007679389724045771, 0.0018614226898536485, 0.002225273599066521, 0.0016475931778072552, 0.0024580846192560927]","[0.000703862894783616, 0.0020605067487203086, 0.002121007787946794, 0.0014839147476995579, 0.002299283588182934]","[0.0007225508688967359, 0.001997289946833945, 0.0021252476838731042, 0.0014468562119735494, 0.002287623382032128]","[0.0012890660649245527, 0.0020954569973318385, 0.0023260040057966674, 0.0020808508533779893, 0.002680979744235673]","[0.0006982659800387926, 0.001814171590968804, 0.0021102740445596564, 0.0015207539415157806, 0.0023532756837297214]","[0.0007335687345192556, 0.001865989431330745, 0.0021450219551601563, 0.0016268627771118497, 0.002371146434048524]","[0.0007012986740699967, 0.00180110608374569, 0.002115369789473158, 0.0015056202643095773, 0.00240736823538107]"
XRP,"[0.0015251640742759503, 0.002422656947665696, 0.002470198680974298, 0.001813400301924235, 0.0039365027651765295]","[0.0021143004194490805, 0.002409339991589204, 0.002736834206442827, 0.0020837912424548767, 0.004258923229710847]","[0.0015349190918920027, 0.0022491300276371, 0.002434403858744473, 0.0018354457968703455, 0.00391091605731449]","[0.001563973546849476, 0.0022262889817433558, 0.00247915945130757, 0.0018637414502449125, 0.003963693544211694]","[0.002046046298301338, 0.0027727196765758946, 0.002836512453066774, 0.0020892937399974013, 0.005023494158917755]","[0.0015450071482517036, 0.0023093583401881165, 0.002473943675641078, 0.001826070781184115, 0.004004329946057321]","[0.0015889084232246764, 0.0026011570209771378, 0.002463324523897445, 0.0018589627900253449, 0.00392501649250071]","[0.0015360019026834603, 0.0027740230952137436, 0.0024273662334648883, 0.002009317287304649, 0.004569717842484245]","[0.0015469971769789346, 0.0024809225334171884, 0.002545211075003599, 0.0018248054782778302, 0.004528529582846533]","[0.002881705663005372, 0.0030527869345421724, 0.0026890851819661456, 0.0028161291563716315, 0.004629338561939193]","[0.0016450664835121435, 0.0025423814697711814, 0.0026316842994266246, 0.0018094110645861822, 0.004354213922132205]","[0.0015442773313304539, 0.0023008370760679714, 0.00260682673617202, 0.0020091405859455, 0.004139033900900832]","[0.0015379355541774529, 0.002235928925067981, 0.00246175648979795, 0.0018565872734392275, 0.003969529277871594]"
ADA,"[0.0019590187602273575, 0.0024035064635443614, 0.0033091148545265916, 0.0032236916376270834, 0.004654347188297089]","[0.0024926604422266557, 0.003010881979625793, 0.0036153934372074696, 0.0036483251283892034, 0.00490322483034099]","[0.0018918957669799713, 0.0023826714663875664, 0.0032278461528946188, 0.0032323042239303756, 0.004551428376848883]","[0.0018964760997438577, 0.002377971011782817, 0.0032450110885510995, 0.0032076025790513567, 0.004584758111058513]","[0.0020178472602254455, 0.002489331203091474, 0.003308115279366581, 0.003321916368010753, 0.004790642696426166]","[0.0019365079674295716, 0.0023765208742016776, 0.0032243618902694396, 0.0031950952690225896, 0.004695651578276867]","[0.0018864756477770831, 0.002380861032843648, 0.003272438399968653, 0.00318751847453981, 0.004833641299315309]","[0.0020211438661925955, 0.0023869830211331153, 0.0032528398810188672, 0.0031444726768251234, 0.004861134356428828]","[0.0019583066300046413, 0.0023923351845902287, 0.0033020492427813636, 0.0032116150887996505, 0.004932790388113081]","[0.003265965155998596, 0.0029504977468675104, 0.003732320846723701, 0.003541054614219325, 0.005633103518876001]","[0.0019274801003722447, 0.0024453584209037085, 0.003337267479452603, 0.003207552028385021, 0.0048625580854426975]","[0.001999002570537107, 0.0025555333545536473, 0.003337623383555589, 0.003416601326001915, 0.004810985488148646]","[0.0019025708179085535, 0.0023826399363100896, 0.0032554845312011836, 0.003195670972909825, 0.00455218289010531]"
DOGE,"[0.0026546523573731887, 0.002501230078300568, 0.0030536125376672634, 0.004014450517613586, 0.004253000611122145]","[0.0035823186987321795, 0.0028461368757818893, 0.0036933589669311275, 0.004676555207359948, 0.005339617610707136]","[0.002670579674467873, 0.0024915703209414165, 0.0030101773528446642, 0.003943331993533586, 0.00418810416236001]","[0.002667737798625906, 0.0025439065972948554, 0.0030418504917698584, 0.004013084697351183, 0.004281224529247615]","[0.0027938828815293124, 0.003250863834705543, 0.0033900972657269417, 0.004056071936263634, 0.004544788215336911]","[0.0029112249019006505, 0.002585167617784504, 0.0031545193395673406, 0.004068017979526555, 0.004408975576055345]","[0.003055137847101924, 0.002645816195703533, 0.0029971203705835914, 0.004189072540153397, 0.0042213069835952384]","[0.002684275802614727, 0.0025138112128163977, 0.003037478763419653, 0.003959377313594273, 0.004221523373830243]","[0.0028011487416640204, 0.002455403651742859, 0.0030704085078810473, 0.0040983239237797784, 0.004342392445613112]","[0.00531627110517191, 0.004297234876667195, 0.004173552855093322, 0.005295479682511275, 0.004714588202751813]","[0.002809241076528134, 0.0027485226571373205, 0.0035064472356872997, 0.004485846321644926, 0.004456810952686341]","[0.002683527250625611, 0.0025036525696230435, 0.003143883691946494, 0.004422345203387411, 0.0044091501418661114]","[0.0026497384657151405, 0.0024734014791755222, 0.0030042239218636578, 0.003979059224296191, 0.004226477803553185]"
MATIC,"[0.0015583411470159168, 0.002043104933455407, 0.00271713229067635, 0.002312868857249899, 0.003806196967661939]","[0.0019381278535694616, 0.002354679591989728, 0.0028438394429686773, 0.0024708960084152227, 0.004118104236825626]","[0.0015133353835075794, 0.001992993240247554, 0.002554023335818442, 0.0022459827261991296, 0.0036752288990680795]","[0.0015185473409489601, 0.001991518949971607, 0.0025746953315335043, 0.002294239051889709, 0.003767464446408827]","[0.0018642110349558476, 0.002214493926918037, 0.003024127172585226, 0.00274619509329401, 0.004184169116852707]","[0.001605286335684739, 0.0020617620877226715, 0.0027994626061405145, 0.0022644249424288334, 0.003710469395489383]","[0.0021368849708638476, 0.002133950347603379, 0.0027171020089893877, 0.0025268599118096827, 0.004013261680480788]","[0.0017768426146219892, 0.0021662157105784012, 0.002574950901625494, 0.0026602977889902124, 0.003841657433208806]","[0.001626330478478134, 0.0020302546674506954, 0.002933646596873032, 0.002560678889227239, 0.004369844027058466]","[0.0025378146772334458, 0.002377089978107303, 0.002937410546541031, 0.003864784932133152, 0.003946972760821403]","[0.001804583680949957, 0.0022730209012889174, 0.0028108991666441615, 0.0024335993696264126, 0.003737954735260442]","[0.0015278010903276426, 0.0020739445965558476, 0.0025595965972905685, 0.002345673940832975, 0.0038590058811743227]","[0.001533847520922106, 0.002015639718893358, 0.002573567599830411, 0.0022544528374727497, 0.003711988362768077]"
LINK,"[0.0016758158865086694, 0.0022294976945071783, 0.0025752435926496217, 0.002665737344242919, 0.004120891282416258]","[0.0019051907134463844, 0.0024260362478499007, 0.0028710883954422297, 0.0030207503779550735, 0.004324257117172413]","[0.0024257894085392157, 0.0022258611818675457, 0.0025314779992967346, 0.0028445591173985483, 0.0038636673468145683]","[0.0017204987747423373, 0.0022491206077028987, 0.0025656236106555794, 0.002716383660347039, 0.003949503354222996]","[0.0019367907982096543, 0.0023159391400113427, 0.0027516327983707163, 0.0029400022570812705, 0.004703106096217306]","[0.001726942534684315, 0.0022565965591376416, 0.0025120421385980006, 0.002663997983647495, 0.003976341906563238]","[0.0017459437152359, 0.002306005440430561, 0.002522953244672684, 0.0026627313078508054, 0.004016529685408288]","[0.0017151907175457217, 0.0022316960875210937, 0.002513395738997004, 0.002689981331920849, 0.003935831685274265]","[0.0017488383840093733, 0.002325275735093705, 0.002620821536213842, 0.0026301294542990196, 0.00387953404073579]","[0.002498843226936266, 0.0027764033034447444, 0.002794137411167601, 0.0029221323941988364, 0.004310556242685146]","[0.0021751114628463628, 0.002543231094258697, 0.002773784265593284, 0.0029694149214551453, 0.004271842964781868]","[0.0018210204578051714, 0.0022432779718852213, 0.0027242781971320035, 0.002772260871155856, 0.003976918687664775]","[0.0016830586249072053, 0.0022323260434626317, 0.002556582605971338, 0.002688012417511385, 0.0038712538062316616]"
ETC,"[0.0016210019101186631, 0.0026672924614125227, 0.005221286194726183, 0.0049361135801460985, 0.004012680513829088]","[0.001882612475641251, 0.002797869237165384, 0.005234906985749086, 0.0056724025390277035, 0.004411074512968798]","[0.0016121313948739713, 0.0026463771672395058, 0.004796818071741288, 0.004970379884666377, 0.003960870726452014]","[0.0016098940812118694, 0.0026755601894591923, 0.004791822249990456, 0.005029269132358484, 0.004160398414555853]","[0.002026945643528576, 0.0027761820657444133, 0.0051044835988361, 0.00576047459493445, 0.004196563528733561]","[0.0016906643001068763, 0.0026499855149158848, 0.004761871414912306, 0.004947730650177506, 0.004233138347777699]","[0.001607317488399826, 0.0026460358448168807, 0.004794317149055146, 0.004970853812551811, 0.003966591137431544]","[0.0016201810934754163, 0.0026467081723979503, 0.00475739661347129, 0.005058976468377206, 0.004100117165457591]","[0.00163567403737056, 0.002649122168455555, 0.004779107657198435, 0.00489603614307033, 0.004057040399292884]","[0.0028305233643697897, 0.003353618471837553, 0.004968585645632885, 0.00588764263416044, 0.004791239099940259]","[0.0017633309045224596, 0.002888556353668468, 0.005479915058081917, 0.005616917672224982, 0.004420654905446089]","[0.0016949283491443348, 0.0027858114598182603, 0.004621680491060505, 0.00495509095150487, 0.004414203711391083]","[0.0016114470175196368, 0.0026374330107096404, 0.004961605896563705, 0.004998770595176933, 0.003961906074304767]"
XLM,"[0.0018893736651368345, 0.0020230336370321293, 0.0022257492861107115, 0.0019733431098058, 0.002626564015026687]","[0.0021889227827543026, 0.002357183122308476, 0.0024720366789525664, 0.0022306670322084095, 0.002989638422842516]","[0.0018498663494939888, 0.00198586925627017, 0.002122505819278185, 0.002077630840025304, 0.0026111596325502804]","[0.0018908505930205547, 0.0019713072814895537, 0.0021814650072143455, 0.001968892578617332, 0.002637499575705762]","[0.0020062567929340627, 0.002252333396524205, 0.0023809522299130872, 0.0022281593955637453, 0.00287847968621952]","[0.001971419349803681, 0.0020467717159146177, 0.0021868393301188557, 0.001986247152538003, 0.002678823728269438]","[0.001857161638032997, 0.0019809273742548475, 0.0021248067540280704, 0.0019153536330620694, 0.002617394704116867]","[0.002125552466056355, 0.002025793062574922, 0.002162739824572303, 0.0019294703254271546, 0.002850247511636559]","[0.0020753958546745645, 0.00213135114297912, 0.002235315539901392, 0.002076276164828804, 0.0028191993237203553]","[0.0026513662004224755, 0.002501957812728787, 0.002775882920293933, 0.0028071439906812274, 0.0033028472095351516]","[0.0018406575858721775, 0.002006500585634659, 0.002149336367857887, 0.0019241402275129757, 0.0026168589505323318]","[0.0019121895165655116, 0.0020748618364650902, 0.0022351802976380048, 0.0020123449173696, 0.0026042657206965837]","[0.0018583952163557548, 0.0019812647998595626, 0.002124712824392001, 0.001891814299523182, 0.002618987277316079]"
