,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[17176.50743427111, 13824.758370032567, 653894.2669010649, 58635.68282692383, 284452.88705717534]","[6967.134354247978, 6452.987058399809, 8657.320727802844, 5033.951176265412, 10656.60082501795]","[3475.3837631315414, 4092.3747682400335, 9630.076026691584, 4914.97364879517, 12001.491946301421]","[5557.428067749225, 5841.894116013308, 9621.797356262745, 6873.820302090938, 10181.73909407394]","[9065.460529160417, 7223.57184364518, 8512.611029614929, 9042.936415737136, 9544.54090701511]","[5473.745724175281, 12463.402654194837, 9768.80296120245, 7765.273606659235, 11024.465221395742]","[147552.34947269416, 19424.689398133738, 20440.132326249997, 2197121.194398239, 1308566.2452149324]"
ETH,"[1392.8559748206978, 13354.805851166417, 4724.178398104902, 1470.3112388200818, 1339.0664407433337]","[178.06339117720825, 241.25444568186052, 381.5760894484171, 462.4194830112822, 612.0209521265062]","[219.4027968923666, 245.45232296099323, 404.00266312242894, 472.41725489483645, 634.2523861442492]","[118.45621579529903, 560.6575929849453, 333.685141605464, 340.3287986643437, 565.5142957218063]","[333.65537874998967, 987.3909599347257, 338.34293618868105, 545.8821561508313, 793.9671831293791]","[271.19618914673947, 1285.1130726004715, 574.3355631617007, 1411.2793932235772, 336.7126279254098]","[862.1401920715806, 873.9583277684394, 1011.2403497271525, 912.0331619470172, 572.5272338249497]"
BNB,"[160.82950477081172, 189.894268352725, 334.18234344950486, 95.82972047494815, 198.5046758532503]","[1303.6136436353388, 79.62111740942765, 40.93079448812189, 127.52424604174207, 69.04997525790276]","[123.52299348253135, 41.06572565213339, 37.00644150750542, 29.383352292533495, 49.907600783359264]","[98.09416277081525, 49.53390076717506, 45.12282006870462, 25.255827413966667, 69.70517096740011]","[181.4859123381459, 96.25902365560667, 130.3614542880227, 135.22153974191002, 28.668927191944814]","[46.00372363631915, 87.40916151865085, 332.6098650312087, 30.63310625867655, 54.28658409416504]","[322.93229253516483, 213.74706612287028, 226.53844912071807, 140.2005619207754, 142.67589062849075]"
XRP,"[0.24356918877807227, 0.187341484083967, 0.2751262210174068, 0.2943850769613829, 9.073022244198425]","[0.044676724424200766, 0.06525732190457258, 0.09819191164831007, 0.07904193938141299, 0.09241406039190972]","[0.0649106016032589, 0.05180759563059849, 0.09947697322618608, 0.6678631606399014, 0.18591429408938906]","[0.06411830170765812, 0.1051978444990764, 0.05793628701189282, 0.10018029060180257, 0.08931720459698848]","[0.0645815063720736, 0.11662906903738043, 0.16521736734892253, 0.12551444490720276, 0.09587276072283768]","[0.1060003393468671, 0.21197645415507319, 0.10564042274439223, 0.35204460199483667, 0.3491646019543138]","[0.7767072935817794, 0.2996431547934921, 0.1402070295331708, 0.302442713813219, 0.28798540967308]"
ADA,"[1.695778113571464, 0.2511980173071735, 0.17169823169138926, 1.5336075266385183, 0.11395683652636966]","[0.04880475040984538, 0.04909794126132439, 0.12982491027011994, 0.10225516289767463, 0.1285956438313883]","[0.09934208419307808, 0.048263310122889015, 0.09728262566801897, 0.0859908599447295, 0.12258949686367603]","[0.1337622695781828, 0.26634057100929287, 0.04069257732140491, 0.040556731620046825, 0.041681828261080786]","[0.05794422063601697, 0.04619853582697964, 0.12918694532421443, 0.12173150659073789, 0.1782140805450744]","[0.09064334388428784, 0.1304512106308248, 0.1740374174830457, 0.1508357718062924, 0.13555547827021694]","[0.1552316413395067, 0.12221424806205601, 0.18330009409682907, 0.08098820849604027, 0.9413440442179207]"
DOGE,"[0.650897642648634, 0.056573148023714756, 0.3908446826964511, 0.2574809946308604, 0.20306337524285925]","[0.04177961446121314, 0.04160495045392563, 0.01356292966031396, 0.012496256439307855, 0.012579103232877715]","[0.0771952618691315, 0.019335430085454172, 0.011400210002284918, 0.014540615913766914, 0.01830632124054633]","[0.030594985122514795, 0.016133694465734857, 0.014499789763682757, 0.018203783842580135, 0.0156899675236894]","[0.12957165567564052, 0.013294327011600096, 0.027928139159118775, 0.013592882949065287, 0.07343944937587493]","[0.05344537723589917, 0.048092814223950696, 0.07280533046692772, 0.0461281260510943, 0.02133206635976967]","[0.06771694024156404, 0.04163967329727653, 0.050652170064438756, 0.01731887238352534, 0.06679667445567922]"
MATIC,"[112.9182613697578, 0.5821824518042474, 0.9812214769923572, 0.5040454655829442, 0.8906210940427965]","[0.27210852656785733, 0.2988860774190797, 0.3287177128248914, 5.374844674321116, 0.9632601784104616]","[0.3445743400990425, 0.21094739471583804, 0.3443080406854165, 0.30632403814191267, 0.49110371252030594]","[546.9085335070986, 1.7197139807384785, 1.724426240305322, 174.4321145937574, 1620715.9357478414]","[0.24670032934612793, 0.592346804700975, 0.18393159671239562, 0.19727847150853078, 0.29663612674242085]","[0.3677801398531333, 2.310508039610632, 0.7795914194949055, 0.591284758682534, 0.420283038871974]","[1575.5394525345368, 6.358697280261322, 135.4176620967775, 1.0183500099673088, 6.555833832067747]"
LINK,"[51.42925592324487, 4.203103589314874, 2.7158841611337166, 5.802423518278443, 6.000758622055323]","[1.0860536586195473, 1.3107390657716906, 1.784402720669929, 1.537553467312118, 1.3540661489552845]","[0.9479949229440312, 0.752038399701847, 1.1916644441957955, 1.2416050347764804, 1.5318670305255353]","[0.9075606327584372, 0.7686830795521186, 1.5979204817597275, 1.2511941808238678, 3.214383474551736]","[0.8681299526199905, 4.799982829147273, 4.696436073916748, 1.71155264068194, 0.770380284553817]","[10.137540357952378, 5.226914302315006, 1.4139565192176935, 1.7384666258682007, 7.195291556599586]","[3.0636640671787556, 43.88653096838617, 1884.6803353424864, 1.2856433268260952, 51.12844157291773]"
ETC,"[21.74947032197158, 16.499278841338604, 5.871851063839095, 4.746848998617774, 8.587121437966488]","[4.391191282132171, 4.5939164398679235, 8.51413150717855, 10.589356310658067, 2.839486301623122]","[3.265054417073119, 7.755489914609634, 50.95021952026088, 151.32438391298516, 6.864303025308439]","[5.584110378145475, 3.664500449038707, 4.864397103986021, 2.989375820384281, 1.971743364388381]","[1.2571570257510385, 1.2359768332096748, 5.20221630564817, 6.596198096694064, 6.440618904199545]","[7.23649337726095, 9.634300507329186, 7.767267362843618, 3.7788924162883624, 11.140785191253247]","[10.63017887110579, 9.038533737900776, 6.975341721155063, 2.241928855893061, 7.677485691044066]"
XLM,"[0.02485481452202968, 0.04404269441775147, 0.39943856292176594, 0.04422227031860669, 0.06460829277891966]","[0.011191006051368094, 0.012619850430629817, 0.02321638937185948, 0.011122079648020382, 0.03290797352527803]","[0.018966482371757312, 0.019930531279006212, 0.033315838843807906, 0.014298774045977179, 0.013359392875295731]","[0.048417545810913974, 0.015019264019692197, 0.009240282979763636, 0.010637921526729047, 0.009377359091774558]","[0.014333608420171376, 0.011743178060230328, 0.032733916130111604, 0.024434949773441912, 0.04478187890097879]","[0.038179240627815074, 0.015179733079571073, 0.02397115473357553, 0.02808907520862286, 0.03371026160779902]","[0.017400945820969925, 0.06252173144707227, 0.04071263771285703, 1.4596463874959513, 0.033702147772151116]"
