,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[11921.956840300392, 463150.96034030983, 140529.25424332032, 425509.403748498, 17024.19882204789]","[730.4814918649041, 748.1647614700287, 693.8930072028322, 872.1428407715641, 1277.5793252280855]","[763.1383383883745, 940.2565324551525, 1013.3556572544067, 1268.2298376607225, 837.4894692735734]","[1860.4330443095237, 575.6879540869309, 785.8009222871134, 2123.1296572223278, 891.8462296694449]","[1179.9114282455582, 713.7107899099824, 929.4437180487611, 769.8104314563014, 1448.0390346881825]","[2358.955999681926, 4080.1765475281813, 3571.8741430006216, 4804.7600152621835, 7285.007618509907]","[18085.15434055665, 4144.295161104914, 6058.000325014145, 1932.7040054335484, 1385.1158624246739]"
ETH,"[13433.501596687738, 1525.5487381898183, 29443208.501924418, 1504.264783502786, 1557.2553656240084]","[45.40805154382054, 55.692194395293754, 51.5110013102351, 48.72958025281059, 53.38778172981159]","[55.67685416947112, 48.85332476548484, 82.45844688022753, 70.24422352151068, 73.60506901393613]","[63.16846542836894, 47.40280481308309, 78.62169324006761, 95.65731324622746, 429.17747311550033]","[71.47030043096096, 65.55640578666386, 159.63048739339075, 120.51992070741277, 73.95881336914653]","[127.02548389388583, 172.096458696704, 374.3235539873576, 783.3204131856143, 157.6534795214391]","[1454.2756617520956, 399.44097410722037, 1345.1244653684284, 82.83390874659422, 355.2891217168014]"
BNB,"[77.6992565871431, 17.437781353522404, 11.248240175274045, 31.932769616654312, 105.54539026204047]","[8.109021811688374, 12.114989972744707, 23.99271171226907, 31.843124350974005, 70.37068991113435]","[34.992981726331664, 9.07826882939808, 13.942229177421561, 24.850493534106025, 51.663238136745306]","[15.65626652427964, 69.77704580647203, 31.350321449114535, 84.61404951775447, 58.993834549187476]","[70.32244907129359, 114.31719887261373, 9.08001448065418, 81.29965805619322, 15.079308941839402]","[96.23674613848442, 128.9144628020996, 84.53301701959452, 155.0123591997628, 40.23158008370111]","[196.77247227753645, 120.65609867945373, 303.74055636043545, 19.621520433507197, 213.06776434375345]"
XRP,"[0.28583982688366516, 0.04181018621334717, 0.043741987369014586, 0.1753906546154806, 0.3751566440547446]","[0.07651139892839157, 0.06353402712576979, 0.10986638355064211, 0.09587185273528881, 0.13675689390397197]","[0.09016658693181365, 0.09887651819422388, 0.05489215616010844, 0.0832087970662892, 0.13594959905188916]","[0.08370511450685264, 0.09810067215488001, 0.08229660229649029, 0.08043801149196515, 0.09476171929042113]","[0.08659206519030935, 0.04867336587789611, 0.05208724051794743, 0.07509873156731882, 0.08965955534677343]","[0.07405743672514302, 0.05162015852762915, 0.16683519882657558, 0.03409683889655332, 0.06652264864616338]","[0.05590351254242673, 0.07246292287867825, 0.059488564811234684, 0.08557266545470955, 0.09043002936918035]"
ADA,"[0.06637194971016891, 0.23926141331328654, 0.7490689435644338, 0.03346904401318231, 0.346842196821089]","[0.027625188050945593, 0.012400144761183417, 0.028932441798739487, 0.017922456270094332, 0.0656271960489474]","[0.04628857708143519, 0.013028592948620374, 0.04480421273277294, 0.011328954547919648, 0.014858584963877979]","[0.046518042489833586, 0.03125124412416864, 0.03880777658105276, 0.013549710010167491, 0.012131514729615451]","[0.015608816983437393, 0.012435947441481715, 0.04488452393973038, 0.014813811279321666, 0.02710680879385455]","[0.0907774824960046, 0.060659219703889065, 0.021085088219471866, 0.03461715697480007, 0.1401914985439748]","[0.14729223152735918, 0.24004590413931162, 0.03961986391220852, 0.38425204102845867, 0.12706960438704268]"
DOGE,"[0.01373499325402353, 0.006536818479633072, 0.027508070949549726, 0.01880356503936986, 0.11779282342476675]","[0.016786507231631546, 0.01477498999262767, 0.013226362206722487, 0.00817332995168108, 0.008607330471677919]","[0.01518196233152333, 0.01090585765232019, 0.009472459723634221, 0.013910013568057874, 0.017530161498536864]","[0.011427275607124721, 0.00958842159453905, 0.013450972197107173, 0.011259025255904477, 0.01228789825623231]","[0.01991210440286367, 0.007554915770897935, 0.011562335835209568, 0.1762852971172796, 0.0155469515584589]","[0.010011670217194572, 0.013177503482360969, 0.011851319075729519, 0.006520199348132728, 0.026875646902646894]","[0.059618388525403444, 0.02254657056660285, 0.025815737967173305, 0.007452387287402458, 0.013843839782142521]"
MATIC,"[0.3414427831617696, 2.391434084347741, 0.8685445940566585, 0.6800445400890346, 0.35241896248794297]","[0.037179227513245705, 0.07098452622938238, 0.04597881285209697, 0.06287073734117304, 0.052088642440185275]","[0.3499124877882126, 0.03220714579171003, 0.02401859904470793, 0.1750679177004009, 0.02584226259390892]","[0.04541573202838686, 0.05837496114511175, 0.05320920103972019, 0.024317797361624198, 0.025279079879139167]","[0.21342084970151975, 0.4252057637997866, 0.034644280437431785, 0.0787858582662048, 0.11175048201503088]","[0.15535359638151416, 0.2562176349389665, 0.928813517036047, 0.14165933226851893, 0.7146736397518997]","[0.38891380864318764, 0.2882561842878056, 0.16624222447472947, 0.20435391511345513, 0.04273166622316777]"
LINK,"[3.7439150014423426, 0.9811090860232414, 5.862122935036038, 3.549461793914458, 6.7783075295917214]","[0.3320721481008417, 0.2822381920479499, 0.3244048785097071, 1.0996229665239123, 0.24465471418771004]","[0.4628005832919182, 0.30359401462094127, 0.5075573656936085, 0.6453233616655728, 0.6470185981946012]","[0.4268078933663657, 0.2845762633605042, 0.4539683053962932, 0.3050545126049858, 0.3909802532406765]","[1.5012968487384875, 0.5416358647975641, 0.3324890493607808, 0.5341701512448049, 1.7000586741087393]","[1.448250832219064, 1.419086409945256, 1.2141346236814285, 1.6198705416484278, 0.6550078050024165]","[5.089232237875812, 1.1722991082686205, 4.937336720158556, 0.9584012025711541, 3.6870257594294853]"
ETC,"[18.063753588359315, 1787.2968998046558, 43047.70339431803, 12.329610007653264, 9210.52055147377]","[1.1273279455597307, 1.7226039664494432, 2.25744701214532, 1.788592807732032, 3.139697763414788]","[2.381477868927057, 0.6032176037754832, 0.7850354300449901, 1.3291376821004592, 0.8973940352663894]","[1.8869235647518126, 0.664277876796192, 0.7069057981154382, 0.7235390303596761, 2.8588792188385783]","[0.995557677202663, 2.6842616730224718, 0.5014276705871724, 0.6888796272174353, 0.6941908001273305]","[3.869442271905104, 2.646075138586431, 1.9130483141389252, 1.7043491707024512, 2.0388597010086142]","[1.7991966901795777, 1.7156673872946022, 0.9258938835152558, 1.7849362273886864, 4.178251950103119]"
XLM,"[297.5916334707586, 663.5541505244306, 0.05096786102137451, 0.00683278844512598, 0.05313939946972355]","[0.019269044401195992, 0.014649145069543148, 0.012360777673292188, 0.014600688517786016, 0.01352716808268397]","[0.014923073224571487, 0.016026563652478835, 0.013660943329489491, 0.012864002258419752, 0.01336558261757099]","[0.011316376173793054, 0.023811508570760826, 0.013029616189163637, 0.0227735497128706, 0.011770963602752278]","[0.01202589742508435, 0.01576604719522533, 0.0174967099600402, 0.01067641828618742, 0.015425821234727181]","[0.017900556061034797, 0.017450333211072717, 0.013877588758294953, 0.023261041567970625, 0.02247013105830752]","[0.020074942582289132, 0.0349429762567471, 0.034450535350444636, 0.010128182151275303, 0.04589709368414551]"
