,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[23118.854542250014, 584.6383998419669, 6360.316927933131, 44718.336838706986, 4746.724169356511]","[98.54250887481525, 440.2874120397733, 167.06264703598637, 150.13782095151558, 113.47319735087659]","[41.544094932953165, 268.53422203952306, 235.41402806625712, 219.46414000974892, 132.76476665470258]","[936.7299101163287, 875.2236822355221, 395.32942362666853, 184.36243500334484, 610.1831492823711]","[1745.9850020403362, 4438.01568562144, 83.2567414418713, 1517.874254381571, 1330.099488443331]","[690.1602936194357, 210.3113242818934, 2731.7083657861053, 13789.057628221617, 94.8927158620161]","[28625.250296431084, 16563.369208949374, 35338.60203485088, 26900.074676441494, 3878065.2479137504]"
ETH,"[1161.965580903103, 417.2123406452574, 6117.934026956028, 1061.7777568020485, 587.4650543987542]","[60.98179313433168, 22.406946009732064, 30.567268740933688, 13.117726707768064, 41.52985636547585]","[64.22845401811136, 27.94201534885503, 15.091477635049634, 131.25427011022225, 71.20777036286816]","[64.60937031537847, 16.966613232557695, 3.3827319046288307, 4.246715688449416, 30.27156877229575]","[16.842094155636055, 27.98537036697402, 26.49367390470751, 17.78408234483829, 20.00614542324954]","[12.32651425077582, 60.65304623228096, 11.393674658618052, 45.906569237435896, 68.8627460177132]","[1826.8928026181638, 35101.40878565887, 10360.982746611018, 7281.333655877897, 264076.75603553525]"
BNB,"[47328738.64937217, 296.36157744701967, 325.07395518382293, 321.63778123273113, 324.79127352425013]","[59.57526309568826, 86.11444651884376, 66.14966330191868, 29.262072369173307, 89.08734800958558]","[1.3505946886799225, 0.3431395384722603, 1.3475166825263525, 1.7807234791693396, 2.4186498143123893]","[0.4020310416642076, 5.293769900812034, 1.7578842951702889, 0.3152095504839469, 1.5395231669898246]","[6.167596549365726, 0.7309672716625109, 2.9339921698335054, 7.375686947196137, 13.55695877849893]","[2.8809464166299987, 6.4030679996664235, 2.910960455672516, 6.032975602598493, 32.58919992651984]","[200.08123849141612, 191.85199988220634, 374.059992983337, 48.571720184311026, 15.950026087892246]"
XRP,"[0.5045510915753793, 80973.44781493707, 0.5056826137541999, 0.4786170228360029, 6.67020646203298e+16]","[0.0005911856577681732, 0.0012306565168975943, 0.00338639088839763, 0.0041761404414587385, 0.0006417570457439852]","[0.002151694003196846, 0.003177801914702592, 0.0027024831710084625, 0.0007536354688434528, 0.0008973533144821237]","[0.0015151684098742195, 0.005854395968721347, 0.004684409707288432, 0.006003538631431707, 0.007689028278851897]","[0.005204512472636462, 0.001339711870268024, 0.003989002248842258, 0.05544781048272903, 0.16842210472503522]","[0.08178603459871152, 0.022219332523870115, 0.02596255130659543, 0.019583638958058827, 0.09749788477966016]","[0.008796976885603335, 0.0066379815417627165, 0.026459274684499177, 0.004945915424420938, 0.007829082417184772]"
ADA,"[0.012954510831252802, 0.6420510685231133, 0.024501992591568756, 0.4007010379473588, 0.31159449657067556]","[0.0048811569295938, 0.004491094807364825, 0.0020845796360572403, 0.004737521109462992, 0.0013542745329487263]","[0.005113547724402519, 0.0011413952850661455, 0.0008477146969154342, 0.0030627192424085505, 0.0031050428699690067]","[0.0045816284748335405, 0.0013458144433787815, 0.004937761283378668, 0.004263227856844392, 0.01536231557393254]","[0.004239751974651835, 0.01626905518243497, 0.02411346023827579, 0.07137156088682423, 0.007994673183962223]","[0.013620288953488206, 0.014725709003377743, 0.011354990072757675, 0.05309998699573782, 0.03349001138126737]","[0.2421330170992406, 0.01341956059575363, 11.077701744433412, 0.29039136588534387, 0.5353058365505621]"
DOGE,"[0.0010872163459672932, 0.0031236621818302303, 0.04951233282407127, 0.0012430224443827486, 0.02461905719301138]","[0.0008741609910895833, 0.005298047822984984, 0.0039882566884938166, 0.003229881275849747, 0.0018465484774540595]","[0.0005404230228273813, 0.007796528862374528, 0.0001668528348339337, 0.0001439201614438422, 0.002808072479612312]","[0.003085131935515459, 0.002570682635907335, 0.0006598203017704951, 0.000619091131406971, 0.0010361573965662067]","[0.029898142388938533, 0.002253352947143397, 0.0033424381630608254, 0.0001640815731545102, 0.014113932895502656]","[0.02164840933136303, 0.0022740486203012534, 0.009202924817402324, 0.009943215075155052, 0.0030159681510089583]","[0.01681256916724056, 0.02822604310108225, 0.03576470823274974, 0.029983452493218703, 0.022805515691110497]"
MATIC,"[23.20036560365236, 32999.44887336712, 809007747301452.5, 0.21303305332828182, 563.9905688414052]","[0.015870961891825856, 0.009176037983967497, 0.44948740415490207, 0.054537428237651335, 0.14656725045880983]","[0.01346628653503585, 0.022804957372522368, 0.014479344408394655, 0.002976127426284239, 0.0021434708582317085]","[0.006774569396022596, 0.015777897453920293, 0.010808561144455631, 0.0011179976864327985, 0.013948589571363992]","[0.02576080569773955, 0.0028557944672910874, 0.02742342324889935, 0.005091816864608765, 0.008117453751965027]","[0.030621108262744005, 0.05222343250107853, 0.010536382007728847, 0.02380056724795044, 0.07583051036597446]","[2312.776506426985, 0.9115011910434244, 0.6422107471337392, 1.0813660538926795, 69.0023585327703]"
LINK,"[13.76704929562142, 5.177654647981378, 5.502605184803807, 0.28528981071873477, 5.094611315870316]","[0.09273849202892415, 0.018829313500286268, 0.1200841002761765, 0.0728896169270834, 0.2050061575141678]","[0.040013862971546146, 0.028798412720510237, 0.11297678548743743, 0.017511144434469057, 0.07126169819046715]","[0.19921014464830264, 0.05708782107830583, 0.05166077945731557, 0.3845748873342603, 0.2781354484293101]","[0.017663087483708588, 0.029628551446262294, 0.046069144389029267, 0.04527952791787689, 0.03370122397859819]","[0.3191901101966121, 0.12171113743946563, 0.2588403744399093, 0.07705724370583307, 0.06847124706319585]","[1.9513348329954125, 1.2703967617910779, 3.03585767641883, 1.898183621549975, 1.768480590416034]"
ETC,"[5.066360930176999, 6.431721197183397, 2.7314147346203645, 0.5460951259279756, 2.746547312016023]","[0.11024502708945375, 0.04001509976908332, 0.050944892379625684, 0.07738625036759615, 0.7802961318356378]","[0.04816822378895005, 0.08906766673660223, 0.2030238763101038, 0.8412679789302677, 1.4872655458054256]","[0.170195170506395, 1.0232412317550086, 0.24472292092390985, 1.744008626169331, 0.03634854040973053]","[0.21567104566773604, 0.08359492932571695, 0.05311644759861125, 0.883374643041295, 0.39023079231678925]","[1.1506571769992406, 2.7551744905539444, 0.7041940316247595, 1.0875914740513468, 0.3528199484626889]","[4.017751771105022, 2.4355194275268914, 0.2820017797910307, 0.8815276011880252, 0.4965585904909148]"
XLM,"[0.6933253560616475, 0.08413530132715286, 0.0957727824125439, 0.06119333457944767, 0.09424766147279773]","[0.004859341074680795, 0.0002823429820027304, 0.012312664775056967, 0.012885222810524203, 0.01856388365840322]","[0.0004979954163044322, 0.0018240581518571188, 0.0006494113193922421, 0.00022467085506228888, 0.0003369423089541146]","[0.0009072865426953215, 0.004115053745582092, 0.0020405948182142942, 0.006688765839828231, 0.004768835119185404]","[0.001613817151262691, 0.0017969834682858637, 0.0030282832682394967, 0.0006503818848826398, 0.0022606300355491986]","[0.005065295137640702, 0.0017408582362029668, 0.0047116056744582364, 0.0020468253100199216, 0.002006707493271255]","[0.006531258800796754, 0.01006691012506858, 0.0047827647714638166, 0.0001390905987967272, 0.0020409620529043587]"
