,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[8870411086.016436, 25736.62495225906, 221699990.1023846, 27898.783267114948, 21096433.671013854]","[447.4574299305765, 297.50182390996844, 374.06821496183767, 532.6123580183242, 305.6689440817507]","[468.3314143636042, 302.2724582267004, 588.4303270672252, 360.80584637659143, 655.5760801926634]","[330.6023272380971, 325.45143126565017, 365.0325760679601, 1251.5576811789815, 441.728683787163]","[289.3494799898033, 456.81055428806803, 323.8689366424397, 4066.848268245188, 985.2757451814878]","[367.2527495056155, 616.9841168196942, 1792.7744609163901, 487.24743183145756, 384.5627167971124]","[420.73440306328894, 1813.4276619157192, 1197.6765250295484, 2739.014016047027, 12764.624860710228]"
ETH,"[467.05934737004526, 88.609184834385, 840.5360361381497, 428.4136923069013, 3434.696317696413]","[87.91091600434189, 83.50874089778023, 69.69704773593568, 69.66893802286054, 399.6480344852569]","[108.6264757419831, 43.12760815447547, 64.98292576582965, 66.64660044661431, 39.96198217409316]","[70.0400338452292, 90.21799349781357, 55.539788184522656, 68.16892897160662, 45.52729811564422]","[54.486131663684894, 106.63265761562482, 109.61410239905275, 307.40081746467933, 186.9628024374587]","[42.71458376040762, 59.68586234116228, 110.20220819718959, 62.81159126131269, 128.84568042065493]","[258.05910624362184, 45.59240081786833, 209.44705798625793, 92.98784417232044, 141.8718571624653]"
BNB,"[130.53540460641764, 72.1933015874138, 195.78065270959027, 9.919103058538942, 87.19071887658914]","[6.103853405068576, 8.687556063554798, 5.227444596342539, 6.049467948171885, 6.392905255969655]","[7.392301333771946, 6.2776445766670195, 5.413499071733904, 4.6180116509978495, 5.841140459020047]","[16.20248924509047, 8.60470641577049, 4.834093810711241, 4.361098053812991, 4.4557129934752595]","[6.5854447177358395, 7.18710851799383, 5.109734662759597, 9.646330497689195, 6.71366546539792]","[23.39358434904849, 14.311855948843244, 16.257766489701503, 11.765258856833858, 7.430641310874528]","[16.38158093381071, 80.34089304750879, 54.60612046872077, 10.913609732274903, 60.389598545026494]"
XRP,"[0.8632040932806677, 0.1879441061395125, 11.344257424129655, 0.3746610792644672, 0.45131373496458727]","[0.022649193888523985, 0.01288338864541483, 0.009099246730505457, 0.015803422427406684, 0.007620623538704022]","[0.013027309701862996, 0.008441702315859475, 0.007862476276087159, 0.017565449101369587, 0.020864692985716866]","[0.022026536499031385, 0.01928331679225625, 0.016186148363066147, 0.008957091938781555, 0.033616127286255085]","[0.02060589272200986, 0.03372862793311252, 0.020728201973547158, 0.013188962459706289, 0.04761809854870964]","[0.025808105567495562, 0.01068485520453274, 0.02786467053254532, 0.378956430249771, 0.03008342648959575]","[0.12604224439515313, 0.20028373807173447, 0.17215135871316595, 0.02843723376307526, 0.05484130224986008]"
ADA,"[0.42408490155061096, 0.30364734235113994, 0.40243567165534094, 11.628018020328804, 3.612907327292868]","[0.025774351496086343, 0.006518331887044864, 0.007243355135403831, 0.05410675971041668, 0.020254785437387655]","[0.01584525504650283, 0.011407152736165776, 0.013933641882509964, 0.015293583924417015, 0.009892063823824451]","[0.009270193603292428, 0.011035553367472462, 0.008146100532232387, 0.00900980568424264, 0.007281690635661375]","[0.008517923184334957, 0.006315371609589854, 0.011645141846138223, 0.028800224727830104, 0.006592659850711205]","[0.006385342000662364, 0.02681236759142065, 0.013247100430029595, 0.02174034034990607, 0.05169983151056893]","[0.1733434840462006, 0.6992473149994116, 0.4304218350824341, 0.08040028754044214, 0.33648667321039394]"
DOGE,"[0.013297135431891236, 0.06403370868094448, 0.07370534522904179, 1.097886225066246, 0.06554555829931118]","[0.0025257302190700784, 0.004938216459320358, 0.001861383549462816, 0.0017243643877648514, 0.0023128854687031165]","[0.005887166032158154, 0.0019410196710085642, 0.0021710401705414446, 0.002772556545539231, 0.021224267155747517]","[0.002962757030897518, 0.0025898561699565785, 0.002353590418581596, 0.002140734933604064, 0.0020353822511744377]","[0.009890674246816826, 0.0021325727391893535, 0.001970237560925489, 0.005546127662677373, 0.003940551870331027]","[0.0024125750169034133, 0.0032350971711086543, 0.0019209910567137545, 0.010079303705085328, 0.0022855516800489523]","[0.009410191421606318, 0.03460192924571715, 0.017013980436340864, 0.046845715907771576, 0.006221324798263799]"
MATIC,"[1.308319095278189, 5.839966959534048, 0.3955595033458357, 0.6607662526551757, 3.922017799696212]","[0.02848216095779097, 0.029060509937665045, 0.03054752529513823, 0.03303496285383939, 0.03282177352363198]","[0.0572165276335445, 0.06124887930693751, 0.02969693329388716, 0.03673115376127444, 0.02694787467295647]","[0.06127125040300188, 0.03173247693646587, 0.057289746267425785, 0.04682153059430707, 0.049647062039253786]","[0.07330083783203738, 0.056902941330510486, 0.053635699714393914, 0.03421710678089762, 0.05701432351661212]","[0.0389139551201827, 0.04891051813014943, 0.01735584321276837, 0.7835570927314776, 0.9351384406233413]","[0.028614521373817106, 0.04680319791258447, 0.033222241192954236, 0.07353958413178542, 0.028126658584247618]"
LINK,"[4.1382515670281785, 6.386534221393581, 122.20259736982857, 3.716439863077575, 1139.9681303110337]","[0.22642362006838804, 0.2823744046644146, 0.2400102017931621, 0.20215833056320182, 0.3160858561520767]","[0.35169520263510273, 0.24010764813140362, 0.47797956762447297, 0.19779638692898963, 0.38779493880046434]","[0.36455043462860864, 0.24151656358229426, 0.2545130412524223, 0.16656984696152455, 0.30531561588302164]","[0.140643064703875, 0.3102868563074662, 0.3886520406817701, 1.3022282101676423, 0.2883657451209787]","[0.13761847375112546, 0.334623900545589, 0.1650224344233217, 0.1944093335326251, 14.204182289205013]","[0.34506378197310683, 0.6035016764386844, 0.3375442823879223, 0.15811726719853925, 0.16168362141952142]"
ETC,"[1.819506499522849, 6.39727277180286, 19.02572547287907, 16.45647827068831, 11.59406288235834]","[0.3564774051425735, 0.3516545899082967, 0.34924637026979033, 0.3974681000264246, 0.35874076154549966]","[0.5333429530028734, 1.6543985641362127, 0.5515094888477465, 3.0844307839171914, 0.8154455893196928]","[0.42431587477921934, 0.3811984885397723, 0.3846873237764308, 0.3898744181279597, 0.8732507055844898]","[0.9580010599451844, 0.35203374894364836, 5.783279568254372, 10.583046005771912, 0.43977905031003545]","[1.7222138207155213, 2.999324728262785, 0.8936249501141981, 1.1735235925411729, 0.6128650050635923]","[0.6155564493126963, 6.147205521546532, 8.531606444914594, 2.469745505548653, 3.7307450069307175]"
XLM,"[0.04519468450378232, 0.059240346551969705, 0.002119655342931309, 0.19758414769306537, 0.013060159399801647]","[0.0063705346249720044, 0.002290576365822826, 0.004198199510008329, 0.0015852655468299357, 0.0016523396577685105]","[0.007252866700539795, 0.0038258687832913372, 0.0014729143516979632, 0.003217660713553587, 0.0017649166869416828]","[0.001301309589467876, 0.0017485905143019382, 0.0020689111293857396, 0.0014999353812001899, 0.001964678765099963]","[0.0011271352515286625, 0.004152622193852476, 0.010724198821826899, 0.0046727172978204634, 0.0014475961315181301]","[0.0008706876188740213, 0.005892482508653783, 0.016384882776175183, 0.03808659825995985, 0.018499127039386113]","[0.0462005270751994, 0.13508734869135677, 0.0740815406907834, 0.04265350910806272, 0.009866305581191722]"
