,train_volatility_class,test_volatility_class,train_volatility,test_volatility
BTC,"['low', 'low', 'low', 'low', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']","[0.007823338297854822, 0.005864791886927991, 0.00733381917837506, 0.009102191798508016, 0.010712676640869724]","[0.004648926767052761, 0.011979083436352825, 0.010678565192118466, 0.009480381294137889, 0.010555149120651143]"
ETH,"['normal', 'low', 'low', 'low', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","[0.010035654285425927, 0.008389403917717059, 0.008526754505250693, 0.009170925246095989, 0.011733438188332475]","[0.007327240227362321, 0.010275058403838862, 0.009910477107086781, 0.015014779054071782, 0.021361477787210845]"
BNB,"['low', 'low', 'low', 'low', 'low']","['low', 'low', 'normal', 'low', 'normal']","[0.0054602211598591644, 0.004372257091550391, 0.004517322729475858, 0.006969793934179456, 0.008647223826618092]","[0.00356697429151419, 0.006208952816658028, 0.011133454694366149, 0.0085992639688301, 0.012252590125915069]"
XRP,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","[0.014098473485158044, 0.011198347896669928, 0.009808082066078947, 0.010643052164138835, 0.011636065630757917]","[0.0077351651625290185, 0.01048486504514415, 0.013709126284743337, 0.010714205562386258, 0.019523072064526303]"
ADA,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'high', 'high', 'high']","[0.013494169830727787, 0.01135832370663083, 0.010808484362087676, 0.012749657377489726, 0.015510312523952761]","[0.00959648543205197, 0.011925763261031317, 0.01672672343938589, 0.01787845087144107, 0.024530866341558304]"
DOGE,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']","[0.027293074000565364, 0.0219239456310065, 0.01389031086331972, 0.014016425996886569, 0.015989185766458438]","[0.013712242344077858, 0.013196462679155814, 0.015140572967426035, 0.01963052165279347, 0.021493120598008248]"
MATIC,"['normal', 'low', 'low', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","[0.011231325621262367, 0.009264607104865001, 0.008839454823942678, 0.010161821384799475, 0.012011929649568286]","[0.007741841841493765, 0.010280028882778656, 0.01246359343012601, 0.013292166635800193, 0.018749113675042853]"
LINK,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","[0.012297945780211074, 0.010104350845551934, 0.009735422095154884, 0.010799713543826212, 0.013026684983220531]","[0.00862706946755355, 0.010950612461864274, 0.012821458702060815, 0.015307983785736504, 0.02014013933152008]"
ETC,"['normal', 'normal', 'low', 'normal', 'high']","['low', 'normal', 'high', 'high', 'high']","[0.01204566193164947, 0.009945732973449679, 0.009366327969579986, 0.014757349156024755, 0.021084524287237155]","[0.008454065439635923, 0.01105109724261698, 0.024766884785821362, 0.027435590833273123, 0.020969959496165834]"
XLM,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.01131828060335947, 0.010375306703693106, 0.009853048641712997, 0.010265456458680138, 0.010675135776585947]","[0.00960743028543877, 0.010127785693409297, 0.011061153397192346, 0.010836468239156195, 0.013497983749705796]"
