,train_volatility_class,test_volatility_class,train_volatility,test_volatility
LTC,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","[0.011630534855098037, 0.009230904590408774, 0.010248941365165702, 0.012826033876766127, 0.01461338788750842]","[0.007906357989531198, 0.014392643993068242, 0.016179099647698942, 0.013268420021758064, 0.020794493477173246]"
TRX,"['low', 'low', 'low', 'normal', 'normal']","['low', 'low', 'high', 'normal', 'normal']","[0.008532515421256536, 0.007214030393639094, 0.006332121605515693, 0.011062280666601903, 0.012576772732737152]","[0.006019732547872796, 0.006553837449645108, 0.02061327200228781, 0.010563208746278543, 0.010945197918595238]"
ATOM,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']","[0.013375067937200972, 0.011175554915914267, 0.009699554653582047, 0.011041763475390562, 0.012916552423701674]","[0.008120245058281414, 0.010131632607952567, 0.0148734127599377, 0.013744611903214753, 0.021444861960463933]"
XMR,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']","[0.010086469615121612, 0.009001762286950982, 0.009424650199175344, 0.01039688205674978, 0.011101331371587192]","[0.00790252741420554, 0.011980049498620412, 0.011308069257423385, 0.01001587535871778, 0.011853150688610193]"
VET,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']","[0.01682543861810693, 0.01493124078982497, 0.011821450648470596, 0.012439754199603371, 0.013307304978784485]","[0.01181779152250481, 0.012390335775643194, 0.013111135300662104, 0.014420443860048161, 0.017440821628253132]"
ALGO,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']","[0.013899132947834982, 0.012587151424382954, 0.011467491938224375, 0.012465867531507245, 0.014071778230835108]","[0.010963327706007598, 0.011843237482258661, 0.014591037406255477, 0.01578105980399119, 0.01881466536878171]"
EOS,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']","[0.013347065211364813, 0.012933835184050502, 0.01188742658765884, 0.01333933439488624, 0.016027310424675555]","[0.01165423990939613, 0.013738731887083192, 0.014625031388179397, 0.019718167998764073, 0.018752708287813804]"
CHZ,"['high', 'high', 'high', 'high', 'normal']","['high', 'normal', 'high', 'normal', 'high']","[0.026001803917722315, 0.025882079761044806, 0.022384701761144068, 0.01911688531390386, 0.01618274528114047]","[0.024718254029013665, 0.014837360780195626, 0.01779504113250229, 0.015915833930723506, 0.018301474951829513]"
IOTA,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']","[0.019797381836964757, 0.018276401281986897, 0.013900822718605413, 0.0136667933589346, 0.01416400071642806]","[0.01404179420581227, 0.012687784819992316, 0.014270801050999218, 0.015533416278292645, 0.016909579471244402]"
NEO,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'high', 'normal', 'high']","[0.017994924968922413, 0.01735827593514633, 0.01357685174091385, 0.016016731089053025, 0.016571421537847505]","[0.013129747952937266, 0.015117898812551172, 0.01980254650167064, 0.014793819299320712, 0.0203400553377336]"
XTZ,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']","[0.015263535803920533, 0.013147046431709511, 0.012100231363570866, 0.013383109155331575, 0.014862698486522228]","[0.009866338298475738, 0.016130410948082242, 0.014152578219436749, 0.014305106292047688, 0.01662685834936146]"
