,train_volatility_class,test_volatility_class,train_volatility,test_volatility
BTC,"['normal', 'normal', 'normal', 'low', 'low']","['low', 'low', 'low', 'low', 'low']","[0.21344373477840684, 0.2252270674790046, 0.20833129882639373, 0.1935056057130395, 0.18694232423854878]","[0.18912856041566425, 0.19211256937090873, 0.19927568735254547, 0.1694387159921921, 0.1369730101139219]"
ETH,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.30011933930760865, 0.29757487232824487, 0.2699538002985817, 0.24095457895582564, 0.2473251504286535]","[0.23434696890862922, 0.22933557892084455, 0.25918118903800325, 0.2534586833271127, 0.15888866828667225]"
BNB,"['high', 'normal', 'normal', 'normal', 'low']","['normal', 'normal', 'normal', 'low', 'low']","[0.36533326566903157, 0.35215017712264113, 0.2910608037368885, 0.22544601541753734, 0.20604408764726706]","[0.23414805275061135, 0.2159826732929538, 0.2262073202090468, 0.17594226943980057, 0.15270179114799654]"
XRP,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.4355886368298324, 0.4537074396328308, 0.34756631508606356, 0.2544544992415404, 0.24152259120266228]","[0.2818639982539171, 0.2469020796201967, 0.23459741985050744, 0.24306827413728266, 0.16961127974571205]"
ADA,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.3649011125709965, 0.35411018540278844, 0.30343953608574953, 0.2807028560483463, 0.2684588880772526]","[0.25199529193521647, 0.27580529291222095, 0.3143079832976017, 0.21526338802193515, 0.18871761099634166]"
DOGE,"['high', 'high', 'high', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.5724971149290369, 0.5968650540313755, 0.40226427071250415, 0.2863959087422388, 0.28650775179211185]","[0.3044323183355319, 0.23069746285494908, 0.32405794503623536, 0.30476784748515096, 0.2083295509944486]"
MATIC,"['high', 'high', 'high', 'normal', 'normal']","['high', 'normal', 'high', 'normal', 'normal']","[0.4885126003002649, 0.49632583101615296, 0.43894450079953595, 0.35676093622163635, 0.33900673277030036]","[0.36549280910459636, 0.33820208213941455, 0.3665879174208981, 0.31223019875058833, 0.22194974672251708]"
LINK,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.4141556102261078, 0.38324006764665663, 0.35812352841223755, 0.3086569215036273, 0.2938032900502957]","[0.3104467327461723, 0.2993524562675365, 0.31617157549717284, 0.2658858383861777, 0.18902156048299568]"
ETC,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.3771499466952172, 0.3902198111238898, 0.35162011991997233, 0.2845752952633341, 0.31279389701104254]","[0.25508059643032144, 0.24796052967191248, 0.35068475968776824, 0.3397364016734469, 0.22592832390434228]"
XLM,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","[0.39531215259047714, 0.40501516482159533, 0.309973173272122, 0.25597235271080865, 0.2312813525775621]","[0.2819768346346869, 0.2372500551413197, 0.24869016835641938, 0.20790383423494715, 0.1489561624928583]"
