,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.0004605218357392094, 0.0005191939440222196, 0.000408893162040743, 0.0004484183640730005, 0.00024841117850170195]","[0.0004471149695430054, 0.0004954493743025889, 0.000380741619440191, 0.0004076267764662013, 0.00024550647785629933]","[0.00044682802137682514, 0.0004959670876176287, 0.00038073704909324425, 0.00040731196964867086, 0.0002451905528916919]","[0.00045421019150706024, 0.0004954640591737491, 0.0003855563700887924, 0.0004088957669894691, 0.00024647411750203485]","[0.04496969510627893, 0.005693616241694397, 0.0031468761491229734, 0.0015996726971086144, 0.03872241292762141]","[0.0004861553249481135, 0.0005283985955034223, 0.00042146110856881934, 0.0004230750577529947, 0.0002759942371524823]","[0.00044555081027496406, 0.000499614407982441, 0.0003814902529413748, 0.0004107129497708369, 0.000248659491275169]","[0.0005092809348065783, 0.0005070953507959846, 0.0006659078447026464, 0.00043182683704629757, 0.00030181819166706864]","[0.0025850164591799474, 0.0019020254769264416, 0.0004232974612162212, 0.0027209338105307745, 0.002063199057976459]","[0.0031818435426745517, 0.02561014662337131, 0.0018243635546146882, 0.0006705854631612125, 0.002826118535700431]","[0.007064795098856957, 0.009586798230002006, 0.020344629961011683, 0.018482600782530074, 0.03174689960336901]","[0.0004499835855484389, 0.0005037883222083578, 0.0003826400026433974, 0.0004056783753782884, 0.0002420558099602259]","[0.00044741899541200195, 0.0004981656244990733, 0.0003878793475072222, 0.0004065835447311156, 0.0002463799365124239]"
ETH,"[0.0007254506852772571, 0.0009246145203214788, 0.0005555139708448486, 0.0007427968878784513, 0.0003635662998483064]","[0.0006867408620325778, 0.0009350971215849216, 0.0005342218718180524, 0.0007445032019659457, 0.00035524365877971534]","[0.0006866417894977401, 0.0009354439442965521, 0.0005329255901882739, 0.0007446792822952479, 0.000355055022235609]","[0.0007000130405246783, 0.0009325061157063897, 0.0005381805072405548, 0.0007528708120259149, 0.0003704686989496977]","[0.008899280484372737, 0.023803921313754577, 0.026161661294569934, 0.004890431963626487, 0.005704934554497138]","[0.0006924345863111611, 0.0009546835860595935, 0.000544803688714637, 0.0008457632483357295, 0.0003555469697189568]","[0.0006862787110014666, 0.0036370209952725423, 0.0005562497358443804, 0.0011942418949142221, 0.001551631083897515]","[0.0007196079438847978, 0.0009933765657610877, 0.0006288631596247735, 0.0007512150349306721, 0.0006798711254932325]","[0.000755184470893764, 0.0009391493572510265, 0.0005762874286724327, 0.0025888972094875013, 0.00047082590843551986]","[0.0016763463919371997, 0.0018041412390420108, 0.0011577480437440085, 0.003189416283180647, 0.00920840000283588]","[0.01960433019348075, 0.004426777687860068, 0.014899693517332042, 0.0345222970827255, 0.03517192928617604]","[0.0006874978528684091, 0.0009607373715556946, 0.0005317195613267892, 0.0007462858141080315, 0.0003573328472446457]","[0.0006945121285238632, 0.0009378223440908596, 0.0005394134060583567, 0.0007482671909715635, 0.0003590156191188283]"
BNB,"[0.0004200893702800636, 0.0004537087629601594, 0.0004308444460582741, 0.0005257539258806719, 0.00031345773750667753]","[0.0004147900182153454, 0.00044151337605922, 0.0004277825304026098, 0.0005249403941210023, 0.00031394409109146085]","[0.00041437335770641717, 0.00044172970428585985, 0.0004277073572941841, 0.0005249394954635926, 0.000313880843911173]","[0.0004230800464720058, 0.0004423734366978495, 0.0004282993632574125, 0.000528292781815179, 0.00031455932635223035]","[0.49253170136869373, 0.012025416617375578, 0.046296626243364995, 0.1584112846509855, 0.2662567984177644]","[0.008405896453165022, 0.007562794596856865, 0.0042609062811316345, 0.002312815440017146, 0.0005021868294998322]","[0.00042177017940741587, 0.00044084711727390713, 0.0004365851355116746, 0.0005247024882951071, 0.00031398889629096193]","[0.0004160966529730258, 0.000445312484866809, 0.0004998551941700886, 0.0005549843619603003, 0.0003348773812738737]","[0.0004519513455707957, 0.0004643525078582541, 0.0013480031071545875, 0.0005358975129697527, 0.0014061621488295729]","[0.0021563670142446356, 0.0015987263305676934, 0.003021175660701178, 0.001327727076978734, 0.0035428891527424177]","[0.0025184768848006533, 0.0006236191541397516, 0.0025848787480104414, 0.005349609718615825, 0.006240417360952705]","[0.000409984383916668, 0.0004550121692775, 0.0004264234086636274, 0.0005253025913591745, 0.0003133425834869826]","[0.00041298329894502744, 0.0004429613407563261, 0.00042834482893717654, 0.0005302974156456295, 0.0003154515428968932]"
XRP,"[0.000592768231568753, 0.0008328855722133908, 0.0006226087852568454, 0.0009491656277509088, 0.0005371289880139199]","[0.0005143545593620635, 0.0006472697012621805, 0.000572610475470882, 0.0009443402335695712, 0.00041978948025346124]","[0.0005140674307348174, 0.0006481283063594798, 0.0005725635921510489, 0.0009441447808024749, 0.00041981727728887573]","[0.0005262966744457806, 0.0006567142734408731, 0.0005830133755275373, 0.0009474416846507873, 0.0004290340026337995]","[0.0652035662166979, 0.0028578690246248415, 0.19323534751876098, 0.15571578032123656, 0.2613014594998024]","[0.0005716077736934054, 0.000653142902711023, 0.0005695153353062298, 0.0009454524327806882, 0.00043516357492911996]","[0.0005228896551486091, 0.0006473936866644569, 0.0005927560206245752, 0.0009561060638278424, 0.0004312374568223579]","[0.0005135135683294147, 0.0006457773292306594, 0.0007867246312321473, 0.0027276397495704925, 0.0017384765723048663]","[0.001837730057218668, 0.0023808047226336424, 0.00064315678166124, 0.0009548930141975352, 0.0008786020023312399]","[0.005415518430224143, 0.0066374203628800305, 0.0062030794232801984, 0.005225034275034007, 0.004593567524208812]","[0.0012575585833016851, 0.0006627077485501586, 0.0013575017540737797, 0.001160547637204142, 0.00047463890661875196]","[0.0005439227230999361, 0.0006572053380683697, 0.0005694248779481253, 0.0009474499287948355, 0.00042463327971925617]","[0.0005087941448911783, 0.0006456092903890107, 0.0005716528788228454, 0.0009471950905121687, 0.00042192526618811704]"
ADA,"[0.0007569528583940843, 0.0007666432234534748, 0.0006801935860678475, 0.0009366673197447074, 0.0006280060256161643]","[0.000751945587177292, 0.0007617196402197863, 0.0006653167411135615, 0.0009472821189214388, 0.0005934064137550497]","[0.0007506140560830882, 0.0007621815327774286, 0.0006670269582205982, 0.0009478208607876673, 0.0005940948798206881]","[0.0007636437539849477, 0.0007678583735539947, 0.0006554767026555205, 0.0009622338712538619, 0.0006089723665640526]","[0.021296764898091358, 0.06952659039350513, 0.05427499705197733, 0.002027537352571569, 0.030152440075525363]","[0.0008223017306823873, 0.0007609847387409903, 0.0006826028802290586, 0.0009449902908587728, 0.0008585300793418723]","[0.0007492237125370184, 0.0007628257368940129, 0.0006955320261161983, 0.0009395414743485498, 0.0006159853859671231]","[0.0008507890447817686, 0.0008810908871783018, 0.0010914303554229708, 0.0010365194710293354, 0.001005392846703664]","[0.0010914509697886286, 0.002028791568571998, 0.000751742216701054, 0.0031711517320601344, 0.0006059297723042405]","[0.0034563350200981936, 0.002290657852437362, 0.0024128430157588274, 0.0028325843750625457, 0.0024094277559284327]","[0.0010861462301784402, 0.010933851868104517, 0.021651442527575445, 0.008550077882656465, 0.0023994903187831377]","[0.000757481830576926, 0.0007632796823748564, 0.0006670130877630601, 0.0009492123787425274, 0.0005931080062759502]","[0.0007618849308986635, 0.0007648919052353418, 0.0006778992140508576, 0.0009491681472928821, 0.0006008057751437214]"
DOGE,"[0.0009615332737097582, 0.000796734669115235, 0.0012148501888246228, 0.0012225173173784588, 0.0007196648038715833]","[0.0008863461132714131, 0.0007222110494989551, 0.0010677124286791754, 0.0010791688256938223, 0.0005258309999396716]","[0.0008864497733543245, 0.0007232575352880098, 0.001067734008866903, 0.0010789069910110455, 0.0005256760024605404]","[0.0011832054576868863, 0.001001541896478233, 0.0011580938611494963, 0.0012125230150676492, 0.0006664852023063686]","[0.008777788789536807, 0.0015648028829735768, 0.01712658159163662, 0.005368148794277121, 0.00861537292071039]","[0.0010336591737135693, 0.0007295365659941687, 0.0010678156106022109, 0.0010752098300215506, 0.0005697849644171859]","[0.001013766523392461, 0.0009855229666895914, 0.0011138602917239308, 0.0011454267255976835, 0.0005460315163190408]","[0.0009270844923255637, 0.0007563645824740261, 0.00106938932980626, 0.0010881595152079932, 0.0005317203412170921]","[0.008658005398449034, 0.0011867520792792532, 0.009135634255011684, 0.018738295325565448, 0.004242157772786729]","[0.00763458255367522, 0.004184977604059147, 0.007870781689176421, 0.013641614677390957, 0.009543263595292107]","[0.003436483931763047, 0.005618743404111881, 0.006671232326660973, 0.0020474535251913954, 0.00118357408345789]","[0.000888321383800339, 0.0007215835118760999, 0.0010658023711334974, 0.001079797103451228, 0.0005357814464268406]","[0.0008966090414281404, 0.0007189356467698533, 0.0010934867292650959, 0.0010758028108572252, 0.0005263959783595449]"
MATIC,"[0.0006487874061772884, 0.000653851499093261, 0.0006657844265236181, 0.0008335840781081659, 0.0004705454085001047]","[0.0006177778889089613, 0.0006283202085375549, 0.0006595516868094559, 0.0008005386863120731, 0.0004344331250987766]","[0.0006174671164779238, 0.0006283276277914838, 0.0006587093122161928, 0.0008004092165498504, 0.00043461038992402]","[0.0006370272751329354, 0.0006452443160941381, 0.0006663994157842059, 0.0008104135819528268, 0.0004433103131781116]","[0.038942234298931754, 0.029315845961378102, 0.019806062407175612, 0.032086646083806784, 0.0015656228043003705]","[0.000628862967644196, 0.0006314828400555534, 0.004041843941716099, 0.014410732409960368, 0.0037655994668101232]","[0.0008733992712007606, 0.0006563536166120468, 0.0006662203046775423, 0.00083210597256042, 0.0005089824716990718]","[0.0006188223504680899, 0.0006360130579829469, 0.000994463571452143, 0.0007988487732758791, 0.000436329051979881]","[0.0009363655118494145, 0.0007032423622188729, 0.0006531788283948794, 0.0007920401703937211, 0.0005274401463738586]","[0.003469880063611107, 0.004241470749211027, 0.0019666391765302527, 0.002498847847867122, 0.002710142820716988]","[0.0011421416207796876, 0.08920920696888208, 0.05007031242954791, 0.04134335013665385, 0.11072605035446564]","[0.0006562056646571499, 0.0006444292377178845, 0.0006621948608109513, 0.0008076637101374479, 0.00043584768333473656]","[0.0006209070066037767, 0.0006329883503733074, 0.0006610790431547569, 0.0008069257572805396, 0.0004355074833103785]"
LINK,"[0.0008346830537532193, 0.0008900001374611687, 0.0006804604541730712, 0.0010692948522150816, 0.0005191643336510114]","[0.0008068418045987777, 0.0008655480272717413, 0.000659427330509754, 0.0010569227545512044, 0.0005068460598634238]","[0.0008067150810688839, 0.0008652684673266986, 0.0006571833860624966, 0.0010568065815853935, 0.0005057636679687623]","[0.0009145129602068134, 0.0009073001906012807, 0.0006781906204658285, 0.001117499105653595, 0.0005484017541969334]","[0.0336895724741936, 0.0026458694132714565, 0.05791855029553837, 0.04205636018670866, 0.017236915525513253]","[0.0008927691485944292, 0.0009902999332050827, 0.0008491468232099744, 0.0010524083788465298, 0.0006897010604524838]","[0.0011230692687509256, 0.0009438548196744858, 0.000654866034653982, 0.0010507937607410654, 0.0005192367761101417]","[0.0008142935600428148, 0.0008876737459430567, 0.0006642520752075099, 0.0010889271795440805, 0.000630366205381732]","[0.0008016840163670569, 0.000875316695654222, 0.0006503300787428653, 0.001054322445576057, 0.001065169376051314]","[0.10037269509270921, 0.0020040668101958775, 0.0013148760373774121, 0.0012939707023814572, 0.020950850151881466]","[0.004675774257314617, 0.0014886416274062426, 0.0018268656430663695, 0.005863619784685888, 0.009691101011114308]","[0.0008040826641611845, 0.000871271274928615, 0.0006554754631123789, 0.0010684590981142454, 0.0005219926333256195]","[0.0008070723307173699, 0.0008658824401211111, 0.0006554271691465252, 0.0010583804915190198, 0.000511643333992996]"
ETC,"[0.0009666720871654692, 0.0008130870221368696, 0.0008909195828882741, 0.0010979950688135578, 0.0005880919834963751]","[0.0008363486021194291, 0.0008009183088525602, 0.0008198460629549529, 0.000987471155576965, 0.0005345541992060255]","[0.000835785123561926, 0.000800872378464626, 0.0008195859609050948, 0.0009883259601457214, 0.0005341731021801596]","[0.0008553732039036571, 0.0008042332297975225, 0.0008256545493602944, 0.0009922815949867673, 0.0005397565707033017]","[0.008090896707703481, 0.003417989871146704, 0.0031639156379523027, 0.006132542753203608, 0.007263403789058686]","[0.0008249652322238694, 0.0007919454009495583, 0.0008669025163028884, 0.000990692200916807, 0.0005355926995291912]","[0.0008400202378821311, 0.0008750086091879283, 0.0009083027133134411, 0.001045781074839974, 0.0007390064773650524]","[0.0008358247678280838, 0.0014755261773770087, 0.0008186206991001549, 0.0017479014198097367, 0.000624163336667534]","[0.0008346618144192688, 0.0008537838828298104, 0.0008924956525278502, 0.0009985153136563068, 0.001038412143704853]","[0.003369575897421997, 0.00256129399445223, 0.0047555996285672366, 0.0024165894226072177, 0.004072146958446631]","[0.0023595560621652092, 0.0037435750925116002, 0.0027607820239713516, 0.0013816294585636234, 0.001587128563145927]","[0.0008353833540228527, 0.0007983518372789138, 0.000818611156614622, 0.0009899382848170947, 0.000534384044733546]","[0.0008448289992805295, 0.0008033586965024418, 0.0008224549341325722, 0.0009936190126056325, 0.0005447011463211371]"
XLM,"[0.0007640910401911993, 0.0008078745255836647, 0.0006546387550965978, 0.0008966733668227782, 0.0006520757257663759]","[0.0007702687839941111, 0.0007889638021468351, 0.0006632436161541633, 0.0008942617188351463, 0.0006908222825920167]","[0.0007699288098043705, 0.0007890735621749794, 0.0006619412110259722, 0.0008943801820831079, 0.0006908885327110982]","[0.0008906969328780452, 0.000790031092831066, 0.0006666739288863857, 0.0009030545054379914, 0.0006960468498883516]","[0.004743852657921948, 0.0014729679873142477, 0.026681138057891494, 0.02817781974083444, 0.0031761756722655517]","[0.001918497822587033, 0.0012310441044252384, 0.0006608040383943554, 0.0008961563291464644, 0.0007354890332466202]","[0.000765450178567503, 0.0007889367633244934, 0.0006637479561353966, 0.000893475516768024, 0.0007487468209730304]","[0.006358349013170744, 0.0008078332075051398, 0.0006864248554938385, 0.004953490624825141, 0.0007086513763318608]","[0.0010402361744797672, 0.0009012267731148442, 0.0008583826976265911, 0.0014035135346609831, 0.0016358450266214274]","[0.002565271802296207, 0.018596246111464373, 0.0019931343047551895, 0.0042067565556997465, 0.001810239940602641]","[0.000999373573113052, 0.0021426541709687738, 0.0019634625921330627, 0.0020037379237921897, 0.0006913107746797642]","[0.0007639097224439352, 0.0007801361286638466, 0.0006506787017685996, 0.000869115351769592, 0.0006375718604011546]","[0.0007650965942081534, 0.0007972028735181904, 0.0006795816774346316, 0.000889379282393976, 0.0006775725180847376]"
