,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[0.13319155629309176, -5.743253305614434, -6.747657224629942, -3.068936234084797, -6.9301996706514295]","[-8.608463196314199, -16.94609094392361, -8.908968936346701, -7.183982117967192, -9.827107875771446]","[-2.2762677983664394, -3.2321265332594717, 1.6058934511494638, -3.8009714541060724, -2.863885483238247]","[-0.5470276776179309, -1.8428824550617653, -0.2527826424002015, -0.5961063981539717, -0.39185752004753105]","[-2.3988814613360567, -109.02386149918961, -136.67653362395887, -11.631704723075616, -5.811864439944797]","[-1.7690434362073706, -2.1694847415768725, 1.6114961631434905, -1.7073344783010285, -4.4505859653076545]","[-0.32513724152756607, -1.1860851547208966, 1.199183040442949, -0.2485690995934921, -0.22592365725147404]","[-0.3259173778028223, -1.5663692109785905, 0.6255236309939696, 0.7890739159008882, -1.082705204959626]","[0.4874810122246248, -0.6971244771744707, 0.014116007274183712, 0.4540224831232403, 1.399596404855257]","[-51.474638368949954, -58.800890685040194, -31.441812541501662, -57.774679070148515, -87.86927098145381]","[-26.992462169616605, -103.32560361136589, -12.849853188411675, -38.601109704456654, -9.019639991985043]","[0.17690245972393992, -0.08046666560436568, 0.5216550813941635, -0.061589388947384166, -0.7289870347678485]"
ETH,"[-0.9217134955169012, -3.2478268880261596, -2.2423954765419998, 0.08675274974409401, -0.09438386617658377]","[-17.86680473955032, -15.157989342317702, -13.939650304705303, -2.823544256834151, -21.347392724512858]","[-10.878950327952827, -10.025331778624384, -1.7468335525048562, 0.7912585720203594, -5.893677312681913]","[-1.6313779393450287, -1.5624645276006812, -0.773223419275414, -0.2473084300052615, -1.3146093877831522]","[-46.18266715082863, -21.410741935466042, -38.26293666779587, -4.927250421478972, -245.23391469959606]","[-12.84080193229029, -3.702330637814259, -1.3244666385826882, 0.8153662927794502, 0.1554608296075497]","[1.252381292747941, -1.740723226824463, 0.027743518794308624, 0.3132949028091596, -1.2431113023935407]","[1.215568927994301, -3.361816773972668, -0.6798826234862445, -0.0881117929419224, -7.539429111413942]","[-6.897193364547492, -7.36067629155749, -1.033194411351041, -0.07320291826690108, -3.643375100212651]","[-47.019845242727406, -77.62025535670061, -32.299590511698575, -26.10249766840034, -131.1879369533093]","[-16.862831499590964, -4.050946552441388, -1.9063385660748198, -4.515993259847934, -1.2771949557088231]","[0.5345739267476779, 1.010568819640578, 0.5006424666693872, 0.0192234878642086, -0.7822410994342293]"
BNB,"[2.658293983603182, -13.653945799614414, -3.683350556983897, 1.9475192473216547, -2.89319194827021]","[-27.771162918399245, -25.02996249958175, -10.759966614348754, -12.719761358674308, -25.21874965134786]","[3.630487139981576, 0.10697364169514915, 1.0404068671511408, 0.3794260628880791, -1.367923240783138]","[-4.726830205755193, -12.841758218196544, -2.373913164637111, -1.0159425672236397, -4.331694046725459]","[-23.561703394025322, -67.88448411520119, -5.03719488218313, -10.629286633644066, -3.134807025438604]","[-64.35548928772775, -2.3184062948169175, 1.026434375496238, -0.05741815751856828, -1.2402664868980808]","[3.397456506382135, -0.2335033330425145, 0.956614627247963, 0.36746061752315434, -2.433940613930791]","[2.505233971924672, -1.6364990759420148, 0.7403987946726642, 0.3939551586801249, -2.9256676489402156]","[1.9233903836152164, -8.332452383912564, 2.2543285362959207, 1.098027107071018, -2.2521485020004133]","[-77.35695588821612, -103.6950301094708, -67.1020423255139, -46.90045737462284, -102.54381294445993]","[0.9236391556322547, -0.4767062943456528, -5.41975460063411, 1.1771776266277845, -2.2780246152011654]","[2.1699108158772047, 1.604288775314738, 0.05322204540122991, -0.07885901823457196, -0.7932953340581339]"
XRP,"[-0.6002376694258952, 0.6162650571406851, 1.369984095230331, 0.7321212736352273, -2.5942266014159476]","[-18.463629846836806, -20.039564154616333, -9.496817217421736, -0.8327316500453765, -5.968981155432647]","[-4.315434321142762, -3.1021453023225103, -2.913072947954889, 1.3848659386209674, -2.8089503119565316]","[-3.285552105819246, -16.86072409660266, -17.721627841241745, -4.36119468357684, -12.668115745603833]","[-15.05586491626391, -66.46277369795632, -47.63368217177067, -10.610336490838442, -37.05634235816236]","[-1.8799008481874449, -3.4350986221337023, -1.0792747094378634, 1.256009161487949, -8.092934510481713]","[0.13791798366383695, -0.46623745372210423, -0.33957304651755627, 0.07305743560962154, -4.25386494934584]","[0.3204237640584811, -0.18311644574411426, -1.235236835493017, 0.6966541372623177, -3.598578145949631]","[-0.09088272601842637, -2.1732407611472175, -6.950294073306526, -0.4419493562808181, 0.8478442779865875]","[-204.5029574313199, -446.02779885089035, -157.04194766147552, -263.7839113598654, -486.2837449461293]","[-5.612269630662404, -0.16077841285658664, -5.936061087536842, -27.293849371874877, -7.757757541615861]","[-0.5336932300996212, -0.23917326947887332, -0.4898730164408346, -0.30980083461295876, -2.37057374483451]"
ADA,"[0.44308106854886453, -4.777030063531238, -2.0604113009295304, -0.8546037854547528, -2.8402028058175044]","[-15.706362330249307, -25.04595983308428, -14.008125540732241, -9.126179605016912, -8.731195872423058]","[1.6323658378825854, -0.1376561022935984, -0.4754407110647558, 0.22303948523824343, -0.9217608388052266]","[0.16277682265363072, -1.232363550271311, -1.4660136113987727, -3.9264027809534174, -5.0606600091643905]","[-5.306085197672398, -0.5148384425885527, 1.4900015795294628, -5.022504597764679, -2.868821499699277]","[0.08157490660207485, -2.7007641968642524, 0.45304071281908853, 0.3779465916335929, -1.4353325953844653]","[-0.6506575154310781, -10.25192889438187, -7.022467874449162, 0.3294049248909039, -1.4029940301194133]","[1.1879536279623006, -0.6188954194377514, -1.1282423802836052, 0.1159522608506116, -4.64731864442981]","[2.1082477620830447, -0.90080791270554, 1.3701551715250468, 0.1888997962628091, -1.2067561105127864]","[-71.73672248878964, -82.52422434560695, -39.940307927609496, -72.79267757850498, -83.83040934549643]","[0.4080086016777361, -0.3578025147912485, 1.004498632716558, -40.08334621067914, -19.958450695586617]","[1.0659355350768367, 0.8991001001068076, -0.4982446249720263, 0.6275198192348466, -1.7789543149614908]"
DOGE,"[11.035101959275412, -2.332457865623833, -0.5131307790305808, -1.6779448713309792, -0.09831067725483164]","[-8.3675357932888, -16.867556744479536, -9.73355452139803, -1.0618508814616867, -4.0737929754548885]","[13.574223664488002, -3.5042087486189595, -1.2638436302491065, 0.5500232721336276, 0.4082199351666638]","[5.914977282439175, -0.3110104647929756, -3.752835278925605, -1.1923973961931973, -2.7257069705577592]","[5.36899036956739, -68.51524429388351, -5.59116316499762, -6.287946593628647, -27.76012274679912]","[10.105532844440944, -3.764011469262537, -0.8236618391320729, -0.5061551371097432, 1.1211083104916053]","[12.358214742077864, -20.894196056359366, -1.4849128001149605, 0.9608236534566671, 0.39158836440469974]","[14.253620097201733, -12.663525178267582, -5.531320361202333, -0.7588189804706953, -33.76625137930767]","[13.938807619025503, -13.864000625382102, -2.1650407747491665, 0.5215678029071363, -2.8887053843462778]","[-57.14491764264393, -206.3763228093051, -60.294774107649964, -31.35018659342308, -48.87024615079814]","[9.196130493953957, -54.24795532908626, -6.774576790309009, -18.527205930948153, -23.170592847016287]","[13.661987742196569, -0.6812628105838354, -0.8087060491542265, 0.2865637773648964, -0.004287544212646084]"
MATIC,"[-14.554382833450877, -18.275043737959017, -6.748922937312521, -21.29633917537008, -11.142631412946791]","[-30.176090166543613, -26.77403695020701, -13.167309363415116, -14.284020292701861, -16.884466278040975]","[-0.6959030391237934, 1.5357856606424312, -0.07752142051025071, 0.6816451449718024, -0.09099968605783795]","[-2.708622689483373, 0.9707572326967088, -0.356413192936217, -0.5753468989596358, -0.5585848160263301]","[-129.34939869514835, 0.7840519880361058, -4.644849898770441, -0.7867698246432101, -10.534213823680842]","[-1.5903295604346939, 0.6387960797455937, 0.7433396268344346, 0.4734640558929409, -3.073026411282524]","[-2.6497452992108803, -1.4436612304908722, -0.7669829055126902, 0.6286022839832526, -0.9665593105165158]","[-0.9138264491023713, -0.40490627412227315, -31.573289646610235, -0.7228182400395143, -28.699344871408748]","[-2.375051775310928, -0.8325111278016115, 0.1632508535761796, 0.7566049960864476, 0.37733151367136836]","[-69.65071818518244, -75.7527832026908, -58.07436400515318, -59.67513372933193, -149.19475975119232]","[-23.990810887148285, -36.93742120543364, -2.440397064723689, -2.364002114706966, -86.28681745162855]","[-1.092983922505742, 1.639429329456753, -0.45285140836080673, 0.8407701126643254, -0.23152407386320678]"
LINK,"[-6.394626262290018, 1.282761147715619, 0.05611112778582007, 0.6878365046970737, 0.7717971985865338]","[-16.02246711574664, -14.15893542968591, -4.231268292001154, -0.03255009482181022, -0.28225083159500264]","[-0.7693522655366977, 2.369412258845818, 0.5801829918820725, 0.1818892198252234, 0.2010365214514752]","[-21.367445331435356, -10.707733051338991, -11.72994001508425, -0.48410946956477996, -12.730891898371336]","[-7.096573936522302, -32.475236400681716, -46.52268164931048, -23.02878658261727, -27.107231931889185]","[-0.4486779107795351, 1.7613016131559651, -1.4298993866643748, 0.2706806982697605, 0.27871889233556857]","[-0.73851419441554, 2.6525345428034828, 0.6967178996089887, -0.09508122895746951, -0.1818247340945768]","[-0.8948334041004775, 2.4083235644020555, 0.7882155542945369, 0.3395487264390848, 0.3711798284529442]","[-13.56919381634004, -4.539244627894139, 0.07328387872451284, -4.6684992191862875, -2.3736655049447473]","[-78.86325986700396, -80.83116339569054, -53.44978182542567, -53.43813145436586, -60.63728569566968]","[-49.4449745539046, -1.1472217007561643, -50.800163992114356, -54.22118715878188, -16.05746102397004]","[-0.4523785713940844, 2.1563510054247, -0.23279659016948823, -0.4287294512641326, 0.7933463183178582]"
ETC,"[-0.9402982020000674, -0.1535772982837375, 1.4703180257937847, -0.6359679383625572, -0.14587609633825965]","[-9.28007589367829, -7.916301413133676, 2.409655996595789, -7.408498933813906, -4.999664998483679]","[-0.7640417297326766, 0.4260864582036049, 0.306242534968435, 0.2493972997195826, 0.41304000516488243]","[-20.83450216975219, -18.41062531931017, -12.25450141406016, -9.489864033135959, -17.429849035150998]","[-3.746926414143542, -0.21541579379327405, 0.3710233343942019, -3.491482707385185, -0.45152387701522567]","[-6.861221099251663, -3.145182451511277, 2.1797367321562793, -1.6735719978041976, -3.0961700041927607]","[-28.316615635677532, -2.3713797601465885, -2.172085192663732, 0.33935761972407436, -3.8781833013800213]","[-1.130778275010208, -0.911947586275743, 0.5649457804290118, -0.758212598943622, -0.2496328983981592]","[-6.20874957265684, -3.2663211186963803, 3.780165092272307, -7.020779170407019, -11.268709326711118]","[-85.5772383724702, -66.12848946297304, -52.001518057547734, -88.40329332591557, -78.47099107236218]","[-2.2688307979181683, -1.1811050315614928, -0.14070105594265656, -8.559581782854208, -3.5720278688672633]","[-1.3241563177476419, -1.637059954157594, 0.37877646012144217, 0.009869714057030882, -0.8467574451507006]"
XLM,"[-3.2450171895275637, -2.609621043733513, -0.010811341119827733, 1.4334115083597405, -2.4474949327856224]","[-18.382422756399855, -30.58080566488189, -7.679081288541324, -9.238935503969344, -11.869513683522943]","[-0.8889724323414946, -0.9404022373006147, 0.5637535081180179, 2.148294688558555, -2.859993189340032]","[-2.3875082498809554, -2.0131834879293167, -2.2849313811496827, -4.265199145630047, -6.265206614833829]","[-8.759698757986929, -3.377463371812322, 0.5609838833473204, -15.559450494540814, -5.111210685872909]","[-1.0803617787398796, 0.6287232123729447, 0.7348735050960629, 2.7812437770578957, -0.8150738981593455]","[-1.9457178275786315, -1.0275935613284333, 0.7406009897169017, 1.8791908225281304, -3.3998483322534088]","[-0.06486202379356833, 0.7584731650815375, 0.6605646176406522, 1.6040187768300813, -0.7436929320955133]","[-0.5931824349254267, -0.648522365803422, 0.8309933307633854, 2.676821342761019, -1.8960764518125586]","[-46.53874027432948, -89.71164419109786, -54.53080235623259, -44.72056550629296, -69.30711757404214]","[-4.44579691651956, -10.794223895511616, -2.247710720203584, -14.637646257233222, -15.496510472798455]","[-0.5313205000517817, 0.877338750275025, -0.30025708403210427, 0.08430808103216483, -1.9431544920470465]"
