,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[0.42973614907512436, 1.2919593804120897, 5.898070252645252, -2.1773318025233612, 1.136338062304567]","[-1.1152070719346423, 3.102591667041915, 3.7307543318068466, -5.455070797754899, -6.721175762041024]","[0.1932408014722523, 1.3658720388145271, 1.6719790488983834, 1.8848096302817146, 0.38100238505075357]","[-6.913331074245904, -1.8320930028055866, -7.874773143747841, -23.675566741854908, -6.925165317016753]","[-355.44445082099935, -688.148842350279, -94.84571222431882, -259.5331852996604, -84.85232631609729]","[-0.9269674884329282, 1.1844195962905317, 2.0077383260506143, 0.5313859673070308, -0.5917054723934433]","[-5.825739575749609, 1.7849544130324055, 1.7062709431721983, 1.9007845142812791, 0.37455970615507883]","[0.5002012862056828, 1.7213980420889872, 1.8229452781858149, 0.9887848344313326, 0.14545442416472326]","[-37.76754950310905, 1.986226459650054, 0.5634152630978884, -3.9312380798837214, -0.9741133071815791]","[-153.6147926689924, -1042.5008323626453, -184.73437565131383, -60.40425180979364, -814.5075369998507]","[-6.411249030057419, 1.4243575601708092, -8.040485613193734, 1.1800572714282107, -0.6702970749093285]","[2.755344506200678, 0.11094436427146091, 0.25897107804339714, 0.5529286142130404, -0.08964242189747507]"
ETH,"[-0.6487433876947003, 1.7724984265348902, -0.928150190276511, -0.6982265070997921, -2.1821910259833746]","[-0.5676657699569908, 2.6203570683336914, 1.2366197950295186, 1.4020742356276479, 0.22260803876470225]","[0.025962239203888397, 2.6480554843807966, 1.2187364526289985, 1.3611688709050285, 0.25805447970711365]","[1.9634391729158485, 1.1961289504416157, -0.01288058934332871, 0.5578609818936837, 0.6187035809312825]","[-291.8550006446463, -102.24007197180929, -457.4147446987297, -11.936216640497438, -220.8935724133485]","[-2.0565699227887606, 2.5091768760228086, 1.0202310620556603, 1.3326665215515967, -0.11872917957747098]","[-1.7548957064443296, 2.3708557392753216, 1.1698721187625138, 0.5453167886184626, -1.9298566336882008]","[-3.3038058560422203, 3.1579141144645257, -0.7613586848591676, 1.3262686524849365, -0.31292089186576466]","[-6.081076863728958, 2.841138369670183, 0.6616966588575796, 0.9507663427233611, -0.10004921667172417]","[-88.64728540684895, -330.8961642120104, -39.53391541489038, -57.268637404981874, -61.269954473602816]","[2.0530343376933877, -116.61203963550042, -20.361698645878732, -15.63677246795999, -1.4178232230450791]","[1.4772406216831964, 2.1306679098048837, 0.30790759741006957, 0.8348845212828107, 0.5093767018931874]"
BNB,"[-0.7961214605814966, -4.485454459252012, -9.701933197502012, -8.796100441087495, -0.3880966708963614]","[0.6610301359668505, 1.6948019644831853, -0.6364591400267638, 0.35498471314569624, 1.438886077962993]","[0.7023419522367945, 1.6955345282374463, -0.6293842436357988, 0.3493823108653012, 1.4390673344753493]","[0.40970039834630995, -0.08423168111971246, -1.7664034265043211, -2.9098845004872818, 0.42725107078152746]","[-79.42609120721274, -90.78861688133945, -49.948902823358566, -7.468991733536376, -4.15547834955567]","[-1.143733911902138, 1.5412296010824722, -0.1919256530050967, -2.5215471076966636, -0.4980583563332197]","[0.5820897224155696, 0.1070780388348796, -0.5755792560278165, 0.38595259177047414, -3.3154021244274348]","[-11.265515086795398, 1.1749584154384953, -5.288245151592238, -0.33914816452396046, 1.4178526183338902]","[-11.000291439994433, 1.7530859678238335, -2.2289548253486653, -1.7355891411004156, 0.4854159633667609]","[-115.57585271112482, -84.7141416518048, -95.56830906105449, -22.25845913138914, -139.1731894438024]","[-11.02000671342136, -3.9542169726233687, -25.571792630807533, -9.821587388884728, -8.373213538405286]","[2.4384761727590925, 1.4624827885087592, -1.9930445565134256, -1.575430988946731, 0.7452931818824486]"
XRP,"[-2.7801504005641973, -0.6820085578895987, -7.347807117446392, -3.464422284371873, -7.1181120304133785]","[-1.8423778435298153, -0.6370466126471233, -1.8969059327890934, 1.0466617024039808, -1.6760639414493066]","[0.8688656199884472, -0.4087271426092529, -1.8395944757863867, 1.0213443009367331, 2.7693480398607946]","[-4.740415334028056, -1.3326793221021629, 0.7303728814941197, -0.4926508495527953, 2.294851583666324]","[2.0129593615627415, -1.9676137064829586, -2.0448358871729275, -0.31090526009107394, 3.1754454201500275]","[2.197750184876337, -0.957996536693655, -1.3326943328871135, 1.5817863934861256, 0.15734112651344698]","[0.05016369635726431, -0.19592914883065723, -2.535675868655826, 0.5492596272336258, 2.549777132219619]","[1.2897940105420922, -0.16635530894013734, -2.0921140565216305, 1.4308712683674525, 2.410807400566944]","[-0.1285628523700342, -12.135920190892076, -0.6281410552494341, -0.03534083736271275, 1.6795116452785765]","[-41.610804935199134, -50.08739808655012, -77.9022214867756, -18.93597751497678, -48.592370850046706]","[-3.2742005229563325, -0.721603417559712, -1.6884930323846061, 1.000228124525247, 2.8763635430469443]","[1.0816094234574885, -1.4443076903314562, -2.797273123544945, 0.23675570186607567, 3.206645475775077]"
ADA,"[-0.8144894545491244, 3.8299247124534572, -1.9623045114280682, -1.4297967439794899, 1.3958667661414874]","[0.27329490189184846, 2.7840009209347163, 0.6864038722847879, 0.0028462565714858466, 0.9422349159174676]","[0.49014145362239964, 2.771077293053921, 0.7077295939408295, -0.0037347602515337332, 0.8718906891712209]","[-4.496486702565974, -2.9847488547244465, 0.47945170624193506, -1.3378086358661445, 0.5548090446805536]","[-40.74374824304427, -204.8245612386776, -351.7573516970104, -308.56531973466423, -1779.5731560466807]","[0.00436093863942837, 2.3398358448569483, 0.9270634354169949, -1.165807798033647, -3.872429346140334]","[3.259922970266645, 2.764258717179041, -0.4588773042850977, -0.19502934466224764, 0.9305396681300598]","[0.3731187087135429, 2.8000739069892413, 0.7312972843996416, -1.5792944179790962, -0.1715788006291045]","[-21.33044058605398, 1.3012679721893707, -0.8117266419615065, -2.9614962285314417, 0.1041776388269895]","[-62.83458474639985, -190.3708296565768, -174.28741284545913, -59.5105626385536, -191.1751580377666]","[4.109313262015961, -29.124356726046052, -30.985187225367238, -10.72683695352682, -53.76152022349143]","[1.5337947505845992, 2.1810597949325623, -0.29717015353297566, -0.27828184134449263, 1.1244772766277478]"
DOGE,"[-1.3902019202323366, -0.3824005637420083, -5.931517392365912, -1.6752448726578082, -6.846095109513367]","[-0.3752746719346874, 0.7434710549025488, -0.0004976236181359862, 0.43314948873461256, -0.2470914636543912]","[0.298703395818141, 0.7292965077963405, -0.03405480807352216, 0.4607553949443074, -0.2731134410876641]","[-0.5657093101281787, -4.414421933484918, -0.8091194869359408, -0.7587360219162123, -3.8627317692442773]","[1.0543244575479198, -56.584656559858814, 1.0021541203478388, -6.290263515447449, -1.628591891904617]","[-0.4392782927399138, 0.9368920154754108, -1.4768225478926646, 0.3739789683302621, -0.5548384699699821]","[0.7952715804208565, -0.8094879247570355, -1.2463454262752824, -0.13117295384398428, -0.23187205380001383]","[-0.8292538543269957, 0.8443581036665305, -0.04882554691225764, 0.5997735424844451, -0.5801543264099467]","[-18.4164760442542, -1.8194140603546276, 0.8003758444170181, 0.5114705731065821, -10.342351732593812]","[-72.3688490391697, -58.871169740962785, -1258.5375556536553, -19.593211654566538, -18.66113553418535]","[-2.9847804022102324, 0.8504432060114336, -52.309596738618026, 0.12403526024822187, -8.074496244289056]","[0.5067380081915359, 0.04470484627670811, -1.040775716380182, -0.7891480445091095, -0.006278292537550776]"
MATIC,"[-2.122820357875281, 3.5703206831669574, -0.6058472553054162, -4.974787905107622, -4.181127887223312]","[-4.665865696419629, 3.0497339659569014, -0.1097527581269831, -1.0254760080475307, -0.03789748057841798]","[-0.6928287247866008, 3.0399330298470884, -0.23963410834003132, -0.005499896754534082, -0.036771667488991334]","[1.2629838104107332, 1.9254110454576372, -0.7736268789305494, -0.8006696208279502, -2.2198768331496455]","[-7.45349889592183, -1.4310265070313786, -1.7033083120892583, -5.204572674553201, -56.78754640851773]","[0.07381212747339083, 3.0861625724914425, -0.40383631757016536, 0.005683646732610658, -0.05992756013064076]","[-2.4837704678226205, 2.950653110314114, -0.5153829469342514, -0.5154477235757682, -0.7818714479875721]","[-5.649497089771335, 2.756760787436351, -2.6720862950106397, -0.6806562574479613, -0.6463959601382802]","[2.2552732919514913, -1.0299131052246244, 0.005138829771387371, -0.2308721574293242, -3.388557056193256]","[-150.54782489336444, -16.367594311861396, -59.323435467675125, -47.18947470825323, -134.49546109042134]","[2.526933476538271, 3.051172766076873, -5.063358459715863, -2.3492195938855827, -2.5178318140538867]","[0.6677780547509955, 2.7979103643199696, -0.7520874036649069, -0.1623865235935948, -0.49644710435325873]"
LINK,"[-9.555525881343744, 1.024200730950851, -12.568780424227272, -1.836281127469595, -1.3340351828598678]","[-1.1218713049122881, 0.1334716471403144, -0.027407035681405036, -0.024286249021922633, -0.2949186391101115]","[-1.5817437210729084, 0.1474072242642853, -0.030937190748403204, -0.024762545795181723, -0.27965837066658844]","[-19.585058318462607, -7.908633317695402, -6.77147086065038, -4.8654442173199675, -24.45656205275179]","[-22.26918536014839, -24.855686419566684, -83.40360057007771, -606.477094057344, -118.09216301927063]","[-3.6340844136658093, -0.811478780739709, -0.5149873142358415, 0.1898150141020783, -1.0871869675307027]","[-1.2584335647250189, 0.14352871691418267, -0.04141893194732097, -0.0031012696298588762, -0.871351737019578]","[-7.8441105460489435, -1.4350522957165002, -0.7511758538543468, 0.47001066315123163, -1.8968986432996973]","[-2.3171487438601828, -1.245720821610818, -1.2414648745842987, 0.06643609958160641, -0.5191699982593448]","[-119.09704071510072, -66.57889848264496, -43.00931331889045, -100.2338388947214, -209.8151364422074]","[-1.2101745599898275, -0.47137720860969573, -3.6632768903015123, -19.318583814091742, -1.2417878048692392]","[-1.7957025056740794, -0.33864754443439793, -0.3542708558284248, -0.5851275566756028, -1.1753770082072286]"
ETC,"[2.7075069752350704, -2.6383555164571666, -0.9887049576484482, 1.997189055311493, -0.06491630728411539]","[2.2483697557293354, 2.3460841422303127, 0.8816872932317209, -0.16655855444389417, -0.2335420705981904]","[2.97375511105999, 2.5074159535866163, 0.7498190189016316, -0.13856175304644386, -0.1398034954883985]","[1.7664043317087184, 0.8156186779778353, -1.0116197935751323, -0.8185789896981396, -0.9489492819720385]","[-363.5828651017205, -174.4496670831467, -441.30506949467537, -382.36018996361804, -34.97494368314104]","[2.0816102750546097, 1.3888243427394753, 0.346773550173988, -0.03539041145038253, -0.8910011879573039]","[1.5715609901295318, 2.3142243604267123, 0.896978411971004, -0.18880610821330285, -0.006622585716478382]","[2.4138278403003834, 2.5537148507202128, -0.052653853347642374, -0.1224743895916544, 0.2227740313503506]","[1.644866494626355, 0.5133153391317585, -0.3827505413513764, 0.3222664636059262, -0.3714993372134887]","[-25.461820703137857, -30.454926110741866, -53.79498378841632, -30.339549795364505, -70.18812245281222]","[0.10651618955047262, 1.218626126046402, -0.6025874911219102, -0.8662779239704448, -0.28707751280392213]","[3.181746619693478, 1.6719215150205278, 0.87700109659235, -0.6265877018551442, -0.5124111970946913]"
XLM,"[-2.9922736509922507, -11.877924038110368, -3.4982964560353027, -4.870074056306916, -2.4630302853890744]","[-1.979081615381097, 1.3548466894287392, -0.030036655696839824, 0.25367298532138904, -0.02868674298803461]","[-2.0963727961516776, 1.3509240727576743, -0.043810650089764494, 0.25811121130780507, 0.01070208845432605]","[-0.5839283184774242, -4.158601856013732, -0.9131527183321408, -0.9331739892206099, -2.8000073792958458]","[-691.0993755306436, -78.7371352333561, -284.13132510961384, -638.5654901496803, -321.8425532104678]","[-5.660295082992956, 0.43463656970952597, 0.381484539981407, -0.28791542888559774, -0.38374547618308247]","[-1.5549009158986649, 1.2574811710911062, -0.5666389655665514, -0.04183268149402507, 0.21453411538976797]","[0.8456926729013183, 1.32203882930127, -0.04292084290464744, 0.22873433453321873, -0.4535896177019355]","[-5.157237006751952, 0.7798967010332993, -1.025222487506565, -0.2371576341851656, -0.14426934882209402]","[-43.626423201232065, -105.20720309705105, -22.612346694760312, -24.21594881479188, -34.256969633638725]","[-15.651573371114722, 0.48778821636759634, -1.1546820135003666, -0.6630818705094432, -14.57032213232046]","[-0.44936448449685584, 0.789555955605779, -0.5185085980018317, -0.5040127284233248, 0.21900763934636727]"
