,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-7.719733542311342, -0.7507708098975209, -3.485696604889246, -2.739266265010537, -1.4557572622553696]","[2.9036244716875568, 3.3633566506990666, 4.1810385078564485, -0.9108967922322995, -0.25539692150452514]","[2.8784372844493475, 3.3692741676046314, 4.160742263244303, -0.9483685132074952, -0.24142468484112614]","[3.7052875578268654, 4.179779796706959, 2.017791569036707, -1.3364468556203641, -0.662851521449296]","[-547.0330053298082, -3887.6669693196427, -1120.230817594556, -305.8804078665731, -1349.885299106664]","[2.369208786426543, 2.0210777493141205, 2.4250725739767494, -0.10866391957511422, 0.24187976224110636]","[1.6019723857702843, 3.4833031316877054, 4.133552219710445, -1.5060512650158793, 0.01920919700853778]","[3.79373290521086, 2.662108624203015, 3.6768076999507433, -0.02371155651768169, -2.8893478431461608]","[3.4528698716978856, 1.6150039421064268, -3.8876067680904542, -74.91452794856606, -61.635011908137336]","[-111.0279370189899, -14.945471699123313, -18.16845684334111, -379.5525667717115, -63.7151535474349]","[-16.066376506782017, -1.31211373205889, -56.769437622546505, -376.489216010522, -58.23275704303143]","[3.4880985761356724, 2.6233347991603115, 3.0939017410996286, -1.1125384784912316, -0.543696659614372]"
ETH,"[-1.8952485012256066, 0.03478029170984753, -2.254774454940468, 1.9573453985908569, 1.1169348609706957]","[1.0863135973073408, 0.41874730574136976, 0.09438707169271178, 0.3969073447145431, 2.4169900700887554]","[1.0869830971141847, 0.43611137284529833, 0.02549316991729164, 0.3521720955975471, 2.43210557988814]","[0.5391631318050033, 0.9676013502048029, -0.9969268682589995, -1.3197030715841407, 1.956795671666708]","[-38.02778155886033, -13.207350122426536, -113.75290781445446, -1.0001656254628404, -24.113529318048833]","[0.2653980160751343, -11.992324910942214, -3.527864316700946, 1.9635212838408578, -147.81121114625017]","[-3.03720680014257, -0.9839845056210146, -2.123333595200249, 1.2253106059268895, 2.2212052650613985]","[1.0826010610298398, -1.5980555470956341, -0.18298124555422493, 1.1575282829785203, 2.46524906582244]","[-124.09664129880768, 0.3969447252344779, -0.1785087559645946, -5.551975650333974, -4.031961605467767]","[-46.36347017249159, -168.25287473801785, -58.18929318065283, -28.81814788200724, -17.73539799666561]","[0.9768336372629423, -25.861685197538698, -2.9460802894830898, -5.648690251311423, 2.403260963058359]","[0.5066943472247475, 0.21465514367054078, -0.005513910290925314, -0.509530750231787, 1.852989432520454]"
BNB,"[1.709866928864602, -2.263433987424994, -2.4813318853315325, -0.47124047349812337, 1.360894687151292]","[1.8999578807990616, -3.7791531262926026, 3.8126178196842657, 1.549604299864839, 2.0836030573620667]","[1.9039135999062078, -3.775117763592167, 3.7906664555416802, 1.547056213199349, 2.0823514913459333]","[1.9469600733633705, -1.573096809967554, 2.5061764353578933, 0.714940267120895, 0.011032659804204821]","[-238.02146681398554, -1230.1300895029558, -293.7452184640466, -35.194438764324445, -70.6403334861316]","[0.7568602045361971, -6.386692329983876, 3.547074672765101, 1.5203137796742463, 2.040865894663425]","[1.7456789834557593, -3.7493232716342333, 3.1599282946246072, 0.9735385428854819, 1.987729311786875]","[0.7543475378020353, -12.353831262723196, 4.057463107884816, 1.0465041612834836, -10.370806833869581]","[-132.77107181290228, -3.2517674000368544, 2.166531736966777, -95.72836025232128, 1.6648194376528715]","[-1069.8669594375035, -384.20366378447085, -207.7051611948217, -385.48113567161073, -82.22530818030678]","[-201.93533512499258, -83.78364127585806, -72.07355535117534, -133.56437641937418, -2.4740627766533487]","[0.057937127780633584, -2.873691028945205, 1.596011014655992, -0.29443324543678817, 0.8338884875381503]"
XRP,"[0.6352397500608281, -9.79845430522082, -1.573658029802236, 2.2585238322074295, -0.28458897741964434]","[0.33192253163834534, 0.7155935387806664, -0.5654147783569254, 0.05210141622272538, 0.6791622124338607]","[0.3251351738845941, 0.6895112225987791, -0.5671049933171242, -0.0009582661500386201, 0.6687951430809047]","[-2.161566406928747, 0.7709459511655841, -2.2784101133905073, -1.7334802704346866, -0.9243967152342818]","[-1007.0384303450282, -163.40509439933678, -706.4320124866822, -784.959685535419, -1004.0162339872347]","[-0.9723774701576303, -1.3933426432279679, 0.6331663399012363, -0.08226125489421171, 0.6645178432210431]","[-2.9953071245962004, 0.7132330207629987, -0.06368831468709739, -0.5571646779866707, 0.6813709288101424]","[0.3946209627488168, -2.8602783713905553, 0.5367019167986893, 0.15636694350145422, -0.9725466608310775]","[-106.52416722400035, -7.264416177119666, 0.1666786608686827, -34.443398054567794, -13.015159836361459]","[-1882.0784047931618, -231.30792984946154, -133.53163721800024, -97.3200164113569, -14.419923674273482]","[-88.05789868739463, -0.43325852157061684, -6.792721127144903, -68.23152565356003, -5.525597234826926]","[-0.3768310706209475, 0.32349447216753685, -1.6970633488938507, -1.1528135532768002, -1.0689180848037032]"
ADA,"[-2.4923295238640417, -0.8454572490972402, -2.4572191581711476, 0.34256303918641107, -1.2546730608234253]","[0.8911088479465349, -0.0905581299024042, -0.04012611878531235, 0.7020365160729958, 0.824904552430932]","[0.8486364836038475, 0.31447627786195964, -0.06748825323273763, 0.7270384792500817, 0.8235945522089871]","[0.5879672360000185, 0.3718981179975514, -0.7064804809873549, 0.7850045167100327, 0.10797104214171233]","[-4151.246838221289, -2233.772622777905, -1830.196798662775, -845.5272172649925, -45.5944952762829]","[-33.63112058946006, -12.26320673849861, -5.00021730057791, -9.997876643993253, -4.222678515783956]","[0.9953145569188255, 0.9214267441412972, -0.0637677144114788, 0.07870404030841156, 0.5923965914379189]","[0.8757959232224182, 0.6070134219903903, 0.2467921332014818, 1.0133836244869538, -0.8221533869933505]","[0.6880996328394305, 0.2688257426174376, 0.3843933956939138, -7.8251852907032164, -0.7833165494987453]","[-765.0557580913579, -124.00568577341573, -295.18063491656756, -53.98916386494088, -39.601915173889694]","[-93.84061306540993, -331.6443653975861, -126.88213447720086, -41.73369956249724, -19.668616634297383]","[0.28324104334487166, 0.2522718890941727, -0.9594128642632036, 1.0558640143584512, 0.7121764602699648]"
DOGE,"[2.6348833031500933, -1.2672560193919167, -0.6335339189848264, -2.1026251901625024, 0.6652788847744917]","[2.163419103260807, -0.787259049862932, 0.8847258046090959, -0.286002979417683, 2.378048581919199]","[2.1251035030791137, -0.8807916121061614, 0.9162979481675702, -0.30067953119302926, 2.3722289523608726]","[1.9947584636556936, -2.9796841099281903, -0.42680564137762766, -1.847106057606196, 2.148707859536404e-05]","[-781.269852714333, -15.154171896466309, -916.6794064922861, -79.95140072581293, -111.35723747397965]","[1.338352522022515, -0.1558850418322627, 0.5621211001593418, 0.2443766451489164, 2.578573053809778]","[-9.0228120202214, -53.986327938444624, -1.585766769848178, -5.59116382286027, -27.39642099953753]","[0.8567973630621225, -1.3125867224842087, 0.38922555829728034, -0.7513030921225837, 2.576603335968769]","[2.160935678186584, -0.6819967554623492, -10.86150758911227, 1.9911843949897114, -5.6718287472113635]","[-139.3093136418872, -107.7222779228529, -39.2759384476455, -37.08180731126827, -18.89135352915179]","[-1.781704417506285, -43.1313525225433, -56.97846109579512, -57.594799055587885, -27.268574517247746]","[2.8889190454351383, -0.16670599575066236, 0.8177531792065444, -1.2094200402075512, 1.4777113091173175]"
MATIC,"[-1.6198305315550074, -3.930555041119552, -4.5529343214875055, -0.9605159720463676, -2.9482280456788423]","[1.139894382741009, -0.3100138950135031, -0.13326421087083473, -0.11153503830271277, 0.5703250828130554]","[1.145010205039297, -0.3404856208534795, -0.14632809191973956, -0.1220725762390505, 0.5739191586953115]","[0.6684092928855476, -1.1192475007514084, -0.8393466567632133, -0.7585336420103737, -3.3693433698587807]","[-161.31940262657213, -1106.3348118819245, -71.07092168534157, -1334.7049552188944, -242.18327275310693]","[-1.0316978454874133, -2.7658171843613135, -1.0097517640255125, -2.2776306618165187, 0.13246817427278065]","[0.6546220649148241, -0.44626016670020785, 0.11423080214503702, -0.3091105105653018, 0.3901948748259196]","[-105.89106529986172, -36.406232852176075, -3.7104718025000607, -10.04898632044125, -12.261429290698137]","[0.2865394386664464, -8.583774808170645, -1.397063450422003, -0.7267711169581492, -15.364322397183502]","[-880.4731543367021, -73.0844466092276, -1970.8970324995007, -34.02884148928387, -54.27732619852248]","[1.1365565387749046, -18.92772471397375, -1.6518496725004268, -1.2423048390400184, -0.6137472091873125]","[-0.19489577400351538, -1.4806593957100858, -0.9126821983831728, -0.4996556493644683, -0.4205357463933821]"
LINK,"[-0.4819243768310155, -0.5157570921815274, -3.606282237432046, 0.04903592595426339, -3.468223412222297]","[0.4449991894077074, 0.5845018194506703, -0.5592213770342858, -0.010255887389437739, 1.1439853318098105]","[0.4444867507520411, 0.5826741531820467, -0.5658018358943946, -0.009744192971556582, 1.1452904964313133]","[-2.4840572365909743, -0.21078818806781713, -1.995047563082755, -2.1522988220838104, -1.1348845034787318]","[-1646.7510835373919, -71.67986739716545, -977.6976257485134, -709.5580259779623, -57.48488555767241]","[0.5753497747045896, -0.6856527697643978, -0.757979366925344, -0.14682369490202876, -0.2355601078338536]","[-5.206512088706941, -0.4861878504670916, 0.10073913803006233, 0.17530211107813004, 0.3358407360567721]","[-1.030004409977071, -0.3906290830851554, 0.21268675531335873, -3.1959641501635785, 0.8091715086248659]","[-87.87629756066548, -66.8782437535854, -75.07910048451329, -3.402228503580438, -20.343215045025794]","[-710.3314697409106, -25.978553718523912, -369.4202706170189, -311.8741576910391, -22.521868150820993]","[-17.99019253102877, -9.078253148327546, -39.24561596374087, -0.3394841975540391, -0.7663249874891628]","[-0.21561114355554242, 0.5687605252518703, -1.5631104701305, -1.0468508543528323, 0.935282046150439]"
ETC,"[-1.3898628028763989, 0.8916598539069632, -5.499630627629182, 1.3051579251183725, 0.7105783993101253]","[-0.4522259964875028, 1.5867292883607436, 3.239648738998014, 0.27023581734724883, 2.0830418172143252]","[-0.33022851392120406, 1.598308121449902, 3.2367571646899194, 0.2644646407090039, 2.1178010162331984]","[0.20660948976405413, -0.5230386119094518, 0.4319754374526201, -2.4378969066633953, 1.8222880893018434]","[-11.038805397843445, -941.6837581941583, -18.343668850764363, -2.6686474486386906, -74.22557299531918]","[-1.5021839886711492, 1.3479167990496614, 3.865966900658604, 1.1226339060597577, -0.9426293509587785]","[-22.27317730366871, 1.449871890122378, -0.5277262228937157, -0.04975984272388395, 1.8994949200380102]","[-1.897407123274204, 1.2550477522063463, 2.3194221504614845, 0.03517889694404281, -0.6612394331270864]","[-12.931687604048712, 0.8878045319484736, -15.645686308783938, -14.229680881992149, -13.829717457070911]","[-1052.484539095344, -28.43834576618106, -16.064620683633883, -19.296903736236988, -59.745340807241064]","[-51.78671158834741, -235.94787850368166, -10.67418129338511, -44.20487028924588, -28.417370809146302]","[-0.651319394825759, 1.9308835995791287, -0.15055043827493528, -0.30522274672555466, 2.092215195880928]"
XLM,"[-2.1191235219437474, -3.115246389726171, -3.8256767222552055, -4.428945089813113, -0.6073922603533369]","[-0.23553106748866137, -0.42655652029749186, 1.6408816352442144, 0.03238581892240901, -0.06843538439582654]","[-0.26014629588643146, -0.3468041559889836, 1.5946905531880367, 0.04594526272875886, -0.072860804644517]","[-2.378054225730855, -0.16302994050862316, -1.1793395960440811, -4.446328679047408, -1.2956222903362342]","[-9.693105364760708, -98.88179272242344, -24.89614300610105, -5.418511947290132, -15.02650618164684]","[-8.870615415258678, -1.9470588123234478, -1.8195875991385317, -4.654887926787836, -0.9037740535956844]","[-4.420261427483744, -0.5938398529127268, 1.9213666406803152, -3.063789920817544, -10.702655890722]","[-0.33732950955594215, -0.3051676352557258, 1.7731825093534441, -4.9567274294867945, -0.332581556688968]","[-0.498952623282884, -24.708966916911926, -1.1008832032927118, -6.173766940120716, -2.3754250606668985]","[-123.92432301577838, -191.50409307874511, -387.3917000025805, -62.30046610995321, -594.3796873609718]","[-376.70594069463755, -144.018898905394, -148.8061088407577, -69.32826990125474, -143.57570315004523]","[-0.7338399415075961, -0.572025357156644, 1.4923675874987792, -0.2655545033607367, -0.5531622695098796]"
