,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.00031946789243872484, 0.0003242178878819758, 0.00023286243733266115, 0.0002504105267998462, 0.00018317567100490208, 0.00026202688309162197]","[0.00044578408636840864, 0.0004943738267315992, 0.0003807368753233107, 0.0004061773282674705, 0.00024473833658652123, 0.00039436209065546197]","[0.0004459986809423322, 0.0004945713808928392, 0.0003807138857110935, 0.00040614169004722693, 0.00024486244409327993, 0.0003944576163373544]","[0.00045421019150706024, 0.0004954640591737491, 0.0003855563700887924, 0.0004088957669894691, 0.00024647411750203485, 0.0003981201010522212]","[0.006635040536694021, 0.01405834471658625, 0.02609161644228585, 0.01559980728254806, 0.005066629529813332, 0.013490287701585505]","[0.00044986262192418233, 0.0005080732688624565, 0.00038084765959240323, 0.00043371359162766983, 0.0002508099569996259, 0.0004046614198012676]","[0.0004449695832827854, 0.000495562687837226, 0.0003822321829486527, 0.00040774243373965953, 0.0002516942404471209, 0.00039644022565108887]","[0.0006965620231579088, 0.0005610827575300476, 0.0003846781620322419, 0.0004963481437695187, 0.00037140241925514764, 0.0005020147011489729]","[0.002745369631168649, 0.002181406306333796, 0.0005146104290309551, 0.003782213919026496, 0.006858648954388986, 0.0032164498479897766]","[0.0016115861206741835, 0.0008018589817414691, 0.03242333695980331, 0.0006702057869978818, 0.0009764563301068459, 0.0072966888358647385]","[0.02221063759734053, 0.013382814654287725, 0.01783818855431576, 0.005433279394675397, 0.008064621289849095, 0.013385908298093701]","[0.0004499835855484389, 0.0005037883222083578, 0.0003826400026433974, 0.0004056783753782884, 0.0002420558099602259, 0.00039682921914774164]","[0.00044741899541200195, 0.0004981656244990733, 0.0003878793475072222, 0.0004065835447311156, 0.0002463799365124239, 0.00039728548973236733]"
ETH,"[0.0006683615099231056, 0.0008995455804136897, 0.0005233785923354507, 0.000650841784512548, 0.0003548988549592062, 0.0006194052644288]","[0.0006853977697862546, 0.0009348842295205475, 0.0005327710302404362, 0.000743499986891518, 0.0003552753514416938, 0.0006503656735760901]","[0.0006858310212111672, 0.0009348871893836465, 0.0005320258670204758, 0.0007434412208375178, 0.00035502141894560305, 0.0006502413434796822]","[0.0007000130405246783, 0.0009325061157063897, 0.0005381805072405548, 0.0007528708120259149, 0.0003704686989496977, 0.0006588078348894472]","[0.014029622843255651, 0.002363816472145808, 0.00857393848812667, 0.0008374401999210701, 0.0015421335452278965, 0.005469390309735419]","[0.0007574159803279619, 0.0009354767375338474, 0.0005524509512873778, 0.000801754023407406, 0.00037246778878693277, 0.0006839130962687052]","[0.0006845680470018037, 0.0016609289592597048, 0.0006378023032610643, 0.001011080562665213, 0.00042444876155034623, 0.0008837657267476264]","[0.0008723218002984909, 0.0009650686918007558, 0.0006251718934952074, 0.0008016127846277717, 0.00037369237220924873, 0.000727573508486295]","[0.0006895606830083698, 0.0009467039283712063, 0.0005412791746454232, 0.0007602282149556642, 0.00036431985342252177, 0.000660418370880637]","[0.0019357899790661917, 0.0022587231748528876, 0.0012028302433459332, 0.044048063722207896, 0.0011986528108321136, 0.010128811986061003]","[0.013397177587391722, 0.009237085044316367, 0.007511500554184563, 0.06877228665214737, 0.01687490566593802, 0.023158591100795607]","[0.0006874978528684091, 0.0009607373715556946, 0.0005317195613267892, 0.0007462858141080315, 0.0003573328472446457, 0.000656714689420714]","[0.0006945121285238632, 0.0009378223440908596, 0.0005394134060583567, 0.0007482671909715635, 0.0003590156191188283, 0.0006558061377526942]"
BNB,"[0.0004066060787327738, 0.00041940790383507883, 0.00039632376008205336, 0.0003935389156470199, 0.0003043941915384198, 0.00038405416996706917]","[0.000413071238860077, 0.00044125603163249497, 0.0004272696659619455, 0.0005248259349127246, 0.00031375354014294936, 0.0004240352823020383]","[0.00041314918155659585, 0.0004412994988679695, 0.00042723096422109556, 0.0005248275787987718, 0.0003138017517961218, 0.0004240617950481109]","[0.0004230800464720058, 0.0004423734366978495, 0.0004282993632574125, 0.000528292781815179, 0.00031455932635223035, 0.0004273209909189354]","[0.22736742917190203, 0.2095469902740372, 0.2825873451471858, 0.09196371639566685, 0.47767084743939564, 0.25782726568563746]","[0.005439605313968529, 0.004113096917703894, 0.001744264934747591, 0.010960360875699435, 0.004386008114404139, 0.005328667231304718]","[0.0004135070076675946, 0.00044129054662625375, 0.00043444347742586204, 0.0005266852451160761, 0.00031614891118147606, 0.0004264150376034525]","[0.0004115809757927656, 0.0004877866756092514, 0.00044417394208030983, 0.0005328213447157753, 0.00040799862136869024, 0.0004568723119133584]","[0.0006879493946602239, 0.0005509053753588433, 0.0007061245179983082, 0.0005385949051009705, 0.004175578911391579, 0.0013318306209019848]","[0.0021133349215369576, 0.005762025965903607, 0.0013533333034625333, 0.004928913495575089, 0.001717193280902117, 0.0031749601934760604]","[0.00064442546510485, 0.004364167310795169, 0.010313239008632492, 0.001409994041301211, 0.012468500834690545, 0.005840065332104853]","[0.000409984383916668, 0.0004550121692775, 0.0004264234086636274, 0.0005253025913591745, 0.0003133425834869826, 0.0004260130273407905]","[0.00041298329894502744, 0.0004429613407563261, 0.00042834482893717654, 0.0005302974156456295, 0.0003154515428968932, 0.0004260076854362105]"
XRP,"[0.0004730898405471198, 0.0005462015694217692, 0.0004335337557544433, 0.0005937010949827513, 0.00038635077135149894, 0.00048657540641151647]","[0.0005103629029297895, 0.0006466340040441409, 0.000569818045024921, 0.0009435171783798746, 0.00041965179009991393, 0.000617996784095728]","[0.0005102462302660717, 0.0006466188712540296, 0.0005695374154932829, 0.0009434098677308135, 0.0004196907172219129, 0.000617900620393222]","[0.0005262966744457806, 0.0006567142734408731, 0.0005830133755275373, 0.0009474416846507873, 0.0004290340026337995, 0.0006285000021397555]","[0.09628767878738148, 0.18242724183952008, 0.12412576291285096, 0.13635361801264934, 0.2719463906501083, 0.16222813844050205]","[0.0005359558050679419, 0.0006485923479371197, 0.0005815343935435164, 0.0009420131759429221, 0.00043709975691929133, 0.0006290390958821583]","[0.0005067892291373692, 0.0006689909992242205, 0.0005767232685840268, 0.0009425086642448873, 0.0004275936254101401, 0.0006245211573201288]","[0.0007498740741706753, 0.0006594819069467719, 0.0005901633764823763, 0.0021159652018444557, 0.00041954250808518446, 0.0009070054135058927]","[0.0005030064962519204, 0.0007628287369080502, 0.0007792146379137634, 0.0009725781787825907, 0.0004294613044298698, 0.0006894178708572389]","[0.004876218425732546, 0.004678892021973154, 0.007286748250276071, 0.003895446470743146, 0.005635619727347596, 0.005274584979214503]","[0.000989533228541904, 0.0006573299126785422, 0.0006055015851941872, 0.0012777649964248626, 0.0006702836423374917, 0.0008400826730353975]","[0.0005439227230999361, 0.0006572053380683697, 0.0005694248779481253, 0.0009474499287948355, 0.00042463327971925617, 0.0006285272295261046]","[0.0005087941448911783, 0.0006456092903890107, 0.0005716528788228454, 0.0009471950905121687, 0.00042192526618811704, 0.0006190353341606641]"
ADA,"[0.0006659804537710598, 0.0006614384060919472, 0.00044559951444068485, 0.00047800967234013105, 0.00044127649714861226, 0.000538460908758487]","[0.0007495785719861186, 0.0007605335233728932, 0.0006638744544313175, 0.0009428003872897907, 0.0005933249605791236, 0.0007420223795318487]","[0.0007494671584725912, 0.0007602500788393554, 0.0006648313149544647, 0.0009438542734239463, 0.0005936174763709321, 0.000742404060412258]","[0.0007636437539849477, 0.0007678583735539947, 0.0006554767026555205, 0.0009622338712538619, 0.0006089723665640526, 0.0007516370136024755]","[0.026486684197852606, 0.0038329265224814387, 0.07079703361426729, 0.05827182348899069, 0.03430378272216214, 0.03873845010915083]","[0.0007503740851412069, 0.0008131315822343722, 0.0006722551875424929, 0.0009407833583281378, 0.0006030375983837819, 0.0007559163623259983]","[0.0007514186736191926, 0.0007659812944618957, 0.0006710147794761366, 0.0009486602622101208, 0.0005933352873591492, 0.000746082059425299]","[0.0007599484817008617, 0.000765929968505991, 0.0007678018775062234, 0.0013592563071854074, 0.0006390399618469709, 0.0008583953193490909]","[0.0007577533527940895, 0.0025893223112820407, 0.0007415844681647461, 0.0017254652206647508, 0.000595533035925318, 0.0012819316777661891]","[0.0020692360606178314, 0.0020342666524459482, 0.003936515932705637, 0.0037148619338376746, 0.002104400811345898, 0.002771856278190598]","[0.0035143206900321595, 0.002853464580150254, 0.00430806021466326, 0.0034411353400602505, 0.006524436998499247, 0.0041282835646810345]","[0.000757481830576926, 0.0007632796823748564, 0.0006670130877630601, 0.0009492123787425274, 0.0005931080062759502, 0.000746018997146664]","[0.0007618849308986635, 0.0007648919052353418, 0.0006778992140508576, 0.0009491681472928821, 0.0006008057751437214, 0.0007509299945242933]"
DOGE,"[0.0008168657816937242, 0.0006572243474465995, 0.0008697911586991459, 0.0007868309678536365, 0.0004931273882735699, 0.0007247679287933353]","[0.0008861973402573758, 0.0007231885298403965, 0.0010676774925830002, 0.0010771427407682303, 0.0005257266618302833, 0.0008559865530558573]","[0.0008863356565195879, 0.0007222613365683275, 0.001067705524510028, 0.0010764943088647002, 0.0005256729778806514, 0.000855693960868659]","[0.0011832054576868863, 0.001001541896478233, 0.0011580938611494963, 0.0012125230150676492, 0.0006664852023063686, 0.0010443698865377265]","[0.001955713714779677, 0.009727214788052442, 0.0015158052307248531, 0.004799819026027621, 0.0033703335760110636, 0.004273777267119131]","[0.0009493112979413043, 0.0009721685647703202, 0.001068371915544573, 0.0011815307669171729, 0.0009606634813310837, 0.001026409205300891]","[0.0008863072208677466, 0.0007350825537887162, 0.0010682210854312457, 0.0010947315889594613, 0.0006040655239764873, 0.0008776815946047315]","[0.0008908773177883782, 0.0008550085873458473, 0.0012739401010589103, 0.0010963429746271727, 0.000630753378535889, 0.0009493844718712395]","[0.0011372610930396048, 0.0032173834065269266, 0.0010919152740317035, 0.005205913503429731, 0.0006370654774367607, 0.0022579077508929454]","[0.0051650683754081925, 0.019292768381101475, 0.01612571113209091, 0.0036906752387603796, 0.02849754278588622, 0.014554353182649435]","[0.008351093053161245, 0.0022576954352241654, 0.001187236067021092, 0.007856334043832406, 0.007922974870427686, 0.005515066693933318]","[0.000888321383800339, 0.0007215835118760999, 0.0010658023711334974, 0.001079797103451228, 0.0005357814464268406, 0.000858257163337601]","[0.0008966090414281404, 0.0007189356467698533, 0.0010934867292650959, 0.0010758028108572252, 0.0005263959783595449, 0.000862246041335972]"
MATIC,"[0.0004703217262786984, 0.0003747058151698114, 0.00034237044767512255, 0.0003866784517262595, 0.00034100978603954674, 0.00038301724537788775]","[0.0006165947010888251, 0.0006283305541769174, 0.0006586197465032879, 0.0007990996588871448, 0.0004344290703948493, 0.0006274147462102049]","[0.0006166718281284512, 0.0006283234410823768, 0.000658287812584913, 0.000799225295776953, 0.00043451633726648836, 0.0006274049429678364]","[0.0006370272751329354, 0.0006452443160941381, 0.0006663994157842059, 0.0008104135819528268, 0.0004433103131781116, 0.0006404789804284436]","[0.18170214520927253, 0.0440165132752276, 0.007074370432988765, 0.326419210278983, 0.030913260195862022, 0.1180250998784668]","[0.001227564085300856, 0.0006574606156271432, 0.0017022407841947717, 0.008998521231748387, 0.005848308603908479, 0.003686819064155927]","[0.0006157370197667042, 0.0006377446606725788, 0.0006976421502455645, 0.0007986317514068521, 0.00045164652452667626, 0.0006402804213236752]","[0.000745998779882196, 0.000629506970884027, 0.0006629364059430537, 0.0007931856255349242, 0.0007381129698821162, 0.0007139481504252634]","[0.0006259148263498846, 0.0008233144064396178, 0.0006883361973659089, 0.000908717000517433, 0.0005217135648821682, 0.0007135991991110025]","[0.0018069522553274284, 0.0016869497882106362, 0.002466885317325955, 0.004771000558727627, 0.0022347940304069417, 0.0025933163899997174]","[0.007438307185243159, 0.2048489154228633, 0.10191838063840304, 0.019643295226657975, 0.05591343168972932, 0.07795246603257935]","[0.0006562056646571499, 0.0006444292377178845, 0.0006621948608109513, 0.0008076637101374479, 0.00043584768333473656, 0.0006412682313316341]","[0.0006209070066037767, 0.0006329883503733074, 0.0006610790431547569, 0.0008069257572805396, 0.0004355074833103785, 0.0006314815281445519]"
LINK,"[0.0007238781122190609, 0.0006711618777914591, 0.0005407339150751187, 0.0006809863194693973, 0.00045491851838278023, 0.0006143357485875633]","[0.0008044938505101246, 0.0008653895582521526, 0.0006566078675618326, 0.001053979533939, 0.0005062578375507611, 0.0007773457295627742]","[0.0008043228778486218, 0.0008651692558125215, 0.0006558105346763091, 0.0010541980258158342, 0.0005056750164801193, 0.0007770351421266811]","[0.0009145129602068134, 0.0009073001906012807, 0.0006781906204658285, 0.001117499105653595, 0.0005484017541969334, 0.0008331809262248902]","[0.05524706598761217, 0.015448201002636962, 0.007453893193533512, 0.0182702303180827, 0.003955454624241312, 0.02007496902522133]","[0.0008623013833641899, 0.0008666148105752947, 0.0007085142590115812, 0.0011504133004923685, 0.0005163651995327112, 0.0008208417905952291]","[0.000827803397533754, 0.0009507371386297803, 0.0007284499937021106, 0.0011105301497939793, 0.0005082197031779812, 0.0008251480765675211]","[0.0008412811015964366, 0.0009235220912895924, 0.0006563953908389478, 0.0016280242432012556, 0.0005415449111979747, 0.0009181535476248413]","[0.0008030649706246296, 0.0008722982738431726, 0.00065167093149542, 0.0010442933224133271, 0.0005727373948236204, 0.000788812978640034]","[0.0016964312012694531, 0.0015574276580245868, 0.07096578373033326, 0.024213737067514344, 0.0013529265704719487, 0.019957261245522717]","[0.0016003118103058178, 0.0054103193440208685, 0.0026203694326652114, 0.0011436613359447692, 0.006337581423257746, 0.0034224486692388824]","[0.0008040826641611845, 0.000871271274928615, 0.0006554754631123789, 0.0010684590981142454, 0.0005219926333256195, 0.0007842562267284086]","[0.0008070723307173699, 0.0008658824401211111, 0.0006554271691465252, 0.0010583804915190198, 0.000511643333992996, 0.0007796811530994044]"
ETC,"[0.0007619446151923888, 0.0007300875771848271, 0.0007240908110153281, 0.0007974385167827362, 0.000515377770843675, 0.0007057878582037911]","[0.0008346373869849696, 0.0008008667002205593, 0.0008193726965507248, 0.000986032117916497, 0.0005343328032963813, 0.0007950483409938263]","[0.0008347657986301611, 0.0008008688173915311, 0.000819227433978764, 0.000986604656255653, 0.0005341248250256962, 0.0007951183062563611]","[0.0008553732039036571, 0.0008042332297975225, 0.0008256545493602944, 0.0009922815949867673, 0.0005397565707033017, 0.0008034598297503087]","[0.010170729460811299, 0.0011746278692772174, 0.0026585204717939096, 0.012225792462677217, 0.005797184238946951, 0.006405370900701318]","[0.000821534698664646, 0.0007871786962367107, 0.0008267885826526313, 0.0009705814775095345, 0.0005376298833482213, 0.0007887426676823487]","[0.0008334294706427599, 0.0008121477950094558, 0.0009612175574376708, 0.0009850868878178531, 0.0005975013711250247, 0.0008378766164065527]","[0.0008409150620397043, 0.0008158778937198488, 0.0009219016533014913, 0.0015260041512962677, 0.0008142161435001771, 0.000983782980771498]","[0.0008492557768338987, 0.0008042197991378245, 0.0008169736962692232, 0.000983327918367501, 0.0005766257536328814, 0.0008060805888482658]","[0.0019563667542277547, 0.0026216204028627877, 0.002778741908124896, 0.003642536225123514, 0.0017251672545986869, 0.002544886508987528]","[0.0016637960824021204, 0.0016938411269870855, 0.0023061702570349556, 0.0019126397698586792, 0.001255427898939684, 0.0017663750270445048]","[0.0008353833540228527, 0.0007983518372789138, 0.000818611156614622, 0.0009899382848170947, 0.000534384044733546, 0.0007953337354934059]","[0.0008448289992805295, 0.0008033586965024418, 0.0008224549341325722, 0.0009936190126056325, 0.0005447011463211371, 0.0008017925577684627]"
XLM,"[0.0007360074440173933, 0.0007547853259308418, 0.0006082565405565453, 0.0007557076237669622, 0.0005811307963801149, 0.0006871775461303714]","[0.0007686326620056404, 0.0007889197293279173, 0.0006620027288931323, 0.000893707795397092, 0.0006908166712771082, 0.0007608159173801782]","[0.0007679680677425237, 0.000788987624418833, 0.0006613316523424213, 0.0008939814462947577, 0.000690856023095298, 0.0007606249627787668]","[0.0008906969328780452, 0.000790031092831066, 0.0006666739288863857, 0.0009030545054379914, 0.0006960468498883516, 0.0007893006619843681]","[0.014640371450840335, 0.030011024071972814, 0.00299996810978563, 0.0010837562405866187, 0.011087578348395175, 0.011964539644316114]","[0.0013197982378084466, 0.002127856987757937, 0.0009354818470259448, 0.0019302798378158942, 0.0018940839683416642, 0.0016415001757499772]","[0.0007663046264607296, 0.0008305061570516638, 0.0006605135279246828, 0.0009037328218004146, 0.0007003393899338172, 0.0007722793046342617]","[0.0008584865508114804, 0.0011365991524550693, 0.0029804494472293395, 0.0010524962755674707, 0.001711333705922682, 0.0015478730263972086]","[0.0027587764982260317, 0.0033825914678601837, 0.002355322530868169, 0.0008915880802226764, 0.0007959547702841254, 0.0020368466694922374]","[0.0018254432075627753, 0.00281188657721733, 0.0020035421438587176, 0.0020812661031105613, 0.007104961158460424, 0.0031654198380419623]","[0.00158695085407253, 0.0009262351389580486, 0.000661145938277838, 0.0009232123984347639, 0.0006922967994002559, 0.0009579682258286874]","[0.0007639097224439352, 0.0007801361286638466, 0.0006506787017685996, 0.000869115351769592, 0.0006375718604011546, 0.0007402823530094256]","[0.0007650965942081534, 0.0007972028735181904, 0.0006795816774346316, 0.000889379282393976, 0.0006775725180847376, 0.0007617665891279377]"
