rmse,mae,num_layers,num_blocks,layer_widths,input_chunk_length,n_epochs,batch_size,dropout
0.0357826197085456,0.0295728602043405,3,10,512,1,25,16,0.0
0.0395790347021824,0.0325906768884771,4,10,512,1,25,16,0.0
0.0408140985163766,0.0336878671238921,2,2,512,9,75,32,0.1807887946512873
0.0423610474364099,0.0341157662099291,4,1,512,1,25,64,0.0
0.0424519902575213,0.0346261927348894,2,2,256,3,75,16,0.1130547213280206
0.0602400435939996,0.0513974039584106,4,1,512,1,25,16,0.0
0.0653136679591485,0.0557781357415034,3,3,256,3,75,16,0.1418834223622731
0.0692629089877932,0.0575150096377177,4,10,512,12,75,64,0.0626741050455084
0.088180369305519,0.0803539184999476,4,3,512,9,75,16,0.1659662455237979
0.0903499343082717,0.0830244078442053,4,5,512,12,75,16,0.3273618868376463
0.0947842958740795,0.0874003833026012,4,3,512,6,50,64,0.165727835384995
0.2224968630048648,0.2189590850230797,2,10,512,12,100,64,0.1524720265068195
0.2937412723968172,0.2914217077446309,4,5,256,12,75,16,0.3293065053522566
0.4078457255966624,0.405543418777914,3,3,1024,3,50,64,0.2565285562170913
0.507766591759924,0.5063994295330659,4,5,1024,3,75,128,0.2350710407705483
0.5394924225359559,0.5381327696228287,4,5,512,9,25,32,0.4895919730675358
0.6336295909933772,0.6326446412134953,3,5,1024,9,75,16,0.3107040544300735
0.6713869431935763,0.6704301518767181,3,5,256,1,50,32,0.2677546991591276
1.7486722749826162,1.7483049259415917,3,5,256,1,75,128,0.4746604414764916
1.844265814933929,1.84296249233158,2,10,512,12,50,256,0.0486084093327395
