,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.010093328982970308, 0.007452848035362607, 0.011421021481262533, 0.017046005289685914, 0.008123260066694409]","[0.01025979616576768, 0.008030081332179272, 0.011721564397366107, 0.01709973932682059, 0.008270629752575101]","[0.010127032668926532, 0.007440159171505511, 0.011264583468097106, 0.01666976190570419, 0.008122631918312459]","[0.010848110941855104, 0.007815813088981608, 0.01233360275400715, 0.02083004732723067, 0.008607592626769599]","[0.07778288396786287, 0.0805402564450195, 0.08041243312800236, 0.08003212925801823, 0.07949647922329996]","[0.01053576774280159, 0.0074769600400181255, 0.011435316168108327, 0.016774904159992953, 0.00829875233399372]","[0.009791273426652754, 0.007531782488296732, 0.011244533939960463, 0.016529156161636707, 0.00801828767060933]","[0.009961801799140895, 0.0074609713909275215, 0.0113714008334844, 0.01638505122972631, 0.008045699227710501]","[0.010311115077780458, 0.007434083445582165, 0.011354674664910877, 0.01667974198805488, 0.008174048772592219]","[0.021400287111290477, 0.018748254838592125, 0.021391988989308736, 0.02523424865335465, 0.02085165319775681]","[0.012471175454931484, 0.008876556985804307, 0.012545042949107077, 0.017953327983739373, 0.010069614025600748]","[0.010067243314569102, 0.0077531950848985535, 0.011488455780137791, 0.01680683541108618, 0.008050109252811912]","[0.009867065226567726, 0.007666681155833944, 0.011403650669652862, 0.01674936495616952, 0.008057325565711525]"
ETH,"[0.011660907859905183, 0.01080839789240244, 0.011593274544244352, 0.01576440207005513, 0.009909070658385173]","[0.011612941383609429, 0.01075555904772197, 0.011416075193039492, 0.01561033887448011, 0.009922628542532725]","[0.01154439283750095, 0.010710168446797912, 0.01133541167818905, 0.015466029240087604, 0.009864854367730323]","[0.011320664804330135, 0.011009866615133389, 0.011498498633032142, 0.015498741188241608, 0.009733413574580426]","[0.03377187650221315, 0.02965606501062458, 0.030904794597814037, 0.03387613221403895, 0.03171092806698402]","[0.011513343171865812, 0.010734354044862431, 0.01134248473134481, 0.015403479462560338, 0.00980208623815477]","[0.011752526950645653, 0.010744733383421926, 0.011444007094948307, 0.015519500696637515, 0.010011556810959133]","[0.011424914725362887, 0.01210263570426672, 0.012271898450735393, 0.01579536595342452, 0.010327630753147103]","[0.012081293158903559, 0.010844556211903455, 0.011526326608170564, 0.015578107998012052, 0.010097130877677208]","[0.027932632193494088, 0.021658134781316306, 0.025771620725171803, 0.023404905132517962, 0.02203079038742837]","[0.011373712548368836, 0.010972718728744727, 0.011358065906084623, 0.015429423923211602, 0.00967526085822332]","[0.011514067656000215, 0.011129534033882263, 0.011520489907638572, 0.015585687744631895, 0.009794009461837564]","[0.011376808051098693, 0.010905729508156332, 0.01146161755826316, 0.015455565164652041, 0.00974412105945775]"
BNB,"[0.011077514393066644, 0.011297479767910346, 0.012023242659443063, 0.015049235985799365, 0.008256091858749481]","[0.010768600399449296, 0.010793231631473364, 0.010974570628037956, 0.014296303268655594, 0.007834704441161914]","[0.010764122092076113, 0.010791723831376976, 0.010974276739446984, 0.01429403704294705, 0.007832466231711079]","[0.010795845190860345, 0.010960606196098475, 0.011117245060786558, 0.01468300193242478, 0.00786823275902638]","[0.018139628799721492, 0.017187688657919586, 0.01679311174941366, 0.019873296619504485, 0.015575391163682596]","[0.011147792955671271, 0.010955960657921818, 0.011079019779476684, 0.01443141677643464, 0.008084595110872663]","[0.011208808082780429, 0.011016343787890157, 0.01110672487984017, 0.014549514959833061, 0.008151795147990816]","[0.01080777546519685, 0.011493354039411359, 0.011919609727578318, 0.014578486992011266, 0.008740714426968296]","[0.010806395084545459, 0.010703043708129157, 0.010969447957104589, 0.014018021578032029, 0.007783000718400289]","[0.02605020087808964, 0.019652910788895847, 0.02010862602385614, 0.02902642648279881, 0.019538798017500414]","[0.010563340171591558, 0.010837849185864114, 0.011138906501683647, 0.014217606413265822, 0.007888904149250234]","[0.010919373219327698, 0.0109410534476958, 0.010917062955341108, 0.014267824712122753, 0.007902971345169155]","[0.010575920667336123, 0.010791219591289248, 0.01114200396842531, 0.014492604444527608, 0.007843101090128767]"
XRP,"[0.01398070515489922, 0.010806377749401812, 0.010095284491675452, 0.02162354562627596, 0.015303328449382671]","[0.013794376522438461, 0.0110613300130404, 0.009743984851863785, 0.020903441716618006, 0.01626062668613336]","[0.013427143215717833, 0.010616637863877659, 0.009822596420224053, 0.01993613481362397, 0.015215778405141326]","[0.014186910761785222, 0.010739282669840084, 0.009562699564845869, 0.020165236449446317, 0.015175314980095073]","[0.013425367473840662, 0.010524233927370374, 0.01007820056028594, 0.02006976600264969, 0.015140299540692214]","[0.013487177685854881, 0.010637562153254067, 0.009856538698407767, 0.02004246868295211, 0.015199010888469706]","[0.013384873185970697, 0.010621305769682008, 0.009814902287919378, 0.019920415761977377, 0.015161245229818304]","[0.013453182926558015, 0.010628437192977616, 0.009832010095273094, 0.019961033586947074, 0.01521341926115695]","[0.013620307352827408, 0.010601127617712442, 0.009791868853925313, 0.020839977076838958, 0.015036354828877328]","[0.02112832014606155, 0.020791179865605216, 0.018876658954455613, 0.024324885330686854, 0.02204745577386986]","[0.013664905888272037, 0.010584525226178412, 0.009867509794033539, 0.019908440102550995, 0.015208792044279973]","[0.013552875532717267, 0.010598044731609163, 0.009632725175965567, 0.02011492701700013, 0.015490610438139442]","[0.013398327430089021, 0.01075111309422447, 0.009902519708191896, 0.020018870964480087, 0.015033697473403235]"
ADA,"[0.016678649417572338, 0.014892708644813641, 0.014375534748381913, 0.018434548630037108, 0.012523158334815786]","[0.016568326225167018, 0.014850318310384102, 0.01434377600168257, 0.018529086656487444, 0.012447824253557577]","[0.01653229992302117, 0.014838245112096832, 0.014335607921741, 0.018515191244892107, 0.012416702984276476]","[0.017360764896109902, 0.01566440805842519, 0.014374113941310844, 0.018670632393406373, 0.012230527721074651]","[0.03113018905853645, 0.02809244915472581, 0.027500388968936453, 0.030692504337697445, 0.028086590916301706]","[0.017007476055736503, 0.014994247924825633, 0.01428526630860863, 0.018625935160518366, 0.012799888965968164]","[0.016433619137262996, 0.014809595672819757, 0.0143189787307426, 0.01848006167988237, 0.012334220010573516]","[0.01642542481051895, 0.014807154865256017, 0.014317846537663173, 0.018476972518828433, 0.012327383753839401]","[0.016201992256579378, 0.014878785824297023, 0.014347332274456266, 0.018383433820996525, 0.012221485246330028]","[0.07770806033668398, 0.05671610474839784, 0.08045281924505938, 0.0870408649058354, 0.0621485679814892]","[0.015946646664393646, 0.015257744658996163, 0.014984498058965389, 0.018637815026642055, 0.012287625689915893]","[0.016613646547555944, 0.015218439663848603, 0.01444336295278722, 0.018424152488519564, 0.012298762367129705]","[0.01635891017477841, 0.014878667106101086, 0.014486284254809986, 0.018475423561108054, 0.012160465578946771]"
DOGE,"[0.014981852715599089, 0.016720971906477748, 0.013449163288529256, 0.02013801722122257, 0.027582114260035404]","[0.014786177328921393, 0.016605584013467935, 0.013368155630767835, 0.01952939705821012, 0.026251200505689132]","[0.014686894320649003, 0.01644000226524805, 0.012944990545866654, 0.018848653823720612, 0.025773891719264027]","[0.014814230057435472, 0.017302413630051257, 0.012969731553712272, 0.01897554894488486, 0.026703993981969865]","[0.01565032199293866, 0.018012698026427756, 0.014887692286877797, 0.020179739271027838, 0.02616496925233925]","[0.014879202803746558, 0.016385389607468007, 0.012826242163538155, 0.01884692478919583, 0.02583541868174714]","[0.015025733297758012, 0.016546917031427123, 0.012980209571820474, 0.018870386308788824, 0.025998649271876353]","[0.014870267189644766, 0.01646269813369293, 0.012878489304127142, 0.018792607902024125, 0.025907992761925392]","[0.014632179028619208, 0.01659541908727528, 0.012973025230697132, 0.018800943381440817, 0.02563424504658828]","[0.0743469619814154, 0.05530462874480935, 0.05875459308995632, 0.06267566488269011, 0.0613657454595563]","[0.01554951983495806, 0.01818519937607714, 0.0149239051864112, 0.020090045303100393, 0.026337062645103163]","[0.014730896049388245, 0.016570904031027043, 0.012865633208306165, 0.018788241800460934, 0.025710852700333027]","[0.014656248958241178, 0.016563496011741563, 0.01299953559449676, 0.018981276337327525, 0.025712466908885328]"
MATIC,"[0.013788925534532202, 0.019867342113852497, 0.017884241264811647, 0.021426141775696947, 0.011954849026999956]","[0.014071515800398685, 0.020662002841479423, 0.0181780110208, 0.02190595063134765, 0.012118532499903977]","[0.013537371720569851, 0.019750245766274124, 0.0171158326426725, 0.02026830042406753, 0.01130971483991825]","[0.013274427858131722, 0.019793874637480703, 0.017259501367235273, 0.020469983268705923, 0.01143095733803249]","[0.035345229958034276, 0.03805159363691838, 0.03501723952770343, 0.036875026413626326, 0.033051934245107925]","[0.013449514650653041, 0.019714509070013226, 0.017102427420839117, 0.020247909136120453, 0.01128640295580306]","[0.014050511779649607, 0.02018746245160312, 0.01722525955761341, 0.020387018897683424, 0.01156505566753656]","[0.013529712063271903, 0.01977142920955196, 0.017097837401859082, 0.020274155550566053, 0.011264451263565251]","[0.013428794300381075, 0.01967516511171486, 0.01710201632501688, 0.02022920160332986, 0.011236054303243584]","[0.03247097413460007, 0.03078760821350245, 0.03147796581250987, 0.03620836580918212, 0.032579131420159876]","[0.014727195367904494, 0.020864443119059575, 0.01958973897522188, 0.022327542610711685, 0.014099575852470389]","[0.013386300876478645, 0.020224337941701136, 0.01712700227335989, 0.020307388198362728, 0.011182714841939096]","[0.013354448666630521, 0.019617782722919093, 0.0172558123008167, 0.02034036464245837, 0.011238231105959985]"
LINK,"[0.0141875439525751, 0.016859293469626353, 0.01781324432265105, 0.02006845095428992, 0.010748494405096372]","[0.013125362948467337, 0.015874119871988966, 0.01650802870772, 0.018414269738737485, 0.010578625185624833]","[0.013185053224114002, 0.015892828652553485, 0.016526654628829483, 0.018438054503607984, 0.010617502926631479]","[0.015521837891138859, 0.017124080588518463, 0.017589633901588023, 0.019244048651188363, 0.013020462157765806]","[0.028491291281903027, 0.028455150876417225, 0.029057914143570358, 0.030659267120638004, 0.026328917483380506]","[0.013631127060717412, 0.016376516361042964, 0.01646883173587146, 0.018779291214831823, 0.010668698387150007]","[0.012966147350147407, 0.0158489010700645, 0.016476997449909454, 0.018366194679762617, 0.010496915938113563]","[0.013755761550018553, 0.017019606331102347, 0.01654841114964134, 0.019426402362442745, 0.010522886934650175]","[0.014102429151587376, 0.016228852473167486, 0.016821995782214542, 0.01872092432716645, 0.01121512394434993]","[0.02961285055632209, 0.028533959833407927, 0.028107275622036347, 0.03430006557254403, 0.02585163050223514]","[0.01422894461068741, 0.016403466210868203, 0.01690474586376097, 0.019051021614993318, 0.011402765213508033]","[0.01297974690370938, 0.01586905520249938, 0.016474095336332505, 0.01835118212751671, 0.01046185266321071]","[0.013212824532809779, 0.015922795367403514, 0.01653245825487052, 0.018458559945402405, 0.010584818879013247]"
ETC,"[0.01958987018543006, 0.015298360576808768, 0.013819829643082088, 0.02176007517946162, 0.012838508240744671]","[0.019686541216340527, 0.01525076315899677, 0.013799609099452383, 0.021370037629036318, 0.01286815587963992]","[0.019540453333614052, 0.015229045462427091, 0.013738336282530397, 0.021337067219775435, 0.012774337444697912]","[0.019783605911436894, 0.015478464018519746, 0.014045307927323655, 0.021468663392713593, 0.012830246025032677]","[0.02459237754171353, 0.01921187492560385, 0.018022391422141928, 0.024701215644006017, 0.01840494862171597]","[0.02004687230144872, 0.015366476758447618, 0.01390099138319618, 0.021651424226400463, 0.013189043470568557]","[0.019620260241024198, 0.015232138250445903, 0.01378247093756009, 0.02135022677622143, 0.012813196182094541]","[0.019753393744631424, 0.015271796904746629, 0.013819911960449236, 0.021389484153849836, 0.012920378029318565]","[0.019745220606628772, 0.015260160442190538, 0.01386439676745522, 0.021673752382871184, 0.012451142982888186]","[0.02317134514463906, 0.020922583566699394, 0.02146472929431116, 0.027934132036475618, 0.020192192537485335]","[0.020047060550781655, 0.015683499437306462, 0.014010053435862346, 0.02248150948365823, 0.013072821991890917]","[0.020105035688996048, 0.015499388798634614, 0.013906765674967304, 0.021294352297840297, 0.01270963800642942]","[0.019498565199399513, 0.015344831560712814, 0.013782701882448949, 0.021427780091497296, 0.012774763614684567]"
XLM,"[0.010492054673184145, 0.01137672964149299, 0.011317947628094798, 0.015440761108553224, 0.014212134341791385]","[0.010465801162446149, 0.011211288006833447, 0.01089014088654103, 0.014582772780627265, 0.012852004437096666]","[0.010477838397500718, 0.011214694788050997, 0.01089394306695003, 0.014587599626315043, 0.012860275103966347]","[0.010322620847765586, 0.011802974626121737, 0.010942948048254873, 0.014659626697087168, 0.013029009723644975]","[0.07955422662663733, 0.08183833029089553, 0.08168538993433966, 0.08166693686328065, 0.08042499190699455]","[0.010874905832913097, 0.011153654079957345, 0.010918628569526322, 0.014830116244307011, 0.013432363075879106]","[0.010445053096055925, 0.011103696270795547, 0.010818791486846627, 0.014587241390484932, 0.012769476200361791]","[0.010349630320380622, 0.011081446843100397, 0.01080752899905456, 0.014572844840549064, 0.01270300070071691]","[0.011058860501300394, 0.011304716183184635, 0.01106707021366993, 0.014876337772308736, 0.01319395574850172]","[0.014819562956110588, 0.01754290214015895, 0.017462523997277376, 0.018245429909915113, 0.016375425862996673]","[0.010250280870818074, 0.01112146312467717, 0.010827845519817636, 0.014525922630784678, 0.012736433271216653]","[0.01026269408658871, 0.0113317329675352, 0.010843926439201368, 0.01452409164555728, 0.012674133062629572]","[0.010308810973154158, 0.01124226259604547, 0.010900153130149621, 0.014597294922235706, 0.01264637574300149]"
