,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.035694986963801606, 0.03640662203542027, 0.04061892642012702, 0.03301834832528296, 0.02715088849060642]","[0.038579366319645106, 0.039785887079661686, 0.04110083130894664, 0.03461919775646751, 0.031394245375880904]","[0.03633007488621943, 0.0352225531417325, 0.0400360390626058, 0.033197564102618246, 0.027530542136331444]","[0.03571582268054741, 0.034959096169634656, 0.03828863029463727, 0.03164695646955558, 0.026321030507391395]","[0.11785731884050514, 0.12217688200828189, 0.1270548174290705, 0.12175519784876564, 0.11390449863766361]","[0.03556083535212006, 0.03505513279883948, 0.03848651764096881, 0.03233425020759314, 0.02580638012193801]","[0.03576341089780569, 0.035523916080960345, 0.03925207687613664, 0.03243359355252744, 0.026364241197727793]","[0.03578192847949445, 0.03551718657918543, 0.03899007910804341, 0.03251125407974326, 0.026183747551815125]","[0.035340391092084644, 0.034691565647376583, 0.038666210592395465, 0.0316296574078549, 0.02622245456233432]","[0.05309216291368901, 0.046180005962015575, 0.0513740784767896, 0.05060885880382617, 0.0522128841034387]","[0.04204161737579487, 0.03922489322812525, 0.04039315952615573, 0.03601076597002916, 0.035910416642711336]","[0.035521510145112505, 0.03432649913879728, 0.03819208745269728, 0.03145942461194124, 0.026218292158773793]","[0.035458671763055276, 0.03435412052883118, 0.03799285636287169, 0.03147880049286553, 0.02640942010851142]"
ETH,"[0.04499891709507195, 0.0419127556034703, 0.054886680582478205, 0.047269463469661294, 0.02844052464933263]","[0.05241038001256635, 0.049950922155822676, 0.058600249119874374, 0.0525102501444473, 0.03422818316669907]","[0.049303176877692347, 0.04493026779905534, 0.055466697857218576, 0.04760645802204082, 0.03127215405366128]","[0.04519117278840172, 0.041051546117655845, 0.05267508726919458, 0.04597802351379059, 0.02821854587915324]","[0.058724934616105284, 0.048975743153741806, 0.05755435331901876, 0.05445629707124559, 0.04087824230220388]","[0.04994722286537769, 0.04395089193644851, 0.05448576991468582, 0.0507238866980473, 0.02969498804427358]","[0.04392108979106532, 0.040643830400618454, 0.052840457522171654, 0.04599319596877546, 0.02757679729937158]","[0.04409305722768465, 0.04154812453494191, 0.053959702364350534, 0.046905581363201394, 0.02806260720579826]","[0.04455704100816912, 0.03997132058303422, 0.05170338617562024, 0.04577672613068405, 0.02786642376230105]","[0.07385991240809701, 0.06462751097230554, 0.07221096357102565, 0.07625540495328234, 0.062223319161864875]","[0.04807782088380027, 0.0431910845467317, 0.057044068433795156, 0.04863974439044297, 0.03012500406592829]","[0.04446410229077361, 0.04035499052465779, 0.0522825478269078, 0.04580212935057684, 0.027852395451612687]","[0.04422806565538249, 0.04001152609049477, 0.052009225898141546, 0.04585577972511536, 0.028070268557055685]"
BNB,"[0.045020469424170984, 0.040343586238976714, 0.04625611814650204, 0.03455357796283688, 0.027268882312216705]","[0.0589468281809218, 0.04691292848207556, 0.05083326593038828, 0.04620770109629335, 0.036827242469998925]","[0.04445977469944913, 0.03772270252646092, 0.04523261524034874, 0.03506590680711101, 0.02684517114518378]","[0.048315397035352925, 0.04257065631090355, 0.045823357344203654, 0.03482151876806256, 0.027062485433769927]","[0.049504496181998765, 0.04165314299749333, 0.048422954801802365, 0.03847898939495613, 0.029125954746144087]","[0.04637099243102095, 0.036804934475316076, 0.04366413496398612, 0.03476806678735748, 0.027039524725196225]","[0.044802965864017656, 0.038629087970688814, 0.04600272194265462, 0.0358349836607368, 0.027789691692972553]","[0.044658508552762544, 0.03946618128279689, 0.046679002944292, 0.03467473704729462, 0.027395216565381495]","[0.0451406889039796, 0.039481614561367194, 0.0468556525674629, 0.03666273002442965, 0.028747889470455038]","[0.09139033201247272, 0.07121768240187465, 0.07391075001985536, 0.07560683403819936, 0.07414038604952966]","[0.04650676987293007, 0.03717146913633921, 0.04425696049501196, 0.034757328499949114, 0.02785173727513715]","[0.04608429599321315, 0.03771652247075296, 0.04452197282910315, 0.03455391488531469, 0.025938892003856722]","[0.04513360703888779, 0.037120743873144665, 0.04473695280408001, 0.03449849379240933, 0.026144664013391723]"
XRP,"[0.05401730723639363, 0.04454731084594851, 0.04598577855907368, 0.04722766612037884, 0.035178197138449]","[0.06374833013117837, 0.05222359538802777, 0.0550859411537979, 0.0541961686315866, 0.04129259819505168]","[0.05613482174638116, 0.043906833758263195, 0.047346915501341486, 0.049569301169103755, 0.039627556630864466]","[0.05558061560274402, 0.05212939355818373, 0.05299187931269849, 0.049601850677949685, 0.03886951432400264]","[0.05438402895990608, 0.044675111508841424, 0.046001289940736656, 0.048111343784161084, 0.03742376112668976]","[0.053652020068310574, 0.044493704455917646, 0.04522190649210681, 0.047188737050423986, 0.035472084361472284]","[0.05390689118236759, 0.04452626528994124, 0.04493622338553909, 0.047430700772180145, 0.035364652241340444]","[0.05462952599514804, 0.046615075306846616, 0.048752756497802446, 0.048866793985721406, 0.03658144290928436]","[0.056758886772452104, 0.04986648963709023, 0.051912288410915185, 0.05138579525802732, 0.03871442342062842]","[0.19499501745093686, 0.1888744981359117, 0.16786763121519238, 0.14706919892054002, 0.17261082048449283]","[0.085484784869677, 0.08360709790822121, 0.09068103901262381, 0.08367874172681557, 0.07867188539023255]","[0.053812575398541666, 0.04460813841534225, 0.045014565533586015, 0.04752901768549364, 0.034467581734994215]","[0.05409976947038594, 0.04471482915844389, 0.0452350797443701, 0.04767626297896664, 0.03531695241549713]"
ADA,"[0.04957032077050683, 0.055362677431687594, 0.062040998286635604, 0.03970368854498544, 0.03665392832715252]","[0.057436103655122014, 0.0631302515130689, 0.07203878510306476, 0.05500163441785845, 0.04792617039260662]","[0.04882923910371216, 0.05132975593433714, 0.05986613567775709, 0.038959464377360975, 0.03575523062624909]","[0.04955873630083433, 0.05206445135556558, 0.06025788956576161, 0.04026550569843107, 0.03735456301070399]","[0.05322437248720487, 0.05726500399057949, 0.06585503817903104, 0.04586545725900558, 0.04098722183032495]","[0.04979253617472388, 0.05248388868391529, 0.06139262575653173, 0.040922106969925945, 0.03660894576479579]","[0.04903798754572498, 0.051156514452894424, 0.06022812331100186, 0.039387786922276284, 0.03577895528928363]","[0.050656933588396985, 0.05364537708784546, 0.06311368474478926, 0.04283222725545953, 0.03811670810156739]","[0.04887371716941511, 0.05085311859956368, 0.05974458628055863, 0.038825751626316275, 0.035663169955586445]","[0.08864124630015212, 0.09147691964915884, 0.08065048388969212, 0.07561018385945482, 0.07787938265021269]","[0.05222121110978109, 0.05345633724409323, 0.05958153000518107, 0.04107606409842602, 0.04027786398376422]","[0.04934628302544773, 0.051479267371131274, 0.05938726416349591, 0.03895938216436493, 0.035548678682138804]","[0.04911041248891025, 0.05096822598208451, 0.05968315804105016, 0.03850112252436339, 0.03618774488747884]"
DOGE,"[0.05750541748916142, 0.04291999707442013, 0.06140261884380797, 0.08394495188050922, 0.03970167710219823]","[0.07006713841455584, 0.048120143898018886, 0.06588005842578112, 0.12350162467925369, 0.04360197499553856]","[0.05588026698915476, 0.043944213282962725, 0.06268574770127087, 0.06356878734954731, 0.04104018073808211]","[0.060832501737999506, 0.04208975335643823, 0.06194581058601626, 0.0648681988205376, 0.04090689109340797]","[0.15395195317644444, 0.15168570838561687, 0.16171618328063558, 0.15301066749021391, 0.14999954145803587]","[0.05904833834113629, 0.045376689677789885, 0.06585643615083046, 0.06401907028700213, 0.04409013285815155]","[0.059525293245741254, 0.04820823737728806, 0.06518923394262952, 0.06509624964161437, 0.045788916700635666]","[0.06015228056944254, 0.049763484504994494, 0.06656755972768039, 0.06677020374438217, 0.04703601826273736]","[0.06370117681156034, 0.05415774508195855, 0.07049626375270333, 0.06909637240857217, 0.051669742270055545]","[0.10502687145590078, 0.1044006639340793, 0.11030268063274488, 0.12446471610495027, 0.1138163001461016]","[0.09370385999856261, 0.08605150374135151, 0.09942907955647882, 0.09597888292304954, 0.0865467324422807]","[0.06431113326329983, 0.041909889536086126, 0.059705173785175564, 0.06370788922961586, 0.0396332803901237]","[0.05582352141737797, 0.04224510848487101, 0.06018801311361103, 0.06392012811638575, 0.039823181753496674]"
MATIC,"[0.07655002395485067, 0.07216074581176082, 0.0814205250961049, 0.0711885059120033, 0.05314414657245788]","[0.08540647800977967, 0.08352050330600513, 0.08591547577946544, 0.07550334832247425, 0.07088590808504429]","[0.06606499256186854, 0.05846478862942549, 0.07482955088286736, 0.06043657341838667, 0.03818571147338193]","[0.06738550615494361, 0.059102997832571516, 0.0747126829434805, 0.06056062707282318, 0.03861579291852166]","[0.06885937603473684, 0.060767399722789744, 0.07451803698811463, 0.06151476979197495, 0.04217464037790157]","[0.06705922037930175, 0.05899882386159318, 0.07393357516265087, 0.060261245954278474, 0.03923921283614544]","[0.06824071700913471, 0.06139970355256203, 0.0784132946406647, 0.06324330208365966, 0.04152188824687584]","[0.06915833401080036, 0.06084631035387929, 0.07475088113970978, 0.06206882771390032, 0.04225496518233077]","[0.0661606124708673, 0.058762103448902814, 0.07529546126062922, 0.06157766209662905, 0.03856345508620129]","[0.1029159544241688, 0.11275302629216517, 0.1420756761355817, 0.10145755160175629, 0.10792108947291636]","[0.07115141437226766, 0.060130142738811544, 0.07925089338033368, 0.06346203312513327, 0.039112611736656824]","[0.06555493554366477, 0.059412440361249944, 0.07444734289972288, 0.060214186886638016, 0.038390598281307184]","[0.06632551106178106, 0.05870391848609631, 0.07478447863230012, 0.05970792373272337, 0.03849019737723341]"
LINK,"[0.060725103861656644, 0.05726554430618191, 0.0686377641387447, 0.05432123812144522, 0.033242093505904693]","[0.06602422984315229, 0.05844242870102269, 0.07096113860963343, 0.05612419589311965, 0.03578766067610672]","[0.05734422858365847, 0.053680280890982826, 0.06157266103489512, 0.049613694530754114, 0.03333537322448309]","[0.06906586547625096, 0.06100251037900881, 0.06893130038925734, 0.0500674326347109, 0.03778376071458291]","[0.07834844549784138, 0.07185777212989766, 0.07544889362644452, 0.07219759739007976, 0.054684583933787625]","[0.05703708547494228, 0.054244353523327696, 0.062008520938913014, 0.050114863841453854, 0.03356505431332368]","[0.057347593851146426, 0.053959170683740114, 0.06201169932028047, 0.04973635342647465, 0.0335344811576902]","[0.057355757823577026, 0.0536281612116504, 0.06139937780538049, 0.04957500939241744, 0.03332710527416838]","[0.06591222766117719, 0.060668512689814595, 0.0648387863569445, 0.05612195784445349, 0.03537959800970938]","[0.09474052754220212, 0.0903910029793221, 0.09317920473811159, 0.08315913077439958, 0.08668570486141691]","[0.07052680435492001, 0.07214502462773792, 0.0808936791045347, 0.06768058722830063, 0.05749769234860169]","[0.05690641777376543, 0.05510230287505461, 0.061678155069258125, 0.04982621911357346, 0.033516776085181596]","[0.05716385020905085, 0.053914103819141336, 0.061838187773836796, 0.05003983886540535, 0.03325087206249034]"
ETC,"[0.04710551615884203, 0.04912039391918682, 0.07117524258847976, 0.056768044531065154, 0.04128808606840881]","[0.051194494266208763, 0.05208137867330786, 0.07106423684682475, 0.060259856838072993, 0.04779612399959304]","[0.04720498329074858, 0.04942788697476857, 0.07213278357976188, 0.055822719145986424, 0.041304103225097435]","[0.05660740238237174, 0.0581989799010073, 0.0808343458766193, 0.060404556240699084, 0.04811724129290266]","[0.0478119640720064, 0.04961026035790383, 0.07237630606534304, 0.055803499413435306, 0.04233987242858281]","[0.04981089699566923, 0.051520304461444504, 0.07475527099356744, 0.05615669167473995, 0.04288121338150856]","[0.047106670584321754, 0.049695717756955256, 0.07179032137803855, 0.05491498592348559, 0.04129473956811909]","[0.04751476608299271, 0.04980939267555104, 0.07221452691967635, 0.05632893821801895, 0.04153733530647221]","[0.04954434992866753, 0.05098667500336343, 0.0702595247615518, 0.059855039658856815, 0.04619462453767401]","[0.09341652724961293, 0.09873665668590126, 0.09564463720916667, 0.08662834128698259, 0.08331687120061917]","[0.04950904619155454, 0.05150611938466636, 0.07322688097040617, 0.056300721810749736, 0.043723573593545506]","[0.046847052262314816, 0.04911712037390937, 0.07179021992596221, 0.05515634342350586, 0.04104119564333237]","[0.0474673804645248, 0.049954750205215386, 0.0717371360509728, 0.05516364004748577, 0.0413222685838813]"
XLM,"[0.052657952505560775, 0.044554533393030664, 0.04623074867530742, 0.0401515575535088, 0.028768682305959057]","[0.060394073876188344, 0.056327085630807225, 0.054470253152368295, 0.050027704754792804, 0.0369225124023986]","[0.05146960091287846, 0.04351199592552125, 0.04726297312888088, 0.0392415444180423, 0.028578117788052335]","[0.052234095174470176, 0.043461350552961325, 0.04780029475952231, 0.04100275242413737, 0.02983679796487531]","[0.05896737930467972, 0.04923650151865551, 0.05112019883412101, 0.045748981051808885, 0.04136808132422094]","[0.05105440411872502, 0.041971222343296366, 0.046958505249022904, 0.03831107533384486, 0.028105675559671115]","[0.051941185337408435, 0.04457074633617743, 0.04950630024304677, 0.040947919581305774, 0.02987310896434342]","[0.05130274673176698, 0.0427916534657092, 0.04752298427424567, 0.03923385731325649, 0.028387198285147578]","[0.051324373105700795, 0.042575822034266866, 0.0466485296014931, 0.03812581869106161, 0.028359347712161437]","[0.07696493196916282, 0.08105487338604597, 0.08289176008040566, 0.07270681796024302, 0.06650283113745242]","[0.05185550388632265, 0.042776335005708474, 0.046675824553141086, 0.03865464691142437, 0.02893435360984326]","[0.051016082007768665, 0.04260366069914849, 0.04673248945777198, 0.039030083492503226, 0.028396550098594046]","[0.05128714090979917, 0.04222988226640801, 0.046872807053143, 0.039292289398667746, 0.028623266272901463]"
