,RandomForest,XGB,LightGBM,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
LTC,"[0.0007491413233049171, 0.0007119089231311068, 0.0006562472834522695, 0.0009759595189513042, 0.0005072312127086881]","[0.0007112056847212795, 0.0006669297700002737, 0.0005949793310963971, 0.000896321625528679, 0.00048538138176699834]","[0.0007113665112027801, 0.0006669607180599401, 0.0005950329285304416, 0.0008963245827153032, 0.00048540857086314647]","[0.02778507766149894, 0.027684994903915374, 0.027696220122978104, 0.027678963162592277, 0.027675424670116727]","[0.0007444335966722007, 0.0006800001204997015, 0.0006138138413341109, 0.0008977488153570004, 0.0004978042981720961]","[0.0015320644988050726, 0.0016258058940185655, 0.001584162098419173, 0.0017522255631797661, 0.0015691645184674951]","[0.0006996941219843197, 0.0006921004295204244, 0.0006181898320574084, 0.0009204822686581852, 0.000523267571726497]","[0.00072415334881677, 0.0006746911566543235, 0.0006029162947257316, 0.0009024531613572098, 0.00048762106195269193]","[0.0015171981384739114, 0.0016605573048617385, 0.0014817535838355714, 0.0014756208773083993, 0.0012882195457445326]","[0.0007878792148575739, 0.0007117666124065098, 0.0006497924955410772, 0.0009246925594617967, 0.00054133879385736]","[0.0007060052094013798, 0.0006813337372260234, 0.0005938037320478105, 0.0009003213191741413, 0.00048594972703885783]","[0.0007092172131727674, 0.000675444009321403, 0.0005971928906364233, 0.0009027202600780852, 0.00048452782161188]"
TRX,"[0.00023009962311449476, 0.0002976425095895953, 0.00043615593545183413, 0.0004984027916596638, 0.00027587926741242367]","[0.00022400441771097194, 0.00028691362241349154, 0.00039900712812003205, 0.0004627438870917689, 0.0002692678083741898]","[0.00022504259212052942, 0.00028710883504541693, 0.0003987630670312089, 0.0004624614779617376, 0.00026953409707806963]","[0.022087389001169792, 0.022121939737856425, 0.02214980435652618, 0.02215792790412347, 0.022116671492711064]","[0.0002257538609682161, 0.0002916340032108512, 0.0004051558348231668, 0.00046551641562233285, 0.000270984456070905]","[0.0004252611748726351, 0.00048390155642598945, 0.0005739244323348313, 0.0006231380440665072, 0.0004716619026479544]","[0.0010287219394180512, 0.0010188303083853384, 0.0010342934149360614, 0.0010557636767958346, 0.0010162978395686826]","[0.0031401933805603527, 0.003175819348117065, 0.0032129298796047825, 0.003229007125524597, 0.0031713507228663296]","[0.003200394759244457, 0.00557301644348528, 0.005563165270387086, 0.004718738465810382, 0.005161721042153432]","[0.0015382666423216997, 0.0015722194954784178, 0.0016155380640890493, 0.001637628678406491, 0.0015667708216050254]","[0.00022525309753732974, 0.0002905662054509012, 0.0004008635008439833, 0.0004660427797127187, 0.0002691827817377235]","[0.0002248743647219444, 0.0002896488372606333, 0.0003990569358420494, 0.00046770435427431257, 0.0002732648827651519]"
ATOM,"[0.000895688948987932, 0.0008196759989899637, 0.0006898872600415265, 0.000951315029461854, 0.0007042286852867514]","[0.0009057186514169499, 0.0007884698880343028, 0.0006485947272730115, 0.0009340263487393892, 0.0006817291547615089]","[0.0009044200781179877, 0.0007896205761485546, 0.0006497003157664442, 0.0009354431537094964, 0.0006809630238952462]","[0.01818176986645334, 0.018049842117282784, 0.01805641457128744, 0.018037495421301467, 0.018129780851687136]","[0.001095102712360529, 0.0009409715282124368, 0.0008334275922306503, 0.0010544301246797286, 0.0008985376540876866]","[0.0009436846604223817, 0.0008772481079850688, 0.0007511849768415685, 0.0010172009200542325, 0.0007520153714756403]","[0.000904856798694009, 0.0008106676741536128, 0.0006787162259691205, 0.0009556361930960682, 0.0007023770881040262]","[0.00123451299618801, 0.0012340210793037331, 0.0011457024032692999, 0.0013470982833663817, 0.0011128867032729607]","[0.006325130455151092, 0.007610148024394303, 0.00937298702993407, 0.007625739244472936, 0.007629107885825377]","[0.000929397897913946, 0.0008520907281110016, 0.000720679597657871, 0.0009944266803881578, 0.0007261122720825161]","[0.0009256896871823114, 0.0007845602890624243, 0.000648367915831844, 0.0009354853878103173, 0.0006715782892782368]","[0.0009239661793290695, 0.0007895011724480884, 0.0006559652343303473, 0.0009425777016185114, 0.000687751657968537]"
XMR,"[0.0004992084976822967, 0.0005562783477376449, 0.000574645686281649, 0.0007603231456651054, 0.0004220165144585607]","[0.0005053078944828926, 0.0005412663871463279, 0.0005793075550774799, 0.0007178134445894856, 0.0004126206611829909]","[0.0005053041367047494, 0.0005412628957411461, 0.0005792678605343977, 0.0007178107825455392, 0.0004125924852012438]","[0.0047540324139744685, 0.004759830929159508, 0.00470765277042978, 0.004784086509571358, 0.004717888060135082]","[0.0006861236447001431, 0.0007151893196540997, 0.0007806281496339667, 0.0008571155833075098, 0.0006419247615444038]","[0.0025363999666644503, 0.0025438446709756717, 0.002488142558386961, 0.0025871472825940356, 0.0024898553706526865]","[0.0005067626734932058, 0.0005429180000260021, 0.0005842107369638328, 0.000719230106242445, 0.00041672973749342675]","[0.016992487482317745, 0.016990292360102223, 0.016914537537748416, 0.01699181596448015, 0.016954485885463]","[0.030339821687301444, 0.026227221423942352, 0.025678306733319587, 0.022750915794735992, 0.0282040725188644]","[0.003487790691282917, 0.003493333145413531, 0.003433501915150299, 0.0035244342615282803, 0.0034453773383341015]","[0.000524010507605488, 0.0005692717219404219, 0.000584933632425187, 0.0007097735902739386, 0.0004090789619018133]","[0.0005053971921149117, 0.0005433976061500313, 0.0005914043997045186, 0.000719520042665606, 0.0004112493212546277]"
VET,"[0.0008804002244738064, 0.0006857502150150692, 0.0007515151652448129, 0.0009140868368192487, 0.0004909312972580204]","[0.0008550198279691593, 0.0006886839570736182, 0.0007349538458234207, 0.0008776366532062016, 0.0004866346591538272]","[0.0008550029115144868, 0.0006886831463182452, 0.000734931456048406, 0.0008776701414049841, 0.00048658023519080316]","[0.024412528156077595, 0.02443721221887435, 0.024427517847761263, 0.024439771181920637, 0.024407457376435262]","[0.0008959831556771183, 0.0007443303800986739, 0.000778178576260456, 0.0009378803826544671, 0.0005428158595897759]","[0.0008750240360291115, 0.0007197897254286831, 0.0007573237564518201, 0.0009132118759471839, 0.0005132929138466091]","[0.0010837378549591594, 0.0009735696715050235, 0.0009897072926978508, 0.001144138833049413, 0.0008087637318407657]","[0.01169174954523155, 0.01165409568958904, 0.011681739384350671, 0.011636675401008337, 0.011678912521507401]","[0.0018272643882405821, 0.0017050789677564512, 0.0016041751995383184, 0.0016943794813969331, 0.0017182853842162683]","[0.0071771327572643035, 0.00713699262557391, 0.0071662273045380144, 0.0071132873356514244, 0.007160450324927412]","[0.0008549504979420942, 0.0006920180789677257, 0.0007396786142281428, 0.0008758707376910525, 0.0004878056803329298]","[0.000859861608323506, 0.0007038527420045984, 0.0007482405886761012, 0.0008885690722419402, 0.000493252212116962]"
ALGO,"[0.0008994773686330983, 0.0009112039333657126, 0.0011529011233660609, 0.0011203951206065366, 0.0005346021591630029]","[0.0008761957766597219, 0.0008388601197985348, 0.0010701211665697873, 0.0010070522729628334, 0.0005368657858054718]","[0.0008764405421270383, 0.0008392093701618846, 0.0010702839536731181, 0.0010070059228096456, 0.0005368648519301088]","[0.0032349187232289735, 0.003253757903491917, 0.0032814464901502324, 0.00318655111347503, 0.003081528919575454]","[0.0008916347020648925, 0.0008573641122291133, 0.0010783345167920332, 0.0010091720368561148, 0.0005462973515901727]","[0.0008814130634857181, 0.0008459544110435523, 0.0010737387934978805, 0.0010069844046303035, 0.0005382404189913049]","[0.0010169676830153493, 0.0009631013460459334, 0.001198591022221912, 0.0011948430666986753, 0.0008242813892442849]","[0.0008895220569102568, 0.0008462288692953798, 0.0010978338508330113, 0.0010470671706719838, 0.0006068091167646286]","[0.02032701063270959, 0.014241482506811964, 0.015579579645889933, 0.01108263258743528, 0.01587217538472862]","[0.0010093559723386141, 0.0009539227897714308, 0.0011731927861583398, 0.0012231724411017621, 0.0007931640133801424]","[0.0008857104056510504, 0.0008303858260252587, 0.0010675112890286438, 0.0010127206592083211, 0.000546164786599457]","[0.0008827083982037526, 0.0008387482789547157, 0.0010682027901759053, 0.0010198051941338214, 0.0005378775368211116]"
EOS,"[0.000988870319167336, 0.0008292961422198822, 0.0008199754825041356, 0.0010694328738570234, 0.0008473828859031139]","[0.0009455938611396362, 0.0008279325987066731, 0.0008395956440619582, 0.0010147149686368453, 0.0007810247524664615]","[0.0009460259138834793, 0.0008281989824647438, 0.0008397693605519225, 0.0010146919847696398, 0.0007812351617750878]","[0.011018521189257387, 0.011093322041038663, 0.011119071190588416, 0.011207621542817767, 0.011107568192204743]","[0.001188454813088785, 0.0010638966061807913, 0.001055175889566647, 0.001168127939790125, 0.001014126423425262]","[0.0009473140170785183, 0.0008289802900959418, 0.000839692932122437, 0.0010133783872166703, 0.0007814631631168287]","[0.0009869891725550084, 0.0009080675115923157, 0.0009314201068567502, 0.0011160016782493056, 0.0008756816416506521]","[0.0010996659997388263, 0.0009925952003199986, 0.0009620752707395033, 0.0010881414004853128, 0.0009249027275275378]","[0.003567783613062527, 0.0032065061512664386, 0.0041896736840429435, 0.0036669444570998446, 0.0036199845372923856]","[0.0010273080117130158, 0.000867566178940744, 0.0009734428089092398, 0.0010996804398654934, 0.0008523041657257256]","[0.0009348451934403321, 0.0008246179301401329, 0.000819356372534336, 0.0009988889732164084, 0.0007711594579235099]","[0.0009458034874640119, 0.0008250820564976135, 0.0008304665299110209, 0.00102909515602422, 0.000773880740795569]"
CHZ,"[0.0010893197545144627, 0.0008299317893652437, 0.0008801987194745408, 0.0013083644263263635, 0.0006643011271838838]","[0.0010731695029770785, 0.0008275327339384719, 0.0008662930762609977, 0.0011875111764607336, 0.0006617734054416499]","[0.0010709461078189165, 0.0008278965806981243, 0.0008668590944212681, 0.0011878500801286414, 0.0006613947938369187]","[0.014556416689895109, 0.014714969289095159, 0.014726526788277773, 0.014746980739783698, 0.01466984676995884]","[0.0011797951820793824, 0.0008952091143557151, 0.0009260618194359515, 0.0012341931728667593, 0.0007618090365437681]","[0.0011542530457768695, 0.0008736770872560625, 0.0009065089426409826, 0.0012185378477248634, 0.0007330888395052383]","[0.001237029863747004, 0.0009471853504900336, 0.0009753240913513186, 0.001270966327656183, 0.0008276168065577816]","[0.0012338393575801688, 0.0009403351720116744, 0.0009591894531113888, 0.0012966171153362873, 0.0008039510741728105]","[0.04555698389794332, 0.06082466696400182, 0.057542389525993866, 0.05395902638773436, 0.06398451214025588]","[0.006412867954381393, 0.006550768540217447, 0.006567022381718186, 0.006614440304234896, 0.006496679307613508]","[0.0010668633696509868, 0.0008100504970732544, 0.0008611385741554847, 0.0011387815029264541, 0.0006476404350657695]","[0.0010617414012606124, 0.0008508924677677911, 0.0008674355072884346, 0.0011974379255091667, 0.0006608160733569043]"
IOTA,"[0.000763385934850515, 0.0007288471363200227, 0.000848361835746189, 0.0011585178491841416, 0.0005822039359432034]","[0.0007473523865609928, 0.0007258706134281714, 0.000840880112426578, 0.001091138508642297, 0.0005568096518073899]","[0.0007460792354518644, 0.0007243002720045377, 0.0008404317482187061, 0.0010910987294460055, 0.0005572514269204698]","[0.00804899485588992, 0.008064167232836532, 0.00801114760963389, 0.008012227514708259, 0.007934294750390229]","[0.0007441353218653779, 0.0007215165062414797, 0.0008412051257733501, 0.0010946827948177394, 0.000560589025019124]","[0.0008418863693858522, 0.0008282743762524248, 0.0009110513149284836, 0.001139157406355487, 0.0006350921542535301]","[0.000741907849732551, 0.0007191558327367655, 0.0008423212124956239, 0.0010928676153736047, 0.0005684718536576236]","[0.0007462009330352189, 0.0007240731730088147, 0.0008403708127672078, 0.0010898770622294516, 0.0005570691846138846]","[0.0028150192558102347, 0.0035550789347738414, 0.002952079083731955, 0.003266992370880426, 0.003301748492017851]","[0.0021276938147084022, 0.002115892429350669, 0.002199139697038429, 0.0023571296097217526, 0.002147848845946436]","[0.0007455562257484609, 0.0007248354367708059, 0.0008506111025083534, 0.0010756850246350115, 0.0005647112863491664]","[0.000739633030690552, 0.000724826606488428, 0.0008603808645546529, 0.0011267955013788068, 0.0005632684357745293]"
NEO,"[0.0008825725094430761, 0.0007831662880413206, 0.0009554308537766242, 0.001272720923518777, 0.0007523918758231132]","[0.0008847577678352488, 0.0007690084365357594, 0.0009449362413632954, 0.0012739642297569724, 0.0007529606899146804]","[0.0008844959714854957, 0.0007684834170653482, 0.0009448576986439415, 0.0012742063800407152, 0.0007527926571550923]","[0.010061972975105998, 0.009997330087904882, 0.010119255796282417, 0.010284732026012707, 0.010086431493321257]","[0.0015372360379005705, 0.0015222459257837968, 0.001529691036177256, 0.0016571636525991246, 0.0014346711407749266]","[0.0009211512013099142, 0.0008251363110096418, 0.0009677207538299406, 0.0012711121665204342, 0.00078658513721926]","[0.0009142912591183481, 0.000816048117966977, 0.0009621489826816013, 0.0012696911882882074, 0.0007796902626382877]","[0.002149584927125526, 0.0020349535054668185, 0.0022385506684018505, 0.0025104646463492007, 0.0021405327233925834]","[0.019487713772746006, 0.018792103240323633, 0.02036724952232942, 0.0165884183128598, 0.02481061884855441]","[0.002624138425937626, 0.0026436086849228897, 0.0025932140565714016, 0.0026079053796725623, 0.0025478560009899636]","[0.0008987574163112495, 0.0007700562935525675, 0.0009491638251399674, 0.0012729960213573237, 0.0007515951591254042]","[0.0008981320459063047, 0.0007624902781826686, 0.0009420887034755781, 0.0012765305888361048, 0.0007575416182308309]"
