,RandomForest,XGB,LightGBM,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.000454504234002501, 0.0005081887971709473, 0.00039469731549587433, 0.000424341372154726, 0.0002641976023572303]","[0.0004471149695430054, 0.0004984093439404179, 0.000386871141458945, 0.00040497954550094886, 0.0002467117964989298]","[0.00044682802137682514, 0.0004979669735985894, 0.0003863463202339662, 0.0004048668867423939, 0.0002463224111479992]","[0.01868060519203271, 0.018708096027021816, 0.018700442166408576, 0.018655524639683025, 0.018667331999749723]","[0.0004899644071906635, 0.0005463012624404153, 0.0004448252094967537, 0.0004419568035262991, 0.00031243692699344693]","[0.0004459750932590137, 0.0004939708188075472, 0.00037936704031515115, 0.0004090089916626336, 0.00024572927528176687]","[0.00046167346213757843, 0.0005014159963773775, 0.0003931917722586213, 0.00043180769871512746, 0.0002787346224173339]","[0.010797813989929348, 0.010834913885957724, 0.010824851220327864, 0.010764734643355815, 0.010779466815826836]","[0.12367217435792473, 0.11772981359566542, 0.14185833724257155, 0.1445313423699413, 0.16430851514933897]","[0.019063340565891027, 0.0190310759549816, 0.0190340189631629, 0.019093044991052535, 0.019071395598505358]","[0.0004499764083465557, 0.0005037883221294445, 0.0003826400026433974, 0.0004056783753782884, 0.00024184424386268028]","[0.00044741899541200195, 0.0004981656244990733, 0.0003878793475072222, 0.0004065835447311156, 0.0002463799365124239]"
ETH,"[0.0007292389905343354, 0.0009517447829008853, 0.0005527691317364141, 0.0009576754832957988, 0.0003743867721490586]","[0.0006867408620325778, 0.0009371578199324898, 0.0005321884593180538, 0.00074190021973216, 0.00035586191084468555]","[0.0006866417894977401, 0.0009370524962795159, 0.000532096394790211, 0.0007419167189508208, 0.00035577055156647396]","[0.012937728536934742, 0.012978742769492247, 0.012915791147833193, 0.01287423913212425, 0.012895460622607227]","[0.0006854098712215935, 0.0009352136671311143, 0.0005332438744073454, 0.0007483067259156443, 0.00035966399268860957]","[0.002184732482000339, 0.002254266439638798, 0.002155338914067928, 0.002260191107381597, 0.0021311263333582842]","[0.0007440077846002609, 0.0009718164377355045, 0.0006123317139032781, 0.0008207634738636192, 0.00047628158245798023]","[0.0007057796133828905, 0.0009511197234315669, 0.0005570677355089249, 0.0007432814792098316, 0.0003837213902956689]","[0.001469936479980332, 0.0016026662978561195, 0.0011645994662720554, 0.0012932593441062257, 0.0011883600974982903]","[0.10127392050850464, 0.10128735603939734, 0.10125917973814696, 0.10123844584342485, 0.10125431664158646]","[0.0006878249391925977, 0.0009607373752149697, 0.0005317195613267892, 0.0007462858137099853, 0.00035639444146626155]","[0.0006945121285238632, 0.0009378223440908596, 0.0005394134060583567, 0.0007482671909715635, 0.0003590156191188283]"
BNB,"[0.000416664340200683, 0.0004442898370153687, 0.0004307997457532143, 0.000584054106709514, 0.0003157004616712569]","[0.0004147900182153454, 0.0004446656398263305, 0.00042916084504657334, 0.0005259746965313568, 0.00031585283039916136]","[0.00041437335770641717, 0.00044421959266683676, 0.00042879787210264734, 0.0005257432932349879, 0.0003154674663762953]","[0.2884550448815626, 0.2884351311431429, 0.2884619361215652, 0.2885008122035983, 0.2884801729946007]","[0.0005429519011383146, 0.0005697920253971017, 0.0005515042916269192, 0.0006246864866412721, 0.00046268200511731896]","[0.0004132288238181773, 0.0004429584291165425, 0.0004278160891135656, 0.000525161980337548, 0.00031448983084848294]","[0.00041848303162740137, 0.00044601760098067825, 0.0004341715635798806, 0.0005324215546772705, 0.0003264795168828143]","[0.00046707079791752116, 0.0004969463686892838, 0.0004833934124521269, 0.0005673944009244047, 0.0003459460685812359]","[0.0021441512942595616, 0.0023010695264396243, 0.002385671960523235, 0.002139172633380881, 0.0021486608423678167]","[0.006289579617807913, 0.006284117713613076, 0.006295481792117355, 0.006312500833923104, 0.006298492500825945]","[0.0004102217888383398, 0.00045488502619828576, 0.0004264234082141813, 0.0005253025913591745, 0.0003133425834869826]","[0.00041298329894502744, 0.0004429613407563261, 0.00042834482893717654, 0.0005302974156456295, 0.0003154515428968932]"
XRP,"[0.0005655125460448249, 0.0007553564238324274, 0.00068677950455946, 0.0010293832836846392, 0.00047216206044549365]","[0.0005143545593620635, 0.0006534468139601449, 0.0005662596937622037, 0.0009426838913175715, 0.0004209050355903143]","[0.0005140674307348174, 0.0006531956064478845, 0.0005661890354198514, 0.0009426519287900199, 0.00042078264544677374]","[0.24296887079746057, 0.24298282953890774, 0.24290431375974608, 0.24291082869160574, 0.2429189172386772]","[0.0005076197947762855, 0.0006470006083961968, 0.0005699059478301482, 0.0009492916209039406, 0.0004223051846008321]","[0.0005149062238372276, 0.0006539287866663497, 0.0005664607450727492, 0.0009426531681721898, 0.000421096804713408]","[0.001311485679178354, 0.0013806232866435642, 0.0012732631194464455, 0.0014746527644599575, 0.0012223932386444068]","[0.0005349970118273762, 0.0006754491584791156, 0.0005761355319709378, 0.0009883609722129171, 0.0004299915897174758]","[0.006813343104387615, 0.006630604168627573, 0.006613842274939265, 0.00660438855373607, 0.005436716553207721]","[0.0006152181046081645, 0.0007392142931962046, 0.000631835598873323, 0.0009819255275609416, 0.0005094405965033294]","[0.0005427182152157427, 0.0006594186450614804, 0.0005694248927090394, 0.0009473477825821057, 0.00042463327973640645]","[0.0005087941448911783, 0.0006456092903890107, 0.0005716528788228454, 0.0009471950905121687, 0.00042192526618811704]"
ADA,"[0.0007604231841122462, 0.0007698525242783717, 0.0007059892058420675, 0.0009515649583109444, 0.0005999810262822293]","[0.000751945587177292, 0.0007708554028949205, 0.0006636049861906566, 0.0009396226651556919, 0.0005974003862943991]","[0.0007506140560830882, 0.00076832834794415, 0.0006628344680073787, 0.0009401738444760994, 0.0005958170566792157]","[0.07697877549830101, 0.07689832215185112, 0.07699936316845835, 0.07708195838986394, 0.0769751733221273]","[0.0007560990874513746, 0.0007597221065028911, 0.0006764308234988613, 0.0009618540436710973, 0.0006028486388330067]","[0.0007475530917564826, 0.0007590515656972242, 0.000664771106983426, 0.0009444095341081427, 0.0005929635655599312]","[0.0009591479434978295, 0.0009262235180624356, 0.0009181238747067929, 0.0011746972355578156, 0.0008466547407444273]","[0.0017106297251103797, 0.0017689928167994974, 0.0016453381347101257, 0.0017195073617608065, 0.001645368000806335]","[0.0017830878859634392, 0.002465136134792242, 0.002294430153242133, 0.0020471188509558263, 0.0019858379651716373]","[0.006512653123313746, 0.006602788338246301, 0.00644962315484879, 0.0064063077186685465, 0.006478860093529825]","[0.0007552169735611656, 0.0007590764945725607, 0.0006670081560335454, 0.0009492123776297494, 0.0005931080062759502]","[0.0007618849308986635, 0.0007648919052353418, 0.0006778992140508576, 0.0009491681472928821, 0.0006008057751437214]"
DOGE,"[0.0009544987161074042, 0.0008263212066825502, 0.001199348622880211, 0.0012166000549459432, 0.0005650471636312466]","[0.0008863461132714131, 0.0007256031364300694, 0.0010746178185135288, 0.0010739845353183505, 0.0005269335755962672]","[0.0008864497733543245, 0.0007261670723133391, 0.0010751836890807278, 0.0010738516202443045, 0.0005272945203589093]","[0.011833216260098641, 0.011699719028006572, 0.011663598183619698, 0.011951571920462945, 0.011766637260458113]","[0.0008869699613350001, 0.0007215460889438246, 0.0010697760238299343, 0.001076897801074944, 0.000525960804110741]","[0.0008868332724442046, 0.0007216990025383978, 0.0010700433126982986, 0.001076726612671022, 0.0005258018977946678]","[0.0009702562267949275, 0.0008541710713802807, 0.0011789149989009896, 0.0011283028063463311, 0.0006692703846837161]","[0.0009637071447266898, 0.000826922663102281, 0.0011822360451749206, 0.0011332039418597828, 0.0006380554421617869]","[0.007339573303153092, 0.005666775359916553, 0.007866726493346894, 0.008762423183807195, 0.007812541588909953]","[0.0012541556735004215, 0.0011967889513762086, 0.0014579617375091065, 0.001363761678966357, 0.0010536272746044057]","[0.0008883213838732192, 0.0007215835118686172, 0.001065795194223977, 0.001080142500934475, 0.0005357814468196221]","[0.0008966090414281404, 0.0007189356467698533, 0.0010934867292650959, 0.0010758028108572252, 0.0005263959783595449]"
MATIC,"[0.0006387744029954522, 0.0007208944143473736, 0.0007141112580931488, 0.0009268004995090735, 0.00046006979209140035]","[0.0006177778889089613, 0.000629121262354281, 0.0006592357168498593, 0.0007980060930664964, 0.0004344015569231249]","[0.0006174671164779238, 0.0006289365133610859, 0.0006589855405225345, 0.0007981225556068885, 0.0004343988886477795]","[0.04961481535667146, 0.049631694675787104, 0.04962236411626608, 0.04968578648749053, 0.04965981087381222]","[0.007886002340773949, 0.007867007488014294, 0.00788377476366486, 0.007825622464031927, 0.007823374635319767]","[0.0007231521512829691, 0.000744146901586566, 0.0007627792364120185, 0.0009169015196772298, 0.0006099297807902585]","[0.0008134349806854928, 0.0008136894256479839, 0.0008387087643213818, 0.0009266897385980198, 0.0006508561455565527]","[0.0006224791319284957, 0.0006385134445501816, 0.0006575847811754722, 0.0008131996102999886, 0.0004351453945005691]","[0.0023486889501872217, 0.0022793868028118678, 0.0025595188103320543, 0.002537031650748295, 0.0024013345071835137]","[0.014844119348186198, 0.01482328760109017, 0.0148421014941525, 0.014767422812693052, 0.014783243533942935]","[0.0006535819881675833, 0.0006444292378391094, 0.0006603872838187915, 0.0008051124442195232, 0.0004358476833368922]","[0.0006209070066037767, 0.0006329883503733074, 0.0006610790431547569, 0.0008069257572805396, 0.0004355074833103785]"
LINK,"[0.0008370237824206906, 0.000986542414226279, 0.0007198876686675737, 0.0011832823214196935, 0.0005442006267624666]","[0.0008068418045987777, 0.0008668573940184786, 0.0006546440089868104, 0.0010521684826018012, 0.0005061122681459867]","[0.0008067150810688839, 0.0008667879538557379, 0.0006545986078537599, 0.0010522233915831367, 0.000506062863541735]","[0.005147251986821904, 0.005169737999584941, 0.005145137854790293, 0.005276438437579129, 0.005128793694006372]","[0.0008037881426890132, 0.0008654335870964315, 0.0006537953158750245, 0.0010540921628350473, 0.0005056802602042226]","[0.0008306981582847169, 0.0008826563106314442, 0.000671660227008625, 0.001051867282949084, 0.0005260037274965756]","[0.0009940349494333282, 0.0010229997484789905, 0.0008355400730519549, 0.0011368127212518617, 0.0007205653652044806]","[0.0008014420806533939, 0.0008795426543081623, 0.0006618643077105359, 0.001092142548735067, 0.0005192689323953319]","[0.001425287010428134, 0.0015919493539383578, 0.0014343994167975648, 0.0017351658669254248, 0.0016006943674830435]","[0.010764031743856982, 0.010728640421760242, 0.010678157926738794, 0.010638101633807812, 0.010664690821280106]","[0.0008040826641611845, 0.0008712712721267158, 0.0006554754618253954, 0.0010664925738239734, 0.0005219926326210608]","[0.0008070723307173699, 0.0008658824401211111, 0.0006554271691465252, 0.0010583804915190198, 0.000511643333992996]"
ETC,"[0.0009677706460335084, 0.0008204231300409288, 0.0008899832953223904, 0.0011144097357705534, 0.0005630907181436442]","[0.0008363486021194291, 0.000802084906219325, 0.0008211311669985784, 0.0009847974518761742, 0.0005353348520141937]","[0.000835785123561926, 0.0008017224724932297, 0.0008206201710029174, 0.0009850279654272103, 0.0005348899448450057]","[0.011527721981359016, 0.011547034861578634, 0.011531244384729666, 0.011635441829191835, 0.011541915070311881]","[0.0008864886362358539, 0.0008496261621023272, 0.0008886445113600982, 0.0010172421229741305, 0.0006099787666982848]","[0.0008624178269390461, 0.0008379913389957787, 0.0008497075263354231, 0.0010346254970811139, 0.0005911655802453353]","[0.0008379630003564981, 0.000808116503114667, 0.0008238857042335572, 0.0009982218057082006, 0.0005463009508517799]","[0.0008729947780828049, 0.0008364727465298456, 0.0008505815450515568, 0.0010085514961068133, 0.0005777313198197006]","[0.0019561858032896523, 0.002090682238836218, 0.001663125322699293, 0.00161477521026556, 0.0019242844387447223]","[0.0012369897763756079, 0.0012318112696533636, 0.001233816863873576, 0.0014051410432618925, 0.0010857415991367852]","[0.0008353833496276273, 0.0007983518370133925, 0.000818611156614622, 0.0009899382825573004, 0.000534384044733546]","[0.0008448289992805295, 0.0008033586965024418, 0.0008224549341325722, 0.0009936190126056325, 0.0005447011463211371]"
XLM,"[0.0007665432475466228, 0.0007922330678915454, 0.0006520644134772262, 0.0008819186876109911, 0.0006522771711332192]","[0.0007702687839941111, 0.0007908489905314939, 0.0006613833413503001, 0.0008936522367117405, 0.000691285758255112]","[0.0007699288098043705, 0.0007906363834878487, 0.0006612350452115784, 0.0008935950526526552, 0.0006911782857227124]","[0.009937508125923696, 0.00992735848462058, 0.009907127811671579, 0.009912805805648867, 0.009898388922338594]","[0.0021901853558044114, 0.002170489561634141, 0.002105657799911059, 0.002175905772536209, 0.0021080842779851237]","[0.0008112710510182102, 0.000843656977616395, 0.0007347468491409643, 0.0009548643867558988, 0.000765323308674282]","[0.003299523599962669, 0.003334652959628431, 0.0033288942826264966, 0.0033976831990222573, 0.0033425585822773646]","[0.0007959437161131415, 0.0008204461185995333, 0.0007002995612853099, 0.000935565216380222, 0.0007395347682375403]","[0.0026303119203519507, 0.0021311288424230687, 0.0023594723768516593, 0.0025376180616274824, 0.002342721149592764]","[0.0008336942701701674, 0.0008673680272753351, 0.0007637486664603494, 0.0009784335010506401, 0.0007938758297521847]","[0.0007638894004304679, 0.0007798319718939696, 0.0006506786991377741, 0.0008614981918455742, 0.0006375718613566233]","[0.0007650965942081534, 0.0007972028735181904, 0.0006795816774346316, 0.000889379282393976, 0.0006775725180847376]"
