,RandomForest,XGB,LightGBM,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.0012480766550195966, 0.0027394364369455982, 0.002402311296334351, 0.001657451432964127, 0.0020234936636299126]","[0.0011159956156707263, 0.0026768947506000777, 0.001965621421584864, 0.001642575395261693, 0.0019450490806435523]","[0.0011162851093863874, 0.0026772985472932175, 0.0019657388915421676, 0.001642646025836402, 0.0019451547654868973]","[0.042875423930507445, 0.04331729475079956, 0.0429523573335672, 0.04288129491530017, 0.042954352078933035]","[0.0011268967615811894, 0.0027348513200950706, 0.0019503677692175715, 0.0016575983759680416, 0.0019686337025789703]","[0.001168565275787703, 0.0027397297875618844, 0.001983641839318251, 0.0016649705999159832, 0.0019727046529707075]","[0.0011062387872425715, 0.0026459072688126083, 0.0019647632248542446, 0.0016477924744518716, 0.0019450319816428276]","[0.0026607185631641584, 0.003724936416025154, 0.00322559449098816, 0.0029010074310729453, 0.0031129960034328268]","[0.0019716049951422868, 0.003332201770779754, 0.0025129902684398373, 0.0024741408038172524, 0.002738644467519355]","[0.006673757410714107, 0.007424074486062958, 0.006825783521651794, 0.0066873263080376, 0.0068084779630101485]","[0.0011312997438538233, 0.002739939486070546, 0.0020491355896862305, 0.0016421858751048445, 0.0019439797889645573]","[0.0011092778516503074, 0.0026807484970150634, 0.0019911810506673374, 0.0016604558248537338, 0.0019545491380351557]"
ETH,"[0.0015447199577349872, 0.0020173161276094203, 0.002164304643839627, 0.0027862548796043166, 0.004705519260502581]","[0.0015049287568746261, 0.0020107225655333918, 0.0020357707851728526, 0.0028005808355533093, 0.004611838693616105]","[0.001504918570725988, 0.002010661176546879, 0.002035777735430773, 0.0028005053938234795, 0.004611802352234539]","[0.002506322262131726, 0.0030045947524931778, 0.0028211759750585664, 0.00368665898937568, 0.005226672449388586]","[0.001518320836901863, 0.0020590146074821007, 0.0020178522537816785, 0.002880384115493905, 0.004627511393654043]","[0.001519657607272335, 0.0020338713030478074, 0.002030266903077, 0.0028475514847185164, 0.004632334798966382]","[0.0015110814865346692, 0.0020289906038425992, 0.002036598344912017, 0.0028217503669272655, 0.004622284962735422]","[0.0025721279795145823, 0.0026865944691115183, 0.0029838994405883335, 0.003167920074571064, 0.004945638368467472]","[0.0032457592997006254, 0.0032437588306297007, 0.0027431061078562356, 0.004213850397111822, 0.0055895100129153144]","[0.0015327053330328048, 0.0020596851276463973, 0.0020462949680002305, 0.0028489133658514848, 0.004644487471330362]","[0.0015142181172609348, 0.002015621490389274, 0.0020522092845388766, 0.002788559161943358, 0.004709546733948774]","[0.00151374741189812, 0.0020099896927761236, 0.002046050208487929, 0.002802767728361837, 0.004622279330649091]"
BNB,"[0.0007125751974221265, 0.0017835115873378327, 0.002061496925594668, 0.0014794166481886901, 0.00236887558799399]","[0.0006883731182571941, 0.0018148800879102674, 0.0020512055491024327, 0.0014797079070557185, 0.0023796364153700084]","[0.0006883453607696547, 0.0018143066165649316, 0.0020514736438178465, 0.001479567514746933, 0.002379495803682727]","[0.002257686781813377, 0.0032555909219943455, 0.0028030681993024237, 0.002744798934911073, 0.0034172315647515708]","[0.0006957612846387606, 0.0018447527167611594, 0.0020462241103306297, 0.0014933864061739697, 0.0023986811732159834]","[0.0006885775200336624, 0.0018169907893814475, 0.0020502960788581354, 0.00148026852315665, 0.0023802055753445405]","[0.0007088848436227166, 0.001860953239590446, 0.0020455150079893964, 0.0014975113662563972, 0.002397324773413822]","[0.0007440621479705937, 0.0019918686772285817, 0.0020528562655950577, 0.0015692912539158799, 0.002495216544488418]","[0.010622928191439292, 0.01069588913069014, 0.007428552093388551, 0.009350720824080148, 0.00788884068445198]","[0.0015473113400036305, 0.002059987928954066, 0.002587197722768201, 0.001985321732221674, 0.002699776519552463]","[0.0006976206658016586, 0.0017634642774627019, 0.0021225690854009493, 0.0015007424000397444, 0.002455322792231415]","[0.0007012986740699941, 0.00180110608374569, 0.002115369789473157, 0.0015056202643095827, 0.002407368235381064]"
XRP,"[0.0015241684775129433, 0.0023574504890258273, 0.002483804379348033, 0.0018428607155437857, 0.003853055853382682]","[0.0015270763015746436, 0.0022291379411337802, 0.002422774285165131, 0.00183514218875489, 0.0039021517253255613]","[0.001527180294883628, 0.0022287481555171317, 0.002423142004374815, 0.0018349656926564936, 0.0039020711395992623]","[0.038691161918733036, 0.038448645351534756, 0.0389103936667085, 0.038597107180483675, 0.03874078648597897]","[0.001533324017950561, 0.002219294613541615, 0.002436466359993068, 0.0018321009346435868, 0.0039007370073868594]","[0.0015713910634519057, 0.002322260966679308, 0.0024089423355968622, 0.0019077854397151718, 0.003936504182101716]","[0.0015329797596118373, 0.002219113571102742, 0.002435694882481798, 0.0018318664991733746, 0.0039007449276533593]","[0.0018178174973066648, 0.002572789137020214, 0.002519318858727315, 0.002159806551830124, 0.004053929556436305]","[0.003353873649471135, 0.0039420156551973635, 0.004058930033116443, 0.00346988467141435, 0.005491926746620096]","[0.0015900251127885622, 0.0022132622688458663, 0.002501735781390391, 0.0018544414007044929, 0.003911787638741267]","[0.0015321618853126927, 0.0022447610775889935, 0.0024206760831946114, 0.001835428208293353, 0.003927547006628437]","[0.001537935554177458, 0.002235928925067982, 0.0024617564897979464, 0.0018565872734392242, 0.003969529277871594]"
ADA,"[0.001959887885793102, 0.002514133421674485, 0.0032804832996146433, 0.0033645902760972867, 0.004745082721304981]","[0.001890972852247806, 0.0023943839901229415, 0.003221936422630243, 0.0032250670707362965, 0.004551602180593165]","[0.0018917832143354979, 0.002396982188098589, 0.003222171888595788, 0.0032273387235883543, 0.004552459976768401]","[0.0066542419529627824, 0.007077176861548168, 0.007164463345754928, 0.0074289472400148595, 0.00787252032080003]","[0.001900980664586377, 0.0023673172551642, 0.0032324187201738675, 0.0031960609187087086, 0.0045498246306734744]","[0.0019034221655125723, 0.00236788073730233, 0.0032346060683265646, 0.0031979900865912562, 0.004545700768381531]","[0.001909823743096232, 0.002441263069919916, 0.0032534928043847925, 0.003251203719961319, 0.004523106942668109]","[0.002195810462437412, 0.0025233763810687884, 0.0034605776961115263, 0.003329236412312534, 0.004541562300698152]","[0.003353378907130911, 0.003753443248229044, 0.003879843551376689, 0.004119094174802457, 0.005431438322166503]","[0.004141542475920376, 0.004614239343861031, 0.004860693219851182, 0.0051407370831779925, 0.005942042804447222]","[0.0019079749892201925, 0.002388665868909897, 0.003224547804748108, 0.0032205873306380213, 0.004579101225853647]","[0.001902570817908563, 0.0023826399363100887, 0.003255484531201178, 0.0031956709729097994, 0.004552182890105307]"
DOGE,"[0.002653595909010468, 0.0025046868238064045, 0.00309966304473427, 0.006087437751864595, 0.0041704611445342946]","[0.0026695341994744516, 0.0025168335194194116, 0.003001168933248608, 0.003997929062705521, 0.004224383028572139]","[0.0026705796653331408, 0.0025182986806430024, 0.003001719545727599, 0.003999234142506314, 0.004225296857481553]","[0.0027608807235256524, 0.0025600870409843886, 0.003077612371688736, 0.0039785189539726625, 0.004183703348850974]","[0.002676587278472464, 0.002498816298506959, 0.002987485492977196, 0.004000853234543912, 0.004207561122639978]","[0.0037073839936877487, 0.0036775915866036723, 0.0038599592969292937, 0.004915367030426849, 0.0050148780923359075]","[0.0026947129760031543, 0.0025307757274386938, 0.0030363344344544047, 0.004133561129564072, 0.004324015575350003]","[0.004026434140755029, 0.004014174864589891, 0.004149152104812924, 0.005319079682948263, 0.005324747246994968]","[0.005557814867007923, 0.006339307022392495, 0.006760809074677969, 0.007689623065317755, 0.007703315917569304]","[0.003207392986150721, 0.0030130151605093866, 0.0036054308551221183, 0.004209439180519053, 0.0045105859094181295]","[0.0027240682573201154, 0.0024690377378221644, 0.003028993610794638, 0.00393195625266017, 0.004291071591022914]","[0.0026497384657151613, 0.002473933709615873, 0.00300422392186366, 0.003979059224296201, 0.004226477803553177]"
MATIC,"[0.00157903258514812, 0.0020350534740497164, 0.0026871579755942863, 0.0023506947011247207, 0.004119590183281881]","[0.0015134136998471105, 0.001991329073158843, 0.0025478275935643863, 0.002248514687078583, 0.003679747941082557]","[0.0015133353835687304, 0.001992003170477459, 0.0025475922271872686, 0.002249106623596994, 0.003680111599856829]","[0.012248051843407675, 0.012577383150475033, 0.012320003188036216, 0.012683003627919541, 0.013003831657230182]","[0.0015556856827247704, 0.002058944625260041, 0.0025564972700914744, 0.0022360275302698547, 0.0037400069767927046]","[0.0015167189717981578, 0.0019958128175381023, 0.002549011079977981, 0.0022452037206711034, 0.003692984812868457]","[0.0019863879417491258, 0.0025046056440364015, 0.0028139417892142867, 0.0027080882053840513, 0.0039954977502882775]","[0.0019793190445058233, 0.0022587748212995785, 0.00286920967042031, 0.0024896935143231, 0.0038175122721591263]","[0.0030742850556872425, 0.003412334325298541, 0.003563726660666303, 0.0029829143754461444, 0.003953213236440881]","[0.001514096627007948, 0.0019885478941098845, 0.002549079180929139, 0.0022460759018883445, 0.0036782368363517]","[0.0015306693098224855, 0.0019875426695585368, 0.0025502915348569097, 0.0022432443403969018, 0.003696443542812771]","[0.001533847520922106, 0.0020156397188933525, 0.0025735675998304094, 0.0022544528374727436, 0.003711988362768067]"
LINK,"[0.0016882152209840046, 0.0022974724999767853, 0.002574370591184365, 0.0027011083172908414, 0.0039394243842466245]","[0.0016719640867816936, 0.0022440400930775223, 0.0025308792480652057, 0.002670185718376282, 0.003878741012200545]","[0.0016719726928690018, 0.0022440545318556772, 0.0025308831555990795, 0.0026701952365337112, 0.003878752175441107]","[0.024658243893761762, 0.024871737648995626, 0.024685454615531923, 0.02491502692874681, 0.025232513389195348]","[0.001679275981105705, 0.002256438866385558, 0.002534897642901755, 0.002679237161290833, 0.003887378786288161]","[0.001746844993293699, 0.0023391848928532104, 0.002588974697291892, 0.002726968319130146, 0.003943749271901892]","[0.001693907570312265, 0.002276526552795803, 0.002560404229860565, 0.0026752983507884838, 0.003899721947120886]","[0.003915594414281591, 0.004342326507972223, 0.0043285063878843065, 0.004513363109492204, 0.005435299010095544]","[0.003310892426553115, 0.0031640984903170714, 0.003672340391501666, 0.004016652385890769, 0.005054493001371284]","[0.0020484213349011987, 0.0026041239075167114, 0.002778458369869856, 0.0029561315345738803, 0.00412123481069584]","[0.0016822041877422962, 0.0022450952539272533, 0.0025173303896443623, 0.002660164463121614, 0.003907802782221148]","[0.0016830586249071348, 0.0022323260434626356, 0.0025565826059713325, 0.0026880124175113875, 0.00387125380623166]"
ETC,"[0.0016132167298561226, 0.0026217944886477345, 0.004896557673457983, 0.0049619915622829795, 0.004046192079086976]","[0.0016082594938499188, 0.0026547999499513535, 0.0048018689738809715, 0.004982820118484514, 0.003956442646111611]","[0.0016063062906469365, 0.002652904282998915, 0.004800848418153389, 0.0049815640386082554, 0.003955962681645354]","[0.010742603275757425, 0.010861590750010894, 0.011542004804944892, 0.011594196685003338, 0.011427023573471674]","[0.0016215165541321303, 0.0026705377271719, 0.004871996594845141, 0.005052881941120175, 0.0039273164017950436]","[0.0024560609968627333, 0.0031739278851706837, 0.005106525461320796, 0.005253548266762908, 0.004402558771487005]","[0.0016042336378082795, 0.00265210159679313, 0.004857682929903031, 0.005016608314404702, 0.00392827892630426]","[0.008784985382054552, 0.009112098623590852, 0.009881228545165014, 0.009974635610243136, 0.00948960149404326]","[0.00481216469126056, 0.004536728480143222, 0.0059700079133325175, 0.006789157297033527, 0.005976158542909775]","[0.014071386452226973, 0.014347664207253676, 0.01490737324848259, 0.01507080182744602, 0.014492676068696761]","[0.0016010192672023848, 0.0026893614633430644, 0.004965001205122929, 0.004983559631194623, 0.004046569005856956]","[0.0016114470175196435, 0.0026374330107096365, 0.004961605896563703, 0.0049987705951769455, 0.00396190607430476]"
XLM,"[0.0018872882518647513, 0.002020126850394108, 0.0021581615641997755, 0.0019674263766177816, 0.0027724775487818795]","[0.0018492021306133462, 0.001978309878422224, 0.0021182506823735777, 0.0018872827659190583, 0.002609864872599314]","[0.0018496562463576728, 0.0019807055102162552, 0.00211680162033571, 0.001889195793043922, 0.0026118515707592676]","[0.003143982535274204, 0.0031453708812705875, 0.0033906745736794674, 0.003086337905669153, 0.0035857889323966745]","[0.0019084705650222718, 0.0020267387855080225, 0.0021215812098915954, 0.0019290299771372059, 0.0026751558808978497]","[0.0019024314289488363, 0.002052136419437115, 0.0021416359637592823, 0.0019667446095319907, 0.002670128860310621]","[0.0018984803825107185, 0.0020536748402586033, 0.0021329948626300317, 0.0019471721855937785, 0.0026700809012864613]","[0.0018675667384204999, 0.0019614935893835115, 0.002155977476931775, 0.0019095200760849548, 0.002608295162383125]","[0.0038309337628656868, 0.0034586182540977638, 0.003887245326277605, 0.003247865248228478, 0.004196575696275869]","[0.0028707544445448667, 0.0030495942863163613, 0.0029565994095344214, 0.002964617761346975, 0.0035021263550343686]","[0.0018448532147607995, 0.0019663040333624472, 0.002154712948095671, 0.0018868038070439968, 0.0026045797249980803]","[0.0018583952163557555, 0.0019812647998595644, 0.002124712824392001, 0.001891814299523184, 0.002618987277316074]"
