,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.012048917134305904, 0.009740182516658105, 0.013615307849341682, 0.026061256822687066, 0.016358940959991044]","[0.012950242315584757, 0.012532185742104124, 0.012908050280916029, 0.018382515158443347, 0.01565315538908811]","[0.013210581156843496, 0.007789582885037585, 0.012583459132361668, 0.0193823671244736, 0.0133636170465204]","[0.010240588098101093, 0.00743404541559484, 0.01177305843194939, 0.01718285063557475, 0.008739872649487158]","[0.010413260594458285, 0.007607167386904524, 0.01202736086938329, 0.017782262493253643, 0.00984758128783051]","[0.010198255628792037, 0.007162685903531609, 0.011166111112637902, 0.016590155954324465, 0.008168121937213531]","[0.010198255628792037, 0.015139763832743246, 0.01138708821184309, 0.01660611485223431, 0.009755750826732692]","[0.010198255628792037, 0.011345324940629417, 0.026768336140447123, 0.01818244848345947, 0.01029258600310502]","[0.013013258137301368, 0.010479229698518383, 0.014943734960952278, 0.024159359631979335, 0.011396486975140575]","[0.7851758481314778, 0.37829317822390296, 1.2780672633315284, 0.3776043754382766, 0.47835593832285095]","[0.011230371730288954, 0.008610004547739464, 0.01256778005167091, 0.019435616969048615, 0.009708558775640525]","[0.013724986874552406, 0.010972505245759562, 0.016040267419544466, 0.024858189276852034, 0.0114827004560029]","[0.01344044402377897, 0.011030911556472758, 0.016206942152495397, 0.025265243389825852, 0.01137493189846772]"
ETH,"[0.015166660429493476, 0.014626136129095971, 0.013803042433536977, 0.017544792748935716, 0.01265796753489754]","[0.02327702790093138, 0.016539364450055216, 0.015786666246823566, 0.01790919116614093, 0.014646602837896976]","[0.01564760292681274, 0.010566261929691304, 0.013270869318628904, 0.01699960757805042, 0.011579348145629116]","[0.01171214607264019, 0.01085070929007796, 0.011635330607280699, 0.015741448506573396, 0.010373989120561837]","[0.013865896519794571, 0.01221745436361885, 0.012937585534075955, 0.01765968896686639, 0.012191155981751765]","[0.011622910162679285, 0.010481804964054034, 0.011272227635425036, 0.015429649243756116, 0.010093304772640064]","[0.011622910162644412, 0.010488907479950717, 0.011311603160532506, 0.01541755308815753, 0.010190905054776577]","[0.01162290970744399, 0.010488371086609521, 0.011312654868965755, 0.015414788313334808, 0.010150113847098841]","[0.015118058159974081, 0.014562375541942818, 0.016059817821335125, 0.022202241442135937, 0.01466339891576054]","[0.19914154717225754, 0.23618165046227402, 0.229603454091979, 0.18522293690838276, 0.14480308339202924]","[0.012158868762331417, 0.011723707587412424, 0.012059106564330166, 0.016908710255149378, 0.011227446471675308]","[0.01582959095420518, 0.015465037470745444, 0.01648725363965821, 0.022392463464597893, 0.014843680179167373]","[0.015457390323466196, 0.015478792242131984, 0.01679080041732844, 0.02263924457260129, 0.014517328137196037]"
BNB,"[0.014768996317051286, 0.014586614590050815, 0.016927105342949243, 0.018627021884018307, 0.011604208701443698]","[0.020339832446298885, 0.014339131934230143, 0.018943564241528345, 0.020123944543017733, 0.01287641930942515]","[0.015431047938965417, 0.011274752039812558, 0.015297000334170743, 0.02117421447906611, 0.011823029456656996]","[0.012073456772563834, 0.011031616088941636, 0.011498992316756775, 0.014909512076677118, 0.009560088225874997]","[0.013865038135260221, 0.013104934738023115, 0.013244149737009355, 0.016982093709115777, 0.009812651612029235]","[0.010767527555335131, 0.012626779995356356, 0.010936525915279787, 0.01702940955206154, 0.008067415545698835]","[0.01076766186941277, 0.01058355860428637, 0.011297873760785938, 0.014508072098256991, 0.008398631124857916]","[0.010767615197813732, 0.010595197833610279, 0.011363453030945384, 0.014276908584185866, 0.008052331450892767]","[0.013559790966185967, 0.014072030497287391, 0.014368748079413242, 0.021025925386259713, 0.01017433093934677]","[0.08629305982766772, 0.06930691295711762, 0.09356502928948211, 0.054789231283476965, 0.08153033328413176]","[0.012590695465036553, 0.012182469743407726, 0.012499777690234741, 0.016839958165882785, 0.009302925611989084]","[0.015043941386089237, 0.015870567173732027, 0.015573554371167914, 0.022485464368131466, 0.010710759247179232]","[0.014742998540260328, 0.01569368793158173, 0.015525272952911224, 0.023027905631260254, 0.010615082743257107]"
XRP,"[0.01899466043867213, 0.013821864476479208, 0.017484615258292615, 0.021583445074221396, 0.015164488647018842]","[0.016607326442733997, 0.012416973259230784, 0.01601868209991827, 0.022728356625265157, 0.015396952152112805]","[0.017298381607967414, 0.01302630843016183, 0.015155116712320699, 0.02279816586926299, 0.014982820955043512]","[0.014414211139890503, 0.010383865757995379, 0.009853132260645716, 0.020226124770217176, 0.015203530717806226]","[0.014122549534632189, 0.010743428077453621, 0.01034558472025087, 0.020416044502681894, 0.01580248207470598]","[0.013542324308557199, 0.010857961069084264, 0.009895851559482112, 0.020633938583119977, 0.015211616026528459]","[0.013540850645327857, 0.010910324154548961, 0.010073250720466645, 0.020982468120133876, 0.015310585117232768]","[0.014253856172702434, 0.010819440672639865, 0.010475382432173299, 0.020856885734936832, 0.01525430749107344]","[0.01654482959411053, 0.013695074203559816, 0.012922293609616681, 0.023257087104270956, 0.021512610325391285]","[0.1417802946184921, 0.09326405343032523, 0.10379441964235324, 0.07500790828413359, 0.07312273266952625]","[0.01604065685937149, 0.011295975351820706, 0.010690865292035084, 0.02027826190746002, 0.01584338194956675]","[0.01939305302551156, 0.015056530281783507, 0.014187087640248213, 0.026823634897988162, 0.023668298032040336]","[0.01887008223904916, 0.014624143275388116, 0.013940866373095263, 0.02632778914008363, 0.02373903097198313]"
ADA,"[0.021474441177893086, 0.014730360480134347, 0.02147825116329565, 0.02961929008499586, 0.017145916087523385]","[0.020269901810205007, 0.014979353284263835, 0.019188754994472028, 0.027189705026726418, 0.016123211601627628]","[0.01668572433420557, 0.015411447683395734, 0.017880189945784986, 0.01916752873746499, 0.0129481099511691]","[0.01711885939605725, 0.015224577104956663, 0.015132826671895888, 0.01916347454341315, 0.013216653446191698]","[0.020045411909817686, 0.016422657575588324, 0.01812685939822818, 0.03879743542663269, 0.018523030196140853]","[0.01893730423615039, 0.016511414872760994, 0.016774653981764993, 0.020230783783945338, 0.013710026616431345]","[0.0164196503755617, 0.014594860655965963, 0.02052424957371739, 0.018826288527946527, 0.012943323719806218]","[0.0175430915115187, 0.015425368993734243, 0.014799214046182261, 0.019329312073895835, 0.013346210446212987]","[0.016743111159755963, 0.01637423117378779, 0.016368297512450197, 0.027012038543928644, 0.014365513908277321]","[0.6341994047012985, 0.18769640791032732, 0.26538210576756116, 0.2373822022205889, 0.12024671735417189]","[0.01734367742423017, 0.018065833690213057, 0.015186601474559462, 0.020297282963347714, 0.013804569430140011]","[0.021424014212803214, 0.021871424066859296, 0.021058289930850432, 0.02760813138110183, 0.018251088342381868]","[0.021595011938396424, 0.021886099345384186, 0.021405216371158702, 0.027345710105770565, 0.017792946675937036]"
DOGE,"[0.034446839643279624, 0.02894746225914664, 0.021426040079199835, 0.02480831668537372, 0.03637133210405087]","[0.024360287240758647, 0.02731806580898837, 0.01810587353305315, 0.019988958954784544, 0.028294882478758443]","[0.01816577211983613, 0.019343523167052405, 0.014165264462056168, 0.0198897373702967, 0.027146932932645036]","[0.01585396201973262, 0.01625987427907364, 0.013373118797006386, 0.01970342193368571, 0.026161969705135974]","[0.015502711585151546, 0.025636092258160503, 0.014439298805786436, 0.023469777035629736, 0.030340909004761888]","[0.015017004568174971, 0.018708920823525026, 0.012774251217419081, 0.01963245266088005, 0.027005903220905517]","[0.01498169577335144, 0.018136324158906682, 0.013482143063156603, 0.02002333996771908, 0.026167259542437326]","[0.015784025445301213, 0.016032364753887834, 0.013151283954572246, 0.019208249099611805, 0.026195851353407223]","[0.015281238110963281, 0.025114536243842012, 0.019511821426251876, 0.019882526467635164, 0.029357030072901507]","[0.2554890817697563, 0.19231185380487362, 0.2645744687614538, 0.09951198742965699, 0.17258516373768068]","[0.015836178884367745, 0.02323871973578808, 0.016269558175455123, 0.023807359923607507, 0.044735821805645455]","[0.02102148583544317, 0.02381460020268015, 0.019349016158877706, 0.027588724075807158, 0.036620571649787055]","[0.020661749767936666, 0.024123409338489103, 0.01924702258352733, 0.02691208292243086, 0.036566053256384984]"
MATIC,"[0.02525113945117237, 0.021212437664696913, 0.02698626306036551, 0.03757813304170169, 0.018063702082235122]","[0.02547738467260892, 0.021099646463394846, 0.02788022972940339, 0.036108075353776685, 0.018451031891330873]","[0.023339010778542012, 0.020677381277177817, 0.027732770741373022, 0.033436563682027125, 0.014472451305600898]","[0.014232730587863392, 0.01993886889702417, 0.017470019846954146, 0.02145726333484308, 0.012231312763023984]","[0.015637040855452006, 0.02023380484392398, 0.02247020731068528, 0.023208846517511327, 0.01349479464910102]","[0.01533890391517706, 0.020571895926413498, 0.018331589304585772, 0.022739605831863807, 0.013063178948849558]","[0.01601683314967609, 0.022659242090353197, 0.01839720247706713, 0.024192937651157438, 0.012517222397153208]","[0.014390668032279532, 0.02025249184759691, 0.01737132184459239, 0.022312159977647527, 0.01234362602078206]","[0.01713642323108466, 0.024465071088180072, 0.024433937466932617, 0.029882856951248996, 0.014040705868420112]","[0.14789845106778898, 0.05565208495724194, 0.09990685716701306, 0.060255492175261015, 0.05881705703748151]","[0.015129102092889417, 0.020773595719865017, 0.0179894711231513, 0.0230526141198051, 0.012722342895832949]","[0.018225266679441396, 0.02939491838776457, 0.02431724378828891, 0.030207131430420583, 0.01758726606827384]","[0.018184476502446124, 0.028690954284442075, 0.024734820686160088, 0.03053927556857239, 0.01722860924133208]"
LINK,"[0.01870289516970722, 0.02272756582470945, 0.018920508221865705, 0.02721504311880269, 0.017912770833781184]","[0.02402733938008978, 0.02250753594038849, 0.02037103457336493, 0.027284636987059636, 0.01737985923861434]","[0.016952513416352514, 0.021222179670143438, 0.0170368661822115, 0.025294328373375807, 0.015574098432960646]","[0.02723190078514294, 0.017433512140473673, 0.019797751142957818, 0.020858340057048938, 0.014172466569829472]","[0.014833664584682034, 0.017665426136516026, 0.01785767489439196, 0.01980586229605728, 0.01300077816836037]","[0.013191500590843586, 0.01625302601019462, 0.01642957506281506, 0.019841717595980062, 0.011328680077825875]","[0.014457016058401133, 0.017046967165249435, 0.016641404489351076, 0.020420023753279677, 0.011696745553900368]","[0.015511458882834856, 0.01703541583348874, 0.01806762539751198, 0.01980809326229199, 0.011600992894416897]","[0.01767496388333269, 0.022163579310358825, 0.02352603660603835, 0.025858692813341067, 0.01548313621404412]","[0.07327678681714124, 0.0432187920036205, 0.054135108825105034, 0.11784915168131989, 0.08140791484443204]","[0.01480158415995837, 0.017945422816228237, 0.01776569956615106, 0.02055060093316253, 0.012327115238688534]","[0.017853374344803417, 0.022431284079808128, 0.024018638724560018, 0.027013889381220298, 0.01611998155704578]","[0.01754547271606327, 0.022800501368641795, 0.024104752544017196, 0.026497332185400294, 0.015767858631151127]"
ETC,"[0.025795655256822293, 0.015204989244630854, 0.0262279257974082, 0.0249649158165021, 0.020457054326804894]","[0.037288714291631206, 0.025781072591213393, 0.02362701652949968, 0.0407004784653959, 0.026714335265812395]","[0.03204433883793058, 0.01637043576928964, 0.019726270842222608, 0.028418384749692927, 0.021311994512288275]","[0.020678219753891506, 0.015514495523520458, 0.01488578432952772, 0.022051199066423326, 0.014077713313682655]","[0.021720077087301566, 0.01792225057144996, 0.015738117024837385, 0.02318099335721691, 0.015549305053499426]","[0.019594204797689856, 0.01571749976980929, 0.014636884766260462, 0.02125679439280661, 0.014128260897970158]","[0.01959565880235439, 0.015401802487667034, 0.013751834317380442, 0.02128971880306559, 0.013241296342841727]","[0.019595648382048747, 0.015105839831608354, 0.013882287646287591, 0.022017417671792872, 0.014103844026557753]","[0.02459886691178445, 0.021681789551842124, 0.019713947956513194, 0.028131180190958113, 0.02056361891847928]","[0.14775309376563964, 0.12984753132643612, 0.0593975157442902, 0.0857204654498556, 0.1073143871172289]","[0.02285639881460276, 0.01855235808418079, 0.017358036027418543, 0.025100510155513584, 0.017377965053862233]","[0.025931543849040412, 0.024124842060838914, 0.019896790056511456, 0.02836436698825328, 0.020909267027146673]","[0.0252998663250663, 0.023812175482055657, 0.02064342527617078, 0.02898194320130013, 0.02100358796754595]"
XLM,"[0.015951143234477286, 0.013033106595813802, 0.016367742603055128, 0.017312795072228923, 0.014590907658663778]","[0.010761485889804018, 0.012114631491757427, 0.01081519412540929, 0.015386596481917677, 0.012800313439959054]","[0.012122195612760638, 0.013592287125080649, 0.01081792003711612, 0.015380796501399077, 0.012801956225060468]","[0.011373398830207129, 0.011034423617457339, 0.01113409824083226, 0.014756813662567814, 0.01330580545388777]","[0.010975134597514953, 0.012254242742949983, nan, 0.014733883806127493, 0.07984908341180887]","[0.010736073164475965, 0.013514782652726346, 0.010999340609116642, 0.017645286088777884, 0.013148304087225123]","[0.010747520064821306, 0.014293289017696206, 0.01234993301580825, 0.01543782420338625, 0.013068082528070232]","[0.0116918972694874, 0.011846788390714633, 0.01139419910304033, 0.016138645049478196, 0.013468277581545106]","[0.010935680995635065, 0.012205201704579742, 0.01560855950293469, 0.018849360049361462, 0.013278922451120183]","[0.17070245328330674, 0.5914850403457832, 0.1824399925957273, 0.12653217480437307, 0.0707611361509568]","[0.011788224885766474, 0.011585327141834226, 0.01205766179239374, 0.016134978134456704, 0.01339474971877885]","[0.014190022912073616, 0.01640544092903993, 0.01566142606083828, 0.019638365363996765, 0.01872227169920756]","[0.014218110828086224, 0.016381116712085166, 0.015580411779684203, 0.019621173695661177, 0.018591233999054716]"
