,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[23.96116981277478, 187.8428125077136, 38.259165823217046, 178.92401653684118, 35.593292991762056]","[87.70551079344456, 188.02316074305705, 33.153883087960764, 169.0455984762578, 49.63987187159858]","[81.81489760024388, 197.49182422644625, 33.34853303374212, 163.62708707215424, 41.918681041915335]","[177.52012135553662, 71.75014774567569, 58.15184311539474, 82.84761856774377, 21.29302187799992]","[2432183.271648041, 16418.63374266822, 5932.560388720379, 3700.035863452056, 25323.391913994205]","[409.2356690801057, 371.5366681425486, 370.12143548753386, 230.12367479530923, 280.939915257671]","[36.72218634822183, 245.23239880082483, 32.06440347073866, 128.09766346344796, 101.24107499985499]","[565.3379054321053, 328.39823560524184, 1144.8602626898873, 385.60958920142707, 386.517905322173]","[6297.088427475085, 3760.6128122395817, 445.78161552676664, 6719.148321935211, 4938.741713767966]","[484.45831801920565, 34779.00625084596, 127.22980040655122, 388.81505071521747, 1197.4504829167552]","[11342.47113571186, 34445.16664740506, 20893.158489822184, 116594.90455114981, 542337.6743001444]","[45.07064000253573, 130.70387846990195, 42.210321164248285, 128.82036069217003, 34.19774018130314]","[34.23350779428156, 92.70043370204323, 30.92493420643971, 130.61848460166547, 15.056628597812788]"
ETH,"[6.491576860542129, 14.651091920137477, 11.40066357873564, 18.35090891899951, 3.4860971419223024]","[6.809778350852232, 15.548053801509598, 9.323078362516648, 17.598327267684308, 4.534495040644416]","[6.692220015831289, 16.416963323747012, 7.517519476167032, 17.883688837219907, 2.8648540027647056]","[13.061790546851146, 13.319920001988773, 3.3338727261385377, 7.892022477885133, 3.0429378776106173]","[2112.334514176397, 15078.876856537672, 1579.3430676787882, 578.6769134667809, 1133.7425867618074]","[13.544548350228789, 24.84773905306424, 18.857291315426522, 69.40691317498965, 4.333474798341204]","[11.596069601675076, 624.2765584771082, 25.171465798034976, 154.00632486572965, 213.2508382191975]","[29.741249028176227, 46.811181399111675, 50.68062800408407, 13.1319441094834, 86.31175021396109]","[25.492193544126387, 9.31430893036341, 27.32268894334934, 327.059606217779, 47.067783551638016]","[21.27332255894918, 62.9634307928858, 37.73593017267658, 102.56405523317859, 392.0401967229848]","[9160.791816074916, 801.4186696881853, 1251.0719090729829, 51117.61270284493, 54902.28455060757]","[6.296147053435652, 12.017831522427647, 3.4228297496732387, 13.938761637230824, 3.2349746838703304]","[7.055315930041435, 9.031597305022414, 4.820806867601447, 11.772183630963578, 4.762940067292586]"
BNB,"[1.0112640573851102, 0.7438673781901308, 0.5197573197388442, 2.1029366619401384, 0.37246486173409926]","[1.2893081573295042, 0.8210756309445219, 1.0676251091889006, 1.118182742527334, 0.30460911360069975]","[1.2198827993247214, 0.8775656763250539, 1.0459289443593132, 1.1176051358958767, 0.3027128839133831]","[2.09841461472735, 1.0029886080866146, 0.46531988140391295, 0.6343738436105693, 0.3426980732485929]","[324.71349926344254, 174.3437435651635, 30722.520524944524, 315.9717518239864, 321.8296554429009]","[305.72005509526036, 129.3523908522861, 83.00787874084773, 59.92189932696203, 9.360795396662548]","[2.1648035537596253, 0.6305313177995754, 2.45371823695909, 0.8295879249738383, 0.30770411414691123]","[1.4885207784521342, 1.6921548439574496, 6.4618368061538485, 4.911281012316831, 3.029258548694466]","[4.617417707222278, 3.3383399079419074, 32.385105257539486, 1.035064122904596, 30.781053762379237]","[12.112634279496268, 13.430666044062708, 13.767244212957154, 9.994931533030693, 2.4254432679719473]","[52.39098597259007, 10.18576317785, 53.631809308741346, 99.16837892729596, 112.6541103353128]","[0.6271355201497926, 0.5454556662869947, 0.5581576757293295, 0.9830572131787672, 0.3067025807227645]","[0.7849482358862007, 0.5759006154116368, 0.7120649486115539, 0.6196150242900091, 0.35915000794311547]"
XRP,"[0.0029976814786102993, 0.005435780217364282, 0.0036066308831405086, 0.00520397369639894, 0.00228362855660391]","[0.00402566507269871, 0.0037872938151483175, 0.003812146334570741, 0.004124618541781345, 0.0005793523489896459]","[0.003969159858729048, 0.004078255532980809, 0.003801346149586491, 0.004016279204658875, 0.0005918228971914944]","[0.0015693685378632533, 0.0026215774707661365, 0.0011750456555853727, 0.001856222119161915, 0.0008019491257337331]","[434.84724312092516, 0.093578359541395, 0.5082994392440047, 0.4994166293884294, 0.5079678539622179]","[0.01001195419941833, 0.003153112395623229, 0.0030498823295066054, 0.004788373861110934, 0.004069717861396349]","[0.005431883741987077, 0.003830331195787044, 0.007078315245104561, 0.0078008052090707755, 0.0040536195736136016]","[0.003858079824010541, 0.003157099244449224, 0.02139873043503797, 0.10995441664213865, 0.06793432746513957]","[0.0716463172670038, 0.09551009068662046, 0.010192953708945511, 0.005783651773329179, 0.027023530765753846]","[0.02467499365645195, 0.05689592957630183, 0.03631493296653449, 0.02786786794130389, 0.018436860095730468]","[0.04137950814003536, 0.007078456286366182, 0.0437367032206984, 0.023150767272995032, 0.008531908021013066]","[0.0015776222374405185, 0.00213679835987306, 0.002081407047327061, 0.0019411914804860807, 0.0010622307417421648]","[0.0013679625346991473, 0.0018633347099715222, 0.0022592049492678747, 0.001925686659648455, 0.0007487240722621966]"
ADA,"[0.0016073480113646976, 0.002123870406263201, 0.0033781209349701843, 0.006011256055194111, 0.0009148870722823225]","[0.002183910181573968, 0.00251292141516824, 0.002785416981930388, 0.005778672541428748, 0.0009804627366395981]","[0.0018651046888729108, 0.0026446544875981057, 0.003266307311560206, 0.005903161504229334, 0.0013345437600890792]","[0.0016960062225320862, 0.001050806702363007, 0.0026458159351686722, 0.002264639437220693, 0.0024164080899597004]","[2.3229563545183667, 605.2405579532007, 102.57884088007097, 0.06267540358727787, 0.3408642456048942]","[0.009837103458704909, 0.002195210670020084, 0.00481514105531727, 0.005033615641281654, 0.018929936166154893]","[0.002666212314770793, 0.0029239928706515234, 0.007442490825277032, 0.003047634188541031, 0.005241306374883122]","[0.01178651637772987, 0.01388342861413602, 0.029149019760162594, 0.011841416437005241, 0.02639703670867007]","[0.0230899932461848, 0.05427044641052495, 0.011985347363482536, 0.11123411785781649, 0.003956231693920382]","[0.010772651765798523, 0.018021239467400873, 0.008409340282049652, 0.03342950287978267, 0.016086254821532506]","[0.02215552823985118, 0.6111585922868042, 0.30752905109739304, 0.4116378774449418, 0.08102514387582718]","[0.0024358694205603533, 0.0034419653548896935, 0.0013270864412078187, 0.0037133917508316142, 0.0010141972528605052]","[0.0017562388675924385, 0.002512017540673383, 0.002966964138755197, 0.0036741591910383403, 0.001467674204039863]"
DOGE,"[0.00035137020078276654, 0.0012125564155951458, 0.0003092193073719632, 0.0009859554351434228, 0.00030085631332517983]","[0.000286179104615858, 0.0006394927054278305, 0.0002589143248564338, 0.0012852437479640192, 0.00016602594820580504]","[0.00030947519474459087, 0.0007267138046132966, 0.0002566971282689468, 0.0012704829694723846, 0.00014382346533365107]","[0.00022849170982729104, 0.0004506264828676562, 0.0008092372094799288, 0.0007771265111286257, 0.0002556057843307795]","[0.038404636260118356, 0.008556860058425916, 0.05648785783515024, 0.043732968960287937, 0.08496548299988901]","[0.003367854079612411, 0.0010491303152147203, 0.00049369527755356, 0.0005957466704016349, 0.0014192147681185345]","[0.0030971044038462917, 0.004449395969381681, 0.002186856511273912, 0.0021450044156186288, 0.0009414283572163835]","[0.001792251445228246, 0.001752681625002252, 0.00040466717797754155, 0.001778362470483104, 0.0004093704302533657]","[0.03804183425334498, 0.0055222048243113, 0.09313322838524762, 0.05819025596925078, 0.0328186578852516]","[0.006995098219560627, 0.005237599251855929, 0.01750357136000677, 0.004565387376851555, 0.011179938507976304]","[0.024630369597942514, 0.02805687425575675, 0.05888564887953133, 0.012507800287805676, 0.007081242782032715]","[0.0002168375617004497, 0.0005949972035374691, 0.00047291421746093924, 0.0011797911873254346, 0.00019322718582734643]","[0.0002520777254458903, 0.0003867859138525989, 0.00031988791691807704, 0.0010859442369260104, 0.0001600423155639054]"
MATIC,"[0.0023912827917495823, 0.002439023594202512, 0.003484664174214633, 0.011353431790209513, 0.005804535889153148]","[0.004778919237991807, 0.0018113710561084065, 0.004690525398547748, 0.01079016954886765, 0.0012992521583475168]","[0.004484154785815262, 0.001845603809695166, 0.0038838083527271317, 0.010673491110221825, 0.0017722515089464428]","[0.008025111496723077, 0.008015564967035342, 0.004214732789154488, 0.005744990114007192, 0.000921142823134277]","[0.9692597853114128, 0.9038353860926657, 5.219612083514444, 21.397272391713294, 0.1339114885704584]","[0.008064799773113843, 0.007824323443535421, 0.27986817826976973, 2.6364753044246636, 0.2615403365556633]","[0.050498510444909696, 0.015641720549845566, 0.009675309770792173, 0.01613989966584024, 0.022547107943595372]","[0.005957190459405827, 0.0031099707726082136, 0.06427922636626791, 0.015947414020840538, 0.004048846065325148]","[0.060365230433971434, 0.0235197848568921, 0.0027781993299269133, 0.006214027034522756, 0.024548005240367928]","[0.02872363069723869, 0.07910316896835219, 0.05161925302713382, 0.04830929115840938, 0.048632260809739376]","[0.07683302735696597, 1.082758856905043, 1.0156352125233068, 61.178378874901775, 1.0873353423186387]","[0.0019512473342154543, 0.0020211882107896272, 0.003091162710013891, 0.011296828740362018, 0.0036258378182841885]","[0.0033413107821870475, 0.0028401003322854777, 0.0029359425581851235, 0.008187057907482897, 0.0017881679291242671]"
LINK,"[0.06183216258663987, 0.039031580161297666, 0.03607314904733267, 0.11790116499289623, 0.016290605592902685]","[0.053436689689629814, 0.035974569063170855, 0.057336506337954035, 0.0982794211829704, 0.016792854275290606]","[0.052965000026881454, 0.032511678595977436, 0.047177987418418735, 0.09771365293144463, 0.009692595852212813]","[0.0299765240710355, 0.0339546449696337, 0.017776125981785122, 0.04588609168698399, 0.013280140843428222]","[171.82325303638748, 1.5614857899210608, 2760.6254267128893, 6.480915250430221, 25.11730086617578]","[0.2357837805058391, 0.27262717039478757, 0.3168220985429089, 0.07063747389364987, 0.2703854851679406]","[0.41264571787110554, 0.20843891582690044, 0.03402847514974806, 0.039706239034503175, 0.05961525032750267]","[0.07118834834653286, 0.1093098949960281, 0.07711130897287677, 0.20443436813718024, 0.21474475582781677]","[0.04747940476000761, 0.04379709032117902, 0.02534332037718289, 0.04220866562193577, 0.4788611303776253]","[5.0230278744445, 0.16014940696528063, 0.34281918840051434, 0.12837381201443732, 4.691618011909238]","[2.0838467817040778, 0.675667885153719, 0.8836075628947464, 4.272393510138455, 3.5492840508744288]","[0.03881092210877829, 0.026977717760094104, 0.025518330263380008, 0.06905527345721275, 0.019132682177428133]","[0.03176319743904116, 0.026075172156727028, 0.02502662422362462, 0.056950830142387075, 0.01659146062359318]"
ETC,"[0.10266507422778312, 0.08001969417703562, 0.07459429101909333, 0.5269270139797524, 0.09482148269777282]","[0.12976649235612123, 0.06467473819925737, 0.098241689252221, 0.21398224714974468, 0.06002413640657989]","[0.1193691349757317, 0.05988907921906182, 0.09385941387614792, 0.22868866398973756, 0.04599220149467415]","[0.2942101761316282, 0.04494647405970492, 0.09610476534605934, 0.10101007183171287, 0.043156389496572384]","[19.557183788618953, 4.633076956350996, 4.309833693155167, 7.370161848898987, 16.6622581619174]","[0.15915289509410194, 0.1335198913937283, 0.468690771202225, 0.3339654361720934, 0.06147839994772453]","[0.18272015524401974, 0.58291080630995, 0.6437815217438098, 0.6482435334017246, 0.8233494134638257]","[0.09384232345931952, 2.0932304350455646, 0.16958840256628352, 2.528991682579589, 0.5192124225175417]","[0.05684935518262492, 0.4785895958984362, 0.5146968035202835, 0.3650872895753633, 1.3686378881564718]","[1.366684461507152, 0.7482780906714239, 0.5178091990322978, 1.5882034748455733, 0.3140218351114185]","[3.942654010084778, 7.019770790609564, 4.81395408700752, 1.6913809868506877, 2.5469973224248057]","[0.0638083305858971, 0.05566364530568077, 0.09067910844702241, 0.22081940647334675, 0.0371885719410996]","[0.062385201730377204, 0.059461624021280746, 0.07971034089604377, 0.15121191714414955, 0.05385827914913103]"
XLM,"[0.0003941343919160554, 0.0009933812883823378, 0.0003303531211280767, 0.0014571986502019464, 0.00016420842896976116]","[0.0007266142089410836, 0.00046772060816163826, 0.000517967630524976, 0.0007242278841573232, 0.0001129808883314226]","[0.0007034443067092052, 0.0005023408603998887, 0.00039798194656126047, 0.0007423204795193821, 0.00013348759305256922]","[0.0003365178837385666, 0.00034266148246448375, 0.00016809012330055135, 0.0003808930837204801, 0.00012985977501287592]","[0.029328026736571068, 0.009275751141274192, 0.08091206607237697, 0.0816112862190019, 0.027554330845933794]","[0.014671829229503037, 0.007380344607079096, 0.00030583955797043567, 0.001168069574649911, 0.0019191692071931336]","[0.00014615141720475093, 0.00045435724650688035, 0.0005063579371441758, 0.0005560524634514143, 0.0022407680208126387]","[0.06664129207604676, 0.0011430926902012946, 0.0014125157548777146, 0.02981912755403045, 0.0012056912510349928]","[0.005430182645484855, 0.003284428484511704, 0.004473345919602553, 0.009314618441696393, 0.01219816647476041]","[0.0055169203006670536, 0.028800575118170507, 0.00432997078538642, 0.004114688448524716, 0.002444866736691449]","[0.004853319195015222, 0.01665120932026055, 0.013065744761344816, 0.012350261275687892, 0.0001867203525952878]","[0.00047846324624403963, 0.0004842059576779156, 0.0003863876719197277, 0.0007755058679960696, 0.00032345136621085015]","[0.00033983143893350236, 0.00033557787619624207, 0.00048777234602387414, 0.0005461730152607024, 0.00022492890409031482]"
