,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[42.03314737116744, 920.6706940066397, 97.39456411044642, 95.4963264143669, 261.8490968275565]","[43.591819554040036, 933.1374477809657, 127.09800588320802, 105.9872370713757, 261.8889370352855]","[48.63544607229699, 1046.4138664462246, 226.48243116398325, 98.65548314931884, 293.0850053624234]","[127.87471314572086, 478.1559219231343, 513.8711739162452, 351.75935458238484, 298.4494556117233]","[122.87602889256752, 706.0490830442305, 967.757177455998, 370.94076021136243, 164.52793730087743]","[27982.45005991188, 28925.813271500723, 30080.193568117378, 30100.771276332987, 30521.318233747996]","[27944.862817107485, 28889.48301769919, 30041.924227354004, 30064.151938062958, 30483.249151347693]","[27971.12678420428, 28915.931617863633, 30069.219731037774, 30090.464499641672, 30510.464892250315]","[50.72243437193327, 137.4846180137696, 196.49213412012725, 64.50198382437851, 73.50034590726864]","[27981.22743163326, 28927.679455166133, 30081.194032705127, 30099.944306746605, 30520.143317159458]","[689.1307592502965, 739.9771479774403, 748.4966556876623, 842.3268731170714, 426.29298165619247]","[32.15393058513265, 79.28331706373947, 61.71326099281458, 47.53080785343331, 59.01689785815575]","[32.34125685436315, 77.94319612546201, 61.29278762961594, 47.661003112529585, 58.955298837472995]"
ETH,"[12.80205380196057, 19.479153846132412, 8.183155134487901, 53.761889279069756, 89.98419527016706]","[11.441316398768116, 27.93760543553151, 11.003106944109913, 49.52001427833961, 80.774406201634]","[12.22120415950029, 24.90732974687982, 14.014122827242474, 52.43255505723917, 93.84380809099149]","[7.402084145384979, 8.972621990151353, 9.848591108216619, 16.453554550854772, 29.93995409241594]","[4.463365490367421, 13.331111617498463, 9.340965063587735, 9.348761212316953, 13.647740233811616]","[1829.4313133303813, 1860.6520846034912, 1873.7549666690115, 1928.401180908499, 2071.7373497106705]","[1839.06380364275, 1871.8261552177594, 1881.8662747222775, 1942.2992760299542, 2084.1741307892257]","[1784.2690178734206, 1815.926258193661, 1828.8714881035085, 1884.4643726788572, 2026.6139675031275]","[92.09396794788283, 34.449751358663605, 12.962732752908105, 70.55748979404838, 12.635292530903286]","[1829.7345054952618, 1862.7431674622715, 1874.2183470903, 1931.5348029196798, 2072.7890323429265]","[21.825890266899, 8.548291691625643, 16.887599598847935, 10.85338063374834, 19.35870846207876]","[2.8413312083797932, 3.789107981950547, 4.4689155241749985, 4.908219373076246, 9.745849775145185]","[2.836529522950379, 3.7576266783811882, 4.467694707868476, 4.899820022809141, 9.732922457032258]"
BNB,"[0.49215359374242423, 5.781324195795819, 1.688458053413421, 1.0518307725837903, 2.3624627563788003]","[0.3665917082335593, 5.709497802293362, 5.955731453974537, 0.8757106897582108, 2.1399580118146218]","[0.3973569727566864, 5.994089762931805, 7.50044845761329, 0.6685435534224444, 3.0030918420879087]","[0.6758820051178918, 1.4824191044253854, 2.303118007409591, 1.166926048587748, 2.764463473175569]","[0.3042440162220234, 2.841217451074997, 0.9137283638954993, 1.0434296728948378, 0.8461480250037817]","[262.7234073487972, 267.88455974797745, 276.50817850874114, 272.7696192960401, 281.8531672983845]","[266.752326614047, 271.67741344555, 279.72469656835847, 276.79291127920845, 285.5371408857388]","[211.31730332370407, 215.93758263515917, 223.42777261532592, 220.69120144942718, 228.99879976719203]","[5.4409411424968654, 0.7288864962926521, 1.7215852010513155, 0.4603741255838158, 0.7878658076926011]","[46.762536966281914, 49.6173320926628, 58.013355016346864, 60.87049186688656, 66.9557154257097]","[63.66268102250243, 55.81371911261291, 58.714591332781865, 41.708818039298095, 65.43083144301414]","[0.21801529471698514, 0.6405789226768394, 0.604022563629297, 0.45466471162825384, 0.7809737511594111]","[0.21812795927405512, 0.6625664924169379, 0.5960115247849794, 0.45825335349345253, 0.7831143478697045]"
XRP,"[0.0010331752368118608, 0.00417301009549253, 0.00227513409310788, 0.0017559683437443885, 0.005704391796062501]","[0.0022805661583562673, 0.006419957614126413, 0.007580568233110123, 0.0028513924645273193, 0.011503306742699662]","[0.0029925136365262974, 0.007108967223056198, 0.008642497860152315, 0.004078390521922609, 0.014431184985888232]","[0.0016306622706808553, 0.0017989735822926736, 0.0018573541329284955, 0.0015827705359514452, 0.0028818917262655747]","[0.0244018465241961, 0.01769129641460898, 0.014327668342768694, 0.014125895888984928, 0.012938443192769765]","[0.003579446302747422, 0.00650373843878422, 0.007383150344533934, 0.004387263320350689, 0.01167240465041011]","[0.01004904765854055, 0.00845187347473475, 0.014362499706742018, 0.0038946056936848238, 0.018389228417633765]","[0.002214015738114995, 0.009204737345763716, 0.017600097788052185, 0.0034629509634001225, 0.016705374269140823]","[0.0022590249408700773, 0.007187114738969211, 0.00932364754672725, 0.004580768869387943, 0.014317325312193572]","[0.035931231513587, 0.0817043201198836, 0.01087824612853962, 0.008314660443023661, 0.01580120770027813]","[0.04118052820235584, 0.05860622558017637, 0.04252904808437889, 0.04000826983608505, 0.041342149796958515]","[0.0007718549086454034, 0.0011644468051672954, 0.0012547190920680225, 0.0008897640136575524, 0.0020633444274731723]","[0.0007804885762128223, 0.0011654235957540711, 0.0012596938144477762, 0.0008916360152629257, 0.0020696957806252084]"
ADA,"[0.0008330566370442141, 0.004982915511691214, 0.0024094209324462997, 0.00519266495552978, 0.010483575266727578]","[0.0010178348804952614, 0.008193609695444382, 0.008354831689255219, 0.00991585135794401, 0.021259887023747315]","[0.002199948635055095, 0.008932127294422594, 0.013281066709608599, 0.0163332732936546, 0.03368391916286339]","[0.002154998700985696, 0.004298824082458707, 0.008219126234556656, 0.005872240909437571, 0.00978085862218323]","[0.42763236456986786, 0.055370443611461255, 0.01622680861781283, 0.02810536954503514, 0.03275593275402766]","[0.012584011333650131, 0.006312895953923075, 0.009837314238471093, 0.009924983680878399, 0.030224970493264423]","[0.0021966577524946164, 0.008506167332719743, 0.012517990315424372, 0.015381220822307431, 0.030588588020230487]","[0.0016577823954052194, 0.007579432448264543, 0.011862104842670963, 0.014568829138466684, 0.028821764890798556]","[0.0034951127000947485, 0.007846685575794874, 0.00700358553222805, 0.013170648038387632, 0.02084529375410202]","[0.005969484861519867, 0.018418562846200665, 0.016824823834724778, 0.018780453272197215, 0.03684209242283797]","[0.019584736575656157, 0.021060523259742857, 0.04251413043900505, 0.025877984157280466, 0.046457553489732406]","[0.0007378020075525325, 0.0009358204956080017, 0.001326167410246534, 0.0013330781820499306, 0.0019526967363495227]","[0.0007405562948371249, 0.0009322577450404557, 0.0013254714851802635, 0.0013263885538572233, 0.0019517960322508543]"
DOGE,"[0.0009147457426384814, 0.0007975648520202925, 0.00045632816571348345, 0.001412184661633312, 0.0021086635992875425]","[0.006584301138951656, 0.0010657650964565305, 0.001595117984351002, 0.0024842149498495478, 0.0050450263176419555]","[0.006620606509051068, 0.0010769037904595437, 0.0016002086518319472, 0.002481915790545798, 0.005060461006826333]","[0.0005628909080500826, 0.0005602445000947842, 0.0005214971096678319, 0.0006516306110538, 0.0010500648716898465]","[0.0016547305520483314, 0.014039722802207506, 0.0023882096374234054, 0.011472675826009675, 0.019110635513028388]","[0.005103997779223341, 0.0008665125134984141, 0.001837053209193327, 0.002378115152188816, 0.00510179506303987]","[0.007865656496799956, 0.001387764296242357, 0.0063607367683703245, 0.00471797574058124, 0.007582547414804416]","[0.002367093526927832, 0.0011937477422112473, 0.0017043591059083517, 0.002151294416046654, 0.005158641130217665]","[0.00451005840866409, 0.0009603751310207583, 0.002414673143970279, 0.0014416143923830836, 0.005752910634151072]","[0.009845815042843063, 0.003943962272603992, 0.0027816647673191397, 0.0038256802325640897, 0.006301662094898949]","[0.006819940682190592, 0.006246155879221235, 0.0017126813644788954, 0.003794085493841065, 0.0042055708984730916]","[0.00021753031889133403, 0.0002144886032479907, 0.00025086170050908944, 0.0003308610738768624, 0.0003798294054661091]","[0.000216604680569972, 0.00021310751983565958, 0.0002499230698015016, 0.0003256010031147285, 0.000372949247312398]"
MATIC,"[0.0073210861915478775, 0.002378897110853722, 0.0029844161592780787, 0.003572436488124425, 0.032982223104592194]","[0.01607424238339087, 0.008351061545537818, 0.011601529849415565, 0.010354508032701487, 0.04401760828077782]","[0.024875997912904447, 0.012459685956827754, 0.015400631409498617, 0.01787235097776001, 0.05438222468401619]","[0.007887186762627101, 0.011818491636338083, 0.018312078079399146, 0.016938041546318634, 0.025145813405071403]","[0.013737061730934199, 0.022035260194312054, 0.022205799169567962, 0.02441646458102024, 0.038880665826806556]","[0.018867540266744517, 0.00898025815202537, 0.010339065157361, 0.011143636288198373, 0.03776639634129062]","[0.017373041019598644, 0.013566052263348668, 0.014621537164024772, 0.013613923149367803, 0.056152799955774046]","[0.019545079278433828, 0.0109127896092493, 0.017034247428683414, 0.021046599668325436, 0.04336139687651355]","[0.010566705251160397, 0.006573160061817158, 0.008948942629697434, 0.005968092369353931, 0.013707333185775782]","[0.13244355273560549, 0.0497327765443484, 0.11507625006812804, 0.022554945873191987, 0.1329478473772673]","[0.009150317965921431, 0.012189819333857876, 0.007081571050043341, 0.010919460355666799, 0.014347250114113773]","[0.0017027952604894829, 0.0022321162407120464, 0.0029484640069025853, 0.0023376911686533866, 0.004255566623046116]","[0.0017091294971587347, 0.0022608058496576726, 0.0029652226296261754, 0.002336726216192552, 0.00425906707298889]"
LINK,"[0.03628975293489262, 0.05675642102209178, 0.023103784378859214, 0.03525738242762746, 0.2564909634299481]","[0.05008421897630263, 0.06334443347506845, 0.034891840075641715, 0.04200352756780426, 0.27949377483871063]","[0.10851083109675225, 0.10524754802648423, 0.1091741465518307, 0.08670906024731971, 0.37166676236855334]","[0.024748005754739243, 0.03379787771802666, 0.033388615704919196, 0.03372739655381044, 0.05178818677510421]","[0.1638664177793415, 0.06941406341697393, 0.07201963949611843, 0.08453425344728159, 0.14531345197960868]","[0.14997929392947956, 0.09724608617391037, 0.12845204346098257, 0.12140001411810615, 0.4189205272874669]","[0.1979519759419846, 0.07592653704402089, 0.10137419068570346, 0.10140328539426395, 0.36877483381822723]","[0.042955346138407395, 0.2830865146305631, 0.20187710750734777, 0.14422228797118203, 0.5578322369847631]","[0.14600014920591348, 0.021446272073679395, 0.14119794020387055, 0.2671267798954657, 0.2349921680046174]","[2.9378315654063982, 3.310487703765238, 2.7719639969795913, 2.7222375641753973, 3.5785964480602104]","[0.042091862642545046, 0.10498676370811241, 0.03496582712402007, 0.04421551888719535, 0.05548748822933368]","[0.012018487377235444, 0.016293576784829067, 0.019180597284008036, 0.018615359530309912, 0.029935820368765007]","[0.012138045688956125, 0.016273906215524797, 0.019099236139337186, 0.018482474332425065, 0.02974602326937907]"
ETC,"[0.11577887079497934, 0.16686620104441968, 0.39717845133177776, 0.5826051058856297, 0.3649973900401785]","[0.04414221655630799, 0.1294043461922045, 0.32235057756192154, 0.47415875655906736, 0.27012285850379936]","[0.10992986744790806, 0.20416928210590246, 0.5346138407856467, 0.6661224650019213, 0.34882558852559387]","[0.11027457669577267, 0.19150676456489477, 0.3536853448104116, 0.3289844030297374, 0.48639705133773]","[0.033047281341034004, 0.06573578301668238, 0.17621511684702174, 0.173192585741572, 0.14582200396339332]","[1.5722249013155487, 2.1370939742973016, 2.782182849087276, 3.1487785287750425, 3.0058983386698266]","[17.09444286703142, 16.389518207407114, 18.181879331926936, 18.281849812515357, 18.887361533745107]","[9.874848103197653, 10.749734403447697, 10.443490142674165, 10.391729443060637, 11.277143300384722]","[0.8180066783569658, 0.47982638005409567, 0.5532317644438408, 1.4118250550934985, 1.1049459674369995]","[2.1414276311394977, 3.529372554317849, 3.2599437568399807, 4.644638426326594, 4.0450440229117435]","[0.34501669972179655, 0.2823034931709554, 0.34949497819274344, 0.27547025186357166, 0.24766342915171116]","[0.0331499209048911, 0.05472111109983046, 0.11945986703604106, 0.09535537055539417, 0.09066280593217717]","[0.03340048845197307, 0.05509791888478459, 0.11688586878639763, 0.09498750178138843, 0.09026092107966784]"
XLM,"[0.0009926980446947847, 0.00023505112810492728, 0.0002597829868509127, 0.00020859993737046685, 0.0007479329206994019]","[0.0019725135195734367, 0.0013931019606977762, 0.0012959798493803834, 0.0007203889511229326, 0.002563763943033756]","[0.0019489465182132876, 0.0013754738824041529, 0.0012996480611013527, 0.0007203779609445374, 0.002514786476803702]","[0.0008641712353808236, 0.000905791376036089, 0.0016305228467088607, 0.0012292626621633424, 0.0012611891570977645]","[0.002087644797652107, 0.002647825035844616, 0.005226566294143895, 0.003982494900881884, 0.0018685216773674169]","[0.001859077747053275, 0.001525648484816261, 0.0014391762272470182, 0.0007222354750762311, 0.00215277409406186]","[0.002259092710691534, 0.001286398887360628, 0.0015547182179286854, 0.001092162094750211, 0.001872772458605985]","[0.0018485721130069423, 0.0013783294690123435, 0.0013662530896558433, 0.0007153991271546768, 0.0026297424729870415]","[0.0009605886613005882, 0.004063910825832157, 0.0014414419873638189, 0.0008337811636208232, 0.003872667553865249]","[0.0027620674895997357, 0.06843218647042919, 0.0042946569784767215, 0.007971435933241644, 0.004396649568862659]","[0.009889780899569602, 0.00153307481713378, 0.01866890236924401, 0.0007292752234007853, 0.022528483338595653]","[0.0001916460466417073, 0.0002025462323714533, 0.00022843913143273165, 0.00019141577782408694, 0.0002787113201863174]","[0.00019344277182297947, 0.00020221826785602498, 0.00022783685654852558, 0.0001930387026143315, 0.0002799647871936823]"
