,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[0.11455039078834271, 0.04065524664807015, 0.08365257446854187, 0.0707789832504947, 0.06367365663519031]","[0.0019369288674333043, 0.0019370348432144848, 0.0019405706913325044, 0.0019512731041690426, 0.0019301546479059504]","[0.0019557525259655106, 0.0019432482374266333, 0.0019629339941246433, 0.0019435033552937108, 0.00195382502900464]","[0.001946916674124104, 0.0019467597236109942, 0.001949643947317044, 0.002033771619214411, 0.0019449678750002187]","[0.0019423785498280505, 0.0019458708535345008, 0.0019450120623438366, 0.0026227208677007813, 0.00197631344289215]","[0.002522804358202031, 0.0024601069316464476, 0.0027409284392000137, 0.0026828739527591837, 0.0031523324781560893]","[0.0019441370029538337, 0.002094742039925569, 0.0020263693576085566, 0.0023003855082996826, 0.005067106113046628]"
ETH,"[0.0057637308554397805, 0.004723721749130198, 0.006510741344233102, 0.005522063506090406, 0.013107328168431943]","[0.004612561976421014, 0.004622871200241104, 0.0046277852214166425, 0.0046364982561819595, 0.005435557573739361]","[0.004632264463628037, 0.004626038087071265, 0.00463292699898273, 0.004631261596019389, 0.004620041738899688]","[0.004596495057831282, 0.004606287438159468, 0.004593288412440778, 0.00459588753666145, 0.0045959845773620375]","[0.004625581656873057, 0.004751949634264105, 0.004639864594369058, 0.005030091517794763, 0.004870910761671681]","[0.005462678921947555, 0.005462158555332379, 0.005878376920443436, 0.005283711715772665, 0.0060924872264614335]","[0.004907964495997447, 0.004596151981631622, 0.004763041041692669, 0.004607902012288141, 0.004650687940016726]"
BNB,"[0.0078901957673704, 0.0036249305241881774, 0.014836136693650215, 0.0024625743310800648, 0.005033969702891143]","[0.0023764726017233106, 0.00238578777606072, 0.002373455848156949, 0.002375256938903755, 0.0023762406499097527]","[0.0023827744011800734, 0.002379309953061714, 0.002377154892450758, 0.002376651274405434, 0.0023781052923141414]","[0.0024480565786453236, 0.002384595695648625, 0.0023786224796479875, 0.002370254057453096, 0.002376927878220642]","[0.0023775820313102097, 0.002379612414158494, 0.002373650771544852, 0.002413803543643418, 0.002377295577837894]","[0.003877649805347826, 0.005430232687951812, 0.006307329690213297, 0.008309940678652794, 0.005325609026352434]","[0.0024514861712824202, 0.00383239987177682, 0.0032063924377799683, 0.0024287839748626085, 0.0033428818155220117]"
XRP,"[0.012745949015737558, 0.00577256149888086, 0.03375439234975901, 0.022726688834534957, 0.04575960226751161]","[0.003926685772803786, 0.0039030600740711558, 0.0039007673638660613, 0.0039092714417280116, 0.003904115466639559]","[0.0039039722508834784, 0.00390081160505947, 0.0039053176596635306, 0.003937692367421578, 0.003921269856446761]","[0.003924794384025162, 0.003915563949802034, 0.003908061688538294, 0.003908865817050841, 0.003977645085380458]","[0.003950192074145566, 0.003975498900394247, 0.00391940095067045, 0.003923361389856732, 0.004072694274436867]","[0.004750907852780052, 0.0046396846750364285, 0.008049742152010174, 0.029995476363991733, 0.005190662656983013]","[0.005475941841351275, 0.008092206831839106, 0.006949416599448625, 0.0039501935781415705, 0.004149540932808195]"
ADA,"[0.22864892988260216, 0.021296166037873702, 0.08023870510366297, 0.03565673161364156, 0.025532018098757985]","[0.0046331322422298775, 0.004548717644182949, 0.0045523379789925225, 0.004857328462547266, 0.0045733253624396656]","[0.004560911796058106, 0.004548393000047146, 0.004555480611607517, 0.0045579553864342984, 0.004560392337409131]","[0.004599097164691401, 0.004705557410441023, 0.004695260767787716, 0.004623339753443536, 0.004637454193300233]","[0.004596290751474657, 0.0046660521220044755, 0.004684581395611726, 0.004685889136996194, 0.0046651697203988545]","[0.005625919767380142, 0.005128569686757567, 0.005057651382545591, 0.004913994485104156, 0.01088326016981159]","[0.008779038606225049, 0.012780003909217474, 0.00994483745525872, 0.005329409599529373, 0.008761630468534457]"
DOGE,"[0.004800297734456269, 0.023193433181198465, 0.03747357084145537, 0.02898158903679482, 0.0247765285047127]","[0.004195834005546842, 0.0042725568851599525, 0.0042002704923040845, 0.004196366886297698, 0.004198653409138997]","[0.004262697497333149, 0.004187874588288088, 0.0041886900157756075, 0.004193698333946233, 0.005658578364599429]","[0.004236469577501952, 0.004218788236756128, 0.004196409029408573, 0.004179795911950502, 0.004174346178047877]","[0.004465535308214441, 0.004188275528267781, 0.004176120251142494, 0.004245181004705032, 0.0042133821975228625]","[0.006485568116320208, 0.007037215010256981, 0.004827814336151208, 0.005826458680315573, 0.006152199695519144]","[0.004474179132584832, 0.006125799252221984, 0.004844437251415059, 0.00701978297477312, 0.00433170392415277]"
MATIC,"[0.010420764892369297, 0.021216471769721395, 0.007027712323759312, 0.01385619749751539, 0.018003204031808256]","[0.003697903618219777, 0.003687728941081494, 0.0036842500726074123, 0.0036828764341680165, 0.0036917857497868033]","[0.0037020235886701305, 0.0037130477051991522, 0.0036968345580060858, 0.0036766894122964595, 0.00369149405831678]","[0.0037246172185890613, 0.0036821342861695517, 0.003702689091734731, 0.003686703320041856, 0.003691635270316826]","[0.0037337619029815744, 0.0037005254905660557, 0.003714840125098194, 0.003715339757397418, 0.0037495202172898993]","[0.004245881224234261, 0.004226528808047828, 0.0048090511259113984, 0.07560738763941036, 0.12470468538487171]","[0.0036739551153356386, 0.003686215796550847, 0.0036751238190180354, 0.0037343513186040866, 0.003673946056290698]"
LINK,"[0.012528375486437779, 0.008979220506787667, 0.031001912178769794, 0.006707636212969872, 0.050585990292364075]","[0.00386430688844567, 0.0038670495009118715, 0.003860851794440716, 0.0038617512696378494, 0.003871422585596754]","[0.0038819738775565937, 0.003885433820942592, 0.003926462732647944, 0.0038958646675124817, 0.0039006118005749605]","[0.003894302921135607, 0.0038889892004278846, 0.0039044190555881896, 0.003911817575055182, 0.00389269656706723]","[0.003878527087917468, 0.0038805176684899956, 0.0039056096366176934, 0.0044915978458935826, 0.0038839325049870223]","[0.004436855817823066, 0.004564409968032432, 0.004865506365505392, 0.0040041309062610365, 0.055088502116196564]","[0.0038762027731263967, 0.0039612302251945345, 0.0038747539346798763, 0.0038697284024111845, 0.003873070467385942]"
ETC,"[0.004219544564710756, 0.006607957010912892, 0.009156278978577986, 0.008309729947887631, 0.006845305447881537]","[0.004024377184112208, 0.004047478021544874, 0.004071251539702087, 0.004078902163152828, 0.004075022535751499]","[0.0039562931290801255, 0.004096856972807552, 0.003956227994557326, 0.0044117636299665615, 0.003994754196312324]","[0.003998518602355945, 0.004011394808850334, 0.004067804313837637, 0.004022651578440074, 0.004085321879352612]","[0.003984648532912643, 0.004051666044791158, 0.0060836888208743115, 0.006527099043919004, 0.004291890302206819]","[0.006259961920630959, 0.011136444539907794, 0.006250207871551098, 0.009144056152788778, 0.0062226848379124]","[0.003977609015518569, 0.0060108936894680024, 0.0059048500186585666, 0.0042386911779634965, 0.0046602303929928444]"
XLM,"[0.005426844539354556, 0.0064171324094050505, 0.002659487558818731, 0.013165032745152518, 0.003128259349334613]","[0.002724112487098618, 0.002627745090915396, 0.0026470807822096764, 0.002620155751340371, 0.0026267758862192365]","[0.0027460275319695854, 0.002667179522591446, 0.0026035179777930237, 0.0026201724028778336, 0.0026096919068332044]","[0.0026062384961308, 0.0026064121141128665, 0.0026072080628488765, 0.0026047836040782946, 0.002624862827236676]","[0.0026063451360315727, 0.002639538022480536, 0.0029459205871030995, 0.0026528918040048728, 0.002613730324006235]","[0.0035787130523208034, 0.0033898087182138116, 0.004767540592430542, 0.015263227637392482, 0.02063538461152936]","[0.008891539401184501, 0.01064351791522927, 0.020731261500491902, 0.007991156939210813, 0.0029105929195003865]"
