,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[0.011756914315964376, 0.03151347478109296, 0.021709735598708074, 0.03077987083519684, 0.01008032148672352]","[0.008038789083788222, 0.008057571074007324, 0.008047974747342354, 0.008037695835895154, 0.008089758583212406]","[0.008037389325640035, 0.008020032372682118, 0.008019039430028319, 0.008018144354514147, 0.008044364314911656]","[0.008048840658411159, 0.008046680232092937, 0.008029124459602372, 0.008051285510701476, 0.008029900961365468]","[0.008017422942375568, 0.008039502965450331, 0.008020526850447927, 0.008025708478227643, 0.008090032521478059]","[0.012613344126290341, 0.013068360090585507, 0.011163853342401223, 0.0137350201158299, 0.031099726150245886]","[0.009947110015233485, 0.008422931938090034, 0.008886206224137225, 0.008010843362072572, 0.008027305097933427]"
ETH,"[0.024819795934223707, 0.037930485348760146, 0.08965339637968592, 0.03607673376987856, 0.04201677406719843]","[0.00972828476070731, 0.009765858150120052, 0.009760762833408609, 0.009737628708216362, 0.00972329345795229]","[0.009713718625481278, 0.009734067792022476, 0.009801269186113376, 0.009716283965120783, 0.00978828256719768]","[0.009773951025189109, 0.009758964799277976, 0.00971965488876781, 0.009716273976217023, 0.010726113476244269]","[0.009784526066396801, 0.009737809785585761, 0.009725549178244775, 0.009722512123677494, 0.009791805068332084]","[0.016178712093244427, 0.015615972730872263, 0.01878329944323805, 0.01629866077533567, 0.015295162968652081]","[0.011731079249667542, 0.010607926443856388, 0.02602363397362102, 0.009694221895339916, 0.010640881526314252]"
BNB,"[0.008395671992276414, 0.00788233526783134, 0.007732178239601134, 0.007911249439301256, 0.010500089654127128]","[0.007804841410961052, 0.007782130713974221, 0.007795455456286981, 0.007805973799496544, 0.008110304204023339]","[0.007841887887620755, 0.00778800298346851, 0.007786925248171876, 0.007805544113441456, 0.008357275118451824]","[0.007869850397556354, 0.008798678275288125, 0.007828806378146981, 0.008247367727833325, 0.008001952769845071]","[0.008120229965928323, 0.008552828881321221, 0.007774068719688598, 0.008236175205466937, 0.00781368725231746]","[0.01959568529870886, 0.01904560307073125, 0.018464870473633717, 0.020895508371167677, 0.02320014338483979]","[0.00974247309715123, 0.011000906010700641, 0.011263947664426054, 0.007910225900191227, 0.02161339037465398]"
XRP,"[0.01906858637683486, 0.015156586086325493, 0.015281061006467835, 0.015930784588313533, 0.02721135417180382]","[0.015033118597607847, 0.015058952310495512, 0.01527273618286319, 0.015233069752797443, 0.015475194829224827]","[0.015156267832667698, 0.015235758499624427, 0.01505381321372404, 0.015148606864154514, 0.015487144106680737]","[0.015084892725080543, 0.015218969159605467, 0.015140555528562583, 0.01524897288684712, 0.01519650960343944]","[0.015207787278293547, 0.015008689623624394, 0.014934718346899275, 0.01525599466814573, 0.015404670787751158]","[0.020936606144035887, 0.019358954416885774, 0.02268911042574675, 0.019383820884028336, 0.01866215980109891]","[0.015156897269746249, 0.015171011777985237, 0.015058046110865213, 0.015152255054148989, 0.015218742101982227]"
ADA,"[0.012502385856266212, 0.0201856937225363, 0.017325943627663164, 0.012221033165604996, 0.060330996087309]","[0.012302696813995862, 0.012271678973221525, 0.012323054021048047, 0.012240190629485358, 0.012604185954929547]","[0.012308050012268552, 0.012118882032206733, 0.012296426868730915, 0.012107770278535178, 0.01212728134088636]","[0.012309872973829808, 0.012206063657560664, 0.012252183813791992, 0.012120176191628416, 0.012114274500142068]","[0.012140550908289086, 0.012102013276598855, 0.012287933635216568, 0.01212960799333757, 0.012228770845621458]","[0.019877594535033325, 0.017938765129267474, 0.018697042837124738, 0.019080930123826778, 0.03638947552372863]","[0.014254319009940014, 0.020300493749820115, 0.012315402710586345, 0.014498975094642829, 0.013642130134125598]"
DOGE,"[0.025717042832570803, 0.027411813924150888, 0.026460632006225216, 0.026099529404793258, 0.028482742679865142]","[0.025858108874119077, 0.025963028920969786, 0.02585011644240973, 0.025746909972074763, 0.02571478109223747]","[0.02586425094683724, 0.02577241244002646, 0.02575413693541813, 0.025823572868697683, 0.025915064536319296]","[0.02578181714911212, 0.025753683176048797, 0.02581704405567852, 0.025778639769833127, 0.02579995526731217]","[0.02592058595543868, 0.025745592867790303, 0.02569869360797311, 0.029133507702324625, 0.02586628964990994]","[0.03411372911351124, 0.02967469885948918, 0.029309482809275925, 0.029847226669480503, 0.030198091706249996]","[0.03376369754643771, 0.026060435484051358, 0.026195644032883002, 0.025668407677825134, 0.025803013406774832]"
MATIC,"[0.012773696468359356, 0.01768420801116089, 0.03276863828277909, 0.01989192485161957, 0.012680447666873696]","[0.011221723934051003, 0.011193497094544381, 0.011186621865660249, 0.011191628836266785, 0.011189506216801754]","[0.011640721737697365, 0.01118912660673375, 0.01120702862575036, 0.011404896932180861, 0.011205653128302854]","[0.011146666074182824, 0.011248490496714747, 0.011194058986067883, 0.011215232411298398, 0.011198223018728476]","[0.011713572762397907, 0.01365819432042435, 0.011189374468599434, 0.011223385215419981, 0.011333297296400254]","[0.02301512990001683, 0.02308553390398172, 0.02769206247391681, 0.024237744877035717, 0.03258044070219129]","[0.01312943079499796, 0.01218264269286304, 0.011274957966014302, 0.011335877150206458, 0.0112252873588932]"
LINK,"[0.011870193071864522, 0.010650630907981627, 0.03536671551127092, 0.01545698994163514, 0.09018218797492189]","[0.01054038688786521, 0.010539648456496999, 0.010589138167235569, 0.010654657690628828, 0.010587769289463408]","[0.010487855052896964, 0.01053250774090822, 0.010498703413342676, 0.010513387502891953, 0.010514630167556657]","[0.010524446110883498, 0.01055573412801694, 0.010557174122074603, 0.01054639452771718, 0.01054851888458276]","[0.01070115455053125, 0.01050109778198896, 0.010490928446499946, 0.010693216100567466, 0.011348683263526489]","[0.02853558044242356, 0.02494556060132336, 0.02728060102017922, 0.018739892280506626, 0.020766480636324407]","[0.012277102590607075, 0.010602174730768476, 0.01220600041981061, 0.010552158100143785, 0.01562845887705086]"
ETC,"[0.05054257380857648, 0.04668776502027903, 0.07346640630807688, 0.019806954195736845, 0.0604449969851798]","[0.012770164401030164, 0.012947436005693015, 0.012976218569455373, 0.012709992119451546, 0.013076934010295775]","[0.012866991033017543, 0.012670010676493428, 0.012704326146790042, 0.012664750106436213, 0.012712607652932249]","[0.012801224560655045, 0.012695908006019562, 0.012697814592225614, 0.0126960908759616, 0.012941056119422053]","[0.012814482898249938, 0.013147568972642486, 0.01291915275143668, 0.012977690362279316, 0.01284305262940153]","[0.026378425292737324, 0.019998252701055954, 0.019512492119466474, 0.026959275264187833, 0.02131242686436196]","[0.01274230152286693, 0.012791166578872536, 0.012820789885346979, 0.012840833184462056, 0.012929334849211938]"
XLM,"[0.07663176160467236, 0.08331568198667114, 0.013820584781115867, 0.01258672008043582, 0.016910399567795973]","[0.012952521921715822, 0.012792077828085342, 0.012671707089181314, 0.012673664438587504, 0.01269084740686944]","[0.012665249899663762, 0.012682352572068931, 0.012637541179174367, 0.012626402847448401, 0.012644860840296786]","[0.012609404425431117, 0.012942452198714613, 0.012626630120304991, 0.012880690202927609, 0.012611060997988916]","[0.012631039078996424, 0.01269739346224623, 0.012745442850860095, 0.012625328874174179, 0.012695221403862499]","[0.016668149069140506, 0.018557581682730605, 0.01732314457707267, 0.023846251381113064, 0.020834369670170508]","[0.012848942112181549, 0.013672290418695804, 0.013650786911783834, 0.012643382075130272, 0.013647216201461804]"
