,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[0.011878579439692161, 0.027421956471937913, 0.010052247456638057, 0.004474452101055511, 0.028481068847598146]","[0.0008114940861490124, 0.0007537304958146153, 0.0006855969541178561, 0.0005034668058695796, 0.0005232992835247084]","[0.0005812872473109131, 0.0006001332572946513, 0.0005644253605071135, 0.0004889253782486744, 0.0018490385251543925]","[0.0004863664952170039, 0.0005431349299460064, 0.0004964626515363941, 0.0004857018695277437, 0.0004862212626044748]","[0.0005067616796000503, 0.00049763420334373, 0.0004862304367660563, 0.0005898204336548767, 0.0010919583327030707]","[0.0012896287879064516, 0.0013021425356998953, 0.001035883572600574, 0.000935458850479237, 0.1533707287771619]","[0.001266030195296217, 0.0018999202104593104, 0.0018377881211418849, 0.0005280767535725289, 0.0009088331879201487]"
TRX,"[0.004364232313661928, 0.012207214868630158, 0.0025219474143803053, 0.011961394294171016, 0.014563534233333866]","[0.00027140018010263537, 0.0002705687198605895, 0.0002754653846408837, 0.0002700638361959931, 0.00027003571096535594]","[0.00032292966355776403, 0.0002899815669599267, 0.00026969872597374793, 0.00027349374599744094, 0.00029329828025320226]","[0.00028320872369362593, 0.00027263427912960263, 0.0002693872660247859, 0.0002707095750822279, 0.0007168917108158259]","[0.0033751494993101093, 0.0021635717007195956, 0.0002839090559979257, 0.00026923776358690543, 0.00434880158313353]","[0.008934058686490913, 0.008829150658658535, 0.012086968086509883, 0.003018971942831104, 0.0037612799839991822]","[0.0005526611002195097, 0.0016557612263340521, 0.0008401701744715659, 0.0013603646359155945, 0.0007105321425349962]"
ATOM,"[0.014790187545192455, 0.0008460470754277617, 0.0038048629419283673, 0.0025240149191637635, 0.014255155550231628]","[0.0007127000747398948, 0.0006807820229474626, 0.0006854600170269877, 0.0007252227365386931, 0.0008202650310166303]","[0.0006873317572486748, 0.0006927416035471406, 0.0006816864954069391, 0.0006883544463207319, 0.000972876569811253]","[0.0006988189499217807, 0.0008277600328532037, 0.0006856536179583924, 0.0010451699552980816, 0.0008872951743147961]","[0.0006823393355759407, 0.0007119475892243101, 0.0009389355966314404, 0.0012129567067686283, 0.0013586842917838232]","[0.006387168716132547, 0.01704346950670868, 0.011064891149597236, 0.016104330779349304, 0.010826800214917222]","[0.000681395479676046, 0.0006982887976416318, 0.0007930194587138423, 0.0006859182371083011, 0.0007358116311441361]"
XMR,"[0.009490927987857292, 0.009167922573281024, 0.005377646753811797, 0.004174117852766166, 0.0030636336189828663]","[0.00041073330137005417, 0.0012341263313380493, 0.0004968017920724228, 0.0009169267065859961, 0.000718363552664525]","[0.00042241275360032715, 0.0008328322680370192, 0.000503484491984242, 0.0004124155886148901, 0.0004166669004392719]","[0.0005901191738188135, 0.0004527555641795086, 0.0005490213334994823, 0.0004855182103921659, 0.0004306398274782124]","[0.0011391091674466155, 0.0024870888844309843, 0.0012993556843993548, 0.0005074925411885932, 0.0006315024434315076]","[0.004534616636699213, 0.0370733986993227, 0.0012028620709996823, 0.0019179925277304785, 0.11523626611605955]","[0.0005125942838153641, 0.00041988989955321653, 0.000588899988862873, 0.0009112066744582712, 0.0013605197104853467]"
VET,"[0.019794615303757007, 0.007014553691891124, 0.01917264709504121, 0.007936626231024334, 0.005990998490638781]","[0.0006292373481693939, 0.0005298776563201635, 0.00048473840148171194, 0.0006363994309633462, 0.000486658537500761]","[0.0004873770173949268, 0.000490029309335189, 0.0004848442095943532, 0.0005693993040185151, 0.0005701655940051559]","[0.0011648544632787592, 0.0013811531554501068, 0.0010780401644556808, 0.0008560870313045925, 0.0015373138415068453]","[0.0004833561129280283, 0.0038547569773348072, 0.00048427427809630144, 0.0004887579880019766, 0.0004893121163685953]","[0.0014448846253197895, 0.0014762210273993276, 0.0010269923681703473, 0.0009293487684655227, 0.0009264697355016099]","[0.017454778011986784, 0.013851280926271376, 0.009530023588199162, 0.02880990752330403, 0.01111304304821691]"
ALGO,"[0.007450240758112293, 0.0005769731748645012, 0.007894203424080478, 0.0038625081220175256, 0.0012282340152602797]","[0.0005579234927972659, 0.0007928391349505366, 0.0005435431642783047, 0.0007431927170630187, 0.0005542169220145329]","[0.0005412188201210578, 0.0005393892112690364, 0.0005473099955217846, 0.0005445701720321729, 0.000536975212932226]","[0.0005367594728549701, 0.0005382105312501483, 0.0006182759045689092, 0.0005460327004044473, 0.000546776847367991]","[0.0005387015301777347, 0.0005570927315290175, 0.0005459771148036424, 0.0006266318432857981, 0.0005617711317258284]","[0.006072795014674871, 0.010256490296479783, 0.02642801518987307, 0.021911266041772917, 0.009886352051145813]","[0.0019057698990407807, 0.0005861276903542305, 0.0019713627640255355, 0.0018609422603579886, 0.0069873055026118255]"
EOS,"[0.007852719719970019, 0.003651150330988709, 0.009332976268884536, 0.0007861779217925348, 0.008267574527136414]","[0.0007797963916171671, 0.0007724172609637461, 0.0007666765325658741, 0.00076982260553785, 0.002121979238769453]","[0.0007772406048501959, 0.0007794930299605869, 0.0007738539555259495, 0.0007798088610875954, 0.0007760692675456745]","[0.0007909325901769816, 0.0008255247503028023, 0.0008014970876109866, 0.0008630261221678981, 0.0009177674688158576]","[0.0007741250728671502, 0.0007837349286267979, 0.0008636821811256614, 0.0010138537010534643, 0.004887921807729036]","[0.02688897006838379, 0.002548927289966075, 0.0028673892797291397, 0.0036817556027637327, 0.0038008041096667714]","[0.006606403494552517, 0.005629275152562301, 0.0008005592373547979, 0.005897243699991589, 0.0035095033706317464]"
CHZ,"[0.008087569191627375, 0.007520226134280319, 0.0065526442268558464, 0.011597768876991276, 0.014348322587462858]","[0.0006646464887107283, 0.0006813642814848994, 0.0011655948449359231, 0.0007502068989516679, 0.0011386389228406613]","[0.0006659464339711658, 0.0006987357888856224, 0.0007027452018605831, 0.0006616594602673519, 0.0007172740974921031]","[0.0007009722216664254, 0.0007078528696773312, 0.0008454588631384205, 0.0007738074519326524, 0.0010141223206609003]","[0.0008325223896110808, 0.0006545051432322856, 0.0006873547160411332, 0.000647232166856739, 0.0009389717844735108]","[0.0024505400607028314, 0.004930355900924558, 0.016459978912471827, 0.09901326130571517, 0.055010871452871736]","[0.013657456408251592, 0.008479688060973102, 0.021758769735996095, 0.01453447155275436, 0.03888691721815682]"
IOTA,"[0.014221898374600923, 0.005262259978328627, 0.001441393226180446, 0.0035156724600906796, 0.0013096086801962319]","[0.0006377718191807307, 0.0007884825561454184, 0.0010320101295908412, 0.0006638282078782931, 0.0005660366632152653]","[0.0005654331085534392, 0.000558290271301518, 0.0005622405982479299, 0.0005654957320970045, 0.0006027425841825496]","[0.0005583247859802167, 0.0005585064000088533, 0.0005647348025779006, 0.0005561544084133178, 0.0005710798525732846]","[0.0005611837719692485, 0.0005720779580336535, 0.0005590134436360374, 0.0006036823909546605, 0.0005609798544298893]","[0.0038322167914385122, 0.010442776938901112, 0.0038483434109524276, 0.004528775431726848, 0.007719747181120885]","[0.00536688634131767, 0.005106673227941209, 0.007813595790502288, 0.004248873023940927, 0.007305855322390085]"
NEO,"[0.0008572324772646735, 0.014631339048554952, 0.01794407087913034, 0.0048008607817968865, 0.02210140145504111]","[0.0007555710060090384, 0.001506240903101725, 0.0012450447796204603, 0.002911882769580412, 0.0036427619703605463]","[0.0007516056959427705, 0.0007527922363091579, 0.0007514076658704192, 0.0007513848090633089, 0.0007540217361389252]","[0.0007708931166544102, 0.0007983782415877373, 0.0007508405481009267, 0.0007533956692457772, 0.0007584520122840341]","[0.0007542444541207348, 0.0008000379318827376, 0.00078315730757202, 0.0007828155692472994, 0.0013388191278421034]","[0.013886450939436946, 0.014623590753492996, 0.013064772807645344, 0.01035380055375927, 0.009173323300007264]","[0.003330090876190728, 0.004052985585547369, 0.0047091997073863195, 0.00524478972738521, 0.0015777577206558104]"
XTZ,"[0.03582312186722446, 0.03438650268297855, 0.021748726910008388, 0.012026248511271192, 0.00936210450226623]","[0.0006962029702763678, 0.001162566104563696, 0.0006932782455682357, 0.0030487514846079507, 0.0023641601170607085]","[0.0021550712843027425, 0.0010244311559534263, 0.0026766283616398243, 0.0008588073554942352, 0.0007251302425064161]","[0.0008053285884144159, 0.0007521319029339201, 0.0006966136470533826, 0.003463480080565162, 0.0010339875762177648]","[0.0007151295638314216, 0.0006958469050418786, 0.0009013646600656377, 0.0007138185155344783, 0.0007747176746665571]","[0.0030697775776636154, 0.0017281627481849668, 0.003046850846895263, 0.002325570746490936, 0.002602567276257334]","[0.0030429429142997968, 0.001429771050423789, 0.0007740746111942575, 0.0021941796242497327, 0.0023604491425899456]"
