,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
LTC,"[0.08033079742131675, 0.048479627187454535, 0.04132687343911675, 0.09592229151659126, 0.10430015170564497]","[0.03506229688487477, 0.03483828062242388, 0.035949894339208956, 0.0346817304890264, 0.03628108444869394]","[0.0347140970173724, 0.035050055274281997, 0.03485612080106784, 0.0347982049651971, 0.03509101958495154]","[0.03536007720498539, 0.03536697159555281, 0.03546373141323306, 0.03493881023879855, 0.03516615633707586]","[0.03486114225093429, 0.03578151343680168, 0.035365426097187125, 0.034988187359683086, 0.03580434546004572]","[0.06435782510477578, 0.0682411125754677, 0.06818588890970094, 0.0628394213857576, 0.06556550854081554]","[0.036016419066484805, 0.0370373263995463, 0.03919138044494837, 0.03781958472275521, 0.03510109844649019]"
TRX,"[0.053672847344675645, 0.0524827277227916, 0.08626550218366856, 0.041202600409664676, 0.05432796750878105]","[0.027649587315507863, 0.027591149738069316, 0.027563598220412735, 0.02806392749410933, 0.02802754768153714]","[0.028345937160633654, 0.027956929102648576, 0.027746490324470297, 0.027785397910019532, 0.028227467801419787]","[0.027926903497670682, 0.027944130254024938, 0.027957483982597117, 0.027952372647884374, 0.028116053103183568]","[0.027429944042046406, 0.029323853257986986, 0.027777550827881692, 0.027533395882378842, 0.028484959240948442]","[0.06208726135570493, 0.04985005354272035, 0.06315853371181526, 0.29559524576686047, 0.04576874407086269]","[0.07998921840262806, 0.031659349625724746, 0.04320385827500596, 0.029817898918977567, 0.035664991833681596]"
ATOM,"[0.04243538239968182, 0.0491454284502353, 0.08152206610562575, 0.037683293972507075, 0.04809211807556559]","[0.03656955953389207, 0.03686429412275957, 0.036953621676181304, 0.03892295131919793, 0.036258586475942954]","[0.0365548511942167, 0.03629761246582969, 0.03631022351340822, 0.036647370798242124, 0.03674633603979165]","[0.03608185288127615, 0.036011537113156654, 0.03628464597221755, 0.03673779728655427, 0.036562420915143695]","[0.036393333800902934, 0.0368174913955164, 0.036174877184532155, 0.03697674518507041, 0.03656999244810533]","[0.07285176966343654, 0.08085658384429063, 0.0861247890692997, 0.08496830942609546, 0.07480315324436622]","[0.03645881164662454, 0.03647546809693592, 0.036549979048072, 0.03647374001989811, 0.03788924412307651]"
XMR,"[0.05573960323887489, 0.03438810508553757, 0.03365494671983134, 0.03238696089559751, 0.0323585551377516]","[0.025881669584705228, 0.025855374178404476, 0.026186225175228887, 0.025632946338602594, 0.02643744393892782]","[0.025525985670523912, 0.025212789661415092, 0.025171531493207805, 0.028399263868548977, 0.02529640589909408]","[0.025784415406230856, 0.025769390433176016, 0.02554922678299925, 0.025342502776474606, 0.025337335052018264]","[0.02515032984828754, 0.02514461920840975, 0.025370026305048806, 0.026056398404073488, 0.025390037052584257]","[0.0495185648192817, 0.05222452563605854, 0.05783598217746347, 0.06467342091093026, 0.05433274092265386]","[0.02539474733378448, 0.025174728651977566, 0.025406594300945565, 0.025234127885984965, 0.02530757045351059]"
VET,"[0.0648167907232546, 0.04110799639329168, 0.04975951241206266, 0.08541131513302164, 0.06231558993519449]","[0.04055306148475974, 0.04067824597285238, 0.040602457836528744, 0.04126921973229, 0.0409690007332081]","[0.040936067310135736, 0.04106506233134395, 0.04131382727546648, 0.041265243929456095, 0.04153962291822965]","[0.041088709195777964, 0.041278589393754915, 0.04150759678973585, 0.042816998741158525, 0.04265478538904252]","[0.043136073335186084, 0.04213786776987165, 0.04367019020676222, 0.043945141542587225, 0.04288070023065369]","[0.07899930092763657, 0.06696659243075816, 0.06329410594105164, 0.06268558306092711, 0.06963727725683858]","[0.04394305552901054, 0.04766822692103219, 0.041169773762412876, 0.04358393334886844, 0.04083426912183938]"
ALGO,"[0.043771661287215345, 0.04744042559919644, 0.04482491663701115, 0.052538744566045674, 0.04602259167203696]","[0.04398726558954612, 0.04362855770825798, 0.04414750465644993, 0.042809562791031146, 0.04271720418493166]","[0.0561887129704811, 0.04906945724830177, 0.05051127929290719, 0.045831520900891376, 0.047577104552984584]","[0.054227254881971144, 0.05521542210200941, 0.05501957659941089, 0.05781575222911494, 0.04592750197930628]","[0.04356312019863134, 0.04370317599118566, 0.04515213618916896, 0.0452360203775426, 0.04444658526383153]","[0.07836540349572896, 0.0718892781682994, 0.08358616351079251, 0.075572866562633, 0.09433222083130656]","[0.043161956079238166, 0.04420929276868924, 0.0428942601479191, 0.04288358750064973, 0.0463108405540662]"
EOS,"[0.08825288139886862, 0.038502193859711244, 0.041255737122109955, 0.03503511583239556, 0.038132452098766645]","[0.034941568135946434, 0.03784424173159455, 0.03766006250183849, 0.03551524949238039, 0.035237061189105495]","[0.03567640382998748, 0.03611877159253793, 0.03430274386504948, 0.03487792160497389, 0.03517145302593832]","[0.04250166436782952, 0.040397158328901416, 0.037314812814081874, 0.04075789913977749, 0.040084774290925815]","[0.03482266460120012, 0.03522611911152284, 0.03619575472142794, 0.03480562916115867, 0.03492373087979887]","[0.05708975720665057, 0.0697025798004877, 0.06278742403094849, 0.06669310516893949, 0.07686327631411471]","[0.03470905871607068, 0.03576045407442044, 0.0346457435084652, 0.03430692760543557, 0.034335999671109715]"
CHZ,"[0.04482431742941711, 0.05992742722839645, 0.11296366865517406, 0.053620877967710256, 0.056848628368400884]","[0.04221930082045762, 0.043158431914442304, 0.04236053346583983, 0.04218413404399512, 0.042137357429265096]","[0.04294123697693043, 0.041678943415920745, 0.04203292522276069, 0.041977926139180936, 0.04210143177784056]","[0.1757183104635331, 0.07393714377316556, 0.07723784789235918, 0.09815295965419633, 0.05859701440151794]","[0.04456010284593, 0.042691440916835355, 0.04461414460839011, 0.04515366884882217, 0.042391455837801406]","[0.08860112276337508, 0.1011992102176578, 0.08891139876047714, 0.09057000699660749, 0.0958711252135379]","[0.04263791449270757, 0.043348801815649166, 0.04248889991173095, 0.04239538108906828, 0.042228489018180944]"
IOTA,"[0.03892858662426762, 0.043062513173540824, 0.03953746473515793, 0.039671319466652095, 0.03607205173042344]","[0.03835158114464798, 0.04314332627786725, 0.04180815209723202, 0.03756738648220058, 0.035949408457676]","[0.03527493403715429, 0.037393521295205706, 0.03600595123195461, 0.03593261185003503, 0.036335101131508576]","[0.03538468868414008, 0.035376912624540006, 0.03557480974302269, 0.035725089783546014, 0.03576448960332044]","[0.03652502328085387, 0.03837441057545749, 0.035648295690068235, 0.03684132080896469, 0.03539925799078683]","[0.07333499356867712, 0.07520455813466675, 0.07151125506886792, 0.06107702234394475, 0.05886863371047668]","[0.03936193336352809, 0.03691023385799302, 0.036792163034321486, 0.03587218575417152, 0.036126655699856514]"
NEO,"[0.0735874968469246, 0.053614000280970055, 0.06526899605289356, 0.05271584838103943, 0.0593249690698507]","[0.05302046820257008, 0.053090304924021434, 0.05355903418609501, 0.05342122441450437, 0.053448964128485495]","[0.05319120944503758, 0.05297985031569244, 0.05337787269846434, 0.053477393609774, 0.053632723378521756]","[0.05276484869868898, 0.05442332094950751, 0.07466650419205402, 0.054501910197275905, 0.05286683396908248]","[0.052298333400981556, 0.05271448665667299, 0.054202675137637775, 0.053488137972371744, 0.053725182958748174]","[0.09450085113559929, 0.09082362546644819, 0.07953504586042982, 0.07881259007300619, 0.08150211249483542]","[0.05255824149352383, 0.05877323178966894, 0.05243869930617341, 0.05331183860934818, 0.05314846082754792]"
XTZ,"[0.04353475954877302, 0.06256995026805512, 0.04237288722060983, 0.04328241862182579, 0.041989123359649216]","[0.04248707951926696, 0.04261559780465963, 0.042555790215032696, 0.04303912210944231, 0.04143389550262965]","[0.0422423645683144, 0.04218931852813684, 0.04267267199596023, 0.04245226131758279, 0.04309269356337452]","[0.04227173097185196, 0.042365041705003666, 0.04254139680318744, 0.042811057822946426, 0.0423113566676623]","[0.04303823946693251, 0.04248844311561929, 0.04897899153909013, 0.041879826185819986, 0.04269841974505872]","[0.07745450879094254, 0.07917726207464046, 0.07542586514912342, 0.06619948716559029, 0.06564295306981402]","[0.042352862852227245, 0.042294808544544774, 0.04214217562978816, 0.0424345567429679, 0.042244230572394785]"
