,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.010103036337110372, 0.0075760359343792355, 0.01075891782727358, 0.01720920884607051, 0.007958632797315108]","[0.01025979616576768, 0.007437066351138084, 0.011006712680797268, 0.017761261771281615, 0.008591171244729728]","[0.010127032668926532, 0.007570362992716657, 0.01124209780151799, 0.016525043003743314, 0.008019438144559507]","[0.010848110941855104, 0.007815813088981608, 0.01233360275400715, 0.02083004732723067, 0.008607592626769599]","[0.04621230936044259, 0.060491971209285636, 0.022277215913066545, 0.06055434765974211, 0.014880814224810216]","[0.01024069617267087, 0.00758428982396884, 0.0112037095720489, 0.016752993274732578, 0.00809774218979445]","[0.010737756946552938, 0.007538197597611959, 0.011238177120256468, 0.016522352435197528, 0.008019956787249417]","[0.010095886493237352, 0.007543075673877111, 0.011224837440758572, 0.01667595590752562, 0.008038400012753603]","[0.013978777446933863, 0.0075227495728290746, 0.011368842775927552, 0.01750461036900187, 0.008128526438286208]","[0.02573338029715127, 0.08768918222574808, 0.032554420068294586, 0.027016073139661402, 0.0736188558536873]","[0.010797166483736147, 0.007565874114114115, 0.012352549090671123, 0.01664374086279204, 0.008104068899660515]","[0.01014664011761231, 0.0076751963536350705, 0.011433259505048586, 0.0168424919133047, 0.008050109252811912]","[0.009867065226567726, 0.007666681155833944, 0.011403650669652862, 0.01674936495616952, 0.008057325565711525]"
ETH,"[0.011622303732979896, 0.010945640882017747, 0.011603727341506193, 0.015694511060992972, 0.010007733457397746]","[0.011612941383609429, 0.01085116269553039, 0.01135484335206211, 0.015367164747343412, 0.009772207209458138]","[0.01154439283750095, 0.010848076218625288, 0.011356899403112082, 0.015373540129724628, 0.009768735581678354]","[0.011320664804330135, 0.011009866615133389, 0.011498498633032142, 0.015498741188241608, 0.009733413574580426]","[0.04524902828877161, 0.02253592083986014, 0.06408607213572497, 0.017446029102271523, 0.03142834684459193]","[0.011784870964755313, 0.010863551674571238, 0.011379721603099793, 0.015377982416870174, 0.009805637808919344]","[0.01175003546405504, 0.010878965010602168, 0.011362517344249833, 0.015500696287024756, 0.009983019803140886]","[0.011928894172150177, 0.010791261890905467, 0.011584551292523887, 0.0153789795687597, 0.009824656963594964]","[0.012249596508947367, 0.010826560697116672, 0.011420942367073143, 0.015437504185909397, 0.009803808291584887]","[0.021783839277109158, 0.048015419259912206, 0.01604223902166754, 0.02451139861063745, 0.01579479460024579]","[0.011310318900516514, 0.024137411199432007, 0.013838005856782914, 0.01802278617516633, 0.00993287120245473]","[0.011547390798721921, 0.011143153095298283, 0.011497017749389113, 0.015585687658447908, 0.009794009461837564]","[0.011376808051098693, 0.010905729508156332, 0.01146161755826316, 0.015455565164652041, 0.00974412105945775]"
BNB,"[0.010926559388616648, 0.011442600900380217, 0.011984144412447955, 0.01552283690503223, 0.007932661489578234]","[0.010768600399449296, 0.010765777431651446, 0.01099380680302324, 0.014217176115929377, 0.007788293420308902]","[0.010764122092076113, 0.01076569720579879, 0.010993033921656603, 0.014217975456866436, 0.0077882790974299655]","[0.010795845190860345, 0.010960606196098475, 0.011117245060786558, 0.01468300193242478, 0.00786823275902638]","[0.019450250793723815, 0.0208939896046497, 0.01638083535581826, 0.01533348736089375, 0.00823035976805857]","[0.01096424147438086, 0.010782595727296682, 0.010945244728050089, 0.0146275946339281, 0.007941350655488549]","[0.010777157743763059, 0.010939655138507415, 0.010987156115105617, 0.014212757673289996, 0.008163976994200113]","[0.01206146864466741, 0.010822707482758947, 0.011501980849856494, 0.014316213778187514, 0.007789955483050657]","[0.012032717717686856, 0.01075939452799701, 0.011167775462579483, 0.014515455528939767, 0.007863636572638177]","[0.02336897812403378, 0.02022875063822574, 0.021364426222703056, 0.017443622645140204, 0.018899451350894013]","[0.01203485490414642, 0.01138442305568143, 0.013717812012558337, 0.015669151585194094, 0.008563644954404035]","[0.01084025777012632, 0.010951381663217711, 0.010924278235710108, 0.01426782471255738, 0.007901994113489356]","[0.010575920667336123, 0.010791219591289248, 0.01114200396842531, 0.014492604444527608, 0.007843101090128767]"
XRP,"[0.01392139621716728, 0.010670324291273304, 0.010340875232498943, 0.020761563376343217, 0.01663731253145393]","[0.013794376522438461, 0.010665559204209831, 0.009815786825303516, 0.019856352154750182, 0.015792067472975024]","[0.013427143215717833, 0.010641361804672306, 0.0098102659800979, 0.019861432440547767, 0.015101617398172295]","[0.014186910761785222, 0.010739282669840084, 0.009562699564845869, 0.020165236449446317, 0.015175314980095073]","[0.013272177668148935, 0.01080657329983509, 0.00983003700183259, 0.020128766690173806, 0.01503854338663484]","[0.013247148066045619, 0.010699573620686902, 0.00976143600141634, 0.019748972004715495, 0.015507307664066262]","[0.013538034996068489, 0.010618809378129838, 0.009877319896042841, 0.019956162741608635, 0.01513572059271146]","[0.013370129182549814, 0.010615675129353021, 0.009834591334739651, 0.019779255206084836, 0.015157305017736253]","[0.01356224320251363, 0.01188421496825014, 0.009693565983999697, 0.02007347088799926, 0.01527088801320768]","[0.019180942199945185, 0.015906329567274287, 0.017137422043157442, 0.023866144326575005, 0.023078988854098006]","[0.013988314464301146, 0.010674520572207694, 0.009795710292230343, 0.01986566969259203, 0.01508499602258538]","[0.01354482958325274, 0.010598044719318585, 0.009633056799367374, 0.020066379261539855, 0.015531745487383312]","[0.013398327430089021, 0.01075111309422447, 0.009902519708191896, 0.020018870964480087, 0.015033697473403235]"
ADA,"[0.01674904778878849, 0.014627867903418135, 0.01472678565274568, 0.018687580422718123, 0.01212708803054227]","[0.016568326225167018, 0.01478695725645891, 0.014344223088958219, 0.018423628091654917, 0.012182879133822669]","[0.01653229992302117, 0.01478892299393918, 0.014341142937590284, 0.018424840588229803, 0.012191530603109143]","[0.017360764896109902, 0.01566440805842519, 0.014374113941310844, 0.018670632393406373, 0.012230527721074651]","[0.023382787316090437, 0.04636508188419993, 0.06524895369296255, 0.07527469753042046, 0.2311642359774365]","[0.016613006189593896, 0.014854516609415126, 0.014309463754922824, 0.01863894269675951, 0.012775023250185447]","[0.01607213588075131, 0.014789960127651398, 0.014509640205414023, 0.01846008499416733, 0.012184317504556282]","[0.016551741766722985, 0.014784512488519235, 0.01433773897053226, 0.01871512410214527, 0.012319864436032573]","[0.02015751266118108, 0.015012487096645082, 0.01456060351571358, 0.018969783071445204, 0.012285949806831972]","[0.02705289940306208, 0.044166609275519214, 0.039616326401964566, 0.029388469298672046, 0.03581094075900814]","[0.015931020465052497, 0.019640350989171294, 0.01891866592458727, 0.02040048128801018, 0.01891076398428292]","[0.016613730704195626, 0.015210415360163867, 0.014443362891131087, 0.018424152490305913, 0.012298762367070929]","[0.01635891017477841, 0.014878667106101086, 0.014486284254809986, 0.018475423561108054, 0.012160465578946771]"
DOGE,"[0.014935685206417436, 0.016634271239252606, 0.01362876047969485, 0.01914815192942294, 0.027471042136081352]","[0.014786177328921393, 0.016447704134063507, 0.012865697230735633, 0.018751085213629493, 0.02577438202860864]","[0.014686894320649003, 0.016450052984658174, 0.012870014575002697, 0.018745886287510213, 0.025781072500897787]","[0.014814230057435472, 0.017302413630051257, 0.012969731553712272, 0.01897554894488486, 0.026703993981969865]","[0.014575584567836657, 0.025947493131208404, 0.012736699735000285, 0.020017282642999606, 0.026129577568853493]","[0.01479560563574309, 0.016415652532353876, 0.013055635780455597, 0.01876222859583491, 0.02585350640811061]","[0.014613745377770052, 0.016705043475880574, 0.013025983439359243, 0.018857362133652765, 0.02577046898855821]","[0.0148530525301742, 0.01643098623805541, 0.012871914924083846, 0.018719705474143308, 0.025860015330671237]","[0.017443807941537624, 0.0168723973663713, 0.012762659787875589, 0.01873633527105783, 0.02836995952667717]","[0.0253914759008661, 0.026326389035600112, 0.17478445890748753, 0.02252258147356664, 0.03050878977686312]","[0.015170580904351699, 0.016429977881586993, 0.019595594057440845, 0.018809299641517195, 0.02778687454248652]","[0.014730896007257119, 0.016570904008905405, 0.012865633208306165, 0.018832658778845195, 0.025710852706338525]","[0.014656248958241178, 0.016563496011741563, 0.01299953559449676, 0.018981276337327525, 0.025712466908885328]"
MATIC,"[0.013729623031210218, 0.019461891240905946, 0.01723076574728154, 0.021317637671818632, 0.011650278450744072]","[0.014071515800398685, 0.01956695849969578, 0.017145799631468166, 0.020515635574413743, 0.01118695280912446]","[0.013537371720569851, 0.019568936570700263, 0.01716804441327277, 0.020308505066142464, 0.011186826912657016]","[0.013274427858131722, 0.019793874637480703, 0.017259501367235273, 0.020469983268705923, 0.01143095733803249]","[0.014446291515016913, 0.020471286644512348, 0.01741872792743414, 0.021364300956930208, 0.01753310422253746]","[0.0134343027897964, 0.019559606307057, 0.017196167329381718, 0.020306233980554166, 0.011189416370100238]","[0.013778149980674444, 0.019586955463807215, 0.017215271923129574, 0.020412062150854397, 0.011270149296398087]","[0.014203757430477613, 0.01962608772398922, 0.017584650554599946, 0.020445611689135564, 0.011254999458911175]","[0.013141022215086935, 0.02039033205193734, 0.017126122146596076, 0.020354272285969446, 0.011561647514789594]","[0.03368421646621992, 0.02348585498269902, 0.02728732841570366, 0.029890337990225044, 0.026222958731032066]","[0.013104499605214872, 0.019566668114291093, 0.01799420379262864, 0.020784453322907775, 0.011464276793904365]","[0.013444226259220668, 0.020182470146936, 0.017127002274087883, 0.02030738818075898, 0.011182714841939096]","[0.013354448666630521, 0.019617782722919093, 0.0172558123008167, 0.02034036464245837, 0.011238231105959985]"
LINK,"[0.014220029966286737, 0.015706524222268054, 0.018544688206034003, 0.018688161415802613, 0.010601417463491334]","[0.013125362948467337, 0.015847874512274995, 0.016478610397519522, 0.018355638935620415, 0.010492706621634177]","[0.013185053224114002, 0.015845663067848525, 0.01647919195863078, 0.018355726341708716, 0.010491110114832856]","[0.015521837891138859, 0.017124080588518463, 0.017589633901588023, 0.019244048651188363, 0.013020462157765806]","[0.015870230787426276, 0.01981341780030536, 0.030214084008181066, 0.12964689817948843, 0.02281648077579143]","[0.013451441851386983, 0.015997829217303392, 0.016558934837449735, 0.018316348822899387, 0.010575592566889714]","[0.013143088384141884, 0.015846278550320912, 0.016480918730668797, 0.018351751241469705, 0.010553012203067744]","[0.013997892587483839, 0.016096784442617855, 0.01659784476263998, 0.01826492960904493, 0.010660303409445229]","[0.013280506934707469, 0.01606673932647795, 0.016678615443338603, 0.018338990312202978, 0.010516167468434626]","[0.028438241334059706, 0.026434497354491833, 0.02355949061598847, 0.03674527644510568, 0.03241240311811762]","[0.013136824487474354, 0.01594385831108044, 0.017077587063674612, 0.021896370620914544, 0.010591766678715751]","[0.012979746892628692, 0.015869055201638227, 0.016474095336332505, 0.01835118212183184, 0.010461852668119654]","[0.013212824532809779, 0.015922795367403514, 0.01653245825487052, 0.018458559945402405, 0.010584818879013247]"
ETC,"[0.01959407397284629, 0.01601748250688317, 0.014042121700557348, 0.020869063825292116, 0.012717888634092372]","[0.019686541216340527, 0.015239623443983044, 0.013782050283405765, 0.021329819864170364, 0.01273932035819517]","[0.019540453333614052, 0.015214446409012048, 0.013800386099845456, 0.021323858126648394, 0.01272740652462633]","[0.019783605911436894, 0.015478464018519746, 0.014045307927323655, 0.021468663392713593, 0.012830246025032677]","[0.09336256754192758, 0.04282992181046152, 0.07526655249377184, 0.1027154782000296, 0.0171548267415092]","[0.01972012548886176, 0.015389010990341661, 0.013856428144597938, 0.021301888457697527, 0.01282288103205178]","[0.019822846090502378, 0.015244595401056445, 0.013779924107509512, 0.021334557336647887, 0.01271047971310065]","[0.019653219036512477, 0.01520722112007212, 0.013911967110199493, 0.021320432426798742, 0.012681324233472461]","[0.019808082839679296, 0.015525640713989725, 0.013957865885392651, 0.021225727742702146, 0.012756854227385539]","[0.02526719296831587, 0.02035846625173668, 0.021384647720731335, 0.027754962918099056, 0.021630294293691264]","[0.020117896564630665, 0.015415571694133792, 0.01398843343454829, 0.021478820571820312, 0.01274612451910466]","[0.02013934823096659, 0.015605747409227447, 0.013904645778402823, 0.021294352298803287, 0.01270963800642942]","[0.019498565199399513, 0.015344831560712814, 0.013782701882448949, 0.021427780091497296, 0.012774763614684567]"
XLM,"[0.01056978196141111, 0.012677707602780686, 0.011223279133519025, 0.015231425671063616, 0.012986300798372648]","[0.010465801162446149, 0.01117820535959257, 0.01084718359204993, 0.014487247954740165, 0.01267776885860721]","[0.010477838397500718, 0.011178649860039115, 0.010848677233869638, 0.014486603342730192, 0.01267277666569839]","[0.010322620847765586, 0.011802974626121737, 0.010942948048254873, 0.014659626697087168, 0.013029009723644975]","[0.08118810870709263, 0.020254014880319644, 0.04165491832481598, 0.10726992869660303, 0.05346488650868865]","[0.01084359283872198, 0.011282481113108929, 0.010802558536308859, 0.014565908752394163, 0.012722769474902838]","[0.010422268794950687, 0.011189238560134056, 0.010905372351803257, 0.014530167468624178, 0.012646942723380338]","[0.010175903219047773, 0.011181923058694917, 0.010848580743833033, 0.014490870067237318, 0.012731621614335388]","[0.010791965527358676, 0.011243357156980377, 0.01095510081158473, 0.01455853664377153, 0.012692417951867874]","[0.014739940418042758, 0.023253532287233394, 0.013295992680958359, 0.0180412382517943, 0.01701590697722155]","[0.011868967163198896, 0.011276458110441237, 0.010969139307352037, 0.014620398270221746, 0.014520795077333634]","[0.010262694070847206, 0.011331732968572174, 0.010843926439201368, 0.014524091651623654, 0.012674133062629572]","[0.010308810973154158, 0.01124226259604547, 0.010900153130149621, 0.014597294922235706, 0.01264637574300149]"
