,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.0012380971967319704, 0.0027736365469559427, 0.0021263755511468974, 0.0016871697187903596, 0.001972279411776362, 0.0019595116850803064]","[0.0011159956156707263, 0.002660375931758498, 0.0019688430743341387, 0.0016571444935636664, 0.0019489446494064349, 0.0018702607529466927]","[0.0011162851093863874, 0.0026602130244077695, 0.0019692601120479413, 0.0016577598488726798, 0.0019486730319502026, 0.001870438225332996]","[0.0011067815488787515, 0.002637900063262951, 0.0020132924577050803, 0.001664132816596125, 0.0019568654844619297, 0.0018757944741809676]","[0.007436796617931077, 0.10977919825609374, 0.02507273045854403, 0.006665310727802795, 0.028185477118597552, 0.03542790263579384]","[0.0011221380237518915, 0.0026973284412744195, 0.00200492383866145, 0.0016439703386434423, 0.0019392776911994923, 0.001881527666706139]","[0.001130956400901981, 0.0026570738434402203, 0.0019698188003082692, 0.001666918036250773, 0.001943606361974494, 0.0018736746885751475]","[0.0011057649854965454, 0.0026796810659935515, 0.0019792037724522503, 0.0016425752629367454, 0.0020001481228668397, 0.0018814746419491865]","[0.001109682759449228, 0.0027085075235124896, 0.002134633812653813, 0.0028724216714776673, 0.0031421519567844747, 0.002393479544775534]","[0.002425489635589532, 0.003164412129544309, 0.002428070021191377, 0.007875144515227774, 0.0031825894897493153, 0.0038151411582604614]","[0.0013340309213765332, 0.002789090138345527, 0.0032212248674362417, 0.007824838601722603, 0.0030760128099766794, 0.003649039467771517]","[0.0011493689744838228, 0.0027529680663082997, 0.0020547530923673905, 0.0016421858751048445, 0.001943979784881178, 0.0019086511586291072]","[0.0011092778516503074, 0.0026807484970150634, 0.0019911810506673374, 0.0016604558248537338, 0.0019545491380351557, 0.0018792424724443195]"
ETH,"[0.0015502919286021692, 0.0020136129362388904, 0.00209206867113442, 0.0027339774275000482, 0.004656944164683594, 0.002609379025631824]","[0.0015049287568746261, 0.0020058786367615415, 0.0020440062969372206, 0.0027774911658178664, 0.004595717457043043, 0.0025856044626868598]","[0.001504918570725988, 0.002005528870010183, 0.0020454158230381273, 0.0027787386347057365, 0.0045950055850449666, 0.0025859214967050006]","[0.0015132534134496478, 0.001994822995536887, 0.002066333896957025, 0.002825359862856437, 0.004617390527303744, 0.002603432139220748]","[0.0021000327181202243, 0.0022803509595541753, 0.004373250678867426, 0.0028164493721267816, 0.005845184666386723, 0.003483053679011066]","[0.0015174186307241682, 0.0022558765424434976, 0.002118115292717861, 0.0027338052092860782, 0.011670784800897126, 0.004059200095213746]","[0.001567666327896067, 0.0020341340532921658, 0.002089379473429616, 0.002754390650779492, 0.004604938033933777, 0.002610101707866223]","[0.0015049852415008507, 0.0020465033693051874, 0.002049681079068135, 0.002756280800956247, 0.004593444677085631, 0.00259017903358321]","[0.003409533018884765, 0.0020063178090884786, 0.002049589574731029, 0.0029433792876095806, 0.00489943385005315, 0.003061650708073401]","[0.0022268565982042706, 0.0054034539245948155, 0.003236453907763247, 0.0035921702650094202, 0.005544803591053556, 0.004000747657325061]","[0.0015065944468935133, 0.0025352489418834657, 0.002106212355733288, 0.002946076231476074, 0.004596364035754794, 0.002738099202348227]","[0.0015214565462132634, 0.0020143135203572215, 0.0020459373973352314, 0.0027885591619433298, 0.004709546733948774, 0.002615962671959564]","[0.00151374741189812, 0.0020099896927761236, 0.002046050208487929, 0.002802767728361837, 0.004622279330649091, 0.0025989668744346205]"
BNB,"[0.0006897069963933177, 0.0017904217420142221, 0.0022030195695368605, 0.0015082744948269845, 0.002394574570635642, 0.0017171994746814055]","[0.0006883731182571941, 0.0018169588569457366, 0.002067719860655782, 0.0014779375684060177, 0.002377030016882813, 0.0016856038842295088]","[0.0006883453607696547, 0.0018168882060705014, 0.002068191744499351, 0.0014779758202889451, 0.0023770604000472404, 0.0016856923063351386]","[0.000688043301417553, 0.0017783353623216282, 0.002095804155455387, 0.0014904675467998765, 0.002427343980640935, 0.0016959988693270758]","[0.002371914283847906, 0.02328783357936386, 0.008464257887070052, 0.0020295392280387514, 0.004142484889686553, 0.008059205973601425]","[0.000696394294343189, 0.0018626114885991719, 0.0020734281856595385, 0.0014783772777629987, 0.002378067509292083, 0.0016977757511313963]","[0.0006894557013361743, 0.0018164365977348046, 0.002081750589668428, 0.0014865854688848055, 0.0023793574592538462, 0.0016907171633756117]","[0.000696411925856872, 0.001967083780074439, 0.002062456473153966, 0.0014854901088523192, 0.002679374742366972, 0.0017781634060609138]","[0.0016333667660327603, 0.00180772542096673, 0.002103105425876836, 0.0029382745977019533, 0.0023871964574965414, 0.002173933733614964]","[0.008209017543902113, 0.00847740715717863, 0.006614672929096792, 0.007288043933788955, 0.004423723103639775, 0.007002572933521254]","[0.002118696013396931, 0.003217672381384151, 0.0036990289144815704, 0.003506268960085488, 0.002487672450965866, 0.003005867744062801]","[0.0007017052219210619, 0.0017507936827491873, 0.002149678901521171, 0.0015012002317467462, 0.0024276118107933865, 0.0017061979697463106]","[0.0007012986740699941, 0.00180110608374569, 0.002115369789473157, 0.0015056202643095827, 0.002407368235381064, 0.0017061526093958977]"
XRP,"[0.0015224289907417488, 0.0024629830129854167, 0.0024587692467533057, 0.0017939746247859897, 0.003938724383407051, 0.002435376051734702]","[0.0015270763015746436, 0.0022271334156358457, 0.0024343629435051454, 0.0018344719242030807, 0.003900872602293721, 0.0023847834374424873]","[0.001527180294883628, 0.002227718490372114, 0.0024344038581344415, 0.0018354457965805812, 0.0039012797738168965, 0.002385205642757532]","[0.00156528058887549, 0.0022258917583439057, 0.0024758290118865427, 0.001867244994162111, 0.003963853133131402, 0.0024196198972798906]","[0.016961620960822908, 0.005908664900108148, 0.019521106853490098, 0.01624279970034123, 0.04336075667081656, 0.02039898981711579]","[0.0015470602891610266, 0.002274440766405269, 0.0024053491770377835, 0.0018369380545701774, 0.0039014477667799726, 0.0023930472107908463]","[0.0015780548464306432, 0.002227186366433889, 0.0024222177709960317, 0.001845654565959767, 0.003900785853919559, 0.002394779880747978]","[0.0015261156601062145, 0.002307346856044402, 0.0024076842682566185, 0.001832558205303881, 0.003965744244883623, 0.002407889846918948]","[0.003164284588215544, 0.002406139836974753, 0.002416641332715174, 0.002467612052081654, 0.004438723539489702, 0.002978680269895365]","[0.030368649990096627, 0.00743185146321124, 0.005653044488828938, 0.003621667241823118, 0.0044938962997087065, 0.010313821896733726]","[0.0028813514588019095, 0.002252904298541107, 0.0025851058589175155, 0.003087768877087709, 0.004144567446908421, 0.0029903395880513323]","[0.0015321618921157521, 0.002243185506180941, 0.0024206760831946114, 0.001835428208293353, 0.003927547017512237, 0.0023917997414593787]","[0.001537935554177458, 0.002235928925067982, 0.0024617564897979464, 0.0018565872734392242, 0.003969529277871594, 0.0024123475040708406]"
ADA,"[0.0019555280100542988, 0.0024088610175661755, 0.0033037820111707656, 0.003218708975097583, 0.004642359695458991, 0.0031058479418695625]","[0.001890972852247806, 0.0023908289999619342, 0.0032258416906305303, 0.003207098797857932, 0.0045470144930745875, 0.0030523513667545577]","[0.0018917832143354979, 0.0023811540813066835, 0.003226723995736187, 0.0032062912912058715, 0.004547074554423339, 0.0030506054274015157]","[0.0018967567183764064, 0.0023797824654101154, 0.0032473286055887595, 0.003204419119788333, 0.004579884711622341, 0.0030616343241571913]","[0.08111272627344109, 0.055746030096196435, 0.06224011849859877, 0.030538382615705472, 0.0066752673858844775, 0.047262504973965246]","[0.0025496483545804074, 0.0026815929026070486, 0.003385782201946528, 0.003552681702369234, 0.0047784378485308445, 0.0033896286020068125]","[0.0018889846333864577, 0.002366656062678016, 0.0032266040251833013, 0.0032272310217581128, 0.004557674599461371, 0.0030534300684934516]","[0.0018912650190211927, 0.0023741663463912625, 0.0032165898744346685, 0.0031970429930651923, 0.004622529382046437, 0.0030603187229917505]","[0.0018948462172916618, 0.0023822445200610038, 0.003212152855945663, 0.0034825087040238987, 0.004620748777125855, 0.0031185002148896163]","[0.01650504748077298, 0.005350747360289148, 0.012742788487991813, 0.004973500412164435, 0.006400517475601833, 0.00919452024336404]","[0.0036984304103191146, 0.010310541630943354, 0.0073159228866502305, 0.004577676737110718, 0.0054866086263562494, 0.006277836058275933]","[0.0019079749861661392, 0.0023886658688215124, 0.003224547804748108, 0.003229772983588987, 0.004584835005758537, 0.003067159329816657]","[0.001902570817908563, 0.0023826399363100887, 0.003255484531201178, 0.0031956709729097994, 0.004552182890105307, 0.003057709829686987]"
DOGE,"[0.002656669994757806, 0.0025011152743437794, 0.00304818331538049, 0.004014175680745661, 0.004261330095902427, 0.0032962948722260327]","[0.0026695341994744516, 0.0024892602305782233, 0.0030021953253174666, 0.003942754983325857, 0.004187854507751068, 0.0032583198492894135]","[0.0026705796653331408, 0.002491570313118924, 0.0030012390071054557, 0.0039433319935359675, 0.004188104162275745, 0.0032589650282738468]","[0.0026741362137865246, 0.0025434091037789867, 0.0030419215290546026, 0.00400412991859251, 0.004289868771387657, 0.0033106931073200565]","[0.024046016216263077, 0.0028440965970235096, 0.03079515429176521, 0.00707480865613702, 0.009066950074686593, 0.014765405167175083]","[0.0026920466731859332, 0.0024736664519237807, 0.003011967001211892, 0.003921903051394303, 0.0041792522692040745, 0.0032557670893839964]","[0.0029747577290955337, 0.0038031795467352563, 0.0030770263876181755, 0.004151327951949618, 0.005465140454623733, 0.003894286414004464]","[0.002705186216227967, 0.002502234859472848, 0.0030172039961328086, 0.003961048307255477, 0.0041793367675327766, 0.0032730020293243755]","[0.002669601961329033, 0.002486660445191648, 0.0033579879846325138, 0.003853227117006824, 0.004533183755629622, 0.003380132252757928]","[0.0065297089408105835, 0.005130358840125415, 0.004218659280631529, 0.005389385984510161, 0.005100284142829242, 0.005273679437781386]","[0.0027771794387429246, 0.0035350815861255793, 0.004754867561060952, 0.006195856459152942, 0.005459656007126218, 0.004544528210441723]","[0.0027285644847830377, 0.0024698163776303316, 0.003028993613435492, 0.003931510745457722, 0.00428986969315533, 0.003289750982892382]","[0.0026497384657151613, 0.002473933709615873, 0.00300422392186366, 0.003979059224296201, 0.004226477803553177, 0.0032666866250088147]"
MATIC,"[0.0015556613331773326, 0.0020643002912569563, 0.0026664046418665914, 0.00226479106057844, 0.0038054230803770406, 0.0024713160814512723]","[0.0015134136998471105, 0.001992388001945526, 0.002553690168810952, 0.002245746343831187, 0.003675361752087302, 0.0023961199933044157]","[0.0015133353835687304, 0.001992993240631124, 0.0025540233358645184, 0.002245982726554561, 0.0036752288991030923, 0.0023963127171444053]","[0.001520631495031585, 0.002008461245924246, 0.0025716973297145273, 0.002260260103391306, 0.003820989370390539, 0.002436407908890441]","[0.00400044448164006, 0.02396058890030957, 0.004362807248121826, 0.032183937709341755, 0.012648611331861402, 0.015431277934254922]","[0.0015466578220151193, 0.0020411659137296472, 0.002576043156753727, 0.0022943371613132453, 0.0036915468853071023, 0.0024299501878237684]","[0.0015208425587317858, 0.0019950941668285507, 0.002547378324424881, 0.00225017844443073, 0.0036820201634457103, 0.0023991027315723315]","[0.0031519120575016655, 0.0027093420803401304, 0.0026449193914926564, 0.002468667657297459, 0.004149680302116373, 0.0030249042977496567]","[0.0015264774028962932, 0.0021567239573925387, 0.002585920733936604, 0.002259547592345705, 0.004264376992555018, 0.0025586093358252317]","[0.01500970988085231, 0.003437855916444539, 0.052813911882237614, 0.003006594401207895, 0.00570277419087018, 0.015994169254322507]","[0.0015134647976964878, 0.0023621786361907853, 0.0025924185254107735, 0.002271112273389144, 0.0037191303153190445, 0.002491660909601247]","[0.001530863931813258, 0.001986230411682327, 0.0025502915429113857, 0.0022432443403969018, 0.0036964434965199673, 0.0024014147446647675]","[0.001533847520922106, 0.0020156397188933525, 0.0025735675998304094, 0.0022544528374727436, 0.003711988362768067, 0.0024178992079773353]"
LINK,"[0.001687531189401594, 0.0022566744970751993, 0.0026080140497023816, 0.002658860026825823, 0.0040433341151306255, 0.0026508827756271244]","[0.0016719640867816936, 0.002231972636412865, 0.0025313123539885624, 0.002660437286573921, 0.0038630980934242173, 0.002591756891436252]","[0.0016719726928690018, 0.0022320136692616133, 0.002531477999630796, 0.002660423674660857, 0.0038630470901648015, 0.002591787025317414]","[0.0017211557608568535, 0.0022498276546673644, 0.002567455479533435, 0.0027174191515070526, 0.003952151832292955, 0.002641601975771532]","[0.029335593957534257, 0.0038543765636778016, 0.02712818652098645, 0.021535574915257524, 0.0061541987423122295, 0.017601586139953652]","[0.0016697749300790383, 0.002260488816877944, 0.0025363155605406377, 0.002664070214857409, 0.003917008008522124, 0.0026095315061754306]","[0.0017668776904792795, 0.0022560106394313314, 0.002514699594044216, 0.002655501138640243, 0.003894678790436366, 0.002617553570606287]","[0.0016967358513938705, 0.0022538652540752325, 0.00251188160895296, 0.0027451823656783497, 0.00387618195732809, 0.0026167694074857003]","[0.0031552651270283782, 0.003746575538898342, 0.004407153157242592, 0.0027506693367079925, 0.004702775507968906, 0.0037524877335692415]","[0.013609011147249958, 0.0028283385369548613, 0.011816413392565174, 0.010956529975598588, 0.004787912974692399, 0.008799641205412196]","[0.001981571622701934, 0.0024489106900881124, 0.0035051399871743865, 0.002669195301083392, 0.00393774925326616, 0.002908513370862797]","[0.001679437570356388, 0.0022450952590504156, 0.002517235435323949, 0.0026601644631022115, 0.003907802784070034, 0.0026019471023805995]","[0.0016830586249071348, 0.0022323260434626356, 0.0025565826059713325, 0.0026880124175113875, 0.00387125380623166, 0.00260624669961683]"
ETC,"[0.001623271239788837, 0.0026653814935037297, 0.00522660721400578, 0.00491851631400376, 0.004017814960689722, 0.0036903182443983663]","[0.0016082594938499188, 0.0026466885640836395, 0.004793650431966931, 0.004970092274446894, 0.003962277281402682, 0.0035961936091500135]","[0.0016063062906469365, 0.002646377167410194, 0.004793793684820506, 0.00497037988447645, 0.003960870726428464, 0.0035955455507565106]","[0.0015977114107672567, 0.0027034278486754225, 0.004932746706002467, 0.005105053683812417, 0.0039728288609382715, 0.0036623537020391674]","[0.0017777526699416265, 0.028014641422521854, 0.005862919800454055, 0.005116553274685764, 0.00705015803728349, 0.009564405040977358]","[0.0016250695236160286, 0.0026531110951086676, 0.004762621707008146, 0.004927612507346429, 0.00408471315311622, 0.0036106255972390977]","[0.001957617128849845, 0.002650369154193169, 0.004980291740913195, 0.004986039449004163, 0.003969704633255218, 0.0037088044212431185]","[0.0016313971221546286, 0.0026556086794533415, 0.0048392398136316035, 0.004981806476257415, 0.004073326515915348, 0.0036362757214824667]","[0.0018080580787931501, 0.00266548517704625, 0.005729257768338053, 0.005692704270555931, 0.004606198066188814, 0.004100340672184439]","[0.018451499537502986, 0.0034541713578976475, 0.005750012394802236, 0.00594523234346562, 0.006464205449569786, 0.008013024216647655]","[0.002430134499565545, 0.00903485273616351, 0.005482962081581928, 0.007186535711139925, 0.005196497525430672, 0.005866196510776316]","[0.0016010192685089472, 0.0026893614498787488, 0.004954147405931287, 0.004983559637566459, 0.004046569005959247, 0.003654931353568938]","[0.0016114470175196435, 0.0026374330107096365, 0.004961605896563703, 0.0049987705951769455, 0.00396190607430476, 0.003634232518854938]"
XLM,"[0.001883951716342985, 0.0020313661505303744, 0.0022394178139333518, 0.0019703693116104788, 0.002620399740662451, 0.002149100946615928]","[0.0018492021306133462, 0.0019783990697032705, 0.0021215095223318546, 0.0018861927501796264, 0.0026063621791447785, 0.0020883331303945753]","[0.0018496562463576728, 0.0019768279513773853, 0.002122505818578285, 0.0018859369100776742, 0.002606477442743322, 0.0020882808738268677]","[0.0018887286173482976, 0.0019732076068237183, 0.002182338922764997, 0.0019706973058339523, 0.0026383252404847336, 0.0021306595386511398]","[0.0020236808444456115, 0.0039179632094966475, 0.00269388706502384, 0.001989040496750601, 0.002995957058380837, 0.0027241057348195074]","[0.0020085070817007105, 0.0020083529028750557, 0.002196148442998614, 0.001974632409660261, 0.002628119240757827, 0.0021631520155984936]","[0.0019264044182186763, 0.001981694544536722, 0.0021154597364065955, 0.0019446115119098125, 0.002883338930364138, 0.002170301828287189]","[0.0018510801662156835, 0.001976007713616194, 0.002118655922493813, 0.0019803275288883477, 0.002613242076792684, 0.0021078626816013447]","[0.0018540618814126529, 0.0024567615646784464, 0.0021806466954750717, 0.002003290676708218, 0.0026664495645107337, 0.0022322420765570248]","[0.004131083367415166, 0.005742618750899063, 0.010512559992927833, 0.003062291373412749, 0.01808567255150893, 0.008306845207232749]","[0.008794542532178847, 0.0048071623613508505, 0.00536650325760892, 0.0031948922428986087, 0.006344123379267589, 0.005701444754660963]","[0.001844856919417404, 0.0019699959236413834, 0.0021569017266547985, 0.0018868038070439968, 0.0026045797249980803, 0.0020926276203511326]","[0.0018583952163557555, 0.0019812647998595644, 0.002124712824392001, 0.001891814299523184, 0.002618987277316074, 0.002095034883489316]"
