,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.0004701924181640647, 0.0005114789587091296, 0.0008102145046677563, 0.0008599805091955123, 0.0006904901558364662]","[0.000621383862599752, 0.0006140530003487403, 0.0011509595961677222, 0.0012080635736431158, 0.0010649251295564875]","[0.00044682802117189765, 0.00049796697327779, 0.0016450290340665353, 0.0017014421920136323, 0.001598136469250089]","[0.0004533880489412382, 0.0004954333753655941, 0.0003853068469265458, 0.0004084618609091288, 0.0002464832877603099]","[0.00045554998744652583, 0.0004974459244367291, 0.002007887458737945, 0.002126219271701492, 0.0018396692726345642]","[0.0005077758908417193, 0.0006557207710556342, 0.0016682663378847227, 0.0017101724852721322, 0.001624060553918414]","[0.0004500353656377747, 0.0005146046427451534, 0.001794348625236884, 0.0018603124370510935, 0.0017517405856561303]","[0.0004478620817056476, 0.000508798686344708, 0.001940619273582032, 0.0020118643341301046, 0.0018945462030042237]","[0.00045603508710303104, 0.0005070838669308, 0.0014978850844336255, 0.0015676056858917287, 0.0013472778780678255]","[0.0008259939926031595, 0.0008136536104129769, 0.001659626653534764, 0.0017240932805380525, 0.0015802701156151075]","[0.00046898098819006333, 0.0005188751751920001, 0.0016213390240913074, 0.0017009560905262267, 0.0015317314305142873]","[0.0005114606498181037, 0.0005029241846874707, 0.00040641781820026905, 0.00043599692889891733, 0.0002610111490158125]","[0.0004474189954557851, 0.0004975070461219496, 0.0003878793484229338, 0.00040658354458862487, 0.00024637993641697534]"
ETH,"[0.0007211227698296258, 0.000951027240962612, 0.0011863198815188264, 0.0019977357389389548, 0.0018159618803439232]","[0.0008434483424785567, 0.0010723106312796277, 0.0031027865551810654, 0.0033021332545731894, 0.0024152369093810347]","[0.0006866417897108196, 0.000937052496506967, 0.003612920555592095, 0.0037857654625958665, 0.0030235218712728394]","[0.0007122506827246327, 0.0009298253657495879, 0.000552439536810549, 0.0007520862437362619, 0.00036661645966745276]","[0.0007295082478959337, 0.0009670254334505583, 0.006611303742382445, 0.006956538024170442, 0.005184381525305709]","[0.0006921979339514911, 0.0009679571973828944, 0.004297427801449706, 0.004494839543824798, 0.003609120655971137]","[0.0006854216638252271, 0.0009363074072935918, 0.0036681779218164868, 0.0038426348402262117, 0.00307324796331084]","[0.0007146154121255662, 0.000976909671188153, 0.00419812784709575, 0.004400075552175542, 0.003328859369415199]","[0.0007062175714001248, 0.0009678556473080442, 0.0037247438628727637, 0.003903523676809239, 0.0030698804047614666]","[0.0011798265548634604, 0.0015189704672843851, 0.0035836237560227563, 0.0038418031566364143, 0.0030943978608613514]","[0.0007024705272380619, 0.0009820696014736586, 0.007300638423667188, 0.007859922443451186, 0.005033829149444281]","[0.0007388951440083771, 0.0009614018582553437, 0.0005420203767542704, 0.0007964852351406851, 0.0003696412841741048]","[0.0006945121283941136, 0.0009378223440908567, 0.0005394134060583583, 0.0007482671907635495, 0.0003590156191188275]"
BNB,"[0.0004209114797335175, 0.0007386178701062219, 0.0006698667571151636, 0.0007745045699122049, 0.0006790196342067566]","[0.0004925408157060214, 0.0008380001103909445, 0.0008556185616238256, 0.0009258128895655314, 0.000980030932570829]","[0.00042042752560065866, 0.0007601773220137874, 0.0011034741026798287, 0.0011535989776168302, 0.0007311570093410276]","[0.0004219620752830359, 0.0004438347340496936, 0.000427953818816131, 0.0005278774172340518, 0.0003145509174076089]","[0.000952019440155446, 0.0017855216316023587, 0.0011376840006611167, 0.0011956233610520427, 0.0005231017370900303]","[0.00041587231386539783, 0.0007109874777396046, 0.0011238983168703003, 0.001173607116002918, 0.0007824077210083551]","[0.00042372978622123137, 0.0007232617645524908, 0.0012257578427438698, 0.0012700215024639134, 0.0007019444205309889]","[0.0005183484423626225, 0.0009350093926252208, 0.0013144346884255388, 0.0013592086164969412, 0.0010281896619844704]","[0.0004228146439978155, 0.0008293300722021637, 0.0012205012768082572, 0.0012812783016465596, 0.0007693410000346359]","[0.0008546514335113163, 0.0010940766315038443, 0.0011573052571035411, 0.0012136979987944286, 0.0008051231109419759]","[0.00041387085833362867, 0.0006876828043909615, 0.0012174980619248394, 0.0012824776692907222, 0.0007178283964430333]","[0.000418816621854304, 0.0004559431800499818, 0.0004537983020886227, 0.0005566835822993414, 0.0003467711479503767]","[0.0004129832987927799, 0.0004429427628738457, 0.0004283448295445087, 0.0005302974156456318, 0.00031545156464726006]"
XRP,"[0.0005866724046025737, 0.0007796911347623747, 0.0012253581918687851, 0.0014712096255796807, 0.0004958361850208123]","[0.0005949842594296926, 0.0010350467059459909, 0.0009801101308064524, 0.0012503195590714581, 0.0005971441023946021]","[0.0005140674308531771, 0.0006531956065515131, 0.0011076190645343284, 0.0012871864047660456, 0.00046144006314061836]","[0.0005226664622905967, 0.0006548388251844072, 0.0005768637182397948, 0.0009423981364804111, 0.00043728445039521]","[0.0019241210585025888, 0.0020015696304047674, 0.0009339334968532924, 0.0011454681487406046, 0.0009073973452339773]","[0.0005613878816063031, 0.0007151010047732261, 0.00120467738030953, 0.001391684812888443, 0.0004745522733273166]","[0.000531066993667287, 0.0006856991554027677, 0.0013090870161677275, 0.0014359443392733696, 0.0004684723420377733]","[0.0005086154001349523, 0.000649753061223826, 0.0009486419828634208, 0.0012588009200037529, 0.0004779225696515985]","[0.0005082000978342255, 0.0007051563961121317, 0.001198844187687173, 0.001465928548830696, 0.0005131185660088286]","[0.000991158733995707, 0.0012135238848088553, 0.0011890864856337053, 0.0013500306969622647, 0.0007052920368517462]","[0.0007310749809357103, 0.001027585864483564, 0.0011454229963733097, 0.0013238239973239589, 0.0007615306758870468]","[0.000582626521100967, 0.0006893899777272164, 0.0005713878438865425, 0.0009560359285711514, 0.0004706022979105251]","[0.0005087941448911767, 0.000645214413935926, 0.0005716528783026315, 0.0009471950905121677, 0.0004219252661881047]"
ADA,"[0.0007589188067605692, 0.0007713794103554685, 0.0007395268843919591, 0.0011052510934589292, 0.0019520129235217815]","[0.0010739025109639667, 0.001030249831158584, 0.0008064253015217283, 0.001176220260181825, 0.0023622930790353903]","[0.0007506140566321598, 0.0007683283490476625, 0.000691873210316948, 0.001092593781090746, 0.0018724621457735864]","[0.0007698480926834542, 0.0007563778877498948, 0.0006615981021556993, 0.0009692483098501936, 0.0006211614661265247]","[0.0009233901529776107, 0.0009756126269990523, 0.0008249321151311648, 0.0014391993247145993, 0.003265435607150414]","[0.0007582168139866347, 0.0007624146857057063, 0.00073472513286812, 0.0012290152127183097, 0.0025443710010187113]","[0.0007821382567285743, 0.0008053857072891706, 0.0010719203614053211, 0.0022060667529509585, 0.00693640333202994]","[0.0007477877691879753, 0.0007539287580360302, 0.00072943045168817, 0.0012132319333926051, 0.0025046927615836666]","[0.0007533964672176009, 0.0007503251310815373, 0.0007276276466855123, 0.0012388273487506248, 0.0027618511425448015]","[0.0017106157143347506, 0.001660721772653408, 0.0007082815284485275, 0.0011658349384858627, 0.0019170393182451472]","[0.0008155477445262639, 0.000784555678663776, 0.0007108497747840041, 0.0011503191377497887, 0.001844918277234645]","[0.0007927561348805288, 0.00081792845996214, 0.0006695840620986718, 0.0009437396182258121, 0.0006220502810250596]","[0.000761884930084678, 0.0007648919053065085, 0.0006778992142624043, 0.0009491681472928826, 0.0006008057751437193]"
DOGE,"[0.0009531407667290941, 0.0008307071671988166, 0.0024476898200486478, 0.0013653273335823479, 0.0006169186746937637]","[0.001143875500770242, 0.0009211852835909912, 0.0019072019788450199, 0.0012253413746227042, 0.0007060464523984773]","[0.0008915462093893726, 0.0007288868040119289, 0.002423898602236981, 0.0012437001066221713, 0.0005605878000317575]","[0.0012003291081136695, 0.001004782618907183, 0.0012661174911148992, 0.001201133549408804, 0.0006660365171186469]","[0.0010408182395062594, 0.0007830569734595532, 0.002462548206051937, 0.0013073471432741102, 0.000660656009488879]","[0.0009259383306242161, 0.0007507416315704264, 0.0021940407776842065, 0.0011913279788198388, 0.0006195202365291969]","[0.0008887493046031531, 0.0007430169646276759, 0.002304529072594719, 0.0011987298414724416, 0.000567867311738972]","[0.0012878132658610153, 0.0009455266776732084, 0.002730706243837447, 0.001393656085424329, 0.0006479027954364988]","[0.0008925507464421522, 0.0007277950730230964, 0.0022862147933512106, 0.0012113682028237246, 0.0005993130997201198]","[0.0017280625791273334, 0.001520617008971812, 0.002876874191341721, 0.0017253578436705645, 0.0012861774009030023]","[0.0010618535446462354, 0.0008625360782228414, 0.002564306248684157, 0.0013505603193042794, 0.00060894167010295]","[0.0009008319244990638, 0.0007238746971867869, 0.0010965046070918604, 0.0011310938302922233, 0.000560452091652323]","[0.0008966090414281385, 0.0007189356449714746, 0.001093486728771608, 0.001075802810857232, 0.0005263959783595407]"
MATIC,"[0.0006318275687833604, 0.0009370883836837302, 0.0017153179696718843, 0.0019018813744601066, 0.0015953024327839036]","[0.0008120937595988306, 0.0009190234425566218, 0.0015256740230886268, 0.001640596112752079, 0.00117781518739791]","[0.0006233176399722977, 0.0008141392517442766, 0.002044916759287762, 0.0020116429059318175, 0.0014122768770636009]","[0.0006429761260452872, 0.0006332061513901572, 0.0006835634558880466, 0.0008126015855332628, 0.00044377288686883693]","[0.0006364738504315841, 0.0007456829279763747, 0.002002735168608082, 0.001975124747992878, 0.0013607007458330037]","[0.0006374955882496264, 0.0008477608921240695, 0.0018359187679464744, 0.001850606010241788, 0.0013515270766988302]","[0.0006158104218156376, 0.0008389047325655309, 0.0022678508536964456, 0.0022435284205172446, 0.0016930609657690972]","[0.0006208016214401553, 0.0008252153596938938, 0.001996344138094252, 0.001988042053964157, 0.0014750262300984327]","[0.0006467837779391117, 0.0009256696943546125, 0.0017002917390862608, 0.0018611455074804414, 0.001289329373078977]","[0.0011586233251231848, 0.001251050496611285, 0.00227236085718377, 0.002219137982366546, 0.0017877823142763705]","[0.0012301290455999135, 0.0015794542875684943, 0.0023718246796173036, 0.002145263342895562, 0.0007838015316014087]","[0.0006528637307760113, 0.0006904063204522022, 0.0006889056778764831, 0.0008545975518723872, 0.00045219758983499177]","[0.0006209070064287083, 0.0006331430922317095, 0.0006610790434116071, 0.0008069257573686565, 0.0004355074833103779]"
LINK,"[0.0008108508844077381, 0.0010224813489216808, 0.002267182249801774, 0.0025031392098609317, 0.0018357880110080882]","[0.000904295795460232, 0.0010945873885690226, 0.002710934070928376, 0.002910313107069909, 0.0023505988709581075]","[0.0008067150814719176, 0.0008667879540756864, 0.002855044972142916, 0.0030467916234926374, 0.0025279742272835376]","[0.0009971542343716999, 0.0009738876431460861, 0.0006616419528247988, 0.0011236237332271572, 0.0005467970644888094]","[0.0009647446563606599, 0.0010935393581773863, 0.0032958502299138544, 0.003616405270024124, 0.002570956606643713]","[0.0008096775893619623, 0.000864327091269968, 0.003219343064177851, 0.0034116438434285937, 0.002869514760454282]","[0.0008168031281033237, 0.0008725248036572532, 0.0032837231120617, 0.0034756668586239836, 0.0029258774240445654]","[0.0008020095722841914, 0.0008825210462928769, 0.0024748147477877376, 0.0026955529682798135, 0.002191572046834623]","[0.000799294471196635, 0.0009160350567304527, 0.0029934719753720754, 0.0032222708170467533, 0.00260173417659434]","[0.0013203993362769855, 0.0014344547003056409, 0.002973193598179372, 0.003089355156288196, 0.0026631622261893933]","[0.0008779180576669802, 0.0010569764072119326, 0.0024423880392973303, 0.002747749638640626, 0.002051697237738724]","[0.0008905863391558257, 0.0009260001285694603, 0.0007047505232730436, 0.0011261846480696443, 0.0005376409512581006]","[0.000807072330717379, 0.0008675960461597515, 0.0006554271669320559, 0.0010583804914970952, 0.0005116433339929918]"
ETC,"[0.0009865315822174168, 0.0008156217529508654, 0.001864561927289954, 0.0019571774773472247, 0.0017153408176891936]","[0.0011727657492576794, 0.0009502954241447843, 0.0021606276380695425, 0.002171918077048157, 0.0014897922229351723]","[0.0008357851242549956, 0.0008017224729230985, 0.001975911240237152, 0.0020881926626901822, 0.0015841894410498995]","[0.0008547488052821857, 0.000804116224336823, 0.0008255612484831208, 0.0009924536768175585, 0.0005401205994018078]","[0.0011133504276836673, 0.0010149247899064106, 0.002227169991295237, 0.002431384685163913, 0.0016010556030375234]","[0.0008330323257478702, 0.0007944470369480634, 0.0021373132586200577, 0.0022475312761796743, 0.0017091422212970027]","[0.0008351515162151368, 0.0008006740183546363, 0.002038878487725982, 0.002151335409247995, 0.0016375142788407175]","[0.0008403963762087327, 0.0008085855637712269, 0.001745252905072956, 0.001865892176103835, 0.001393576332052089]","[0.0008481526988007211, 0.000811342176949979, 0.0022900380492973426, 0.002352593862325728, 0.0016404452986008911]","[0.0016614477961961942, 0.0016782285834225313, 0.0021454289259549807, 0.0021693019762527624, 0.0016787795351163096]","[0.0008732895338920967, 0.0008215639318758057, 0.0027036796617731784, 0.002805076725912182, 0.0016415231405823769]","[0.0008730447093321381, 0.0008591584614986709, 0.0008226471684496537, 0.0010591649968784685, 0.0005342392543627923]","[0.0008453863301461106, 0.0008029061717947624, 0.0008224549341325734, 0.0009936190126056269, 0.0005447011448528229]"
XLM,"[0.000766983613663517, 0.0007908665557692563, 0.000790331100413233, 0.001022239720009029, 0.0006682506337108012]","[0.0009257906535981181, 0.0009879840629681146, 0.0008270386872366039, 0.0010799606732644817, 0.0007726631934137236]","[0.0007570662321194659, 0.0007836872673256132, 0.0007969169136806201, 0.0010033945807770546, 0.0006948941152707293]","[0.0008071736273412625, 0.000797953772693277, 0.0006666305214138027, 0.0009028282548843179, 0.0006938694541052315]","[0.0008559591588343324, 0.0009503697335116857, 0.0008554883363751631, 0.001021718401976648, 0.0007305421641930542]","[0.0007712879423726386, 0.0007948544234146448, 0.00089084089745214, 0.0010772375431027407, 0.0007379358686434319]","[0.000788856120857137, 0.0008459676722398003, 0.0008647791696973613, 0.0010741690729274783, 0.0007127194598686156]","[0.0007693868503151111, 0.0007884914322208643, 0.0008525335866927884, 0.0010474449733214387, 0.0006975100954756354]","[0.0007472046031247561, 0.0007803336664374954, 0.0008322267416144025, 0.001070789820202075, 0.0006879400856092678]","[0.0011779543754273014, 0.0014147620634321768, 0.0009507561181884536, 0.0011432631344665855, 0.0009718559636186458]","[0.000874932177293267, 0.0009264887213015534, 0.0009524225567840919, 0.0011497849745755312, 0.0008048132176321746]","[0.0007893005851611627, 0.0008545515097744648, 0.0006511262487214694, 0.0008619047921738755, 0.0007137412737042892]","[0.0007650965942081494, 0.0007972028735181882, 0.0006795816774346315, 0.0008893792823939775, 0.0006775725180847392]"
