,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
LTC,"[0.01371169371483609, 0.05078465474103618, 0.01377625168304545, 0.025483830150939742, 0.013824002572284218]","[0.015145708057287956, 0.04744062056263847, 0.014666474339590488, 0.025438316858990218, 0.013721426461018685]","[0.013809484230108277, 0.04493400994565118, 0.013166035350526998, 0.024157681601473958, 0.012069384228659349]","[0.01295449182516997, 0.015049104977023959, 0.013461165117011824, 0.023599462399030238, 0.0123088141549374]","[0.013291946504910529, 0.07594795815854727, 0.014955349697980501, 0.03763184569475061, 0.012315715027418853]","[0.014915155345548436, 0.030737907845909372, 0.014871289493200938, 0.027004174863573375, 0.013308023124121084]","[0.01367098743832868, 0.05666115859343007, 0.01418859160374273, 0.0295349443907102, 0.012447217554606475]","[0.014160991552544537, 0.044367507115240644, 0.013234807770798522, 0.027180158986108562, 0.012678457865097059]","[0.013668622505064804, 0.059528289421947156, 0.014713684348965042, 0.02712038756536065, 0.0125789963191456]","[0.01993864129366859, 0.053041748482459, 0.015706689072719705, 0.02644103749765585, 0.01818043269909203]","[0.014733267525978188, 0.05117897312235919, 0.01360257743430484, 0.02929723698037533, 0.014072822390095776]","[0.014416775596681967, 0.01615644863371454, 0.013118201192595366, 0.024050128399951253, 0.012690232158756004]","[0.013039900635956198, 0.014517609820440248, 0.01306577341195195, 0.0234022576185166, 0.011927421435492599]"
TRX,"[0.01232129168535482, 0.009706729274553778, 0.009603250996794774, 0.023475962614161343, 0.07616318723628893]","[0.01324196322081403, 0.010159223135760733, 0.01151415716693183, 0.023858232566217375, 0.05414057304452926]","[0.0123309840446089, 0.009897228812356565, 0.009616294881300252, 0.022298186517168393, 0.05584408891972391]","[0.012328965959806589, 0.00924155051545753, 0.008558926361936222, 0.02295836435586439, 0.0076462724156212926]","[0.013713190922716513, 0.01215035973095657, 0.012358306956301374, 0.02660800985089847, 0.12504646155201815]","[0.012689039451166345, 0.009613904167291281, 0.009559073131626829, 0.022968754949257895, 0.0742838556663236]","[0.012889292780153579, 0.009945326998580011, 0.010753431688478098, 0.025581623318218, 0.0659948075743681]","[0.012717249318566604, 0.009829416597188856, 0.009957682151417568, 0.023479899697389242, 0.08163220678110007]","[0.013968454237121257, 0.00972920637854132, 0.009980144828196928, 0.024378835884679824, 0.08588777519771286]","[0.01599284491147987, 0.013375439793498735, 0.012910500911471254, 0.023335416850360072, 0.05703970597116826]","[0.012857957481490389, 0.010278674970732532, 0.009480659992653347, 0.026016470144046316, 0.09570406476953858]","[0.012455378571629865, 0.010040060134536533, 0.009020935773304225, 0.023511408352471373, 0.008217169817750902]","[0.012100015155762946, 0.009016735899393745, 0.00838430278148186, 0.022360679822288884, 0.007248520916710098]"
ATOM,"[0.015563144128546565, 0.016709113649941404, 0.015277366687571117, 0.021513864408988715, 0.012659965200119859]","[0.016493689195955587, 0.017380721312002516, 0.016128618143358968, 0.021711374122976492, 0.013547377442956206]","[0.01508763595943993, 0.015713306008214988, 0.014597181658118262, 0.020901798435932407, 0.01275400931414727]","[0.014254806994546253, 0.015655698887518287, 0.013667455392378066, 0.01965378483912256, 0.010951685102527921]","[0.018728672901340192, 0.016617847934026625, 0.01616328137118341, 0.021445249161453874, 0.016583206120963964]","[0.01466570159254819, 0.01558091083811642, 0.014134733738692527, 0.020401278596538616, 0.012060785131382017]","[0.01458291964007894, 0.015491104906784216, 0.014133221431013294, 0.019907268657942862, 0.012012926828507374]","[0.014592446097196963, 0.015477765644985975, 0.014179339451298624, 0.019953283590056572, 0.012145757683889292]","[0.014763669384098671, 0.01630127562166718, 0.01463900881063323, 0.021849523261637065, 0.012147833191531133]","[0.022258598025123554, 0.018048964425116276, 0.01787523466174312, 0.022224525862183275, 0.01635959529109617]","[0.015606687715505947, 0.01669078939090779, 0.014253728718614639, 0.02126671910982884, 0.01243253072107099]","[0.014534291651964676, 0.015494127268160475, 0.013767596546987245, 0.01984568259886654, 0.011408132061663027]","[0.014364666858969364, 0.015560883940259044, 0.013680171899975356, 0.019395453149698184, 0.010968337832673087]"
XMR,"[0.012740149724180017, 0.020508992850910932, 0.02110767031108273, 0.02414689345933125, 0.009529856859292616]","[0.01355069359078732, 0.020600549854211808, 0.02099684789413147, 0.022678484207335314, 0.009679146570646377]","[0.012902242528068665, 0.01802829899940606, 0.021339298762888988, 0.022149175679641902, 0.009457796383187462]","[0.012976706771486973, 0.011416716528574131, 0.010781313028459088, 0.014388645341899386, 0.009565635912122328]","[0.014456610929005097, 0.021886283416456705, 0.02362081138458746, 0.02643288394345062, 0.010048073252198982]","[0.013126519545686856, 0.018085563387246133, 0.021521692955732502, 0.022238733036202368, 0.009534838472236008]","[0.012922635764227879, 0.018186815158831176, 0.021573878801547083, 0.022325504022253924, 0.009443220035409207]","[0.013036230124447637, 0.01839667260729347, 0.021789769419946054, 0.022442953321971305, 0.009469236648815346]","[0.013843740019914702, 0.01604159098739125, 0.019463311720200112, 0.02293880756948822, 0.010599713401056619]","[0.016665459512218907, 0.02098013626859198, 0.02362893822756089, 0.02291644077105628, 0.01138885831110356]","[0.013046877888844031, 0.016577610396273975, 0.02187192582410979, 0.025244136667446727, 0.00990731986361474]","[0.013953824425268378, 0.011876029122379093, 0.011626896411165327, 0.015032478517018683, 0.00947332569048863]","[0.012812835834111502, 0.011368345025727408, 0.010650460019040445, 0.014292630013331156, 0.009501065438395911]"
VET,"[0.015428235122926385, 0.018418010011243487, 0.023016782177385467, 0.029859666583705785, 0.020452031336647157]","[0.017334839923139965, 0.01781777930334027, 0.023890847747615972, 0.038323450008439175, 0.02852692664788836]","[0.014119255812111342, 0.016726400206286098, 0.022380064548374917, 0.028446650436046283, 0.019994779510064956]","[0.014140829741852682, 0.018153285022370756, 0.022711476863272295, 0.02260787795802152, 0.011281700001561024]","[0.018746313172194443, 0.021498815632481894, 0.027637876316069634, 0.0365559974373693, 0.02513213267191746]","[0.014254629694025767, 0.016695263399877043, 0.02237108969368034, 0.028137298870920556, 0.01958566580254592]","[0.014355276436801477, 0.016767673803604857, 0.0223438132515058, 0.029350227080644442, 0.021088136869018333]","[0.014475670879935565, 0.016897373389579425, 0.02237601257011461, 0.028567124962597664, 0.020046403724588366]","[0.014256579621056977, 0.01718413655959164, 0.023018188175672975, 0.02889683538599939, 0.020009322221240487]","[0.01996007035708329, 0.018973609773067193, 0.023049777269107796, 0.03361504281375259, 0.025287210220844365]","[0.014704055299083158, 0.01947574692809296, 0.024576955842586082, 0.040778317524693644, 0.036337113924341746]","[0.015115227023002444, 0.01729878949290616, 0.022599579311413535, 0.021595701919055712, 0.010784525224814902]","[0.013788660040111998, 0.01678260645116421, 0.022601084968265288, 0.02146906859342548, 0.010125970438448371]"
ALGO,"[0.014542685706385856, 0.02036919567378173, 0.01715660248461988, 0.0225853833338525, 0.023204203212502612]","[0.017086068738756115, 0.021420249023958615, 0.019669484871876766, 0.02499003261470098, 0.0286334869332176]","[0.014687116561472811, 0.020414663863179944, 0.016574850963227836, 0.021770885045158565, 0.023690416545604814]","[0.014735366072401888, 0.021078007521508565, 0.017150075424189754, 0.021664562035760594, 0.015974939993581135]","[0.019620386623013155, 0.02268126852652674, 0.017778256974552764, 0.022463831490016475, 0.022579333668967128]","[0.01447765108847674, 0.02034358427025665, 0.016661750588507322, 0.021946560176205835, 0.0241087164432572]","[0.015185911620786379, 0.020870691966484424, 0.016481668813725658, 0.023232233725540286, 0.028807117191582673]","[0.018112842984068067, 0.02221931852115144, 0.020069957626937557, 0.025748177870946236, 0.027393238134959186]","[0.014921179681762431, 0.02067603816215737, 0.01664003080373006, 0.02225269969250456, 0.02482120476742301]","[0.026433077519066293, 0.024558134328484235, 0.019830443000582378, 0.023792489724718716, 0.026570814028299545]","[0.01662085345993672, 0.02218215713199127, 0.018822968178001925, 0.022108769610245993, 0.018434966080670818]","[0.015003730762057101, 0.020527711798549994, 0.017473648221812473, 0.021712867688949547, 0.013115824659504371]","[0.014238348059620458, 0.02027013046842745, 0.01668457844954264, 0.020714012863991937, 0.012884897989108066]"
EOS,"[0.011898990560262453, 0.019335226802038908, 0.021493696239803767, 0.033138643077161606, 0.023942271223626306]","[0.014501339609699211, 0.02385025961546296, 0.022394146500007928, 0.04141307192831159, 0.034306207226884954]","[0.011462717857431618, 0.02090655024197614, 0.02127738436826877, 0.03862950121970695, 0.031099005740656434]","[0.011919390226708154, 0.014516139271604535, 0.017887297761545084, 0.020487520648330274, 0.012049389394608699]","[0.017505441171657737, 0.01854731323099468, 0.02091184618673909, 0.03154620888913909, 0.020885893788936988]","[0.011717213593569743, 0.021136790272867932, 0.021456845154708266, 0.03920969313916498, 0.03157548384838132]","[0.011971295084506327, 0.023631230049528034, 0.02317119279120002, 0.043094496924179986, 0.03761765299726893]","[0.02080826383557922, 0.024035252178234746, 0.02656128902036545, 0.04372485385233366, 0.03513995844621405]","[0.011997815550652036, 0.022412426322449826, 0.02234448024475358, 0.04215677817839076, 0.03388584534626098]","[0.01638605519401281, 0.02185542845125828, 0.022205162942150452, 0.039228626559621484, 0.03152830338701165]","[0.013122072233158803, 0.0191043475472938, 0.02018662658881864, 0.03634406496951291, 0.02804075426257341]","[0.012407270939643753, 0.014384082042902112, 0.017742915702758315, 0.022356255287257442, 0.012957991623464648]","[0.011344943360640406, 0.014253069766878098, 0.0177194955280211, 0.020515122977319326, 0.011915341291224856]"
CHZ,"[0.018570533871180312, 0.02111396802311836, 0.01620455962384593, 0.01877840695195314, 0.017825524458335722]","[0.020698659744094385, 0.021160872449228922, 0.017214110609379007, 0.020121344425846583, 0.02152061354673238]","[0.019126306688386153, 0.021353507935064117, 0.016158221207144913, 0.018121157173238304, 0.01728228351097406]","[0.018336995315589803, 0.021266410595402595, 0.016301657856936897, 0.017270206699743013, 0.014095789979265198]","[0.022614140341759535, 0.023792677252528933, 0.019776575417667124, 0.023575969539814143, 0.014583379019756744]","[0.01946486938568169, 0.0215373191123525, 0.016497990550866825, 0.01883262810321579, 0.01817876345623774]","[0.018417064734281396, 0.020858065578385748, 0.016134407340239965, 0.018019094486660052, 0.01694593581112877]","[0.019527659317147096, 0.0216532852326587, 0.016197795324915575, 0.018278389280837876, 0.017194731163937813]","[0.01895128856528712, 0.021747129242722887, 0.016073387038302935, 0.018120089326712184, 0.01789877370425316]","[0.03091205095389149, 0.026776712203495687, 0.021899764596138543, 0.025817542842746788, 0.02054333078998389]","[0.01823840926400174, 0.022526857548509086, 0.0161047784126776, 0.01838212381825488, 0.018414673117194268]","[0.019966871579919318, 0.021588979133248868, 0.016344404189081726, 0.01718261712448489, 0.015197942322626406]","[0.01851744926082354, 0.02114956473796658, 0.016221416793493575, 0.017185210699256093, 0.014173716973218014]"
IOTA,"[0.013373544688585048, 0.0178255379439739, 0.016994903863459577, 0.022522546456295454, 0.015374703496238932]","[0.016698126310142232, 0.018661914478187984, 0.01715515156029581, 0.023573841742296115, 0.017329475574016144]","[0.013258635781198558, 0.017386686259208868, 0.016773551935502513, 0.02187334415711988, 0.014871836651944385]","[0.013047237809339763, 0.016883733795457802, 0.01603800803905411, 0.018004420543706535, 0.012111127579695003]","[0.013571686189132, 0.0195880082950113, 0.016635521142336438, 0.020008143400526313, 0.012544193425026664]","[0.014336621964542261, 0.01867885500487384, 0.018512937347727066, 0.02493673215819401, 0.017439856376749434]","[0.01326058527137697, 0.017396556393056404, 0.01678296574985136, 0.021941942443688765, 0.014912848830263423]","[0.01303356312106684, 0.018465808275395453, 0.016906712929794614, 0.02266902545771934, 0.015268995347220642]","[0.013444183161804527, 0.017553059375412686, 0.016707873857074354, 0.02237203109446336, 0.015176893143292292]","[0.018733252579933028, 0.02146570615210044, 0.020199844079740296, 0.024099071591389434, 0.018036997557857044]","[0.013398871995664906, 0.019669269917953154, 0.0168107296838232, 0.02273753702430274, 0.01457981430609242]","[0.013391691618561151, 0.017192579403286615, 0.0176741548745083, 0.01846636034765188, 0.012818486805600809]","[0.0131733632312949, 0.016746727019941596, 0.016275198126877288, 0.017977721833981074, 0.012094855942602482]"
NEO,"[0.014128432885276654, 0.020655566489383433, 0.03406357022197392, 0.040235766158583514, 0.034885523615055807]","[0.016805427467778283, 0.02133232405644052, 0.03402666909694823, 0.039259316534054685, 0.026786457029271182]","[0.015202891869202114, 0.02097168800216066, 0.03500018450252999, 0.04396174629063195, 0.040032753094465516]","[0.014445234771295563, 0.019694147888114293, 0.02980845090888749, 0.0263434865770188, 0.0156460210679049]","[0.02560925490734962, 0.029278279995711837, 0.03278412814848077, 0.028508597128098105, 0.019008949269815337]","[0.014966180523062, 0.021954529874081082, 0.03535234276532138, 0.04251747697776657, 0.03441787501308459]","[0.014757596270115515, 0.020476961869101883, 0.03437802419463429, 0.04174361246700062, 0.03595122757489377]","[0.020358367668355155, 0.022918922908623487, 0.048928076823101276, 0.054981337557685604, 0.04123973761884198]","[0.014252629562219973, 0.020656323117102894, 0.034199038553361004, 0.040022551717595195, 0.03328613909253409]","[0.021187319273880588, 0.022088134313244304, 0.0361608723138171, 0.044426154873073255, 0.03853631961355366]","[0.016169816064999874, 0.026538677699147934, 0.04034556619663989, 0.03816117572846749, 0.031538295267662546]","[0.01533484937212674, 0.021034986120072964, 0.030223727524100606, 0.027007922179438548, 0.015973882104942]","[0.013904140874309393, 0.01939706246733146, 0.029846119127507984, 0.026131299051991193, 0.014300712504050924]"
