mae,rmse,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/num_layers,config/num_blocks,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/model_name,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.08688260412708311,0.09380027229507086,59.13133668899536,True,1,2023-06-16_13-22-54,1686914574,59.13133668899536,8324,Stephan-PC,127.0.0.1,59.13133668899536,1,"1_batch_size=32,dropout=0.1692,input_chunk_length=10,n_epochs=25,num_blocks=3,num_layers=3",3,3,10,25,32,0.16916331380723806,1,NBEATS,False,auto
0.04573514625290805,0.05658732875488887,47.74135375022888,True,1,2023-06-16_13-23-53,1686914633,47.74135375022888,25176,Stephan-PC,127.0.0.1,47.74135375022888,1,"2_batch_size=16,dropout=0.1089,input_chunk_length=30,n_epochs=50,num_blocks=1,num_layers=2",2,1,30,50,16,0.10887498522127662,1,NBEATS,False,auto
0.13869049949053094,0.144104256423483,54.29198861122131,True,1,2023-06-16_13-25-00,1686914700,54.29198861122131,11748,Stephan-PC,127.0.0.1,54.29198861122131,1,"3_batch_size=16,dropout=0.4481,input_chunk_length=20,n_epochs=10,num_blocks=3,num_layers=4",4,3,20,10,16,0.4480821645582435,1,NBEATS,False,auto
0.5819286362225706,0.5830756541687608,19.746917963027954,True,1,2023-06-16_13-25-31,1686914731,19.746917963027954,25552,Stephan-PC,127.0.0.1,19.746917963027954,1,"4_batch_size=64,dropout=0.4510,input_chunk_length=1,n_epochs=10,num_blocks=2,num_layers=4",4,2,1,10,64,0.45104662414939284,1,NBEATS,False,auto
0.03034374639940965,0.03631640028500369,33.158578634262085,True,1,2023-06-16_13-26-16,1686914776,33.158578634262085,23188,Stephan-PC,127.0.0.1,33.158578634262085,1,"5_batch_size=128,dropout=0.0889,input_chunk_length=1,n_epochs=100,num_blocks=2,num_layers=2",2,2,1,100,128,0.08887157371826267,1,NBEATS,False,auto
0.4349683176486869,0.4368737054238832,23.413733959197998,True,1,2023-06-16_13-26-51,1686914811,23.413733959197998,8688,Stephan-PC,127.0.0.1,23.413733959197998,1,"6_batch_size=64,dropout=0.2460,input_chunk_length=40,n_epochs=10,num_blocks=4,num_layers=2",2,4,40,10,64,0.24597139871758872,1,NBEATS,False,auto
0.03112575498963165,0.037646765318370454,11.903034925460815,True,1,2023-06-16_13-27-15,1686914835,11.903034925460815,22820,Stephan-PC,127.0.0.1,11.903034925460815,1,"7_batch_size=128,dropout=0.0785,input_chunk_length=30,n_epochs=25,num_blocks=1,num_layers=4",4,1,30,25,128,0.07849152823497164,1,NBEATS,False,auto
0.033349340083435645,0.04122265856672277,108.85406947135925,True,1,2023-06-16_13-29-15,1686914955,108.85406947135925,7512,Stephan-PC,127.0.0.1,108.85406947135925,1,"8_batch_size=32,dropout=0.4114,input_chunk_length=30,n_epochs=50,num_blocks=3,num_layers=4",4,3,30,50,32,0.4113725069418367,1,NBEATS,False,auto
0.04295425430048241,0.05302626839230932,26.48496389389038,True,1,2023-06-16_13-29-52,1686914992,26.48496389389038,13184,Stephan-PC,127.0.0.1,26.48496389389038,1,"9_batch_size=32,dropout=0.2823,input_chunk_length=10,n_epochs=25,num_blocks=1,num_layers=5",5,1,10,25,32,0.2823266637641817,1,NBEATS,False,auto
0.030297733860236663,0.03689702928630335,23.47441601753235,True,1,2023-06-16_13-30-27,1686915027,23.47441601753235,7928,Stephan-PC,127.0.0.1,23.47441601753235,1,"10_batch_size=32,dropout=0.3985,input_chunk_length=5,n_epochs=25,num_blocks=1,num_layers=4",4,1,5,25,32,0.3985087517706832,1,NBEATS,False,auto
