,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[83.4278060808937, 21.702489998956416, -449.4978701511114, 77.50310348821726, 24.53639155545082]","[52.062158397618084, -82.81516921157805, -367.52087600909033, 14.849102269017866, 35.38226934162672]","[89.08499305618828, 37.55324613254879, -569.175999821224, 69.22853259098953, 15.269218460348547]","[61.65491391453376, 86.14301415104364, -374.8928970061893, 52.17582160342204, 46.392835175338945]","[-846.7519442923209, -2154.5807406363165, -12247.027819364439, -51.25413589525583, -236.8948497286786]","[74.17459978030124, 29.26670652785782, -242.69964990117265, 25.685582023446674, 28.298722627229818]","[85.63226551843876, -137.0070740396901, -615.8593461460135, 79.15956062586369, 1.6519533176252792]","[76.03357096585799, 3.1599709876106483, -654.5213925473622, 53.666952816429635, 10.430558692762144]","[83.35861195397409, 30.4646986595544, -471.6639046890603, 67.82964755766345, 25.9724878890508]","[-6.239831515736405, 22.22581792927837, -369.73680723127706, -37.69574653667372, 60.92677272695776]","[6.710607555657414, -138.76486969598625, -37.82359288598444, 13.00760153536066, 32.202916435571595]","[78.87220301847569, 76.79906390836778, -375.3665716950595, 75.50111201006409, 43.01636500863306]"
ETH,"[75.92600259848004, -218.1015805213621, -603.7558376611098, -1.2735444725279483, 10.520411948932432]","[63.02260934485934, -204.73604852950024, -793.9237964810906, -240.49067480887868, -7.550511558999845]","[65.96762785650424, -519.1281732252202, -704.0260737029346, -84.17188374268567, 6.900910886362061]","[43.663724117219225, 28.609658304827185, -176.1235122955806, -32.45559475875129, 35.772968955499906]","[-681.1307061087922, -3143.571101170901, -842.19659879577, -410.12241292611594, -92.36009294696508]","[45.20018574295172, -453.7412532996984, -562.7451517256287, -102.68867442865526, 37.15720926333967]","[61.31879105440823, -282.6574919435135, -710.0016225138515, 2.5577596912775387, -4.606249240113515]","[55.09006078864284, -202.18613881264469, -1515.0527178386371, -155.34182143650096, -27.37040677259794]","[40.11893084062319, -183.19102180706284, -657.4796913252749, -2.154877502449502, -8.739216323000331]","[37.333672799560134, -146.64227096722817, -1135.648697792956, -251.77055261576194, -47.97416689112555]","[-278.81257763687205, -569.7931986645583, -33.47292929116707, -54.56664894879852, 9.340894244864328]","[59.39983176700918, -47.959227759353425, -336.58763777099256, 4.540649028076036, 26.326994695967766]"
BNB,"[93.69744880891501, -116.8942410419955, -186.07101434228625, 60.54876359045432, 33.97676164311195]","[87.80822484778611, -112.16425149023085, -31.569231730233007, 57.82977010542803, 55.74835079495198]","[93.84834004105501, -68.0460513540885, -261.11190834033755, 75.47089835181369, 41.09763806199837]","[95.07804219458343, 64.29740309019533, -56.56955907870213, 61.726047761803095, 76.90233641772247]","[86.64910809886614, -80.8891061647951, -15708.099160746877, 47.10252551064789, 50.3031047504524]","[-624.9919441096766, 19.12508162454559, -397.0088552784223, -89.36892578089316, 30.78434600361966]","[94.89499250488547, -16.88501788180564, -149.48228852560868, 68.50478964819519, 47.13510628824501]","[92.83671902824626, -13.320878438703772, -315.5809856939686, 53.812740882791424, 15.674474043315461]","[82.93996883789711, -231.11114572665747, -37.94702853309372, 72.06636250028352, 18.5794510090836]","[74.00146916215643, 23.442506794291887, -987.5828761855928, -19.91652001919437, 60.08663330677702]","[88.41192961875147, -192.9884221505411, -93.0386076243127, 47.26278360129166, -28.18015980924311]","[94.80773986611894, 41.39260322600406, -99.35426585711343, 73.763635042927, 67.76325383519236]"
XRP,"[57.923321911031614, 48.40596919903559, -371.496021296733, 32.96059455912471, -22.514924900044957]","[65.83626802701154, 38.44052323484857, -534.7894537165223, -0.6104856729932152, -67.92101991762513]","[59.359435496915744, 36.0595880124278, -578.5206175762706, -1.5366441088508, -78.47260064015904]","[64.28043636154112, 15.090910099232346, -222.56817780109998, 23.331832424200247, -9.803726159209953]","[-1.7700324071724407, -4.774065249285477, -2012.6128716085602, -240.35265221402747, -178.72258375021502]","[31.73511324670408, -54.11465952894905, -944.423293164055, 45.76032072057627, 35.00356461157146]","[47.72701607389669, 45.82864080642056, -421.4696053662493, 18.99841025840826, -1.5188819744686382]","[59.56809060542627, -283.77285380028144, -456.1706381043389, 25.196372944207713, -69.46147817119439]","[45.72827503979832, 72.07398998679828, -608.8562444158788, 42.40261925583798, -43.89555820262624]","[8.29715091953409, -2.6601985157475543, -243.62831626583815, -43.742909556958644, -27.022460537985182]","[-20.293993484204645, -55.258018011869346, -201.18008802260738, -321.9104307042101, -5.02945034513995]","[44.87206705330416, 70.56019707634398, -243.83192043804945, 29.453847564737114, 19.361152031929606]"
ADA,"[15.021400907113486, -358.03004728885105, -344.1072940427832, 69.82821860332342, 24.260672952852012]","[53.85076141238096, -1631.9448968406039, -782.178760971692, -32.90738537018954, 20.001809155774307]","[10.293657569183882, -492.6876340594159, -303.9132505062764, 66.14100890528032, 16.361860717461873]","[36.90305715458598, -37.23026887555247, -6.993147924578835, 63.64184288011801, 46.5748459257603]","[-129.0491535467371, -944.5583684326423, -226.2658941312449, -575.1908748827537, -29.796783115302837]","[17.677487339393238, -988.3873284379699, -467.4610418088567, 58.19441439278547, 43.9179496835589]","[-12.076831013045508, -1397.1894968602608, -746.6981190866816, 63.70267840638658, 38.43313072788258]","[20.352984090015845, -698.5599793312124, -293.4661025138558, 50.18617562149019, 21.96611692736684]","[-3.6205724137036404, -949.2762514472737, -489.61515998559133, 37.06089181296972, -0.4965574268022406]","[-14.439940300879222, -1481.4659870933358, -32.979437363478034, -40.16247582793411, -48.56663017274918]","[0.7294637568549492, -6.981486487998588, -81.40184561518919, -51.12458559941185, -16.87562845078706]","[26.702228145269835, -32.79461318070649, -182.58739849355595, 64.79681415968894, 31.794718183479286]"
DOGE,"[79.54040457132994, -43.860915104749886, 14.707329781903427, -6.3240169831111235, 48.27810471413773]","[80.90181289399024, -27.047120497290578, -24.53266217852393, -25.535024098034288, 12.478286264297592]","[15.460670658483492, -244.17830161235682, 8.830454997758244, -15.898847297489777, 56.80797419219107]","[52.586887774501136, 67.86930351786822, 70.89212380370311, 33.99176347135975, -35.9178677653745]","[52.847710621099985, -3024.000889603575, -104.14210375640735, -92.12655994213046, -41.50558402750541]","[-102.77811859925396, -536.6736968590396, 49.671212396037404, 0.5928710889990678, 65.32251943217686]","[-26.496635308307937, -20165.117640600216, -1097.7982369123063, -30.466016258647265, 3.6904684217619526]","[-274.23340056242756, -1922.4378934033768, 11.833762623202784, -3.776467818649791, 61.55096857479525]","[-484.1929778401234, -515.5985049229341, 75.37706498875833, -38.372648866353366, 21.311256790799124]","[-39.46770128410775, -805.0801442687325, 5.171954466877306, -33.36045215770246, 35.75172319710687]","[-98131.95382123877, -615256.5311636965, -673.1562730264533, -259.74485627500957, -649.0862083710488]","[62.52628378627494, 24.03921488078427, 55.86526125927339, -11.419892592924713, 32.76355310379489]"
MATIC,"[-14.158710432299202, -26.64677645512067, 63.38791251327628, 71.80676206469816, 56.147481325745154]","[11.701808069207587, 2.4857395103015514, 65.69244380772415, 50.615543862861266, -102.70421753623906]","[-46.3370508853898, -193.37794033808123, -1190.96669167869, 62.86600162985888, 40.06323820077087]","[-57.769588950982175, 53.658978293153815, 91.66715416744837, 18.051345095434044, 71.25421907820864]","[-102.6683884096853, 19.604407456042885, -12577.282780514184, -761.2068225546326, -374.5180219099246]","[10.409436408942408, -114.44994340348448, 49.61700048655675, 55.474979694680535, -38.89265264657651]","[-162.7301277003277, -467.6607329480414, -140.37398433140206, 43.692117412006745, 12.175897001776594]","[-40087.09866956479, -10423.048097041272, -22787.445708617237, 26.992043402782805, -561.8513848672197]","[-397.09994774982135, -475.3453618270926, 57.86012825703484, 31.584644091179864, 29.878182394964014]","[-338.1461400471193, -69.72258542943476, 64.16108268467427, -39.66366088703906, 33.57480500004289]","[54.34313357418181, -3615.3295625776423, 64.44160022918409, -554.2973918248344, -305.5531901217058]","[6.552735776566901, 26.389469040361966, 84.02544048244988, 73.68911562874321, 61.438932851338066]"
LINK,"[37.77984232031753, -191.45432497795974, -600.0265182397121, 70.08214655198095, 73.19955008889069]","[44.20567907612959, -261.31422542550126, -224.1808462784544, 69.77944757058088, 77.39227303995825]","[30.231189007614656, -187.11712485755208, -431.4777979776507, 37.88559286320583, 63.48609577035971]","[22.495712612826647, -8.821512171576012, -148.74015182181145, 55.90299182428594, 76.32927988153017]","[-81.49350590263438, 11.270779856663465, -70.76716385978308, 70.4764580959812, 9.093619382691214]","[41.018854553748945, -233.70710333662294, -574.4644247499467, 27.304622154182102, 80.34261786752447]","[42.624269822229934, -78.0092178233907, -376.60758307897254, 45.841353015467995, 65.30735923840982]","[25.3222073264485, -663.0536364964896, -759.2156507069241, 76.59036909452006, 62.76941830261811]","[52.88269294173882, -1548.8779334259389, -685.3295327650568, 33.69086972775332, 79.58109356639362]","[15.663402418545028, -260.6186595900383, -523.8137705527656, -12.819843844318479, 37.862610185194086]","[-3694.3809250823115, -204.62158702534717, -278.6097069268122, 21.2073279960498, -544.677526346394]","[42.35491058614574, -38.351713380366064, -261.34715818260605, 59.22710760194547, 79.93141057986696]"
ETC,"[36.8474056967744, -110.96608603379214, -323.8420075965113, 77.64283505162524, 73.67475490233943]","[6.993422446346763, -72.9736285045143, -995.5424526638594, 91.38648307436071, 60.84698804096816]","[28.06634863993735, -37.37273436859558, -352.3171245624816, 88.76932326820152, 66.87541954122834]","[-152.5315205328098, -41.82173943454801, -7.550222332306249, 84.1073783686341, 91.49809889666778]","[-826.7370053347712, 53.98714220739088, -348.89164534380933, 60.09149809841787, 92.27085112178635]","[17.77812205021381, -114.59021855294597, -475.0376515740359, 86.27272469384309, 61.91207411655297]","[67.36082666946758, 27.211130514646563, -97.07025319131546, 93.23992134190753, -231.31658661039714]","[-6.184134749314301, -113.31373780916556, -440.9553558350338, 93.58394489052834, 85.49986838978056]","[30.310145379838705, -26.540949167366417, -210.623022892497, 81.24600686117508, 62.89687186238842]","[-78.63913234581301, -76.82038654714145, -230.70541795769302, 58.36794480171568, 36.013153987713906]","[72.84907907526568, -10.38424367237359, -12.072951610238967, 82.69059612697015, 89.61252650635888]","[30.52042334209874, 18.331576164107524, -174.443155624882, 72.3856292370822, 81.36324211090992]"
XLM,"[48.17941146413185, 50.790198063999256, -162.2199330598248, 64.43273146079876, 38.91537397363031]","[60.55305377964374, -7.704728709241613, -278.4837262860492, 63.82246018107342, -9.974979152104451]","[77.38176964206288, 8.789351475118462, -172.4573399392113, 42.123914939030094, 32.18773426345233]","[55.42299443122871, 81.45157983161529, -21.583232089564543, 55.85094575612693, 70.99836532882865]","[-39.51059461949368, 65.23728952748378, -8.208168370673388, -332.079155757279, 65.416689740557]","[71.25093928909605, -18.972337497097687, -36.45251967629876, 62.43861922421839, 58.354684289625446]","[55.05768511086557, 32.02270318404334, -134.77176990786285, 69.87552513680608, 31.70129103502718]","[68.93327524288631, 43.4806479305975, -334.6179941067002, 54.315010895155915, 27.714452126946636]","[74.04140472971038, -3.332780646516529, -84.07668465051889, 42.67578312906025, 29.58988912191065]","[44.78534687707224, 23.344130795096092, -163.35767538305825, 33.400663594466124, 53.307077981624005]","[-9.305142224828627, 80.08020110672295, 36.801463723021826, 74.9997540550027, 71.06750758105977]","[66.570863384107, 64.06970084651026, -69.56143615006249, 50.926729584554565, 58.377350021233575]"
