,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[30.369211132753094, -137.44892643158573, 68.8383592379808, -32.06690518019652, 37.92987026774878]","[34.73277156727711, -129.46408899571128, 17.69723338566224, 49.70018967567859, 51.51417405799954]","[20.54734949476355, -153.380500604887, 74.26631671140922, -10.60277510045437, 42.15760903795567]","[-69.48193112837053, 9.618758252642658, 57.057394907065586, 46.44056061101272, 70.46827614907329]","[-56.31159245011435, -16.181267504355034, 67.82732744133807, -192.7726980746602, -188.99227593054496]","[27.487129380221713, -238.83996456840455, 33.6615964786574, -42.41887868833438, 19.204266841006408]","[5.812453613638107, -204.4826405062169, 72.35364493606014, -14.869578259087476, 65.04127986652502]","[-9.330080193004456, -135.94976765353158, 57.3059467014876, -17.267831304939854, 73.2825255640613]","[-27.785767499159885, 11.777515163242958, 69.2611477996893, -101.35398376208028, 48.94171518386949]","[-120.61006531095286, -237.5337134215922, -81.26517713180719, -253.10582851684993, -243.55037759014354]","[-1392.0936236502996, -986.9358799402361, 17.258589087610112, -103.18385359465985, -376.1757216307154]","[66.75491681760678, -20.279135598738073, 76.13650835245103, 11.709197529388806, 79.22378928791385]"
ETH,"[-17.651320323161904, -81.98797439977206, -35.03698627119275, -42.10157411154095, -28.72653516747443]","[7.7883018790643925, -96.19904849546926, -24.47648091385848, -180.25495415731686, -382.0380038494641]","[4.721480615198856, -120.44536616722216, 3.3221465972726647, -39.42251499897505, -15.867851703032043]","[-100.37374469775516, -88.41935045557568, 63.43228498090099, 38.104859886476284, -31.954276301675588]","[14.885496218617176, -1364.733569682561, -587.2530521450872, -156.6200099752095, -1629.9476807175572]","[-119.29602604753813, -140.25068278309703, -60.83793504961411, -38.868947416041024, -257.9676263029445]","[17.42035448440309, -39.02582179365858, 39.458504022004824, -45.11421604145754, -387.3935987617613]","[-25.995351518518987, -169.76788321016207, -64.76399040866002, -36.77291140983587, -175.86629463265896]","[-141.14408878778758, -81.76637273243045, -52.214210254681184, -77.66884955462646, -94.9850641647656]","[-147.53595773827507, -577.9056822099494, -215.00591736281217, 4.24792252110646, -380.73714106931476]","[-75.21595904748818, -201.9206834954515, -327.20731996172304, -3.8335346104878374, -473.48290814024494]","[-0.4479869602648766, -21.275395652193204, 38.00278936085951, 8.223211833227774, -92.63516041321881]"
BNB,"[-60.447062566032905, -7.227621128588938, 77.37007777954464, -4.634729095922105, 83.02347555864202]","[-76.60943480933116, -137.1631523121327, 38.543091260644466, 29.386435286225325, 59.26450562633949]","[-98.03386068261997, -53.424387574339896, 62.00909232192373, 52.81081658085357, 80.49326913850916]","[-240.92103044974579, -62.02081179287987, 79.24381089346286, 73.73754982989631, 82.67057462874209]","[-2086.116189964314, -4814.076582322277, 9.840123899494237, -102.50752048214137, -682.4663758153972]","[-23.081769325860197, -634.58311058798, 56.03613510659583, 54.61166786771099, 84.01180151595833]","[-135.0812480074793, -58.56143540088403, 49.84230578273768, 22.278188878341826, 19.0864844507507]","[-810.6198675943828, -33.42736734748382, 60.331578385277986, 60.6377132191036, 26.672828802665556]","[-268.77110996793164, -154.9433374764115, 57.678293568393315, 62.96143016528815, 70.168374973726]","[-300.4803981437525, -467.2919769737943, -19.90232082048634, 48.58029452633452, 42.776185595728]","[14.928176440890834, -204.4381387862961, 45.283042060011894, 78.42142701700695, 55.566180780127496]","[-37.04761855262727, 4.044860801855589, 68.73800888688804, 74.11907005922623, 81.23669775842792]"
XRP,"[53.14462931832323, -151.80658644352948, -87.22963616975434, -4.806094284507718, -149.88154594735573]","[33.19346873204313, -337.9883810736856, -66.04041320994257, -44.74076956928796, -43.34638354704089]","[-12.922574020281896, -53.344362119379284, -34.01272718448854, -5.8705181954795105, 57.519265830759146]","[79.50791831124474, 13.538482927243653, 52.52340093796462, 11.687299579296058, 41.250269039623625]","[-1534.5882014969654, -2250.797486899644, 49.08857773123481, -1542.9229029546361, -383.5372656333335]","[5.955104090313422, -25.161691847368555, -51.64122075414125, -69.83477120328145, -49.160378900173384]","[-46.64789126911803, -25.59660555321678, 12.006262393389237, -82.38389308986584, 10.188394649618576]","[8.566836618888734, -1.560942090475439, -34.03154706317401, -139.6331114309853, -17.011941095617107]","[52.433336255304596, -107.54543505370529, -50.94236194348635, -285.2537189059388, -155.60982735030746]","[-46.62918785340672, -172.07385345100218, -10.17456867920242, -166.52284734672324, -118.29029570685756]","[-299.40762478067995, -164.7066817288056, -170.11536507092268, -293.64394769447705, -268.0893491517208]","[61.081474375919434, 29.94610021321113, 4.831920792625816, 4.531702176714286, 46.2569882381262]"
ADA,"[60.237272946082754, 25.2178579874196, 43.851491814809826, -250.66295039498874, 73.38910877579117]","[-74.37810395107846, -109.34568560157064, 58.203160418047126, -353.12038032631824, 41.52046620085106]","[52.53065914363655, -2.0885371857961026, -138.32992378738703, -251.80855106421816, 54.8575622524897]","[65.09934954821573, 64.77611839018064, 49.147341234269526, -35.84962279984103, 19.559052000959305]","[-807.5349652071609, -626.6560796521594, 74.39887753475102, -1590.2098567301757, 63.275117985562915]","[26.903584585275432, -122.23532333843292, 53.060055053694036, -363.2669186484136, 45.00229033252708]","[40.67177554903624, -21.386043880377862, 54.93075217635235, -232.25239782071122, 1.9729271765039764]","[44.432898657014654, 14.218409944584796, 17.78483243475946, -257.9368334279359, 34.62608421938514]","[62.65355355325898, 4.515185985014345, 56.2826307549865, -225.20054084964295, -57.37186206686159]","[-34.276345857835736, -229.24752157532868, 63.802192258910665, -453.6317195124863, 54.394870483279824]","[-256.0958241499726, -241.08597647471805, 27.83566696951364, -181.59139514338707, -0.14767372040554114]","[55.301440170548865, 3.031503235262911, 47.8027106303184, -119.05181292602438, 49.38475962559007]"
DOGE,"[56.71379773573242, -255.26706984768074, 2.1964388619344817, 32.107462798051, 74.0490168603364]","[23.375268504191414, -24.288538310898073, -53.592448662129485, -2.1548589809130867, 67.73388803904156]","[27.64112508000175, 0.01223599817346348, 21.677336123640025, 13.990597105197114, 20.31919134125177]","[66.15551779021594, -37.61370633858011, -88.84214068906539, 43.418681611649006, 81.01491232520873]","[-353.8750736661769, -694.0592494033826, -88.15778952751512, -3.0297791113609507, -10.284643495847503]","[23.80935496119868, 0.7193089012477328, -78.78799780025615, 10.834739735435354, 33.70229176396623]","[61.270706799365826, -127.97141209498457, 10.695702910058037, 6.3129389424653795, 81.96743445842766]","[-14.037669824470415, 7.073085915454419, -128.98681593558112, -15.717763740991018, 87.88967705448985]","[-44.70419097215985, -109.18150689270433, -2.575651273446946, -12.030839155015272, 85.85328386876205]","[49.79223091520132, -23.061725678031863, -69.16909373899452, 79.79108077906044, 40.95484488198806]","[-15.613580509872737, -10.571916978078507, -160.95930971114228, -2.3571657683394207, 56.19100470836279]","[66.10602442812622, -13.830135543187486, 2.3967522983858807, 26.48353700622033, 86.18807676900619]"
MATIC,"[-40.07017677168066, -46.48566491621287, 54.7266664205596, 26.295483582448448, 34.20427682937371]","[-99.2667839531999, -463.21548664051943, 16.629533530354475, -62.362146787006324, 77.08954158264122]","[-64.80189594933566, -23.383311750188096, 54.99726067636374, 21.205888970855835, 90.0301944582186]","[-355.2093428309092, -406.37488314291613, 49.764402933088206, 58.69978860957491, 92.27226721599763]","[-1066.064861951648, -648.0731334063548, -201.64548723579952, -156.51225247691863, -83.37309795496583]","[-77.07707125767928, -25.043126822732585, 52.565660103930966, -21.302315410788836, 87.77112754269982]","[-173.25236788411758, -122.68300410108286, 4.489111629013557, 22.98822762606981, 89.38577043857346]","[-180.03144563141183, -204.36514033789354, 39.657444207301005, 4.984217269479311, 66.33416949622166]","[-2.126965309789782, -63.958080258197924, -72.14685306768611, 63.096827968295365, 53.86331981022605]","[-359.8205056005011, -534.5875508346448, 34.648166651230255, 21.515145844619795, 56.4312722029418]","[-2075.5626782476065, -1050.1617380426894, -353.5442557753549, 17.665554774240213, -441.0062567562812]","[-97.64392304620735, -88.7803994051406, 61.18294001934558, 39.5612969415595, 83.4963903029162]"
LINK,"[-14.881371085906064, -362.724629380204, 55.639704951446475, -177.6837028607362, 87.13356080566057]","[-29.773315314566755, -237.85651076854174, 65.00416847276544, -183.8815552371616, 41.0400672370666]","[-9.908931638150447, -63.62704153729353, 49.20459983547377, -35.1862102240255, 87.24219445552534]","[35.84351576929978, -73.79192052758226, 79.88314105582296, 38.43558909509513, 83.12624217210053]","[-687.1656900429622, -1809.8517035127343, 70.85358036778025, -535.9454920981759, 10.883982527284234]","[11.162343420146353, -40.34298945683831, 38.73211669553087, -105.98298398945454, 88.70511484338182]","[-35.66986597398505, -57.12375534803489, 48.720594259474176, -18.25678358949496, 90.39487283737941]","[-11.953198178534612, -8.254089883675327, 16.414127484229486, -29.73679093651557, 87.02119528529795]","[22.499148220321473, -173.21944861888844, 26.846917386675933, -10.32346073433635, 71.74456646758838]","[-74.56875395420566, -25.06266820789787, 13.132061968091815, -69.23048028795277, 42.45457875396282]","[-69.51512186003303, -910.7070188794708, 60.74071302777302, 5.347263054748925, 65.65548975358195]","[34.08743519341033, -27.830983517380393, 73.0544371264842, 21.208892522617052, 78.16051486868236]"
ETC,"[-10.111870941216006, -50.93033303961243, 22.13333140512094, -45.557563089489726, -151.5052917095136]","[-307.647243251108, -81.26579960162678, -71.72518545065216, -3.6696599512992623, 14.22731576879506]","[-39.43721036197322, -18.323164608503937, -1.0772047409537184, 35.79240341479697, -13.337594020283476]","[-233.53481754109856, 11.259556505357276, -4.294996089351568, 71.68545244876834, -6.469681822475727]","[-108.55589249730725, -100.06107105585058, -11.907115086359754, 8.26986482493502, -134.62818600237415]","[-107.73844222908882, -6.1167365143605625, -20.514648488485705, 45.33083431188442, -130.34345815616223]","[-132.32856573301055, -14.043525655657305, -31.813169171805423, 31.050657121641972, -103.7603920396799]","[-26.874446425170976, -26.421971034015847, -15.013179455745657, 30.15937397124561, -47.6810595633758]","[-197.06331159729277, -152.54334408913843, -162.98915928476228, 32.11347174441297, -22.92585862466065]","[-165.35362984821057, -296.20470167051553, -89.28635678225601, 2.8241068220670527, -38.60978905198848]","[-35.82896997166021, -42.38542019257714, -27.95243471277572, 54.05743838150384, -146.24160732091977]","[28.290977762751023, -15.87998477370191, 14.159935264782064, 57.54510367343748, -32.721795546869096]"
XLM,"[69.31035460390956, -14.04516219607454, 9.697844576745092, -98.77703897441363, 78.27487129310462]","[-7.366210838386111, -263.7026546609445, -67.46569981769835, -111.44579861258546, 17.346725718531694]","[80.07938677974707, 26.269391050958525, 38.49537149580653, -15.970724999546501, 79.91817558966974]","[88.8947955297242, 56.000622773549814, 59.37272245225793, 48.24503435718476, 83.54830328556912]","[-98.62415936702935, -158.7541837862019, -135.96847741812473, -76.6128332865731, 57.54225803683217]","[17.902510645200238, 32.67571000739415, -56.674542029579854, 27.7110907155294, 51.61227948624544]","[81.28713306472275, -6.450536784768395, -194.6136829675454, -146.4315608233774, 46.42262069372071]","[46.945298512633286, 34.42863513751333, -36.422935413457594, 12.475634633538412, 86.31468235848692]","[59.40024935024719, 42.50087749380006, -7.950885215913242, -44.21484184009027, 66.16681881710115]","[40.952633049051954, -48.770881600350066, -65.82822153845457, 6.030533761207503, 47.664894541082035]","[28.981939505331546, -91.09038169423587, -34.03549266887658, -80.00060830150171, 73.40896727811702]","[75.622340314794, 55.5634373746525, -18.08411298203648, 25.953609784054006, 72.57164991904948]"
