,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-102.17263112282478, 45.752240310464266, -2.9964353960580135, 48.930825683942615, 87.02461497413728]","[-63.71484661116866, 6.790226265636933, 1.7707756884915085, 57.86544419880815, 76.60664438307117]","[-105.77538359923533, 27.478867275907167, -20.85032742452489, -30.4104819227108, 81.35285726074287]","[49.333604335801574, 50.406016798095344, -63.456412383619934, -2.385299808270708, 72.26356312808959]","[-484.45746784162156, -93.42294526215231, -554.1962167732149, 32.92969333886404, 81.6713796228103]","[-148.2452651194683, -34.3561068651316, -115.82336054682891, 45.40249256856621, 71.93076559673531]","[-116.08029127901828, 64.47245141353054, -8.110078398100647, 33.61581445321746, 85.53929091125778]","[-84.85628498332152, 19.8882927115179, 3.1267642503299005, 35.09430983178755, 76.86537243522122]","[-114.08264181047645, 35.67986425532389, 3.046857401982037, 26.776874039169442, 85.3088234986404]","[-243.8859831435477, 7.121302469765194, -1.3798511744516426, 33.40642540853523, 8.764809351226342]","[-155.72416569083262, -53.18749850241594, -94.81527924918277, 6.697736517796436, -34.58929973324951]","[-31.319722600794076, -10.578743077340496, -3.467200000806331, 36.74076236109152, 71.39164890138923]"
ETH,"[-49.919860681632336, 41.36542325652093, 62.10542166879207, 48.75516060977584, -60.68432020148815]","[-76.54145687322162, 37.06642728628981, 57.57643221223443, -69.52612378516054, -205.4636613158638]","[-92.77885194768427, 31.816344339731323, 62.435810213777486, 40.49729259444267, 12.089890170466493]","[7.702657717394001, -1.5310494105447248, 18.683178468928656, 1.8978704136359363, -0.6780498091888163]","[-537.9456870935169, -96.09177975914015, 10.971765113903734, -94.03853630125414, -20.49862693736673]","[-84.92429263671256, 60.24963787096136, 69.28050506337006, 56.89475588707903, 28.092483405370917]","[-73.3765172774737, 55.82000748139245, 65.24795974301031, 49.850586100631986, -140.0880722937827]","[-90.5577131296073, 56.89816746435442, 71.63142214701988, 49.946082932088814, -4.381058276332785]","[-66.7713275165581, 56.7682804085195, 66.68495968818019, 43.234423845692746, -168.1846902197715]","[-85.38648732244462, 38.48292837558429, 72.4819887720169, -0.12416788423888826, -36.29348658671531]","[-155.09623091785565, -40.80059442944368, 60.12039840461478, 24.26006652222563, -58.09252291656208]","[2.791246710161275, 38.4265617726186, 60.730206981680176, 26.472908605522804, 40.40284983238671]"
BNB,"[-435.28465962667326, 71.77010686360187, -27.691342503060074, -10.703456045990595, 77.03785479134476]","[-199.48625872891495, 22.891167200905365, -13.594995193969538, 30.85518408202555, 68.86619381310854]","[-454.86738127122084, 69.45487266265474, -10.70657553536168, 42.90889210383282, 80.27970610527157]","[-215.72535650011724, 35.96259455157021, -59.79759963882966, -61.69456783997348, 82.2378111458623]","[-737.3915720065668, 39.336268231488575, -764.2702748738308, -33.62421665180912, 18.334129610908057]","[-565.550211954955, 66.70746856809056, -88.51398532130578, 26.917462529049345, 87.00011793157027]","[-636.5000530001323, 52.77702233111585, -67.23030353958339, 25.361810582584226, 84.87738109239487]","[-634.5764213099732, 55.339554117096725, -25.84187728981957, 42.877916037080084, 89.11055128024121]","[-566.7858967869021, 72.581378287216, -183.8005272038489, -99.95726433363899, 38.0541025402523]","[-637.294178619442, -56.88766014643741, -55.8014178957119, -113.26876232769618, 36.36984984481107]","[-753.0700488768875, -115.44514781000224, 5.937663887989373, 18.585270535743078, 75.99305279370832]","[-222.51928032247181, 72.57469341495877, -2.6064443419345027, -21.913709569008343, 76.55584666759523]"
XRP,"[28.787451000622127, 78.18032749233677, 82.35906561687271, 46.825509361502824, -59.26373732291332]","[33.147094306215784, 76.73383141806009, 74.72152443636874, -17.297330998544034, 21.640178578830515]","[9.668195786849267, 76.06834939201774, 85.58583779267778, 48.36114929621296, -72.11267746995074]","[52.07546443977964, 18.100478661138037, 88.39629691890755, 12.327075283941163, -11.48048701192835]","[75.60874464284286, 40.27121672291846, 74.61896744936551, 9.039097001096778, -199.119446368606]","[71.76316014203029, 82.67891857385135, 75.74784202123477, 44.35893072239074, -99.54619341634735]","[42.78478321078332, 75.22301152726372, 77.43826178805789, 43.91404775459125, -131.24575929057346]","[-42.2793711543368, -52.861123936718016, 41.46799837715239, 5.570196840520485, -231.72595300451627]","[82.07015938260128, 33.216266801774175, 57.505869603013615, -13.335768743821339, -217.65920173204668]","[60.821462316325224, -1.8093530059456988, 73.47536793379057, 16.385377845800384, -178.10756696458924]","[26.092742201456705, 69.4718438735784, 64.81939359956984, -18.72621182569328, 6.802533991985213]","[43.73006391352239, 42.12999361076065, 84.40206390345607, 38.169679299483846, -5.611738105616053]"
ADA,"[-15.773873890265547, 48.9382155851628, 70.08309168547001, -189.30419471266774, 23.394606248423923]","[-15.71140391329173, -151.2713457684128, 56.60478582117179, -107.19456747137275, 50.361945472564926]","[-19.35442007466263, 33.60524284819045, 67.93530626515141, -138.75698584648464, -14.925223196921102]","[47.86077758535522, -99.79062012922279, 67.12111812953042, -340.68138750296066, 56.5056193098798]","[-104.2233674970442, -1794.6663472368211, 58.77631993172269, -8098.3891952295635, -37.91606640774112]","[-62.21761144771006, 35.54712583114923, 63.425111995785976, -448.4870713904269, 20.96673231456136]","[-42.322353047666574, 34.09588986989587, 66.15800075255065, -138.0617795142156, 2.5526764856739277]","[-82.42758242622588, 45.10463276437448, 73.64170367523359, -250.08938436270745, -36.01911129067381]","[-54.42658715081924, 42.07875583460056, 65.31212854611316, -439.0693408481946, 34.13350666820919]","[-12.505838302899733, -114.35131225601008, 26.387849737452555, -174.34589618479785, 4.854934613846935]","[30.748599617031818, -16.839474821174118, -69.58353670154516, -17.59728617464022, -10.493036626154423]","[28.63539855738693, -12.316075360858397, 68.14045908554468, -158.46519528184126, 48.07423297468386]"
DOGE,"[-278.8429246940931, 63.665406434586544, 59.64641886879972, 17.97314603552994, 60.888663855615164]","[-368.21338264395695, 69.2056643507933, 75.14799853047003, 42.0774725927983, 46.64680215908217]","[-94.37449358159398, 65.82144580313432, 53.35985746659785, 37.82611768214063, 57.66709049867369]","[-3.0047843877828644, 40.15640544752243, 74.99862210005728, 7.029636703038145, 51.63347154571502]","[-81.47799118585225, 66.20210313503283, -14.314857661616335, 15.416977700928378, 42.32339346501984]","[-173.65579665053804, 30.051086835609535, 63.37337997801546, 16.947300475784303, 46.34216849221827]","[-264.0036416526825, 59.14346462190121, 68.50186152688616, 20.559367351303685, 42.55606948621647]","[-238.971006332108, 47.64188316187402, 67.74339689635862, 6.182590910059896, 45.82599752713676]","[-256.6429186512773, 64.36005877512136, 53.63503357035015, 20.79756036534547, 48.14307778012941]","[-299.8228865072049, -60.08913358473505, 33.637859512834815, -98.40137374433849, 1.21639485973869]","[-193.9051469817618, 77.49296503166022, 74.50439555470508, -25.398175629745843, -2.0085024325835996]","[-152.75616100323205, 69.86264401655656, 69.83580995946555, 56.464499661102565, 58.51294009450039]"
MATIC,"[-570.1791887945865, 67.35849195220183, 74.4139906629854, -177.81807721196435, 75.10688995504613]","[-691.3324349601802, 58.46444788808586, 70.38234521613327, -136.55920979409646, 60.36005858246114]","[-663.8284839945478, 60.875432279176145, 67.4695119244263, -196.33708840970993, 66.74244687331303]","[-256.8990905247388, 54.4075902367036, 62.06018745193943, -135.69791854080606, 31.6723209346737]","[-1485.3562211221838, -0.4727916141044172, 31.42553342671856, -359.87284310266847, -175.7439498544361]","[-576.6360726643229, -9.628407026717166, 60.95509991825434, -58.40523922899815, 55.489797397999475]","[-636.2542686454765, 63.89647037182344, 61.33101157971218, -435.1611718224531, 70.843871986504]","[-528.285832675987, 70.44057076345412, 61.64982935845189, -238.9238659695083, -10.718793826459958]","[-494.74076033767034, 66.41175028613432, 68.21715453865247, -179.52972506618565, 79.51653334841205]","[-218.60538103931577, 74.35109459525054, 42.22873466161959, -344.07977628440966, -3.5871797060584596]","[-812.4812337235129, 36.56535640630783, 71.80247959206768, -465.7014024730333, 59.15505905491438]","[-311.2153887027051, 75.21962597292877, 66.81947159593912, -5.672404583059198, 76.19666571916662]"
LINK,"[-18.142430739670893, 81.40433888476136, 60.35564153504287, 31.68394792241147, 78.16867112853933]","[-32.88437768838053, 54.562042323714934, 58.388367995839594, 5.548338102812052, 48.577223624925644]","[-5.9518609250516965, 77.11441814853082, 55.893145302483795, 29.86550365322691, 45.164644990270745]","[-2.999699445018708, 60.66822625983983, 71.40885407401389, 59.82061857904163, 81.25476916356712]","[-191.0753591352458, -44.56906900546943, -46.89295036039756, -88.30257099298102, -150.7674571359225]","[5.215782182119404, 81.23933835872528, 59.87360355960782, 36.18498566019802, 71.71698385780829]","[-69.67686349907298, 61.865728719229054, 62.495492787766906, 20.513801280448963, 76.44533706169615]","[-56.44443040451791, 34.01544579047182, 52.46154194994336, -8.192868099911404, 44.4735310006571]","[9.828615201933271, 67.11017858081011, 54.511515599272684, 43.94372597879373, 82.38313737430147]","[33.384172538529214, 66.22952729815027, 70.27013464041389, 35.946424831871, -63.79305490806977]","[-32.51028197004135, 29.07902980165784, 45.0001040804497, 19.611129680454134, 71.98491842541875]","[33.49303690391653, 61.82846354555892, 52.54009638186224, 60.56444332678169, 83.34126573603814]"
ETC,"[-0.8018457384749733, 82.70863876285821, 85.43747228587735, 42.8814958739626, 57.62559599714708]","[-35.476091186463776, 75.76343293349451, 65.04013480563898, 21.692388581404778, -72.60265238665349]","[-7.773172188472811, 82.24449418574451, 80.6914081432491, 33.798606751986426, 37.28937043723366]","[48.9736124058611, 50.79843198336407, 79.2032068857536, 27.584381350811054, 85.25580679154564]","[-107.78029559750473, 84.61890916051924, -153.27754492185454, -36.542400626897795, 63.46845283266863]","[-11.55106465785988, 83.48741837057347, 81.13593499104293, 27.51081521208412, 52.34552987424548]","[-10.825550462251858, 86.65385368904572, 79.28089386569232, 50.300150002691154, 64.87547161687534]","[-5.69514805745888, 85.92363784599827, 78.81559636193464, 46.36722547674001, 60.00641626148787]","[5.156044376198593, 84.268275535159, 63.38185302791437, 5.7886956349213765, 26.25021071771787]","[-27.44886418943716, 50.35197043701647, 61.53246374342961, 1.1127466113847047, 2.848869741291619]","[-2.8285507151804996, 20.825743447195418, -105.21667398364669, -185.74341223147997, 75.21643143989306]","[40.00872593183553, 71.59750835846813, 82.47580364028134, 50.4461060477025, 78.31776374654773]"
XLM,"[-681.0719100276083, -141.0030641934818, 3.3785042769250047, 47.04928583064347, 8.328469835160583]","[-586.9183349919477, -163.57340368977404, -13.396154462765747, -35.49595915938015, -3.98302697812566]","[-675.439964394921, -112.74298177178952, 39.8705877626804, 52.66446553402301, 8.339836099898497]","[-215.9918368288127, -695.3651631105457, 17.279479165356474, -7.442086303237059, 54.2216823049418]","[-1459.2937194135714, -987.7742700025708, -311.73295247668347, -209.19268635814703, 26.82034534431375]","[-840.9308050761675, -130.17697108223106, 38.09655804302252, 20.90444571600759, -16.096752303658775]","[-767.4039022233957, -111.61098040965538, 35.57162254943883, 34.93956337887694, -14.946227793675734]","[-429.819300543741, -270.49894202457494, -7.113905458474681, 10.699400499194702, -16.99874534482764]","[-950.0013799264549, -56.940465269155474, 28.740824784316615, -19.043837786273052, 2.5950438062760455]","[-645.5818403038963, -187.57216496912324, 27.33952444474072, 35.82958692584958, -5.776783641213572]","[-693.9965510297358, -679.5343233108547, 47.529176454066906, -8.155969516979736, -19.290695943396624]","[-437.10318231286857, -261.6162866591635, 28.795677951115877, 29.79596708112754, 37.72088255742951]"
