,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-9.714384342342889, -513.0853800241115, -73.65527056971041, -42.78752954540635, -25.84457603569768]","[-47.504704295440874, -93.21019015211289, -91.39104556504088, -60.63635877458313, -60.62400064141607]","[-14.80985576252066, -41.27009335944249, -66.24019405741112, -38.20174151428103, -52.48965385036184]","[-366.24021683118866, -357.793498102966, -418.0190978516352, -236.01702996556813, -233.82791492420253]","[-1079.3205559341573, -362.6681060081903, -80.09451131305045, -823.1086554427259, -206.69207096859262]","[-209560.00340361716, -207907.09099187792, -259349.242182922, -243390.28318949428, -444241.52387553366]","[-209804.69105446813, -208171.01379614839, -259644.44993262168, -243689.7512053323, -444805.31438802846]","[-209751.8606613096, -208100.66517201345, -259583.81172338314, -243616.17701067968, -444658.0448537182]","[-6026.3908905848175, -2156.4184471518347, -2428.5439037751667, -925.1080578852727, -1088.8676603266451]","[-209898.91665752413, -208246.23333817194, -259754.0578279355, -243781.03361000394, -444964.22766118124]","[-564.8901214232757, -992.347597851032, -667.8838854496373, -780.4289408559833, -1448.9291492390864]","[0.20736004219006582, 1.0410478395240426, -0.557468689018842, -0.18176297531788474, -0.9061429174101198]"
ETH,"[-79.92038749778962, -271.9616037467194, -56.339781051434926, -11.681822442724684, -41.763147895671445]","[-127.61545475901512, -319.36317793516855, -65.60536476291625, -98.86826683530973, -122.51533264906378]","[-50.256820440631714, -373.0408599352384, -18.995063512803753, -8.336684198552591, -64.03236805567418]","[-119.68910531225183, -159.6840457999165, -140.65853264045984, -117.99815339365287, -120.10744116657482]","[-692.6331746202328, -1394.9356407894784, -30.885880234042656, -47.889520833593835, -402.6225621789515]","[-133958.40960723648, -107004.13031037, -180769.8366389378, -133645.1704164915, -283241.5144702579]","[-135278.54076478217, -108067.43771944632, -182625.58541860385, -135019.7796928509, -286117.7807284069]","[-133578.36012462023, -106755.06315118364, -180342.49495505937, -133317.51134086843, -282436.97489669494]","[-298.65391491742736, -168.3782917671979, -403.7405214235248, -9.251433995477301, -1032.1251498550976]","[-135257.41015363022, -108142.66619455657, -182508.05573330494, -134978.9042276993, -287508.2494703612]","[-3202.274960487162, -37.93400794179607, -1304.2458583292619, -517.8111353785126, -3540.1095833347904]","[1.1083581063820145, -0.9587307919639113, -0.6269743163326893, 0.7804413889650708, 0.35050413540161257]"
BNB,"[-38.882195911193506, -211.7966554070561, -9.405190596865578, -16.487232469463475, -2.473350169691933]","[-43.20351762959492, -31.370807201539918, -7.298796571799842, -5.980146432018961, 1.0038003758936052]","[-37.45856517632723, -120.97259215258549, -37.18428047057139, -10.051820155919408, 0.011695091328747444]","[-475.6635946301538, -336.2917802719774, -212.14920804854654, -275.199867770371, -438.4762098025609]","[-1267.091369345322, -4674.437084935773, -4404.5544796683735, -8874.65844075929, -8383.931764568755]","[-223235.50997105503, -241784.3108588344, -221483.79977349847, -194712.05752161038, -308618.07015835814]","[-157913.91783598738, -170900.26077119258, -156817.2981745737, -137999.5003750083, -219728.02130140067]","[-183817.98689190092, -197792.6532608655, -181598.5850996617, -159951.99367376164, -254178.97649201762]","[-19.110966571790282, -5253.439967619395, -2829.9124005146373, -2367.537623851955, -5716.851477208111]","[-184926.80976880202, -199250.800160213, -182796.8317293879, -160852.82334091925, -255465.5199162043]","[-4158.566283369198, -4926.889591404603, -2672.010101100391, -473.4496832708986, -1256.8105723192637]","[0.29243492315489994, -1.6080398419167876, -0.5515665653409705, -0.3392792106270152, -0.005615321902171554]"
XRP,"[-432.47353989302326, -41.29012285543113, -68.15066544567102, -53.26638255443588, -40.84542555619028]","[-372.39148286438655, -1627.4322723104472, -959.9401499582794, -845.3458131475569, -1646.540544325065]","[-499.2552990199303, -1628.5955286549677, -959.7607402818205, -846.8339807089933, -1648.2909067828411]","[-126.55323211331584, -241.7041538168954, -175.86379450550788, -96.86405988674457, -93.12669319195854]","[-80698.24890563727, -100543.4939986727, -96153.20932130778, -17206.719876675437, -84679.00341131509]","[-543.5802363433105, -1712.193944719461, -726.5898840251881, -1078.060902807539, -2121.2949205438144]","[-432.98074587959957, -1986.0489342735182, -790.4660916981095, -860.9106399459762, -1421.6532389568881]","[-1842.5679558368995, -2989.8720420571317, -1526.9344463467742, -975.2441375163661, -752.4384496900034]","[-439.78998624647556, -2567.89996924944, -1049.723302274365, -2519.586084705327, -987.8183236281538]","[-2648.134261704109, -2652.3122846028723, -2879.0133229340645, -1270.89092490199, -2557.08162651013]","[-1914.3585450069434, -899.4180507128293, -1600.8444516640845, -123.88170155107932, -2131.8983461524667]","[1.4468642972816494, 0.3563699906137933, -0.17067980069913924, 1.3602723458433161, 0.1620687557435766]"
ADA,"[-45.85969403509927, -594.822884465628, -119.22455462868386, -67.56742522328231, -125.66013127138618]","[-341.0241998846428, -1654.9940766005636, -1587.5845554440148, -425.82810707367395, -614.5956515877793]","[-328.58170864797154, -1694.4328822674447, -1482.1784441245488, -492.0114664211304, -633.6735574355484]","[-228.5820144959469, -153.16555311476975, -243.09527506202056, -176.64456367856258, -163.76508917253716]","[-2919.976209068991, -18430.444895819433, -15153.60820894881, -13047.951702703991, -20764.30296049668]","[-397.0971953545458, -1281.9687067439882, -1297.7723731947617, -1006.0264368378233, -1176.4259975369844]","[-365.707076550194, -2220.0733057754055, -1952.714549645556, -540.7698474892834, -747.1249155004498]","[-645.3530549787376, -1533.6821527352406, -2327.177883240721, -215.07067318984264, -359.83043834558595]","[-427.19751734691414, -2405.402547515029, -707.0910467440145, -336.7412635125061, -456.3564318221583]","[-1109.1116524815832, -2065.7855508927855, -2279.3147336084685, -1205.6784189623065, -1702.878777566621]","[-873.2780472560854, -4233.085627363188, -7832.018400058541, -4000.3167799895523, -2307.4325297617534]","[-0.4090135254499746, -0.7460760141529283, -0.48647645313296944, 0.5638986574523148, 0.2749106308908457]"
DOGE,"[-107.55449560300781, -46.87841835508328, -9.94048776782506, -118.92138627397159, -52.00978110186728]","[-157.65679193251194, -1275.0517899859597, -498.6173599062094, -499.5738735125267, -526.8894814178714]","[-151.32421993390847, -1260.9619979496188, -504.83632108043525, -496.89232111757417, -522.7852033796377]","[-424.0797689695788, -221.74851488194327, -129.1253158127529, -405.29774737445916, -465.3265718805369]","[-9244.091216325838, -6886.469928447174, -18409.044384943827, -4969.694915574933, -71104.9009152108]","[-493.1251458593484, -2068.891089016088, -484.4189433610429, -301.8085317390689, -1711.9987223836106]","[-1030.4824199290058, -1132.7602350310244, -911.2894856572366, -401.19033058217104, -554.0524020915666]","[-593.8135673653297, -112.4175523560645, -204.1542818365719, -626.6956001357721, -2270.5951555690353]","[-31945.296500203138, -3708.506848685539, -1768.6051543235262, -7962.999566135285, -394.94848672892704]","[-9889.320018367678, -19514.77423132524, -10203.621260708047, -6845.627979331996, -22523.674008945178]","[-2990.051117562677, -15711.253185043563, -2548.946682725613, -1402.4107038691118, -8109.921413952452]","[-0.6195560552040994, -0.2809053567980551, -0.6166943209466671, -1.3933774779318933, -0.22364492812731582]"
MATIC,"[-30.4645213891155, -68.62307526417814, -33.33240645000098, -629.6923896627534, -21.633678367958556]","[-327.8837738300776, -917.6577048775167, -508.84136015401083, -1095.2360730483244, -1662.4881718571676]","[-572.2477945183696, -1022.3822895812223, -662.9374809566311, -1077.4089830729836, -1763.209512906948]","[-209.5724665020333, -117.78995765595046, -264.08897126396175, -290.1246733093484, -148.80614471291642]","[-4517.882874410025, -11646.468938523352, -1766.430698640583, -11370.723355369835, -18150.996360163645]","[-9950.006182743758, -232.53419011340682, -2222.8177905771518, -5727.143780733598, -6657.934107723052]","[-1172.602933876978, -1142.0254901562398, -246.48182890742464, -1191.71578182412, -1437.6865609935467]","[-231.8678669997339, -369.9125149423601, -131.61532101635842, -1152.7015227057805, -1356.3730468285487]","[-58.972063821417755, -612.9217154740276, -787.7649549818105, -768.2776038673939, -65.73994633251914]","[-1606.067782589975, -1694.3740620394346, -2068.713805906691, -1027.2272005947452, -2856.621663465963]","[-21285.4832455446, -34947.97763673454, -21433.225566946265, -17782.087632640643, -39583.11115449125]","[4.88036235693277, -1.2922848397830207, -1.5212568710251917, 0.36818355659719393, 0.0381508985599934]"
LINK,"[-49.30041433489597, -49.28223463094619, -163.74168063958234, -36.65668722412335, -45.804642809222536]","[-84.9620391594378, -192.443738031329, -144.62035965521, -204.2671922306223, -371.649734728474]","[-49.57609854507615, -715.0412363169613, -453.5522929628944, -719.4401106095378, -1042.8252428139836]","[-532.1684793666611, -390.017301080106, -318.2166745770713, -284.23487447687944, -429.805520929089]","[-1892.9114771476964, -271.1022268779361, -541.924249163786, -48.21892670137762, -5366.084281377589]","[-545.6333607571268, -1092.7067863098846, -575.8971539803862, -1268.598154518819, -2525.414586055368]","[-694.4140397451745, -353.7374710167971, -407.5011157541745, -1785.6576157482177, -3759.4891034373127]","[-672.4799555734979, -781.875065462972, -378.2276099832844, -1360.360861234303, -2729.675974713135]","[-13.804805689898595, -80.64636154003485, -0.01590651158848778, -7.391591576737031, -74.23546636355098]","[-2613.432551883734, -2771.447554290467, -3338.012129777322, -3645.581156377775, -3772.342074647141]","[-1225.3632256326264, -247.90404067581608, -1417.997568798851, -911.702792239327, -653.1457224448629]","[-0.17828106478391667, 0.47891542834363415, -0.46416320881272605, 1.1830549846426377, -0.14692120432747388]"
ETC,"[-82.86599436122084, -16.74138886167917, -11.276870286660017, -356.8880524243869, -32.993410720781405]","[-74.30030758502221, -114.84230032655273, -34.85210188682071, -488.0473562237079, -72.3162107938977]","[-104.69664230661951, -357.6949220569878, -325.1534743184179, -901.9161862911021, -506.6091422254516]","[-494.6181556394869, -296.7195281886856, -233.2125065473551, -391.7809666701039, -526.9354260609775]","[-747.388590290483, -1106.6794491241917, -210.4489788300818, -225.1442284652184, -1801.6133849765793]","[-10416.441950103232, -9217.16757573822, -10211.234414098364, -5897.523069679445, -11559.584327858956]","[-34336.488955819645, -35441.20851523467, -37003.28155765844, -28767.29136621742, -54541.839219720896]","[-93116.13136347667, -96224.40028296325, -96856.38071550765, -81110.09110996131, -151698.62042333084]","[-789.0702136729067, -1204.663874935104, -134.33283374925003, -554.1381461691151, -1158.3003803524507]","[-20946.31096554252, -33873.62300842026, -29206.359310353564, -16343.427246071195, -33247.75275260262]","[-294.2438691449663, -781.5079748463706, -239.3028948195342, -229.63151557503582, -275.4254662100586]","[-0.05460419126458474, 1.3408807449842266, 0.4259003439799859, -0.9281046552563713, -0.4126632306987856]"
XLM,"[-36.97291527953917, -68.45129450480599, -20.596723914499574, -217.74166576159257, -2.077892322285319]","[-189.9506472503651, -1036.371199119799, -315.4426430326001, -851.4814282666101, -679.5465450007919]","[-212.16457191968084, -992.3216031024743, -364.54812140441294, -829.8124687690496, -713.1069181393548]","[-130.02944053177012, -261.3071735936121, -162.50543222883246, -257.7937085999928, -311.81917714224]","[-15737.63196924823, -4884.949762826336, -5648.711803845931, -11072.749701638197, -33827.337480301874]","[-983.0853111901354, -403.4404686561683, -5234.8839822521495, -2198.071752126812, -4414.753332173213]","[-645.0941787839971, -1327.0848122676114, -740.4775210582295, -830.9752973434867, -1554.2867186473113]","[-343.79643269673596, -2199.8537044158716, -508.2013807227348, -2046.7700532514282, -1427.1412160880816]","[-1532.1616990343186, -2456.0662927976446, -903.701113711303, -1254.607203370348, -8554.340677681059]","[-2888.5216594420867, -7887.694145110239, -5705.976971949113, -2395.000666118792, -3662.190721454289]","[-2627.1146653016535, -528.4590146352836, -1055.7723104201066, -1450.8552083274856, -3907.647645223276]","[1.0549720917246819, 0.3981382436262239, 0.6425414969449869, 0.07102871966515276, -0.2892563413012698]"
