,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-62.23645802389392, -34.68704403147729, -501.0903373831451, -263.590755177654, -174.06174566874654]","[-111.53172651194679, -43.47441438362624, -573.4312999717404, -243.5094210698039, -285.0589885383751]","[-80.09202140108988, -16.682968616761773, -697.2805644004233, -360.05694438172037, -141.20314989773712]","[-304.62382467955695, -410.2762631195506, -551.7858867164867, -568.0908860364516, -1012.5620851218308]","[-27.887141931227077, -19.22650237383543, -9.624551764117054, -6.9486615633266355, -30.2626326953739]","[-2782.8539930292345, -2858.8979244880475, -2593.8342536108003, -3095.510387248517, -3602.513061126371]","[-2796.162345800824, -2875.8120844498926, -2615.809021047129, -3136.4659903540974, -3642.201473791561]","[-2797.655139152784, -2877.6567180974566, -2618.3852632009844, -3141.0096142261236, -3646.479334454834]","[-9.15369220109821, -0.4769514859068769, 2.250461711066696, 0.5210191311087523, -14.497635928221756]","[-2797.9749733237268, -2878.113866292457, -2618.859470983888, -3141.7379465046483, -3647.4222549386996]","[-10.20296343775073, -22.652300014415655, -19.13317213378601, -60.68048852876278, -126.38525487625924]","[0.7424453565193709, -1.0888290859492311, 1.3589827037493027, -0.6791093996606665, -0.08426609246429077]"
ETH,"[-374.01816634615443, -134.9760789579696, -678.6690108551358, -35.80164594221135, -161.96117002544304]","[-219.12715502563634, -54.75944000404896, -367.92908822177594, -37.713480770534666, -69.54311083166694]","[-549.0194957568377, -117.82816490404302, -543.193346036256, -139.58208633452702, -34.63972368967563]","[-137.11959642547868, -664.7369626624201, -590.3765350433674, -408.27390229696334, -894.277650319729]","[-36.44954402859828, -10.220201042646158, -13.90858028730684, -17.08355244115305, -66.9341959407282]","[-2207.214988180695, -2444.6193363684797, -2074.6640065603256, -2102.8880639534814, -3431.417178213164]","[-2213.7856466148446, -2453.9718771426174, -2087.9429550708337, -2120.2756229468937, -3462.738802299219]","[-2195.69592510318, -2429.09438021559, -2055.4637159726253, -2073.5110600281278, -3388.7093952238542]","[-24.062160147097387, -0.8728180933265263, 1.8311849913385703, -4.413795368217284, -8.644002099993344]","[-2100.4844104691765, -2310.0543678053145, -1900.7452457388715, -1837.3438463900588, -3043.4664665278206]","[-19.48020863439302, -45.98760066255324, -24.08680206850917, -19.400102957149894, -9.383297942881313]","[0.9223096110064388, 0.6386785834737747, 0.41878590166629603, -0.16222856787114423, -0.18746907554064118]"
BNB,"[-8.787565441897007, -15.611980113424814, -297.60910988712175, -23.79469608619951, -13.671981839912704]","[-116.33583479089387, -65.29554711139711, -197.35111891528985, -61.67493926019046, -61.38473386388525]","[-269.4783508093406, -86.70550340830512, -283.0599712798341, -162.16378070131108, -8.603180108687164]","[-245.25427482231223, -588.1029023179534, -783.6683467981998, -546.4027927586505, -603.5263134749658]","[-61.747575919916045, -32.98981421672929, -52.597393505995825, -26.10246064812367, -12.834371932262393]","[-2043.0046575506146, -2562.9571943257074, -2226.1757634877135, -2669.1355391937386, -3692.223374355256]","[-2038.6781044576574, -2551.890989447277, -2207.207298550027, -2650.1884041495528, -3658.1552697599764]","[-1876.8032516609785, -2332.3489754865773, -1926.7947755699556, -2274.391091804059, -3170.868469840984]","[-63.816032266857334, -77.79115526214814, -2.3374261372479523, -6.932140635230441, -1.3891078666982855]","[-1778.176948055998, -2163.008322542496, -1472.8941408150097, -1673.1506992645575, -2366.1282715278494]","[-0.2674598706860425, -6.7813327119206335, -1.8932115367044269, 1.4723541650460938, -22.449502745515193]","[2.3881383271768497, -0.16051322633180737, -0.1734227069534269, 1.1192115245619738, -0.013255799460316731]"
XRP,"[-125.70809198383996, -289.19008431387493, -1145.8015604097027, -237.7200801587067, -108.81234969538365]","[-92.27856555950643, -39.56956131050039, -1021.8616670387759, -149.9266879876737, -27.375021577378067]","[-234.55017090392175, -40.64744520842935, -1040.990707140713, -103.04820749313816, -20.876916674370264]","[-193.60245051989313, -727.1390509570919, -773.6625741455293, -780.7037661857948, -722.3937308423245]","[-124.6940617724454, -163.3206894695991, -93.01130460313327, -128.37631681285947, -23.22326380017545]","[-7.468775735569095, -14.706322079994358, -58.198876518557675, -26.758871627330173, -6.615849051763785]","[-728.8275803352117, -224.35794956068432, -2193.988859719884, -1986.1125618982219, -806.8732678441393]","[-7.900788212238355, -22.326079344250765, -121.77275133930432, -9.211855022742768, -5.738167420138136]","[-40.94337295544918, -59.08266104754306, -457.35871723930745, -74.75330756404578, -132.60441996595807]","[-1788.1939575049, -748.4522656535281, -2033.7063972840156, -2682.2237980977625, -2415.19525087491]","[-113.23506313783629, -27.61502369790391, -302.14513933735765, -217.95744463037116, -108.96255345510708]","[0.601223481388196, 0.2295474814315762, -0.40437250526167534, -0.29595362216053606, 0.3377803852138703]"
ADA,"[-214.8851991836046, -103.66414930403745, -659.47145365782, -346.8605843307897, -129.67156949268397]","[-171.4326678240846, -28.40794957728422, -594.7565589578927, -366.67604236924916, -139.38582848100626]","[-465.39610632592047, -66.23652570140858, -895.3026177550763, -706.8141793456784, -389.0947615675347]","[-368.349430504432, -1099.3125112216835, -476.5069419732871, -700.6240259741434, -700.865591693729]","[-39.454836907074046, -31.209005599572208, -2.1267137437089723, -82.6677307109459, -67.72016243347846]","[-880.5267979315907, -437.3779764066561, -405.8086433765095, -2378.0762080469867, -1300.0647846225859]","[-142.84925864153533, -17.923920755343097, -203.2822260147137, -163.74096862687944, -117.90069230994126]","[-501.0577141894962, -575.3480491581408, -2131.0677628833905, -3227.6698391387868, -1918.0104714185807]","[-43.204178976479504, -10.410248380522452, -91.29270129904386, -141.51045867981065, -39.63258372571297]","[-680.0611167813917, -437.11809652325877, -1129.167206372755, -969.5601646481375, -1130.5990433000418]","[-57.169490708390605, -9.466033086772905, -0.1354805424583463, -134.66360510868594, -225.45607158300166]","[3.0255762654700917, -0.8384542791253453, -0.20854972515934678, 0.27076768099469556, -0.8199212074069349]"
DOGE,"[-129.10858603578066, -1352.2165646000922, -880.4505556996538, -152.24092288728642, -80.53996792189224]","[-8.878528796522478, -370.70926571144986, -262.6022586605219, -159.97183361950874, -54.06680034792433]","[-40.156892385245555, -531.6331723994269, -1231.9159428285116, -362.31507508003074, -87.64011896427303]","[-442.80204577453173, -264.64904567873225, -204.17338474862242, -401.847720392598, -193.7323664825249]","[-274.68313443714374, -296.09514795753114, -945.8526171414209, -309.8991063607216, -731.014516312906]","[-52.815800987061735, -30.552899385417266, -122.94407858797757, -325.4794715033923, -515.7837083649592]","[-43.848888279735746, -83.98713863679058, -1699.8273917364588, -1148.3482855862392, -401.59961132436973]","[-354.36172455998314, -52.681207806276845, -847.0502124697108, -907.1304782979366, -716.0640121353166]","[3.7954402389187294, -123.39189327738545, -86.65778910752996, -156.57326876628684, -537.9585789120925]","[-178.69974727962563, -351.0706140430216, -781.0149204778696, -258.6133584512311, -263.9294997462907]","[-272.205178782491, -562.1821808601474, -266.429077939822, -349.09196608179036, -1172.9861084534982]","[5.268748883831844, -3.3627700116458694, -1.7362962945796705, 2.5904442094083646, 1.284027786024867]"
MATIC,"[-42.19077324746963, -170.65241696589686, -151.53115145276197, -28.052963830374882, -63.24203369904132]","[-37.42545155806569, -148.80715914375534, -164.81693729206418, -29.155473188138743, -39.027152822954726]","[-54.25374496626944, -216.0664586136454, -156.40741123761234, -26.293263108979215, -64.07507878891688]","[-162.42296554503298, -264.2743277432036, -385.2534050647797, -263.10535281845, -261.6712541118358]","[-45.55123472359338, -67.27035631706974, -3.1250349223460185, -22.008610784879995, -8.401799686369738]","[-699.5342972186801, -779.802023286621, -361.5596101318713, -112.1518589609192, -338.3861108604599]","[-149.65050465318555, -60.35165796178092, -64.91574875865406, -18.13178615806092, -17.585907277713012]","[-1019.1618884351456, -1261.9960368183201, -1184.607103700829, -707.9867850004945, -1350.119789144531]","[-7.168369209151793, -0.9765565029819375, -104.42625758699036, 1.4204268719492719, -1.614943055982445]","[-518.9461904388576, -726.9498577162063, -853.4282528371863, -733.2661187509383, -675.8630106870659]","[-59.00345197252198, -60.39635099140499, -17.92216021306401, -4.932721036164257, -43.22255898627744]","[0.06209829404264797, 4.146207579085706, -0.6040958262940678, 1.455517023582085, -1.98386524200957]"
LINK,"[-78.05106642259385, -74.039030103223, -1431.0566271098937, -98.34991085951576, -190.0587190027377]","[-22.057843889528378, -35.52279444187056, -928.0151919092351, -9.887221514350681, -78.69350933456333]","[-50.66927147698094, -64.2087586763902, -1193.4853533367864, -25.500462429588733, -86.02146710298877]","[-232.72486093391066, -450.38409181944496, -681.5362765257432, -1201.9100257304096, -1070.8511601095809]","[-6.690138322924731, -64.32157028149533, -21.138909054077427, -67.19782558529931, -2.3064419787766592]","[-1312.0662865411966, -1114.680566826719, -652.8934162052673, -463.56406040566577, -450.7624374760083]","[-1451.9082362172157, -1339.3764603035504, -1032.2425677849258, -949.7634102501628, -1233.4497599364638]","[-1258.765437065358, -1077.9084995406251, -632.8401966785069, -249.38237345077235, -375.24624538687306]","[-0.23171498904890586, -0.31084852675698166, -32.646381107352795, 0.7859295488565757, -0.6642794465978973]","[-283.9088476857911, -856.668148183085, -1256.4718733807915, -264.5143470075008, -500.8021945594309]","[-35.73271869523991, -48.540946408473054, -30.441827089508244, -4.928548898309384, -18.600656270110825]","[1.5594580171737131, 1.4458523262744343, -0.7001308518617944, -0.2890643189068808, -0.1480905141157561]"
ETC,"[-113.58818225657372, -542.7528097846624, -344.02127507219285, -69.68249096896062, -186.84787830070212]","[-69.30306556622774, -183.0753507776523, -117.56414677515062, -44.37111703529886, -38.05349334472822]","[-200.21906436003033, -370.9074894449759, -211.207727904539, -29.469862425134252, -20.770262382617297]","[-304.87465429055817, -1385.2602390740947, -522.8982060689557, -609.6504695704456, -281.7979319193511]","[-13.572959998351461, -9.169759786052335, -23.435399613628107, 0.282942038498298, -13.70459810016447]","[-785.702785250311, -305.053721910197, -493.2899464993587, -353.7474744190954, -702.1600554288593]","[-1735.224345938098, -1550.5250651303181, -993.7021188695601, -1274.3145636496183, -1717.0433875075514]","[-1808.425024286677, -1698.2314874214267, -1106.0546747671874, -1448.0096671160752, -1957.6021957390512]","[-2.138986736765922, -0.2609166206653559, -0.05799362609943038, 0.21757543916304384, 0.6543678865804345]","[-1775.6076283267973, -1625.0242430139854, -1083.1003973118432, -1343.5932372801115, -1867.3561285836338]","[-62.26279785526655, -34.79546810449083, -10.999349764772488, -21.572604159492702, -14.759535882053543]","[-1.4292566883967452, -0.1505466076185027, -1.3830048509315207, -1.1164707518084709, 0.12783728649164916]"
XLM,"[-121.93760154866797, -38.2414864434926, -1410.9662609001718, -398.37158537147144, -559.049416994521]","[-40.246644237769516, -140.3750834973273, -841.1607066601393, -389.8630937067479, -465.2081088357695]","[-6.5268448777566075, -26.09331365350313, -1143.3614752738388, -622.6310409472176, -981.4708508616967]","[-500.7253961616571, -411.8034953223964, -265.93556927267144, -709.2834413636552, -595.507501375691]","[-193.6250951989412, -17.513901615295456, -331.9225143175566, -32.487684698511046, -1429.174594083738]","[-58.47440006768967, -595.2554835195228, -372.5884001325543, -134.3158742164007, -1158.257332163372]","[-58.41468686910023, -64.27562375124063, -272.09513917688673, -157.41595344795905, -953.668104328886]","[-15.301441643669225, -177.7280286354639, -1932.085027579645, -2477.5958487203584, -1936.2428085109354]","[1.6595504962845624, 2.780746530802511, -38.49785422238764, -174.46570210967022, -304.72698323700826]","[-917.478595907307, -1477.133645111702, -2806.922307501451, -3784.4802591089815, -3641.743394331256]","[-21.982248437202248, -9.518932466078054, -129.88081769750877, -166.00528648990712, -154.56963364992015]","[-0.21823388992529572, 0.6829116716186919, -1.212879335782577, -0.16989682007245357, -0.1984257798874167]"
