,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-243.7376541581621, -205.106639952283, -268.12991313184614, -577.7312904243399, -409.8644827511369]","[-244.96680311884066, -324.18587839991324, -147.42096161330724, -471.0628228184114, -461.0671175347216]","[-271.78676682298595, -985.9854424195933, -175.06504821659277, -411.085283781998, -456.62791642178775]","[-275.4357174366911, -215.3594526793999, -342.6795055589607, -322.7227883350675, -316.18052316224737]","[-169.86318906948102, -186.49568245517716, -71.27681833555977, -114.65444959710842, -50.83119462243844]","[-8896.682500749612, -13558.557496274028, -8710.773439832235, -5864.106452338719, -12363.597908833633]","[-8907.295473496408, -13570.97282188152, -8718.704102134374, -5869.14991545167, -12372.408230715035]","[-8894.920350078368, -13554.073936965702, -8711.212642264663, -5863.797549230008, -12363.77644258828]","[-96.55399196479524, -280.7362050878001, -5.2933027366252725, -103.64539704523746, -115.53164538822232]","[-8909.696651311297, -13574.289823954658, -8720.936163920678, -5870.433073977109, -12375.258752914717]","[-53.00561616362211, -18.226689826887892, -28.826005591838634, -5.631119219235943, -110.80853434722819]","[0.8558049274808792, 1.4747697802915067, -0.41613793719662917, -0.6696556601457287, -0.336566493081477]"
ETH,"[-143.20171280021498, -38.5781830825418, -37.15782265469693, -150.1096617711582, -521.0293188831723]","[-151.70133550460568, -86.54616635706321, -149.77415919558982, -263.69306652671577, -538.4282991971608]","[-277.6107728333263, -280.9378833446374, -53.13028566559288, -161.2118344100416, -503.41992890155245]","[-659.0947761345693, -481.1621463974613, -333.54065855229067, -355.94272782447115, -172.81747360085842]","[-89.4872200364492, -95.97224993073606, -132.40047648516122, -29.764301096972712, -12.242680228923481]","[-7798.900423340759, -9239.500647335322, -8600.573198846383, -6276.670379088444, -9503.258010109703]","[-7669.745603599034, -9107.4099896076, -8479.080549759521, -6190.143950835513, -9383.20004997879]","[-7676.733479490942, -9112.576161733583, -8483.88160037371, -6193.455634003545, -9394.31093729797]","[-58.55834634724382, 0.21565075361119154, -5.203819370647215, -0.6336097405531165, -71.654755266671]","[-7852.830335202958, -9297.675746798124, -8662.253163638321, -6313.007807200055, -9555.034526849313]","[-36.953431609440365, -35.679309335227096, -85.13684865679006, -34.31950891846723, -187.88896624513686]","[0.6541460368690393, 1.1529720860063397, -0.040113644260810676, -0.1541967260966951, 0.2752511834362726]"
BNB,"[-30.328395537915632, -247.94425279813507, -18.812433288591777, -50.72505778452426, -21.640273651736816]","[-43.496374332089985, -206.08318150904324, -21.671763764014976, -15.437978745830822, -30.874499997920413]","[-13.099984837018013, -339.8606701764868, -7.041230091572874, -32.17045297488635, -9.916094545748825]","[-447.2227009968004, -189.19026857876761, -224.8184631290267, -365.8996549880174, -377.694629132593]","[-54.367612660566245, -19.450201268627612, -22.109637996146045, -22.507253393061895, -79.48728419807476]","[-8696.362029506196, -9065.673918835011, -8869.697437261306, -6881.632926395542, -11879.249449435536]","[-8593.24045866949, -8957.104186705967, -8750.944996691553, -6786.103014422794, -11708.340475146773]","[-8415.588149102776, -8797.209838043098, -8611.447991643157, -6667.457568805328, -11520.883299406636]","[-6.560700083841543, -26.841083667457195, -4.890479254807871, -4.143890512013983, -77.07841997844642]","[-8333.689583580153, -8719.744874540153, -8526.985759411962, -6584.2106988785445, -11421.839230592454]","[-23.29287763361248, -22.810548223659048, -33.58425540230683, -10.554487505724953, -58.7123663282143]","[0.5458649267171681, 1.5936013704341854, -0.0035491858928801156, -1.7758106282865918, 0.404083271860916]"
XRP,"[-9.426325272139117, -85.4421420162316, -27.070818001271547, -54.310026102782395, -838.3023895202477]","[-36.83086936200346, -206.46857087716444, -42.67659218503393, -108.54546305512073, -870.9620003601261]","[-126.08221927836023, -413.9535740288311, -3.887375693926446, -138.74014858215736, -1209.1349947067383]","[-247.74170287662045, -322.33224185528485, -188.82130169112222, -200.8997420820478, -470.55757213557393]","[-109.65384644308665, -107.4376134102375, -67.54948895362962, -107.82089313789737, -125.6490138448094]","[-417.5979324354409, -817.2304107272463, -278.93004613593337, -250.26961733291486, -1352.6855210817573]","[-449.6818333128422, -758.6584871045986, -206.03197536962088, -247.4852054168107, -1335.0908941180548]","[-56.5252360014047, -79.99585565189422, -57.54575739294451, -121.49134209572973, -342.60395252924417]","[-18.937065620589532, -9.954337475665618, -19.604076480963236, -5.412504833810782, -56.236985985063995]","[-948.4538041363, -923.5600134141501, -617.7971672794871, -318.58814881592554, -1416.8935891605536]","[-9.435864073611398, -38.70141239048442, -48.86228051992481, -72.65295626515208, -294.5488729883262]","[1.950877866954918, 0.45242385335949364, 0.2062316804688107, 0.006590339782374775, -0.13970529621820071]"
ADA,"[-168.60300072533096, -549.2094100860825, -128.42529611089734, -81.30824706087701, -131.86511178899872]","[-49.44893853339155, -667.1502945694646, -100.66122576021104, -47.95624671173215, -159.9750023751275]","[-590.6695979459786, -1433.1521702188286, -677.2073238962721, -339.42393724061554, -495.1437927466668]","[-235.44971571362066, -129.7319698892798, -280.42844526291316, -137.83217510930993, -165.62450375058228]","[-581.0979472567287, -286.46143577632546, -370.3185912905656, -1063.3697403085528, -1031.1005392376123]","[-31.683138244147734, -382.6303243932307, -28.208984225715827, -34.75601754616355, -167.2433120603698]","[-624.740616995386, -1199.0326010572178, -95.07439315931335, -363.3919745433352, -420.3400264634531]","[-68.65742617809846, -152.49942861880436, -79.92392410140812, -95.5056459133812, -193.62778134794283]","[-721.0839338659895, -1550.3168969420833, -903.9027175000152, -33.89574763024908, -204.84349941761994]","[-1347.9699661288582, -1552.5451638363488, -1160.9369748423048, -878.7705268417837, -618.1761843738534]","[-614.8704650080999, -102.19442694561778, -71.95891328603675, -263.27779188060026, -111.18342785147017]","[-0.7474363055535803, 1.3117047276842664, 0.5536721227280037, -0.05242321235108725, 0.5336220533140222]"
DOGE,"[-71.08613195851994, -50.09414597251449, -18.41215558960284, -134.80754747014626, -19.742713716072956]","[-384.49245670650527, -94.56722800498511, -195.44520423279997, -815.3128683905464, -163.6381647774249]","[-509.1166186719403, -72.81648246022108, -199.0583260004686, -815.0529514831921, -178.90897814308815]","[-436.1529332466015, -188.5925324736219, -223.47140738724707, -334.4088091764652, -156.6863614086208]","[-1062.1733789404666, -901.3557312247915, -364.82664228799126, -1647.5148094768144, -1126.392250562545]","[-946.7549973044518, -389.8650849369545, -277.9600852381928, -944.5090441111324, -209.68101264336042]","[-1151.0395491055003, -306.99603708050745, -120.43421540380372, -787.9606783475081, -225.77895230139217]","[-69.47988223319685, -289.3887997800027, -155.117237257996, -785.7094656884085, -218.35673120900455]","[-543.0658524076808, -1012.1801451716074, -198.07797503777812, -770.9798013406643, -103.33860102275816]","[-1962.865153263742, -793.8740370595882, -7923.859677025125, -811.6780283393891, -426.9712371861789]","[-968.6338645133936, -195.85371161247656, -760.9991869911032, -898.8603119375745, -949.6891692947776]","[0.5945989368375525, 0.16868412262234972, 0.12864803494193822, 0.9032318426404699, -0.009019038575802146]"
MATIC,"[-64.48569775255096, -660.562059196616, -326.13715449167927, -34.64147644503082, -15.160981457276776]","[-88.32183665016787, -687.8155203964178, -366.67860846082084, -27.14860050256594, -20.54105722811791]","[-108.07938966217534, -873.572678636768, -563.7561485975938, -33.49337384910122, -48.71603817333775]","[-466.4693533603088, -100.01258068111815, -460.5222381020642, -410.353742790291, -119.74329659860337]","[-178.19525077257407, -395.24985661214436, -140.41732542908477, -105.21212284529736, -51.63358589316049]","[-39.69577857666158, -260.0424742190565, -168.2874666994622, -25.107084485377595, -50.18376566893383]","[-18.786285054659835, -160.6828448968551, -189.65996018266227, -9.429812862909168, -33.54269514734811]","[-104.78732589489441, -122.03972097897933, -146.7361486965417, -37.12879790129176, -74.85949540302109]","[-14.479957274121979, -307.41605256998974, -6.134628602982979, -2.822909727391157, -246.1682672333923]","[-972.9844754365095, -810.0345461760131, -1587.4136389382334, -130.2105581433272, -338.9439949168144]","[-1039.9666979306805, -809.5199542300165, -832.3936990537734, -578.5244320862988, -1011.3837677383967]","[-0.7278877774518759, 2.956046848123676, 0.5592940611703938, -0.22595664155233725, 0.7082727329560254]"
LINK,"[-31.39375098887363, -6.513151073199144, -187.25099309236575, -18.943320578187727, -23.68903745722092]","[-56.99792406332133, -14.728427763978205, -197.25771887537945, -17.75465309886897, -23.53160273506108]","[-104.16991291494426, -10.763316368357314, -323.7342599249809, -38.240549754128736, -4.932901941934154]","[-514.718119499083, -564.2191699603959, -271.0210263195713, -468.65909138913315, -206.9451968730045]","[-33.55439770277434, -42.4438602816913, -62.299363986343245, -100.8186203958485, -44.43591758619758]","[-756.8989203364695, -455.71392604075544, -690.9317550442976, -224.82444645315303, -180.57711580402048]","[-257.70112535205476, -91.89008876727752, -542.497599985273, -183.17532264199582, -217.09555476186773]","[-17.3585576593805, -12.597007982972524, -192.7267720064629, -70.82621511825344, -105.30406532952318]","[1.4015473247638688, -3.782502207275921, -22.09284356343214, -43.033193589356756, -0.7180945123209764]","[-766.7322076070152, -671.1313409049469, -958.6517111696303, -446.98701075595045, -481.50848599181666]","[-72.97918046948384, -22.947007803475465, -40.97783821868668, -25.567000055662852, -43.526614906439036]","[0.1531336595378684, -0.3732221310977932, -0.09017137752747943, 0.764992453613847, 0.1336588862892834]"
ETC,"[-108.21532173171082, -177.97178956125774, -84.2118041669983, -235.85316502910126, -9.342374378335037]","[-47.02649960239037, -86.21972482217944, -27.169043787259834, -44.67203303637693, -40.3960754873234]","[-124.7097948674504, -142.36983385176845, -14.759991419123292, -135.5327617858748, -13.4928816281009]","[-227.17422057157756, -127.7980284124266, -255.9002636054866, -214.01437017652717, -138.91194007285765]","[-365.1073129676972, -310.2253405410771, -334.52629014084437, -168.0910281489274, -470.44184443095503]","[-3469.918291583123, -4597.442870832129, -5213.248038266209, -3188.5854803625916, -5158.958946087216]","[-1807.2816986368402, -2542.697182298915, -2691.5902158053805, -1456.6776624519305, -2694.333351233954]","[-2857.9738778999476, -4015.319523615009, -4477.349760403051, -2536.3653661844482, -4463.059093017156]","[3.4211009591698263, -13.411436683458728, -2.376925731750951, 0.3356440319759218, 1.1233939198628735]","[-675.3016120118857, -1039.1235810624871, -403.8795355709872, -572.1379232023263, -503.82334789775854]","[-19.50291014178929, -0.9626614766680992, -3.4827291868679264, -10.533795504907074, -20.832610399809123]","[2.4633463168149756, 0.8592954444408987, -0.662880914008134, -0.8032959728682441, -0.13197539783452844]"
XLM,"[-123.55328442292995, -160.68220698501975, -15.907143246704686, -13.516531702933468, -676.2130769700152]","[-832.071421897891, -929.4678385769917, -596.7867666589266, -303.87349510380517, -1136.9318941209287]","[-840.486782697018, -934.5904789803722, -598.2225418978009, -302.91652778554845, -1134.5719368644122]","[-464.1652961312868, -301.89546857467064, -292.6938280132397, -373.9279439028192, -379.6498578925136]","[-2967.475252287748, -2810.7713767064756, -27827.827455099843, -3186.6439372518016, -3639.1848268988483]","[-842.8363370567057, -1046.8930263137352, -769.1740105780077, -362.1079346638665, -1044.4622206951378]","[-898.7532312610887, -1152.4404226098325, -336.40155243809033, -425.6403941226569, -1148.8336729101122]","[-137.6089652411402, -49.10525879805917, -163.60400647863054, -146.70359357457437, -270.37908731668995]","[-372.8062143989152, -946.2507514738384, -2.0246912845885627, -5.7320606891692085, -1398.0533807359247]","[-1461.311963709284, -6336.968400057413, -1246.6354711282597, -585.5290368024946, -1136.8608819801757]","[-600.6202630153128, -715.0929945877451, -221.83088808129926, -72.13813422691297, -730.9109230664244]","[-0.7292788106405418, 1.274198668835559, -0.11958782507342079, -1.0159763207894321, 0.35931889535795924]"
LTC,"[-225.82580337119268, -476.9084857643015, -22.43843870349888, -98.9374116471166, -0.22548153407900745]","[-214.141575397672, -392.05104206597593, -37.917840900741396, -61.03947033473074, -16.976754211826627]","[-417.18687914436447, -500.4282976840159, -18.288522683873058, -54.92215495753964, 2.7683345675405673]","[-528.2289618777913, -164.44501600820027, -225.72391703781557, -344.57260410201735, -306.1057761322204]","[-40.78450221260381, -18.87690766742358, -12.919075671893559, -46.13852780907275, -38.736280881688295]","[-4162.322075511927, -4274.907658607019, -4665.768048556457, -2441.4266155351306, -4855.365687768573]","[-2201.17775303506, -2582.628378105189, -2710.0340988182775, -1034.7383904209353, -2521.50685126178]","[-5733.976756169716, -5579.183647164641, -6077.3605797025775, -3332.160359802985, -6515.12339728544]","[-33.7503938237761, -9.681139277384734, -10.57682388341063, -1.7494219358387155, 1.7852680147714968]","[-5839.269490652951, -5682.681292360765, -6231.177131314062, -3426.1083858250054, -6690.80035964177]","[-19.081719656029314, -5.737432390430963, -17.209703346471063, -19.368568259990017, -13.498138568788717]","[-0.8903240562651707, -0.2590152093486385, 0.5120791488044183, 0.37635258979805786, 0.27676861507422157]"
TRX,"[-178.79825573521714, -156.29795206653486, -575.132225229639, -8.164278277363533, -13.217333523626701]","[-584.9812442092759, -1248.0568156168767, -1477.9631766534362, -93.33222189543466, -133.55684386269215]","[-293.6074727229356, -887.3853606166333, -1152.0808536678546, -13.107114905689308, -1.6578059588492524]","[-368.48187210698603, -153.33589932399255, -290.2706615657248, -238.64910874328177, -309.0336788026364]","[-9798.214102286945, -5235.34615396644, -3603.727768256677, -1944.3518614606103, -1736.129066821224]","[-620.1382147375083, -945.8440417544432, -1369.2446030796557, -157.54737934730804, -172.69299356271276]","[-529.1598394819378, -1329.0725930098786, -1636.2283568583734, -174.83181849201284, -124.07533760672504]","[-465.651740324986, -460.0966421350369, -1918.699345685075, -129.93053467449184, -112.81219270568852]","[-367.0396640020921, -1235.6763758910813, -1234.2493055391883, -471.9778020568223, -210.26041107972873]","[-729.2832504240379, -1436.7931643825586, -15817.070611585577, -1270.407282776936, -656.3423482264554]","[-534.118504293343, -1025.4691856730926, -4941.024229355976, -648.5079610700969, -1336.5898310933399]","[-1.1911516520091052, 1.1392306480504055, 0.9286615631707159, 0.1707604880748287, 1.834713344718587]"
