,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[-6186253036.84839, -4777.823570326272, -59057211.70350148, -13209.842350906547, -5682412.067023806]","[-212.0582465313061, 43.61492963529693, 0.3542437725348896, -154.09661960865773, 17.66535091447531]","[-226.61583021318404, 42.710758534434696, -56.74837524960567, -72.13184132723102, -76.58524870322047]","[-130.56312318491644, 38.3176828597852, 2.7611926512857328, -497.0882410916349, -18.98355025854304]","[-101.7932552251338, 13.421387108313873, 13.726524148507824, -1840.1960579121098, -165.39278622397637]","[-156.12324520414006, -16.936065747652616, -377.56628272071936, -132.4540981400092, -3.5853885450596623]","[-193.42152189918062, -243.69619982350193, -219.0417637184899, -1206.718088794963, -3338.2652505707633]"
ETH,"[-2063.6279048863407, -175.1631966740557, -2488.470870155281, -603.2624392364736, -4621.27218902273]","[-307.24270284310376, -159.32449484335837, -114.6353874715251, -14.365035881889684, -449.3490475100616]","[-403.20644570807536, -33.926641429687024, -100.1180237020401, -9.403718038331267, 45.06897332241981]","[-224.45677950784693, -180.15912272273022, -71.03743048394723, -11.902696224673665, 37.418989467197264]","[-152.40414427132512, -231.13252304719794, -237.5618638812674, -404.6137707443528, -156.99572768102442]","[-97.87306664564163, -85.34594025143012, -239.37296377656853, -3.1083592237548014, -77.10897016180299]","[-1095.4452609131924, -41.58070381233469, -545.0022189745184, -52.64418314884409, -95.01451996646546]"
BNB,"[-8434.304214575337, -1927.631924271132, -1659.7974667409194, -469.4539217289547, -1317.159209842354]","[-299.06523442503436, -144.00000597049836, 53.01249826857133, -247.29886635208692, -3.90744196031109]","[-383.3029676388588, -76.31486956536034, 51.34012569274174, -165.1192179102215, 5.060697925892843]","[-959.3062676590417, -141.6730783045199, 56.54817815580363, -150.369854525347, 27.57882046992562]","[-330.551303524766, -101.85821057982895, 54.07054787696023, -453.79409809377023, -9.120935905528235]","[-1429.454526962049, -301.9649382887274, -46.13484983054527, -575.4413939083739, -20.774342778911638]","[-971.0151443308456, -2156.4664031930324, -390.83354835856585, -526.5483709147643, -881.5457064633232]"
XRP,"[-18334.55606783493, -2284.7324408337045, -90031.76794988627, -11753.495984436802, -3986.582691317854]","[-383.69538314214407, -63.471127037008955, 27.70516710170646, -399.9873609807048, 30.996320657600023]","[-178.21076496443183, -7.112703781982608, 37.531487453693515, -455.73421396392223, -88.92687416610973]","[-370.3979339676058, -144.67673962189238, -28.60129259401368, -183.38372786684016, -204.38932670180554]","[-340.05871574125194, -327.9663505765732, -64.68856624535415, -317.2712945308676, -331.17521636671154]","[-451.15698916630106, -35.574992774424466, -121.38884234920239, -11889.391940739499, -172.40121552596105]","[-2591.753710744644, -2441.304100255009, -1267.7674735050484, -799.6948305408672, -396.580314714318]"
ADA,"[-20008.699425145183, -5223.389579731726, -5388.23987687806, -196921.8261027215, -30716.310462399008]","[-1122.1342594791433, -14.276053846046121, 1.2183230850400595, -816.7695289094518, -72.76329001649464]","[-651.3294387040676, -99.98435533774784, -90.02085151939981, -159.13013096265078, 15.625593934828979]","[-339.56183325537313, -93.46966565918873, -11.092919765682595, -52.65958185107542, 37.89078462529446]","[-303.89166512174415, -10.717858283596444, -58.811299179792755, -387.98280653897643, 43.76787602666316]","[-202.7717387452218, -370.060686646973, -80.65810253362028, -268.3621360359789, -340.9739620631748]","[-8119.373067155769, -12158.845545958, -5769.902808222135, -1262.2795770275109, -2770.0647010176544]"
DOGE,"[-879.9173020554397, -7353.272616253207, -3807.455837293772, -42224.59148296843, -2594.4090828211115]","[-86.13082153432114, -474.789033269538, 1.3195855308845914, 33.52406049586555, 4.923235439675366]","[-333.8480182091623, -125.92707902677047, -15.096721425284363, -6.884775921382419, -772.4749576397902]","[-118.33701636217401, -201.4491034362976, -24.774540993014366, 17.472567312114286, 16.330677976162427]","[-628.882011700431, -148.22310508930622, -4.45126109063111, -113.80866457364141, -61.98593812052737]","[-77.79197735328344, -276.5526260002141, -1.8404797456624937, -288.56705003723465, 6.046857090457255]","[-593.4733752932968, -3927.5288910976556, -801.9885459458752, -1705.9483243848795, -155.74263883870773]"
MATIC,"[-7597.094624745209, -47667.240010843685, -1658.3110154607166, -3941.2249064887997, -10869.785969088935]","[-67.56606916505007, -137.6966107254671, -35.78753579975616, -102.04075818553737, 8.198318042299297]","[-236.61591341453155, -400.9771354054223, -32.00654893731961, -124.64654153818537, 24.627466630298766]","[-260.47063276110373, -159.55161261454563, -154.6600222796157, -186.35895800868718, -38.861594306603756]","[-331.2430254228829, -365.4301085419701, -138.41733249247412, -109.27071198824055, -59.46764091638577]","[-128.938334588357, -300.0571364129733, 22.851125948201755, -4692.209690004963, -2515.5588957041987]","[-68.34477112728597, -282.82058844795534, -47.676979452550896, -349.76570430465046, 21.33043742975026]"
LINK,"[-4389.958607379862, -7671.93129631827, -98814.10601663939, -4180.446952169398, -439970.92730022024]","[-145.66720156412467, -243.6283901116762, -94.27078520595568, -132.83788835434964, -22.021126840954512]","[-281.5855263191957, -192.19292973437422, -286.8896622770769, -127.81397594826088, -49.703552040257165]","[-295.53331528374076, -193.90747375888802, -106.00977791716745, -91.84849480097674, -17.863405676279466]","[-52.596218162960795, -277.59574219364265, -214.58553241087947, -1399.8544248272003, -11.320112802086612]","[-49.31456938880144, -307.21209266124816, -33.57364675542055, -123.91290316854484, -5383.3530037776645]","[-274.3905059589745, -634.4161017383361, -173.21752280261086, -82.11315113407346, 37.58399088934789]"
ETC,"[-963.0538607074108, -2365.840216219021, -5796.731815001339, -2971.4172266554206, -2908.9947527973204]","[-108.27333229705442, -35.54588977914024, -8.243556114550083, 25.81703391292485, 6.896393433623224]","[-211.60772738073743, -537.6908815086229, -70.93190763208823, -475.67443582528426, -111.63172257657918]","[-147.90822619308096, -46.93363827573282, -19.227936100190927, 27.234309530043316, -126.63382264197345]","[-459.71590406716825, -35.692037306541906, -1692.4388047007917, -1875.2069232523063, -14.135387068378169]","[-906.2102287380727, -1056.0950736771981, -176.9653478669675, -119.02502581232754, -59.05619998106685]","[-259.6412874022768, -2269.4513479564, -2544.240569355036, -360.9503179491425, -868.2362657322333]"
XLM,"[-3962.0737065656976, -5178.08083894288, -38.19752203841655, -26265.25228223248, -532.9009602008454]","[-472.5801934672088, -104.08130489207772, -173.71467311459384, -111.53481473336535, 19.926907171170555]","[-551.8837213925673, -240.86979386058812, 3.9687681970116557, -329.3585161662539, 14.471375758487989]","[-16.96099940772632, -55.792506726776914, -34.88909522592923, -100.14851998057081, 4.79081925011857]","[-1.3063044746937282, -269.98223184791516, -599.1974935765829, -523.518494975455, 29.84886680366484]","[21.74306952038874, -424.9969122892904, -968.2633882477948, -4982.203119127665, -796.4756790244624]","[-4052.4782908029392, -11935.749083370933, -4729.976432912078, -5591.603003007733, -378.1254259474076]"
LTC,"[-877.4088080832602, -4521.6605790358635, -2589.651946070216, -7096.050255492221, -140.53466983633214]","[-689.5095071662474, -43.6868371708361, -249.38143541921568, -184.80482147447, -800.8931994603055]","[-966.8914165385495, -99.52154607080888, -26.245298364539504, -96.17295954127204, -23.573041971439206]","[-492.86749238072457, -133.61804376434506, 32.728858313367226, -303.1568985965142, -94.19117415457893]","[-908.2261615849882, -17.04723491046851, -186.60611839811804, -1023.6224009198837, -12.181683227437325]","[-751.8907971764028, -15.510382084285954, -131.17166167564966, -233.85877373964928, 23.835101728455495]","[-2143.5227685016334, -573.8246996886587, -1184.7351034244946, -455.12040025139146, -2654.0087594625015]"
TRX,"[-8944.923161225383, -61485.533641126494, -3275.002414899269, -25377.501854452505, -10320473.11905068]","[-569.807288235638, -395.02362565424465, -46.56357488676096, -247.75546602732348, -76.93306446301298]","[-1207.7354158533255, -158.17568283565112, -8.553659503707339, -318.38933775098315, -2.8357644820596164]","[-349.3671979350807, -27.944598231989744, 3.0974848189754622, -623.6610466999991, -124.70761280825062]","[-790.0839985812714, -260.01020495286315, -241.10233079146076, -880.2679565011699, 24.047593583793702]","[-198.75796850925886, -1737.1727108009186, -3.3442121007918026, -2342.4674356745195, -12.928733026520586]","[-10372.394200952625, -5433.5335543538495, -5183.912707901022, -4467.356685465784, -228.73018784649793]"
ATOM,"[-8241.833738950381, -7903.812324389128, -7828.538553690383, -1910.6577339200203, -4227.603185423735]","[-507.59247641963486, -428.4472449588283, -743.0271003501364, -94.10497261476483, -355.97929741615764]","[-889.6757634342291, -343.69701687242, -874.2728699469177, -97.45282791181378, -33.45931967954818]","[-1083.5184276371024, -487.4118258096099, -81.88459346410997, -70.44959150708645, 2.538209628913247]","[-152.79072105113332, -79.78290491654245, -165.2628538413038, -182.53923816210101, -8.3159388191571]","[-2172.633609440454, -810.9640315271782, -454.45102907082077, -597.3579622656317, -221.72680385900964]","[-85.85613572440793, -728.3693129825404, -1518.5517636132968, 28.06737019462828, -84.10568868740229]"
XMR,"[-8087.880723398346, -4027.745914797628, -1895.5659981798715, -1917.2215042160587, -11975.078519904162]","[-282.7724174543873, 52.55907892199573, -26.27764779729097, 20.4569936092369, -173.52022547109453]","[-29.62341086349094, 55.86099438508232, -0.4260012764828203, -100.01832103824428, -16.51184243194441]","[-782.396403802694, -171.47743630396306, -754.0699686060481, -27.593294013049125, -309.07411308131265]","[-143.0068898481194, 50.513815808639386, -30.92064398061385, -286.6683447734225, 3.580917630978743]","[-2960.20807527552, -205.88991421618772, -59.13072150304425, 17.85774233226131, -109.06808815574429]","[-1707.7127676574194, -1406.8171038763733, -6146.535784148965, -971.0061438652998, -4767.251137281156]"
VET,"[-11651.469530431077, -5027.11677248509, -738.1535899337277, -5757.055019175113, -8475.693510732113]","[-151.39611300962318, -901.8465748663823, -57.82554786042363, -69.9426853134648, -18.93566382345467]","[-44.277420524835954, -63.12068280133114, 33.82687966335176, -331.4776935466824, 38.33943957573076]","[3.077890057431672, -282.5868376003739, -63.15100277341059, -11.752313397974055, -5.978038625016712]","[-304.55966723289725, -1314.8288751200357, 28.25151105561543, -875.2597346259042, 20.97601821053484]","[-182.36199981485305, -540.612214212104, -120.4411847111782, 5.0771797455319945, -272.3905313195878]","[-1043.1155839307787, -1087.7772528834762, -9493.218227080168, -1720.2983974129918, -1280.269185870362]"
ALGO,"[-36196248.74720229, -7761.433977197413, -3657.6008414791127, -1.708602327578535e+16, -1.2229816146083286e+34]","[-27.81752083305725, -309.96981988228424, -68.17690861086551, -171.62047755491747, -33.28007680642559]","[-127.61426054233249, -355.91928773419426, -90.17270227690167, -208.1593335064429, -27.254634349728114]","[-81.71013220709057, -245.82877992393267, -20.810631155251727, -1166.8676193395281, 9.941893535171822]","[-107.86223287312566, -71.90995024262318, -124.8237725636554, -269.81664009823794, -33.68382137545442]","[-174.80735625832878, 10.815384016869146, 5.2311633420265835, -660.2033714413659, -0.9236805643376441]","[-129.6846264861666, -5576.250044030294, -20110.30739183419, -36028.44997049941, -1691.8482843714974]"
EOS,"[-510.06061750283607, -107.38506197238245, -176.85594265368317, -46.65863845437027, -317.4632364054733]","[43.25173263526334, -86.61972148712233, 19.668591648279694, -33.05045585954579, -155.34640319818305]","[-14.514124161370745, -359.4184537646889, -0.2655736046310512, -165.59748292411044, -286.35153316309527]","[27.561670298294217, -86.67022892475758, 9.883450360805579, 24.520790397474162, -48.84835839829309]","[30.992051075462907, -82.9320044996267, -10.792821236249814, -325.0269881342522, -205.8111429208628]","[-27.04638950945833, -445.7015396262092, -323.3527052370082, -54.2923307685928, -2759.9538364066275]","[-476.29332696300696, -20825.270887139715, -14686.790500349616, -43630.37014788071, -3865.1826328213792]"
CHZ,"[-1022.8452573917508, -2093.457862078068, -3050.879728439906, -4028.386185109396, -605.2409334346559]","[76.94048598485683, -54.53726688782887, 27.79991379996851, -285.93271569763425, -128.1882315090942]","[53.35974288593688, -56.2229014326336, 50.10957133457589, -29.447830063926915, -180.25525915255201]","[68.48685624732134, 29.80070550983887, 56.56309445521329, -177.47457697604528, 46.317769915533304]","[-490.11988562977933, 14.241226582196331, -994.936953729406, -771.8166876122124, 36.64298322997021]","[16.03637940612146, -213.28288000476948, 2.4024499977269884, -256.19129296009504, -73.29323820130877]","[-113.53024286363933, -71.08625584621574, 3.6281334289423484, -480.865759088477, -407.9299309446319]"
IOTA,"[-431.785351941721, -1382.0409656880327, -921.9616129220561, -6954.484336086274, -566.2842830035557]","[-7.032673521642143, 14.596239790834236, -443.0344536835073, -56.560984584243826, 34.72786825313526]","[64.95768263114685, 6.195097789710834, -102.55565034760907, -2643.0838965383186, -374.7897077050854]","[66.01452503586574, -566.4108934121339, 47.10434682568946, -173.5079043325208, -496.2070266644402]","[23.238923864665278, -268.5210555571445, -134.97577389149464, -589.3152811437511, -175.45893547150823]","[-100.32965971163956, -87.53257347281873, -292.6276944028054, -983.1953464161787, -103.78524733149095]","[-453.0397675655482, -851.704799411202, -328.49122836626304, -3890.171631870996, -204.7259006887694]"
NEO,"[-1386.6816366468547, -14809.201759208145, -4648.741551564808, -21238.286340694496, -1872.9303153755104]","[-252.63056319441915, -293.2154798035234, -74.03007321218776, -1366.6570161071281, -166.48367098460847]","[-138.9011243990099, -307.5073179538761, 30.506683824805375, -1639.540394936023, 60.53954436572073]","[-151.7351486675508, -58.397727791187826, 9.61423665981456, -512.5071481959146, -48.48698698618862]","[2.4051643498110167, -19.365310120768985, -131.73467954623953, -388.28128090313874, 17.98514030784137]","[-593.6730132110791, -660.4324525749854, 30.608849984713505, -1384.0577697975623, -18.018354116324776]","[-3265.718269360367, -4127.732261128432, -1004.2652510245985, -10598.620721359872, -1539.7350955095976]"
XTZ,"[-8274.166735503566, -9460.262861125171, -1.0991512886425598e+20, -87637193547371.08, -2571.4353351602904]","[-130.67208214029236, -462.7128253186926, 10.599285205613425, -140.72405656119062, 42.67583172689393]","[-22.34780132670357, -115.81983146140206, 23.16482311217764, -39.18017197637902, 12.197166340603875]","[-292.11925466357445, -257.67085446181113, -70.67887180393748, -547.2673968073129, 23.6309055261609]","[-243.0097648162304, -237.72070524145542, -155.30469081731098, -190.8329785377677, 11.572822622631318]","[-276.9695913958107, -1287.5873443183475, -390.5901093427099, -1023.6461190763454, 32.49293325526079]","[-556.4861171150989, -2208.754906600121, -1767.6312811659814, -5352.783633103821, -1927.2659169803924]"
