,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[-16.659168834447957, 7.677537686197429, -3730.8906332512142, -1502.959012227865, -4434.95049069388]","[52.68071195295424, 56.906613586681544, 49.28041035996811, -37.61615821764678, -69.89511915493458]","[76.39593597597587, 72.67090641281804, 43.581447467054126, -34.36359781899068, -91.33633113731962]","[62.25513587545171, 60.987524343574236, 43.62994870434424, -87.91376974657103, -62.324535280623515]","[38.429328867913284, 51.760607928483715, 50.12820342895454, -147.21220468082436, -52.16586801952848]","[62.82348847476865, 16.768742639446277, 42.76870488633696, -112.28396618064285, -75.75987532640897]","[-902.1440339326439, -29.719095764007765, -19.750111653592402, -59964.02671071743, -20762.09494034809]"
ETH,"[6.897651166108681, -950.8178532439966, -219.5168783279319, -415.4436057199069, -320.7052618914537]","[88.09775004766003, 81.01698508220238, 74.19233765726416, -62.109327185546285, -92.28353957142545]","[85.33450974065421, 80.6866766943605, 72.675530244829, -65.61422291970376, -99.26816780650033]","[92.08205864505385, 55.884869100217585, 77.43141223604904, -19.308278738757082, -77.67216968930519]","[77.6975509139166, 22.307515332353873, 77.11638518590223, -91.36864320668668, -149.44704874109368]","[81.87249603634574, -1.1186366298149801, 61.155170107937465, -394.7489483281963, -5.787711500620949]","[42.37216312598353, 31.232919141978122, 31.605385623523357, -219.7293532948526, -79.87548079586514]"
BNB,"[4.936603879642817, -43.01938175988338, -136.5830386137374, -307.47571859244624, -528.7495412172858]","[-670.5423228741993, 40.03314009575254, 71.02320956601503, -442.2434035733515, -118.71091992093457]","[26.98780440730875, 69.07123766695395, 73.80143938858316, -24.94038937727129, -58.078800717977096]","[42.01832390228693, 62.693408677728904, 68.05548200876713, -7.389819913365867, -120.78620605705832]","[-7.27302306533433, 27.50225601089187, 7.711135617712908, -474.97291865644075, 9.19319788490552]","[72.80803538329036, 34.16755361290587, -135.46980887659768, -30.254444274791602, -71.94892108583544]","[-90.87940666778003, -60.98418090797073, -60.37697893491877, -496.1441234785531, -351.91580696945255]"
XRP,"[45.42338819578312, 8.568107946383924, 38.829348688471775, -325.14722705935054, -18152.35861852673]","[89.98927467872285, 68.15120558448918, 78.16833609374098, -14.151375118138908, -85.91099264039607]","[85.45546452959995, 74.71533593098262, 77.88261976541936, -864.5195800410584, -274.00705924639436]","[85.63299537433305, 48.65825895666743, 87.11863813640325, -44.67911619359486, -79.68099330418714]","[85.52920498408487, 43.079257097376036, 63.266118615171216, -81.26638333365948, -92.86892100153078]","[76.24847625156586, -3.454973515252737, 76.5122588454017, -408.4183882016247, -602.4205783073463]","[-74.03700632242253, -46.24065095696664, 68.82683415894371, -336.78396489799695, -479.3453198704003]"
ADA,"[-81.75005510698867, -15.402480539362665, 74.03979410705148, -1237.3210744652451, -131.80086685759088]","[94.76920594417237, 77.44399310284305, 80.37090209115472, 10.832477057756824, -161.57782738491605]","[89.35271712022002, 77.8274296631446, 85.2911881079375, 25.015111612332525, -149.36065712968843]","[85.6636315373426, -22.359096987446314, 93.84741662641493, 64.63412511687305, 15.214530188436811]","[93.78965608209934, 78.7760043296814, 80.46736028519112, -6.15108909058604, -262.507240599098]","[90.28503044460552, 40.06961735788291, 73.68611693650026, -31.530298929819526, -175.73490391741944]","[83.36258786334744, 43.85374719591191, 72.28563080659171, 29.377473621079446, -1814.79837552749]"
DOGE,"[-827.4255295189706, -19.78451946875644, -432.3466974015191, -1020.6266387937811, -1008.8888544617109]","[40.47069995964695, 11.908225514411422, 81.52672626388323, 45.61292622329998, 31.308009839889202]","[-9.99096005941746, 59.06034430792167, 84.47244029896778, 36.71532316085363, 0.03280716889715083]","[56.40701637447717, 65.83950325649764, 80.25068387662382, 20.772229693747974, 14.320196376735817]","[-84.61898384920019, 71.85140604023857, 61.9607140530713, 40.840112286475396, -301.03828075012007]","[23.848844986366235, -1.8287799593769127, 0.8361148477072833, -100.76202876489147, -16.490187364882853]","[3.5141394807004054, 11.834705492092116, 31.00963977814684, 24.623602706394486, -264.7634032007189]"
MATIC,"[-24547.406655531468, -30.819280461956577, -6.960120898339495, -410.6982961587293, -265.8981193214579]","[40.60509409728035, 32.838818025371154, 64.16743097292613, -5345.78655046331, -295.74078141102683]","[24.787507525712808, 52.5990755878552, 62.46797433453508, -210.367169300114, -101.76248463561667]","[-119277.29881076657, -286.42824919123314, -87.97472687683837, -176634.42139861296, -665846371.424307]","[46.15110730817481, -33.10326090174902, 79.95014756333579, -99.88232440834453, -21.868437233126954]","[19.72222599934409, -419.18260041451754, 15.01898966166566, -499.08904934708636, -72.66688890996885]","[-343803.2900204797, -1328.8307734134241, -14661.488460321, -931.7910793663287, -2593.36453603277]"
LINK,"[-428.30050888291476, 52.720415317703754, 73.28846296044767, -706.5856554584009, -643.117354154034]","[88.8436515321325, 85.25584788961909, 82.44986290330002, -113.7328596107433, -67.68380755441031]","[90.26184238486348, 91.54052179598128, 88.27962201209422, -72.59353917219191, -89.70217706407817]","[90.67719850265857, 91.35329025772198, 84.2839717740514, -73.92651109772504, -298.0603609126997]","[91.08224516352863, 46.00628087750059, 53.80913960264434, -137.92020768342545, 4.598235855388752]","[-4.136597619073977, 41.203843271516774, 86.09331263980211, -141.66147791543682, -791.045009585098]","[68.52889942346422, -393.6678131385896, -18436.397577502605, -78.71523203832137, -6231.604821437101]"
ETC,"[-135.37037093089555, -14.322101156947644, 72.64211112624311, 54.52391021363405, -293.101613661455]","[52.4790118746086, 68.16914333071927, 60.331305903789186, -1.4488808267404982, -29.986125758339643]","[64.66594092272152, 46.2628693614007, -137.3851837477417, -1349.7282874802368, -214.23435844048745]","[39.56937288282339, 74.60898775920714, 77.33599950648863, 71.36097582784443, 9.737447657327074]","[86.3951852119137, 91.43602154296482, 75.76204606693193, 36.80664858282561, -194.83892856403716]","[21.68746616674022, 33.24475040595408, 63.81106484902877, 63.7971945460689, -410.003342537379]","[-15.038624247614793, 37.37276772934741, 67.5007724839886, 78.52171872858705, -251.46026940628107]"
XLM,"[70.86596516607942, 58.42401351696018, -255.43047631359025, -193.278938343093, -617.0468902284432]","[86.88225334217665, 88.0869520391928, 79.34147301061168, 26.239162127180656, -265.2249435032219]","[77.76808361993784, 81.18572194525449, 70.35472894147998, 5.171551763421882, -48.2675165144799]","[43.24646981461674, 85.8219228836225, 91.77776387751273, 29.450064208405664, -4.073422870357413]","[83.19859330919887, 88.91452444600478, 70.87253840332527, -62.05084172276463, -397.00596662431275]","[55.24749036459246, 85.67044124625517, 78.6698638148008, -86.2847406266716, -274.12903537587874]","[79.60315651352107, 40.9799355851392, 63.77287133115986, -9580.270592100871, -274.03898500666276]"
