,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[-51194.71101575064, -347.2999628519788, -14968.15573182669, -34613.71807874861, -13780.227594546375]","[-118.64013661503614, -236.8587200273182, -295.7862494955067, -16.54820724364054, -231.81489990065356]","[7.824484119560228, -105.45237462204322, -457.71674219254794, -70.36448184940411, -288.2267247801619]","[-1978.3594598692787, -569.6233443731096, -836.5705181165705, -43.11591274293861, -1684.2791542581963]","[-3773.885531561355, -3295.473598469697, -97.24261542077276, -1078.2875364001607, -3789.4367914127074]","[-1431.2857629281646, -60.906720400284975, -6371.659751548716, -10604.097981197272, -177.48241655422777]","[-63411.96764638929, -12572.438953495575, -83620.28702966213, -20781.85014535248, -11340021.386248782]"
ETH,"[-18355.184909778232, -3371.6108298461068, -178639.0689688869, -7517.446832335595, -18059.80376377814]","[-868.5573195285428, -86.44749652145045, -793.0408748449087, 5.89030037840487, -1183.7768583644508]","[-920.1231558443902, -132.5046352722595, -340.9064644974044, -841.649434334528, -2101.184779525849]","[-926.1731463232379, -41.17865773783434, 1.171482310747007, 69.53304892519061, -835.7590624504913]","[-167.49842423781604, -132.865391021232, -674.0283871038791, -27.587247760493337, -518.43282802183]","[-95.77869046196348, -404.69209956130936, -232.8729586888086, -229.34467517414285, -2028.6950516510894]","[-28916.044052231497, -291977.72400663723, -302602.2523571361, -52138.02404676503, -8163078.443164609]"
BNB,"[-7546811893.373873, -54232.84421892636, -58140.524016633404, -32618.114156621512, -105797.79608598612]","[-9399.58361176203, -15687.616087121944, -11751.429475637455, -2876.6398106731613, -28946.82047332157]","[-115.35930357721251, 37.09121388213512, -141.42222549669123, -81.14138783553366, -688.5978033222558]","[35.89407253344832, -870.5224875281955, -214.9440331306578, 67.93578784039433, -401.9596389967892]","[-883.4551466471845, -34.010391098936374, -425.6565120240866, -650.2805379298794, -4320.229770010764]","[-359.381796129468, -1073.893387752876, -421.5301306873265, -513.6952683649561, -10525.668636279903]","[-31803.98758527125, -35072.794369920855, -66916.90386942416, -4840.88436900349, -5100.486429003948]"
XRP,"[-31881.743132243497, -3789475282.2137637, -24195.22924905998, -24555.837801027006, -6.279432706958917e+21]","[62.526792299321734, 42.406520895555936, -62.697195281741116, -115.13284410320095, 39.58402628308051]","[-36.38841746346592, -48.71791247964898, -29.83924381725267, 61.176654831869556, 15.52180903648351]","[3.9587314430621854, -173.97980448979462, -125.05976009373765, -209.27081082843006, -623.856689201173]","[-229.89598835016983, 37.30284076277502, -91.64931020892462, -2756.380271607452, -15755.510305492204]","[-5084.132972884463, -939.8422678118347, -1147.355789437558, -908.8463273677165, -9078.597544612]","[-457.60984327117853, -210.6508160253856, -1171.2205773723178, -154.78761235766729, -637.0415964750081]"
ADA,"[-431.8228769534253, -18553.617986334713, -1746.2996705225023, -10690.702000606905, -30623.263713428038]","[-100.38664176304354, -30.480534935795532, -57.079416331012, -27.579351367978454, -33.531670405243744]","[-109.92700516870015, 66.83885026777894, 36.12211905775292, 17.522323312032608, -206.15768887278585]","[-88.09006903906908, 60.899825982649624, -272.07533210004567, -14.806843524916053, -1414.7266008267827]","[-74.0549776135583, -372.6676042605418, -1717.0225758865754, -1822.0046166914806, -688.2759651944973]","[-459.1551352680868, -327.82850740953097, -755.6330409361414, -1329.9592006107646, -3202.120104034009]","[-9840.311867930086, -289.88075741929407, -834638.5219572649, -7720.111245206237, -52681.23511385503]"
DOGE,"[-401.39668489227364, -424.9877080529038, -10369.622395770071, -5.359529528327645, -12640.9903982192]","[-303.1409430332892, -790.4323905198569, -743.3361783679575, -173.7671980049139, -855.6359626869478]","[-149.2294317411431, -1210.347143822089, 64.71816057259579, 87.80121745356423, -1353.249172774994]","[-1322.784830876034, -332.0495324387605, -39.522196078825544, 47.525363974752224, -436.2378964065857]","[-13688.267196179475, -278.7165609764912, -606.7747256587601, 86.09232083463175, -7204.320473887057]","[-9883.698931861829, -282.1948417204701, -1846.0029911582108, -742.7944861748072, -1460.840488410262]","[-7653.531738410842, -4643.895086106024, -7462.620642866116, -2441.420279735319, -11702.436387749198]"
MATIC,"[-1188901.7834658888, -1632675605.17221, -2.617163259250811e+19, -1785.7774887490677, -15554665.466821007]","[-713.3751992136433, -353.99225737531145, -14441.046406220465, -382.76759337597633, -3942.3002297485027]","[-590.1373444002829, -1028.2945967517317, -368.4109432832019, 73.6551956776069, 40.88343258425063]","[-247.1917310137658, -680.6248507533234, -249.66005216875368, 90.10343776888158, -284.69976514185936]","[-1220.2224672402845, -41.29285199894376, -787.1556052374905, 54.92702437440339, -123.87801547633346]","[-1469.3094220193236, -2483.7985904675425, -240.85497905354515, -110.68361568511949, -1991.3927805479955]","[-118528005.88755487, -44997.29406581705, -20675.7018112726, -9472.29748937511, -1902973.4961395338]"
LINK,"[-35372.10050056393, -19092.337521005025, -21463.343400646794, -313.1325479371287, -26527.794621920322]","[-138.94946831976574, 30.20420160174221, -370.57977162597814, -5.552571553056609, -971.4972193288443]","[-3.099490549068337, -6.7488843074388445, -342.7279697432414, 74.64184332668074, -272.460575729097]","[-413.28371969612414, -111.61101018986528, -102.44576711765188, -456.9087892650896, -1353.719064844142]","[54.48938978001367, -9.826011635755743, -80.53353771010886, 34.43002155956636, -76.14479593643885]","[-722.4234129299839, -351.1543138000457, -914.3311563427694, -11.587775774399628, -257.8758400323772]","[-4927.7981737364025, -4609.0594285565185, -11796.772418434552, -2648.788798477651, -9143.244486141137]"
ETC,"[-7839.967843786159, -11454.617312364568, -2912.1764333580136, -147.30395514122992, -7285.460555909725]","[-72.77528823770866, 28.112685489177675, 43.81849000049522, 64.95495952846119, -1998.2148308127962]","[24.511073481060215, -60.01048125303501, -123.89266920143656, -280.97556386277586, -3899.254255207762]","[-166.72876244157916, -1738.2576745303122, -169.87795217118247, -689.7895633461163, 2.258843207799247]","[-237.9982577312618, -50.17868281290166, 41.42372095592057, -300.0439350641583, -949.3298665376254]","[-1703.3024315692696, -4849.683901267537, -676.5780273812151, -392.52531352248735, -848.7321777816474]","[-6196.594401096938, -4275.422080519642, -210.9886991839857, -299.20748600256155, -1235.2451158312278]"
XLM,"[-144806.71154039234, -17275.932698275064, -24686.707592586125, -7790.763578304454, -29038.124403951333]","[-915.6142844464783, 41.68948615239066, -3086.60911562803, -1561.5248629671887, -5639.3121803362155]","[-4.082271776091704, -276.7112161536944, -68.07247399113649, 71.02912249486324, -4.17093391853847]","[-89.62512791056912, -749.8560747406882, -428.1210987078877, -762.5035755193192, -1374.359244498202]","[-237.29176983420066, -271.11965265846277, -683.7422071966688, 16.134498561146142, -598.908791770429]","[-958.659192195748, -259.52846275405636, -1119.3985514726971, -163.9342130716534, -520.4047046637394]","[-1265.0492179007397, -1979.0554030656708, -1137.8150544247799, 82.06453303104702, -530.9950323641251]"
