,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[-444.09421736211334, -21221.524641815362, -8883.86716894756, -12831.195734799045, -1768.3213230167553]","[66.66228867141835, 65.55763722027037, 55.64024985588988, 73.49565089897128, -40.20798982197623]","[65.1718956437705, 56.71453900982969, 35.217384674139005, 61.45859968538684, 8.089687532351045]","[15.093564357116149, 73.49774490364483, 49.764686754541245, 35.47826457878692, 2.1243028725927617]","[46.15120707887879, 67.14375333905409, 40.58177459972032, 76.60552438992559, -58.915096877556884]","[-7.658024234741284, -87.83418852712174, -128.3456424621371, -46.01626114193876, -699.4934278125576]","[-725.3701995913502, -90.78594015119444, -287.2807161926225, 41.26528445311815, -52.00959103375074]"
ETH,"[-5703.261700748653, -2850.133958307967, -24745725.568113122, -808.6519716205022, -1786.8466871784071]","[80.38375887826234, -7.698580704277426, 56.70708736859943, 70.56487018871049, 35.312755174015074]","[75.94764454417995, 5.5265500478742196, 30.697011401380937, 57.56893806345382, 10.816502100904835]","[72.71127460870618, 8.331591972566386, 33.921647613192384, 42.21814720762983, -420.0123956773716]","[69.12488867874464, -26.77417250224221, -34.162966516762, 27.199875466515977, 10.387888156480031]","[45.12509486862214, -232.80326888023603, -214.60380319630917, -373.165127348324, -91.0206586046841]","[-528.2458962343634, -672.446236920357, -1030.522693721812, 49.96413176385034, -330.4856589999585]"
BNB,"[-121.59669451504512, -16.296893828520492, -45.42924056360892, -10.281838015449175, -1095.581571008194]","[76.87323523867687, 19.202123594164753, -210.20335528103055, -9.97224242486027, -697.1347662650438]","[0.20073006639830843, 39.454770948483606, -80.26000240404791, 14.177250033992388, -485.22324150347276]","[55.34864730223171, -365.36044484718246, -305.3303777947351, -192.2199675997246, -568.2616949447381]","[-100.55818998633535, -662.4097854270151, -17.39610727114808, -180.77350721837854, -70.81318122603263]","[-174.46523650138053, -759.7625632247132, -992.9329633922711, -435.3449792449278, -355.7293843074889]","[-461.1910762537541, -704.6854822533656, -3827.081725812276, 32.23583910691226, -2313.5577289814228]"
XRP,"[-795.7825272233204, -316.40067793664105, -327.65456179551455, -393.9094016794228, -360.1393471107517]","[-139.7761538015504, -532.7551815296624, -974.1363833571572, -169.9802308520763, -67.73587479017267]","[-182.56962647040064, -884.7420673516618, -436.6669966461326, -134.3203933161442, -66.7457067309098]","[-162.3202645759468, -877.0151747923046, -704.5934697813011, -126.51771393053697, -16.227704710525856]","[-171.36756917093754, -384.75322366643815, -409.24403207659265, -111.48201799358672, -9.969768397556065]","[-132.08577528396495, -414.10125026517727, -1531.10636113409, 3.9814901456562577, 18.408247324931168]","[-75.19388495255687, -621.6808377265672, -481.60494404545284, -140.9771722872545, -10.914774754912166]"
ADA,"[-8.73917031555591, -1277.811577591598, -3025.687667571168, -39.18447178871066, -1101.3524553892714]","[54.74081985554816, 28.592484767281306, -20.728241772663505, 25.467616938002894, -127.31199904832991]","[24.16402578344403, 24.973500926233292, -86.95739076788612, 52.88737395518515, 48.534527535665866]","[23.788085672684574, -79.96351928273866, -61.93567989622528, 43.65213329927881, 57.98024248032188]","[74.42760359160737, 28.386311332373044, -87.29251045387939, 38.39523778217457, 6.110526340996175]","[-48.72349197296647, -249.31238613999102, 12.016910080875293, -43.9590179649803, -385.579328421164]","[-141.31331262908358, -1282.3291490948493, -65.32432840153608, -1497.951747388282, -340.12920756138845]"
DOGE,"[-37.87546355976863, -55.010688004359245, -640.5463609665443, -317.3456628060948, -1000.7375060084096]","[-68.50736096522023, -250.3663702993474, -256.06765806942553, -81.40729158940168, 19.567158666196978]","[-52.400518550858166, -158.6157934828645, -155.00863330637526, -208.73314821142185, -63.81393778330108]","[-14.709988743242974, -127.37480517109046, -262.11439654560473, -149.89438694937417, -14.826609019088641]","[-99.88292489267174, -79.15331366637695, -211.27030836663127, -3812.6572016710484, -45.28145422561844]","[-0.4997706714466085, -212.48441230928486, -219.05004281401798, -44.71601065419627, -151.14460867708638]","[-498.46501578866435, -434.657559569273, -594.9869673638085, -65.40594857606445, -29.366401384446117]"
MATIC,"[-129.57583726050535, -1545.8164280378755, -597.1538545607089, -985.3588744897467, -1377.83107845474]","[75.0018078987827, 51.14751430137474, 63.094230477849436, -0.34241685114054576, -118.42812909153815]","[-135.2706113979443, 77.83461815186729, 80.72101418885353, -179.41040169176793, -8.366753392770654]","[69.46383048817923, 59.825583039265865, 57.290621740353885, 61.188516900633296, -6.00510714973194]","[-43.4977474274549, -192.63220589621787, 72.192108717607, -25.743132122377244, -368.6136472005538]","[-4.455076280874468, -76.33235032299733, -645.5298530446304, -126.08991671604177, -2896.9071707197313]","[-161.4939241493061, -98.38170187901292, -33.43748654515705, -226.1511889737019, -79.1906540242213]"
LINK,"[-390.8128687282737, -340.887997196328, -816.5165620091777, -777.9737179904931, -3495.2612471335215]","[56.46661754571238, -26.831392142856476, 49.28075592312806, -171.99618431221853, -29.76655441016594]","[39.328622084872165, -36.42821065857375, 20.645688092332502, -59.623341239801796, -243.18314448087884]","[44.04712541328693, -27.882067947391647, 29.024096707998293, 24.543533591269924, -107.37863349131973]","[-96.81424734754412, -143.39877699862848, 48.016832160827214, -32.12914547552614, -801.7228920630724]","[-89.86011843904181, -537.7049953387855, -89.82448908775208, -300.6815243236899, -247.42067508952678]","[-567.1787883362574, -426.80442299700576, -671.9303955903085, -137.06441032570663, -1855.6239920053183]"
ETC,"[-264.0889395258154, -242464.52076019355, -4794027.206169294, -726.8710432804436, -1319244.7720213726]","[77.27783241788903, -133.78466421951845, -151.4068645724768, -19.949909203557525, -349.7404687106075]","[51.99946968050926, 18.13380922335596, 12.57234611307371, 10.862917709516548, -28.545625869368195]","[61.96759459232869, 9.846962273431972, 21.2734698550408, 51.47669127277633, -309.5151115657293]","[79.93376420042142, -264.2968587831236, 44.15711297143542, 53.80108408146314, 0.561863163447575]","[22.008395074533844, -259.1143407437406, -113.0519457802313, -14.30020706398053, -192.05286198295872]","[63.735797672307726, -132.84326047255672, -3.1147472915390466, -19.704684869497953, -498.50633150963375]"
XLM,"[-2697333.7707200577, -19897087.73922702, -1243.0869043746573, -34.444379268154336, -271.00774811332167]","[-74.65871096943184, -339.266018361135, -225.72680681897032, -187.28834800405076, 5.55624981109542]","[-35.26590519166179, -380.56898680539973, -259.9883087019698, -153.1166905615342, 6.684404440949056]","[-2.5740371036359346, -614.006620276875, -243.35180095854386, -348.1004760308938, 17.81768813798538]","[-9.005288419257191, -372.75719803874887, -361.0670635582792, -110.07300911204705, -7.699734212381477]","[-62.25444200348268, -423.2618253361352, -265.6972718110793, -357.6925394152001, -56.8815757600667]","[-81.96354324609632, -947.7923439983834, -807.828226467538, -99.28571964120017, -220.4435417529112]"
