,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-1.2645121850142707, 2.7743458688970493, 8.29714647903048, -1.6778242391108749, 5.260691327862278]","[-8.470825732209935, -17.084103996489418, 0.8896838039885878, -0.5693925513805286, -9.217052163719181]","[-0.8691883815854426, 2.890504600417363, 4.142003264098599, 2.0126122325508455, 4.407757140076844]","[-7.560228817531802, 0.7259135808283212, 0.45536428969456344, -16.475237528741047, -4.374757535163091]","[-6.975896927957032, -6.291854952726114, -0.9174219639926641, -6.060360681471072, 1.369947139118822]","[-3.2699723847360995, -0.5835865498041257, 3.452585189867997, 1.0508712504194289, 3.468366214540596]","[-1.3121577892730494, 3.924060503144032, 3.938193726411074, 2.7857308963841563, 4.154853601917568]","[-5.974793382592044, -1.2558970695102005, 4.587257904612038, -9.502755410105474, 1.19989750061916]","[-1.3472762849772333, 2.8715291769426283, 6.646944743212063, -0.008745341963845507, 4.643595590556982]","[-31.135792315153804, -43.24720268248441, -7.150059207298989, -15.056655194323444, -123.73391335069431]","[-12.89744171068671, -15.048569546979945, 0.4386704539385086, -5.716989953200731, -14.015709953284958]","[1.0036164540404104, 1.6549749049193103, 2.7644904029389967, 1.347709083581161, 3.956136518778682]"
ETH,"[-2.0133835819797796, 3.9412185087394107, 1.9545392685822203, 1.0935237320046534, -3.583745195588422]","[-6.848194933265606, -6.794883280592192, -11.030495493403022, -2.3588132677966143, -12.481449310621148]","[-12.183240664843252, 0.8639005622403199, 0.27225320669502695, 3.702390139152506, -7.888445071732048]","[0.6253081136653216, 3.5848597051684687, 2.562706295422061, 2.794491487528957, 0.45566681679006665]","[-20.695580572956054, -3.800925032766198, -2.542453738683385, -0.45153844587640707, 0.5125016249052787]","[-7.9384327013567315, 1.8339095356166277, 1.8283735599138624, -6.907313146169836, 0.3219035478788673]","[-3.8367126704461336, 5.227860579040088, 1.8021071351856641, 2.84153501963245, -1.0825290227635929]","[-6.939330928627024, 5.275965346476133, 3.5889352405782575, 3.155002170698168, -0.6014022485324209]","[-3.178881342146437, -0.43631756825180823, 5.202307369664016, -1.5896054366293415, -2.565178971646171]","[-60.555112108779966, -15.515407968709328, -34.71467768228668, -8.931237803852582, -39.63005812732447]","[-16.712798287528447, -16.617318245965997, -2.6797456180183836, -5.805438784425272, -8.414392445356437]","[0.1711167010994405, 4.510267997099262, 2.9447669990099525, 3.1055923680738453, 0.36165090349874957]"
BNB,"[-4.060969542914221, 6.511851116831982, -14.777307507371685, -2.7565904392300347, -0.9437323243004931]","[-29.414267874019856, -10.433475981696377, -13.590969987893825, -3.297113048564039, -15.736681854079443]","[0.24486922826520346, 8.426912996710085, -0.4579264969092138, 1.253756799212654, 5.541389972700273]","[-1.366714013545383, 7.38900814777676, -1.9504711225959914, -0.5644034374184733, 2.488296240408026]","[-11.173603899624615, -3.5786445517432783, -6.437548197781459, -19.66709775859031, -24.573710415272327]","[-3.344373608460669, 7.043420522456835, 0.4953866159233348, -1.1917489880752772, 5.231498679611785]","[-2.1781767814955364, 8.415100501479971, -0.06346428745448834, 1.7080531301839836, 5.562667926856962]","[-2.0427918309442483, 8.434091619102464, -0.8329969616607149, 1.8501334387563855, 5.2783324503003515]","[-5.269186061415943, 3.346700311101019, -6.973685876862594, -10.117915297740602, 0.6124445284326968]","[-57.702982219976896, -38.95648256752873, -35.49709026638256, -22.753723264174962, -66.1780551264129]","[-6.840000352730027, 2.2809140415386646, -10.596783072674874, -4.063133685859296, 0.14879586552744653]","[1.9890019457725818, 8.20981942357236, -1.8192633226354216, -0.11312742463959334, 4.876492225131432]"
XRP,"[3.2223597320466064, 4.9620314907761305, 4.747434385391255, -6.3150066052517255, -2.5702573043416734]","[-6.855332248479947, -11.853830918381703, -12.069113645691818, -6.384257457225523, -14.020826964729064]","[6.097424294139716, 5.044649307723206, 6.480209595529423, -2.9602555474813146, 2.702229729062398]","[1.4745039350722708, 3.2774960835755054, 9.318757639256962, -3.219889540033872, 3.6445053144716035]","[-6.158943132380169, -13.450896955161229, -9.026423520113633, -23.36169394184244, -20.81049261438949]","[5.832382307124936, 5.079758582453468, 8.796086997726585, -4.282161691631481, 3.7915052509619054]","[2.2900674575941125, 4.8748869431808135, 7.351226254235588, -3.1728863160133938, 3.631118991316959]","[-1.9073621438374537, -22.5024450633488, -6.747087092392279, -14.160724443105297, 1.1695308790230414]","[-9.747459358276139, -6.340263213110256, 2.7107246885844267, -41.9914890462139, -7.535391213931388]","[-54.42112550054158, -56.21661497189934, -36.14894080816337, -9.726433239900624, -29.70841859742272]","[-19.776947822077197, -14.633390337125418, -8.088127936043312, -30.385087521525346, -14.322556271378605]","[6.910051723705308, 3.2533322659591266, 6.228400713913551, -2.530682274089763, 4.545445308767744]"
ADA,"[1.7831515573652839, 2.4499597543174496, 1.8034486914698766, 4.426224544749281, 0.19566395617289428]","[-20.028146613052183, -17.742862279673435, -20.627283962155133, -4.0961294746379755, -56.30789244965213]","[2.4446069939519353, 0.8684484018898146, 5.140281232184448, 5.858493379547742, -1.2375809197395846]","[-3.4176391392295646, -2.159974140284051, 2.835295959457415, 2.927804112804417, -2.3099757215160293]","[-12.064619747673198, -23.300495664091986, 4.595310414437895, -23.334534832820463, -2.7510906481286606]","[-3.566106933057831, -1.1455252780091243, 2.1599004328307005, 4.532104496399528, -4.386008580668461]","[-2.4439523639664515, 0.8536893422759166, 5.023450555461805, 5.863681250744928, -1.2005957203464142]","[-12.444957159916902, 0.8256073721111387, 4.513022511090843, 5.6431530355166135, -23.157579411596586]","[-2.433505737789327, 0.8054448435845885, 4.512361029961876, 4.896724008577409, -0.3686958071956834]","[-28.78293913777088, -25.95845909036897, -30.65616806877354, -24.87798687064218, -53.4046681692743]","[-5.628317873421464, 2.194534372172575, -0.3397640330790752, 3.7507180519504817, -7.411496771045542]","[3.4677619762652565, 0.26688512297616995, 4.180241692260064, 5.600040278921813, 0.25324503038731416]"
DOGE,"[-1.0771783730885212, -3.8642259528116805, 4.685879514753679, 1.4292654175693218, 0.5711294032181938]","[-17.770779452243968, -2.586485286291544, 0.5800675857716485, 0.17256378188448698, -5.528067797707587]","[-6.931207666111665, -4.918305017608698, -1.0316596915637353, 3.6682871482020984, -0.9288525303534961]","[-0.9427985188314354, 1.1888483420754388, 7.717339640658022, 2.833161225958444, -5.855202112567412]","[-0.24077744055100245, 1.6048277165965015, 6.920260964493899, 6.095269226945977, 0.3758213600663576]","[-3.443457465960421, 2.631074652094746, 8.012236720907437, 4.985700226819754, 1.1837748777392831]","[-1.0255220292138179, 2.142306219458506, 8.551512308336868, 6.275400173159371, 1.2685157939968514]","[-0.42464538858819517, 2.049475504383141, 9.890322182786537, 6.0624340896142535, 1.1775395694539992]","[-1.1858971801799896, 1.4173655366158118, 10.367426666710031, 5.97876712929357, 0.6022183686734869]","[-81.94038320265503, -47.69439012640032, -37.51053827703298, -25.277458096128736, -17.364387469611493]","[-5.821317733907186, -0.7898369177334217, 4.485242709942338, -7.492764195733631, -45.65721836626247]","[0.8144717222322179, 1.1927123802387938, 9.611196809625095, 5.05120780053034, 1.4502402149717737]"
MATIC,"[1.834478264808749, 4.169036901344443, 7.039223018362738, -4.75858521854888, 1.3239056542500036]","[-26.987347163308, -3.6575067318205075, -3.138931599695785, -20.63332460859712, -41.882214735122055]","[-4.620634648611217, 1.4649970299750361, 4.071252125886151, -6.160494874981446, -16.75160429073644]","[2.129606405477194, 2.6367869865100486, 6.950093750749967, -0.3591440941022334, 2.2850095960806254]","[-24.497468768492233, -9.818177614527857, -4.661007485295492, -25.364121258565277, -53.28273574166772]","[1.7552220988174903, -4.0693249570003385, 2.247107117916425, -13.318045999533204, -17.88295919321816]","[-10.980568919142657, -2.161515203625379, -0.04291790821950951, -17.01703965757976, -22.771369834906476]","[1.9356962073496766, -16.523503773192346, 4.369890685677751, -20.216306353767774, -17.318604236248245]","[5.747145196267877, 3.834185511232773, 8.085048355534443, -2.9246686897759244, 3.9892916534402625]","[-100.81068841001783, -11.14547004134132, -32.09198352424333, -30.034406193667508, -74.54591454057243]","[0.6053031285838213, -2.8263906026159034, 5.589013314861779, -10.434817807397994, 5.55909720050554]","[5.145823579237673, 3.729372488547739, 7.155787834775124, 0.12147245292057512, 4.7156913413772115]"
LINK,"[-0.9527079696103197, 8.83702666507288, -5.742588991845114, 0.35159797756115746, 3.2049565445232546]","[-16.86757205043442, 0.39327245441396114, -15.64055220413161, -2.0082856241318905, -11.903315786341857]","[7.2948093066039705, 8.304791146583906, 5.971272011137457, 0.5459828849292904, 0.9802305700005575]","[-13.50906286701887, 5.874393997360376, 4.616371857530345, -8.059728310688925, -13.664986027691386]","[-22.10103840518478, 2.8730531542708553, -6.873401304690435, -9.743971828223511, -32.50193758284549]","[-1.6051288190225361, 7.279374848572822, 4.523885275243257, 1.3614565859721528, 3.690036742010007]","[-19.418154800567734, 8.705212513325707, -0.675560626994387, -16.701059814706785, 1.999699062010303]","[0.8078496576897416, -18.495275946498175, 5.2312738865380775, -27.757983981111078, -36.883942292112366]","[7.8024807485956735, 6.073656663921677, 3.346263238144963, 1.0439150047238344, 4.022128526422624]","[-50.36733338747146, -19.617170540145118, -25.08484510110885, -16.83781238630463, -79.69097891089733]","[1.8202667891151638, -20.87136324487767, -9.022665774683412, -11.289611918422901, -21.236406748176705]","[7.099546979556237, 7.85844426349282, 5.66733950770937, 0.515343033118705, 3.3919991848715405]"
ETC,"[4.637104547222705, 4.802470552146721, 6.336332499436284, 10.206811751042288, 0.3903380917723008]","[-17.444534375715097, -23.07272421250406, -33.64423499089014, -1.9444229413741674, -56.711326979606866]","[0.039674124181022084, 7.792680803453537, 3.4994381796827345, 7.031808232145117, -1.6943704815562979]","[3.6169073345296106, 8.118058315740349, 6.438539461901797, 7.515758410614624, -0.6018248440315876]","[-13.77130816896141, -0.13690724682792757, -4.355116631456822, 6.847107420510317, 0.31919758296584166]","[1.6058223327891652, 3.9558941766798648, 7.640597772989743, 8.89965876351452, -0.8644638564286142]","[3.910581861764896, 9.466442378008825, 7.768415548939715, 8.366660498382934, 0.13287491923793]","[-1.1233958708276273, 9.423215074909962, 7.794335132128283, 8.380783878603246, 0.2289266289858612]","[0.4587762624989478, 9.064906094146323, -0.9412657091833851, 7.5453504172399155, -4.651655371105388]","[-25.238741957200922, -18.104590760657256, -38.880714872772906, -20.133590465003685, -69.30715618952354]","[-19.480636152056345, -7.254673249526461, -21.99383263567355, -13.322080983436482, -28.017800541642313]","[5.094981447829209, 8.740433629460158, 7.953058003886232, 7.905664375531252, -0.21191814471959255]"
XLM,"[2.6224711705942054, -7.1250647642272185, 2.5531649205557754, -3.8923865030783897, 3.8845007111709275]","[-4.4333426227924475, 1.570541094968251, -5.836139780333192, -2.287598612214965, -15.595177018529185]","[2.221598528170792, 5.509684338325026, 5.088344432790607, 0.6084215867987537, 5.061034246377591]","[1.8490520501171024, 1.9313638577302752, 4.284700116598169, -0.8758002886720198, 2.2016277212841424]","[-1.7570791570089561, -10.111609266949575, -7.6114252546280845, -27.445417613502972, -7.18672048020709]","[-1.5456317934049133, 4.550269329744064, 5.748990728208972, -0.623058118361483, 4.570849517745005]","[2.513006067768292, 5.080779754078433, 5.155945468038238, 0.8427350871995118, 5.3498164814010885]","[1.411604617186909, -3.405751445442604, 1.700809164141636, -11.90520416028268, -19.446282236896476]","[-2.647833317376187, 2.1075731896346332, 6.0460359363928315, -2.8786671773914323, 2.1624979955900665]","[-31.61424594512577, -16.943674849640303, -19.252456591974127, -8.0710685796868, -15.291327040925346]","[-5.758487624469835, -3.874758272391854, -10.011425962403527, -32.99210811954157, -12.49785518820352]","[4.8296311134147105, 5.281243343943652, 5.042236417856963, 0.010446235903248438, 5.832634422219572]"
