,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[8.203014500321725, -2.59091073563638, 0.17714676206024327, -2.8632830926501125, 3.2999252617564987]","[-21.49201758155619, -10.508648175099896, -25.690697135705086, 0.8444305142230015, -34.24177603045395]","[12.63687219519078, 1.3833291789299216, 6.318809849998668, 6.579165426401233, 6.061272129239241]","[11.354265650254511, 1.4894510047337655, 5.194401014996954, 6.315427051132354, 5.56599260617119]","[8.882073546682848, 0.20203132312668132, -4.5895714121785085, -5.47194825216682, -0.6162702072947743]","[8.909079526111078, -6.272220459819613, -25.69659355038776, -4.474860225335681, -11.052613093065657]","[12.336216900629008, -2.0748874956030816, 6.167007816180902, 7.159835793696956, 5.783631778282964]","[12.842270791662136, 1.4161018408490318, 6.020515100223621, 6.9510864565340125, 6.545649124178531]","[10.310225729358132, -1.2566039878914301, -3.7386562488179327, 1.1393239698475632, 6.255511918233197]","[-28.018137814897248, -52.17365689652623, -43.292385477157424, -62.94817981079408, -65.92370072739197]","[-68.63445046433176, -23.56214133223732, 5.440041820823469, 0.910778011108754, -11.772382036920117]","[12.521325811691353, 1.0771282691222042, 4.56143135146701, 6.74623658120118, 5.605589130581843]"
ETH,"[1.6526601646744281, 3.771784710140891, -2.350035331346578, 7.151908600790177, 3.1020213812053825]","[-14.149937148456107, -6.7303057418464265, -28.301386761823778, 3.560477773914573, -15.052063844067778]","[7.071822669464596, 2.7000066155535114, 1.6779417776691268, 6.5043206117702095, 3.946058704186574]","[3.6059867898444793, 3.284421829915924, -1.9222819847974435, 5.5743646517918135, 0.8183134936917167]","[5.64018409926551, -22.118514072082938, -17.59191500013323, 5.274278895687621, -26.425817564389497]","[5.765739979608265, 0.19100735821955794, -0.1891882010196219, 7.049422404237464, 2.9193007066747167]","[7.344953317729443, 2.7790690491089776, 1.9833365859152248, 6.372478013542137, 2.2246195737725336]","[5.673597429137022, 1.6035127210039877, 0.8556566072222728, 7.384761898507433, 4.387528657639075]","[4.184924640511868, -0.6925302516796736, -1.5515235808984436, 7.133535329713885, 4.162977545454663]","[-52.43682278003463, -25.922645768919867, -76.55325475794479, -16.488544580893663, -73.22058398600497]","[6.112467480156676, -4.509019301822501, -7.297726580484213, 6.709170529762176, -1.2354216023026614]","[6.006673067777034, 2.45261791019177, 0.4809728208971094, 6.053852883866543, 2.8745882860509955]"
BNB,"[-0.2952513398704042, -0.8100137795961945, 5.522576338754691, 5.542552578388006, 9.632732601002768]","[-17.60297705599759, -9.658809059103357, -5.118478393159127, -1.7620657266335111, 6.026537920968846]","[-0.38463223814336467, 2.5869053607200514, 5.537972091323954, 5.361202090203944, 10.902360522331097]","[-0.7510335704455625, 2.6556918778697085, 5.695147635753937, 5.17460294882558, 9.291496923319173]","[-66.93152303407939, -187.29706051020798, 2.7049544482987904, -2.6599829008907934, -109.66438740957409]","[1.6813174522605854, -4.398933331076224, 5.567101466957035, 6.253270910792833, 9.204353079510383]","[-1.0553852796587797, 2.1459160125755363, -9.110986196059322, 2.0989462660198086, 7.108187034143762]","[-42.421243780325995, 3.099071277827778, -8.211387630330991, 2.4574565690809664, -8.321765453946513]","[-0.9603098028635118, -0.2877973491143869, 3.499785342223375, 4.804205795699167, 9.227618609036218]","[-85.5299773654911, -55.23236322623957, -28.387528969926734, -16.82439159468497, -49.918466264474525]","[1.753488450016312, -1.4855873738487477, -16.96736777560183, -3.906227282375918, 6.240921183745591]","[1.3928107809325132, 2.8513239686381504, 5.6089836447081245, 4.739885905153414, 9.031773112680796]"
XRP,"[3.424029901657586, -13.26882854872022, -8.101481900105387, -1.651898652317186, -12.035852703613815]","[-2.121039444852877, -76.91766624101759, -21.48091671851774, -5.083506661528107, -52.43077136310505]","[11.76724501284912, 5.985243757240064, 0.3031779912878088, 1.401570798505303, 10.791494370226491]","[10.291337012442558, 5.01184433471423, -0.9583463162264388, 1.4264936790736316, 7.079831029989957]","[-193.84342506726168, -146.3903936055367, -2.4538732875972724, -53.8530805848372, -7.670146796111629]","[5.701126414715867, 2.026046277164705, 2.0178153751562755, -0.338954389831952, 7.320239675563199]","[10.46166301222577, 5.799484806946998, -5.652502991648344, 1.239720918674109, 10.56467040475747]","[12.782179908360375, 6.029898924685459, 0.3171865192478508, 1.7577176424382845, 9.183518916073572]","[13.049800637784589, 2.4488220289797926, -10.353352188582653, -5.662039469467993, 5.634995360886749]","[-81.13774208976544, -58.57152280170259, -46.96188973303061, -18.561213736039235, -75.98145494169947]","[-38.355565115258784, -21.546216410759797, -29.0314760622769, -11.655830914531794, -57.52183190619662]","[12.67233356804152, 6.407920802232801, -0.046384328775060504, 0.9247391018240132, 10.34356014378734]"
ADA,"[5.146953240972383, 6.435719204154183, -2.182677651208574, 1.3486276930581056, -0.26179639344617384]","[-35.46442136657924, -14.55474549540427, -21.19400333791434, -12.204924330429408, -22.563324295139676]","[5.315894307739404, 6.815623730114631, -17.44524440771359, -0.4556339843528733, 4.4839452107776]","[2.889670756130687, 7.525177961785831, 1.1926747357071463, -2.702937455602075, 0.14288473547030273]","[-64.37501705337097, -24.735108970179724, -13.817597593224523, -41.38743503593787, 4.8004129994275635]","[3.1388460157903357, 4.783313579049667, -3.737607260172491, 0.5965426219029649, 2.302213001043405]","[4.484646526248136, 7.063385281761005, -12.598238730769628, -1.353844961481804, -4.346442904568963]","[5.1330839398449655, 7.035244771838944, -12.320406148085114, -6.239698768961653, 2.2151425950723387]","[4.823928343907875, 6.945533166915006, -5.856909537416089, -3.750061191495815, 0.19856272931341903]","[-114.91515755110633, -96.99289639594029, -41.251865826513324, -31.39734861974618, -63.190516503127306]","[-10.907076431964107, -0.9231908082749805, -16.623425236421976, -18.493572632806266, -4.363522409960981]","[3.8941615759937536, 6.484253483255293, -1.241838423941933, -0.5752147056489848, 3.415239335047332]"
DOGE,"[-5.889997920220956, -8.220298081915622, -8.219696483667644, -8.628108214956939, -27.01538827636628]","[-26.979902650134242, -13.98939076950341, -19.19856338194912, -11.591615561400909, -18.888066470244066]","[1.03079329863391, -0.36043887227982757, 2.6238465490838423, 4.6138381803846995, 1.9464103474908754]","[-33.2467328776287, -38.80615288973296, -15.46850628132649, -6.192211224287704, -18.839152719555425]","[-19.810739099477072, -19.849755600987333, -5.13324314254469, -2.158293312603874, -18.857892055035435]","[-8.61731329744085, -18.41534577244201, 1.604102208420778, 2.6669080221328962, -1.5600675585430404]","[1.5962001978339448, -3.1469525123936894, 2.5798999594802083, 4.458677595230836, 3.276966690651642]","[-32.445386366423854, -22.852274421024074, -16.45534788970019, -13.702510534075424, -25.46755967242584]","[-0.9110042592022216, 0.22302207351680958, 1.1259650831690293, 3.883686599116894, 3.629566547820711]","[-80.13370052068167, -109.26400786495766, -24.694648773381754, -23.974569560229828, -94.7526380048448]","[-20.86694412953996, -12.164623136079141, -17.241653570109275, -0.9455391825987911, -13.669030442038338]","[0.4687759121407233, 0.6823076196069646, 0.27522714457683517, 4.88827875762584, 6.0765431693507]"
MATIC,"[0.7863336674626578, 5.771114408352821, 4.7914221778634545, 2.327894551178726, -4.242949040106999]","[-24.38947383913551, -7.911947125509541, -7.448960895056852, -0.17029571321094528, -12.072055691227755]","[4.525613755353559, 7.660135258329104, 3.9264332057735376, 6.340801629737667, 3.958639717871236]","[1.514497476980588, 8.285000783970228, 0.7754649380890046, 4.914122003639383, 1.8630579099789175]","[-1.786638259621492, 7.302610630475302, -3.7441382294347374, -2.7599818603967963, -10.914382498030243]","[4.403940088847888, 8.782504670437081, 4.744286385995953, 6.30764428031297, 4.255464980824358]","[5.025351115010277, 8.18647977719326, 3.5457323703748864, 1.4886682402393598, -7.029535528107273]","[4.913864214141543, 7.12486096921765, 4.37407512948266, 7.100865404610433, 2.6470584368399708]","[-3.8133800186760456, 4.303808252243525, 1.2587207497699446, -0.4564511148452558, 0.14200198898592628]","[-98.12338076585037, -50.5551374539156, -26.871021135921048, -24.48116339911872, -67.66104403915023]","[-18.780672976167097, 4.736687686923432, -12.483625434212959, 2.4135718944712905, -89.7344526802828]","[4.894853679391611, 8.294134413918224, 4.039251723203999, 5.578274171191318, 3.6908879878603815]"
LINK,"[2.96014538026787, -7.656273302900109, 5.617859152483246, -2.9535384543241787, 5.5902930837178895]","[-1.53937419671195, -11.548795958455786, -9.085925071734028, -2.309497098081897, -13.05065543900601]","[9.417532472304535, 6.558493817089939, 6.749500124230903, 6.160452167780084, 5.9289020081779595]","[-11.966037489064611, -5.171437141224297, 6.116855401261347, 0.22739742074061237, -1.7030163363268882]","[-17.630594933587133, -28.954455243953653, -5.052189959672005, -18.31499009028484, -2.237124751750939]","[9.1003878081778, 6.522649864412772, 7.798334763640101, 7.189568671307864, 2.2207560120152077]","[8.755474391818698, 5.889114361644111, 1.399957425616331, 5.922772522882533, 1.7900203140008137]","[9.73433688684383, 3.8440120389220795, 4.751321837292904, 5.843238111400104, -0.3167179568764016]","[10.19708741710623, 5.4384385724536415, 0.4064162232493809, 5.5077407493395745, 3.926654691052917]","[-86.18957607889212, -56.98470102453973, -36.73843297866617, -15.137987010132264, -57.86698057264598]","[-2.721993742281102, -12.369133119461518, -6.870758733970024, 8.999482250973646, -14.627521315597264]","[9.377418535030355, 6.307135453634858, 6.998697370513074, 6.020696223196606, 4.8354979664911]"
ETC,"[-11.442632990864388, 4.635090891748702, -8.544576850784495, -2.9809837939748767, -9.977233596832349]","[-34.33054879340853, -22.448894369305155, -12.090315229170873, -2.54025500895392, -30.702388125981468]","[4.267775141280597, 6.784089968078247, 0.3721166820388989, 6.688196510977725, 0.012382497845222972]","[2.095643425174457, 6.406529136177644, -0.354232062690862, 6.298482319328818, -1.1008822341275526]","[-21.94851853680947, -11.433746626900527, -18.887364790077108, -4.793574478533685, -28.69766552594341]","[4.933096992971323, 8.54915595225076, -1.248209223930033, 6.324332219049779, -2.3629596282210135]","[3.9917808955020417, 6.778188669396773, -1.6814963543407058, 6.136113012821216, -0.15425925568359133]","[3.4951346005237838, 5.336837727459525, -0.632774981623719, 7.597880800215304, -0.5563389572768204]","[-0.13774464044595136, 4.5861511368502255, -9.904525605297954, 6.164695974126879, -2.0951820542578594]","[-64.51565878859678, -55.960019767822764, -44.086876882987, -26.90792011129798, -83.53833973673605]","[-1.4076874955589465, 0.21035245398741018, -19.629986270699554, 6.234236098850223, -10.290719716422696]","[3.168036973408337, 6.547370738313514, 0.023367772290828814, 6.188458310651907, -1.9582781318660087]"
XLM,"[2.8908579813928306, 5.924892699923056, -0.34008404719450397, -4.074983268745307, 7.585704050455179]","[-17.292533542096166, -21.753677192993123, -19.69725983550799, -20.020629053062677, -13.613507952891881]","[4.083913485901579, 8.143899904236584, 2.243268954923037, -0.8014389243555383, 8.6003330595499]","[-2.264415169089272, 6.6230925150580084, -2.38114693160919, -4.748025893582315, 2.7841768903070148]","[-15.167239825082726, -12.11971209045381, -13.032208614911015, -13.918482645487742, -1.7879413875087815]","[-1.1481135767479371, 3.761579753194607, -4.618392148773185, -6.047489872501052, 9.513009487145629]","[-1.8558425086945047, -4.370407969385094, -19.372270543125193, -17.444283295450386, -13.345077397843784]","[2.5583054224942416, 7.909813925856328, -0.8993991558348019, -3.2928521691102075, 3.3521221949048505]","[5.078848550820591, 4.476254627290698, -0.7261400147660474, -0.9553566997522858, 2.2749097810899466]","[-65.85468613327728, -42.10828044683685, -34.717763189851254, -35.755867704836604, -38.18513233294307]","[-5.466131892691882, -15.402558221875381, -17.924953578576616, -12.422933192916156, -7.552695957659592]","[3.0665112136045414, 6.710963072479051, -4.370186084347879, -3.187647924639858, 5.067488311532782]"
