,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-6.776020159244081, -2.504990892073853, 3.8103038202090946, 7.228863646596261, 0.2553915280303712]","[-14.044885129914816, -5.069106254747684, -10.02599779456855, -1.3804572413822591, -5.0936144319498045]","[4.152673657866579, 0.4265651605282514, 10.887317993209486, 10.195616182559899, 1.4182771500185847]","[5.62598433262778, 2.396068266585236, 9.282772843590534, 8.887372224102338, 1.0714718100159]","[2.8923376450869265, -29.03822002556733, 3.03609699915569, 4.7120000013055865, -68.90156140295258]","[4.358043190074694, -2.1834165575123077, 7.7672828957155575, 9.790798674806831, 1.5750329571614874]","[-6.5814654731102165, -5.28030620070892, 4.695409150459202, -5.093591922358563, -5.108567217658662]","[5.1817928326444305, -0.823090979195621, 9.49566593147648, 9.579087883498955, 0.7646327687823347]","[-4.617903374315482, -35.48107479665133, -0.5990647997936857, -1.3654404254213168, 1.7221288322600183]","[-46.53076388775486, -5.57891620461619, -7.354432504841779, -35.01801066414766, -35.55438021957966]","[-2.099150308664569, -14.146019919475131, 2.0368932849003527, 3.593933826203951, 3.163799377306887]","[5.488920592655255, 0.8721298489169902, 10.235426969011433, 9.212829904050086, 1.0291486421690628]"
ETH,"[0.8190146486295257, 2.0661834923383133, 3.4347443105757, -0.017049107679637437, 2.4759183937922455]","[-3.7153333960322286, -9.059277044422862, -3.2612843017643596, -9.778596922319757, 0.24599959707362948]","[3.7915482220613534, 2.439043067130218, 5.428399733319799, -2.021198807191367, 3.510734417852886]","[2.3982598135866198, 2.348540649375343, 4.044590768514514, -4.179437064530781, 3.481104265165267]","[-2.175759461646835, -4.184335120014451, -1.8354188075840292, -1.8101310501841474, -9.673550289442945]","[-5.31849215182255, 1.5072090107677611, 0.5550729808150254, -0.1503371423165817, 2.695818166255116]","[2.166669181602438, -0.18798359195326056, 2.231685167314356, 3.7851655724133995, -3.399019291747649]","[1.2420267591866305, -17.896036106500794, -1.400222837723128, 0.7682235835657208, -2.751147200332175]","[1.8528524034670373, 3.2684913401883606, 1.366344422170144, -1.128268927805306, -5.614720056287823]","[-42.31374794151661, -13.352047126923793, -20.05492502769036, -32.39618985754508, -10.356498164843023]","[-30.750322447480364, -9.803461445760348, -6.331117660073167, -15.12534107267873, -4.454133834069528]","[3.2271262350071312, 2.2381031281641777, 5.399068367832756, -2.7614296021090947, 3.1854454855243874]"
BNB,"[4.188860402432327, 4.7987683755601935, -1.760396540671281, 6.110071798103832, -0.8460622128632425]","[-15.803986226752112, 7.082969346415295, -68.18917582021126, -1.2011095414095148, -5.33835598916637]","[6.164844767326716, 2.6313775387993426, 3.5817914226979304, 9.151783361961067, -0.24941377365434456]","[6.003488260011953, 4.287387835177004, 0.21685753927534077, 7.104961045371352, -2.5976052436690447]","[5.739828637656283, -10.448825405059223, -3.932427349179383, 9.641562204480254, -0.07697479984131697]","[5.516404739983232, -0.27906489512573035, 2.080797684019609, 9.214268998161652, -0.08383298041064922]","[-4.685346616884653, 0.24473565607708794, -3.7412970861817065, -1.274256254864221, -3.6665042681117566]","[4.049496432683619, -10.424352577969428, 1.1195301360712289, 8.786729367922828, 3.0307215460704615]","[1.501954091560389, -7.036509065839791, 0.9218680134943236, 11.064643414969746, 3.5224754918989776]","[-75.72532801160648, -12.297366863297128, -8.437305277977831, -27.905738741659537, -13.066814674036648]","[4.8124671648661055, 2.7769632288317285, 1.6199326313145093, 6.522297829227049, 0.7536755243028035]","[4.399050686151054, 3.477155148664632, 1.3823711974446555, 7.4525346887284964, -1.5276071023037028]"
XRP,"[1.2376829385973582, -5.294589211240864, 5.241163645511504, 9.74248817581622, 4.893198281855645]","[-36.91196370975218, -4.715801768400707, -4.987192607273759, -3.7155516658007364, -2.8965534392922554]","[0.6059947425627676, 2.2473146390372225, 6.61428222424711, 8.64522822793975, 5.511378960599793]","[-1.2754325352981197, 3.240042291565252, 4.897421186186014, 7.236882113561148, 4.236262878904573]","[-32.4921538891328, -20.509170571709912, -8.81093145576812, -3.9894248621821227, -21.368760903949745]","[-0.04725944663196881, -0.37035495510649274, 5.097502595284621, 9.111846430359801, 3.254478172169434]","[-2.890095644658019, -13.052638452019377, 5.504861918260815, 7.474728098705027, 5.170709240954562]","[0.5358771043970472, -20.565820329809103, 6.884251270594974, -0.00879487281203486, -10.405421938913758]","[-0.17612417104753106, -7.826953903966774, 2.363627022596065, 9.174823750868676, -9.41030422246434]","[-86.60544997592321, -32.68157777426162, -3.1555010792515312, -40.1658587791836, -11.845872074921886]","[-6.52662252672296, -10.498109414856904, -0.9535564028741876, 9.941042590871021, -5.198798231262149]","[0.4106630994536018, 2.821066805430469, 5.5650129853700125, 7.592963557325236, 4.095270227005053]"
ADA,"[2.0001880387280453, 5.948930024270377, 0.8541565585098152, 5.6462452000676775, 3.255846442218926]","[-24.69520944922593, -17.81814446916805, -8.322390567505277, -6.782289775039393, -1.9172650264600841]","[5.358012297520824, 6.764219604414953, 3.289083819397974, 5.394164682573685, 5.395092376378062]","[5.128881388366677, 6.948152034659852, 2.774797643760181, 6.117153481150446, 4.702308449015706]","[-0.9427046251008718, 2.590541475195735, 0.8841052688686725, 2.771320062149659, 0.4228404299408512]","[3.1262892818964065, 7.004897041668087, 3.3934773421167477, 6.483228092594887, 2.3973032168958306]","[5.62915347976712, 6.835063271577126, 1.9530359209520443, 6.70499217215303, -0.4709183019253217]","[-1.107617167772803, 6.595505126951131, 2.540235754412808, 7.964893272907404, -1.0423824474989256]","[2.035812316215837, 6.386070824417903, 1.0658524550582418, 5.999711925480584, -2.531807677751026]","[-63.37973768193166, -15.455262660144307, -11.825704035775265, -3.6426049264297418, -17.08834983502976]","[3.5779078636024466, 4.311230509029381, 0.010663399134222658, 6.118633041143321, -1.0719757401284054]","[4.82399342801462, 6.765453400773771, 2.460998228832584, 6.4663779004798725, 5.379409243300959]"
DOGE,"[1.0760052183442839, 0.09675828634802354, 2.8713261406734967, 9.223492672199988, 3.541488171638411]","[-33.49291302695111, -13.679386282035574, -17.4775955100436, -5.74830756716636, -21.103102387146595]","[0.48248349834047455, 0.48258487731970495, 4.252903485085588, 10.831655780442308, 5.013346617689617]","[0.5883842616475767, -1.6078120486930272, 3.2454508555137815, 9.254377196125363, 2.9013666693680356]","[-4.112335020185613, -29.84484645147876, -7.831510256284566, 8.282330986808102, -3.076286111985118]","[-8.48501356645274, -3.25584504617322, -0.33829647222927356, 8.012201842349405, 0.003959171385639574]","[-13.847841358409132, -5.678248963349332, 4.668217267033697, 5.274863279676424, 4.260303056755763]","[-0.027894331572054353, -0.4057529114306658, 3.384505883579992, 10.468831999784095, 4.255395302924699]","[-4.383092849569092, 1.9271411083786667, 2.337083405905377, 7.326910602985952, 1.5140717395653303]","[-98.10758783733338, -71.63862625372968, -32.75150304651767, -19.743697946851, -6.927368110817595]","[-4.68464875373318, -9.780513897387339, -11.53234595381387, -1.4359150029462693, -1.0809523215750025]","[1.25911838244212, 1.2082782896700368, 4.442268982169879, 10.02377604425077, 4.143028303309553]"
MATIC,"[-1.9989550263853246, 1.4870051568231437, -6.154707876723191, 1.3985355343729589, 1.368459005724909]","[-26.85734195632908, -13.536282304748662, -11.10498607393801, -5.33842600211435, -6.71412181347746]","[0.9468318167622815, 3.903255489212577, 0.2177398375207269, 4.250003075808729, 4.7622882101003325]","[0.6056907170224596, 3.9743417794825904, -0.5898872603174431, 2.1927552695154477, 2.3721506933189525]","[-22.01922401796825, -6.776908630808956, -18.148585436720037, -17.074886048263195, -8.426088108977817]","[-5.071684124828015, 0.5874076314963877, -9.371242683470255, 3.463780578782785, 3.8490867922631655]","[-39.86670021328396, -2.893315045502265, -6.153524811899841, -7.7242607262101695, -3.9972937086979488]","[-16.300651038345492, -4.449063594841742, -0.5998720404292944, -13.4129404211018, 0.44955743784037333]","[-6.44909790772314, 2.1066102333546914, -14.613630912715308, -9.166020249085152, -13.237558107288805]","[-66.10897146887112, -14.616850520254102, -14.760683369027486, -64.76224017566243, -2.279521782441844]","[-18.116402218495434, -9.598921063931567, -9.818053736264789, -3.74840796339386, 3.136847925120138]","[-0.39576032722733806, 2.8113035304470064, -0.5458282978900473, 3.8889080776432015, 3.809725171020137]"
LINK,"[7.973802308158211, 0.6142920115451501, 5.470608862166819, 3.842478463021543, -3.620204637274653]","[-4.62214772384607, -8.14692954931001, -5.388957649948572, -8.96342437988576, -8.733857963578155]","[-33.21044242759121, 0.7763991014915865, 7.077111215669538, -2.607916412013146, 2.847715775569642]","[5.520074342492024, -0.26045081754925536, 5.823729259495174, 2.01558271049434, 0.6893611761994003]","[-6.357443152726458, -3.2390621687002947, -1.0041045465734892, -6.05070712033954, -18.260051702966653]","[5.166220001407675, -0.5937109631236448, 7.790542785147105, 3.905220054677696, 0.014503215852165885]","[4.122784137184236, -2.796241452530476, 7.390029134001998, 3.9509111297806507, -0.9960223191480938]","[5.811562402050304, 0.5162928762856049, 7.7408562149418865, 2.96795803349855, 1.033136596882149]","[3.9638255290551356, -3.655265385572073, 3.797580622532451, 5.126913499939738, 2.448746242437478]","[-37.22213917069645, -23.7654601097648, -2.56432012373561, -5.406111834651886, -8.38934816684123]","[-19.444647286827742, -13.371197244958422, -1.8172178051932497, -7.11167020212959, -7.415899098763582]","[7.576072652376895, 0.48821093773705404, 6.155597153668362, 3.038980008015805, 2.656953529395883]"
ETC,"[4.361626204611695, 4.254379742320017, -12.973759324675664, 0.38298734664009104, 9.096163743550028]","[-11.073277911226539, -0.43282819103307646, -13.268474440730275, -14.476254715465606, 0.07088930703879023]","[4.884982560599837, 5.005158984730822, -3.7894783297881123, -0.3085500006183252, 10.269870050836575]","[5.016983046828733, 3.9575998573234594, -3.6813829787465306, -1.4970094712607758, 5.749741367401608]","[-19.588869025162996, 0.3456584988876186, -10.446483886314887, -16.253660150980334, 4.930451716487184]","[0.2515769495277561, 4.875633073576218, -3.0333322288930464, 0.1485401862326925, 4.1018805531365885]","[5.169000848250495, 5.017411157124692, -3.735365487262991, -0.31811446452166325, 10.140279045220591]","[4.41005401241025, 4.993277162747574, -2.93651027312022, -2.0965410703669374, 7.115361375891556]","[3.495977384748373, 4.9066239167392425, -3.406275410912406, 1.1918006957390956, 8.091228575983497]","[-66.99958825980738, -20.382104826876372, -7.506039312829649, -18.820071957959758, -8.541413428116522]","[-4.035719587359371, -3.6881495870115457, -18.569751169113786, -13.356499955245301, -0.1461462695606487]","[4.925360512545715, 5.326220070840678, -7.355017426252236, -0.8815104323927206, 10.246415133020234]"
XLM,"[1.1931794014673174, 2.4979108739722053, 0.42193515830733563, 1.9381273670907522, -0.8562219343784542]","[-14.472062721368346, -13.6067511041782, -10.596746113271323, -10.849139874300734, -14.797748904165337]","[3.259256811712974, 4.289084633535675, 5.040957030575426, -3.2442710040504044, -0.26471614624074347]","[1.1159418750126742, 4.990913281819323, 2.4031748347290884, 2.159288816604371, -1.2761314924611016]","[-4.91934902652879, -8.553415795698006, -6.521707999534754, -10.724527208598175, -10.529415771351868]","[-3.0974876038726715, 1.3538308940285504, 2.162732356321888, 1.2968832830959338, -2.862918594685944]","[2.8777418794424867, 4.527263481325453, 4.938015234232786, 4.8198141119024, -0.504133787729299]","[-11.158044097745355, 2.36491765513245, 3.240923031679014, 4.118309501870758, -9.445341502025393]","[-8.535050354328275, -2.72255749858842, -0.006050619877523237, -3.1769527632852546, -8.253136433646317]","[-38.65603683386995, -20.584309217973452, -24.19055962632223, -39.49616521756789, -26.824508854331224]","[3.740838974047553, 3.2947374918658374, 3.8405818926926036, 4.383179498468861, -0.48356163258101237]","[2.813230579068172, 4.511000923559681, 4.942217563511047, 5.989560577118534, -0.5652862725374156]"
