,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[0.5452639234576897, -1.3826876040287346, -6.693276064008756, 0.30050075378426605, -0.5946169880820987]","[-14.129302611080957, -19.728075092443675, -16.38825019154061, -11.634116831041782, -8.650668900002307]","[-0.5694831853452774, 2.639863997145384, -1.5125188660214683, -1.2558629583767194, 3.937075910994292]","[2.913033903838329, 3.4410188042077814, -2.4500429260754264, 3.5970684511346573, 7.506499159244127]","[-17.079460491059375, -33.5052966590936, -31.313364762975116, -9.606933661207078, -5.40854807425744]","[-16.241919943141735, -21.20782906253917, -15.808719268896185, -23.242973107802825, -13.584872923505523]","[-11.335594655001529, -14.245967448290378, -18.2419777823396, 4.3230908555839465, -17.38553947661873]","[-0.6984577859453986, 2.5740461098576155, -1.890850913102469, 4.941577803053881, -7.400429746117046]","[3.1663582390539964, 4.186328892118173, 0.11221418406302604, 4.833127239204618, 5.372375496505787]","[-57.29531731892301, -39.10036320427802, -44.65046941352969, -41.362844660275194, -48.233924441081996]","[-12.529544975974147, -10.063989616088948, -5.597825200338613, 3.667220436112631, 4.250229618807329]","[3.1239567614833588, 4.811501697958135, -1.1592356273219253, 4.7420994768442455, 7.61672319233188]"
ETH,"[7.841366000677621, 5.125141093529733, -1.2216560975866595, -1.3810785845510851, 2.034274586784886]","[-15.81953834186842, -12.33759829534584, -13.16727506932226, -14.016883415525442, -17.292163483057706]","[-5.043715867071944, -6.49600583487364, -3.4711806382610217, -3.0871142907069675, -8.809402125782448]","[6.826001045276096, 6.887655448545892, -0.2819306704713454, -0.8205362421818826, 0.04703907229332351]","[-13.114793386317606, -14.787950775707179, -6.790550274806965, -18.741197824245045, -31.793129807555466]","[-12.121245339529754, -8.691739616439358, -0.10099859614411157, -17.57703541722651, -36.60401624021493]","[9.68347531113423, 7.183195244284811, 1.0464107595947219, -0.027281871563857012, 0.4399450958703051]","[9.76006684884835, 5.026114980227909, -1.9570691988898263, -0.8753964916635224, -3.3329075348107544]","[-1.627586629817172, 4.858545953274828, -0.9037130610147169, -5.293649872223498, -4.5407996365839765]","[-45.7154957318787, -49.42120441642777, -35.379818376550396, -37.184791008336795, -93.42251617513769]","[-15.588963604996248, 2.301179259799344, -5.106650645240866, -12.52299546535562, -20.666055099760026]","[9.331559121382485, 8.937254373809147, 1.4942322560036574, -0.3719566822413376, 1.5260505014912622]"
BNB,"[12.42750114970735, 3.115689924785055, 1.7819125077371218, 10.107844390420365, 3.52217372080336]","[-14.231534636260587, -8.566248788527366, -3.6541313224902603, -14.144528662191854, -20.09773365921329]","[13.677909249336487, 6.922110749735213, 4.686429989562345, 8.694538101201656, 3.2089082041235075]","[6.319034586320712, -4.398441722610115, 2.6187826894762063, 7.875633017816523, 2.4155194811816774]","[-7.105074529722113, -11.292517897744583, -31.53444043376958, -18.08799050824352, -3.7348742047879218]","[-5.507682340900287, 9.43248013304528, 4.499438598046666, 1.1997659222937058, 2.6843884960919038]","[12.296165475445124, 7.006274436475135, 4.768477428938544, 8.896218413145156, 2.500409662710174]","[3.7356455768222907, 1.622247620437311, 9.714962565509065, 6.424530726288455, -4.076301142264108]","[12.21388501335122, 3.830655836886332, 4.569387335504663, 10.09414316813149, 2.140918896627909]","[-62.190848708253284, -79.43547842851308, -41.881341341534196, -50.51904225433857, -44.007267259458025]","[12.578927371256881, 4.566350436863658, 5.691683326151242, 11.326450418903109, -1.6444428731557006]","[11.393436188667872, 8.881655983576055, 3.481488163175421, 8.5253141652582, 3.003530044495419]"
XRP,"[7.3581608675648225, 10.353018252246741, 2.490204939870516, 1.463254908032726, -3.5561061080086644]","[-7.360384406211677, -18.46328385326471, -13.218162410576124, -13.716859197440206, -16.107862773551084]","[1.7775641662789134, 2.727249511727291, -3.8248017159513648, 0.1114416624361226, -6.046326432306256]","[4.104087493533905, -4.882585783944325, -16.39359515573278, -3.9415832433991866, -13.136446283509418]","[4.50106979967344, 3.250667377005658, -8.2139448572506, -1.001506587377568, -9.67723420707163]","[7.502805513571174, 7.990693048916883, -1.1737649075668761, -13.21812844327038, -4.200689014304762]","[7.778106045698946, 8.877292159850622, 1.2865099676202423, 0.42763276975660597, -3.420510547852435]","[7.506900908703133, 7.327338499228853, -0.08554325488097374, -8.631307905481012, -20.890756105008666]","[6.8106585154791235, 9.830479430032774, 1.3317303744348312, 1.1682444670462033, -1.790092582561633]","[-86.8800305478826, -121.01528762785128, -82.55249253367467, -46.19518745561984, -42.76441815129605]","[-7.911542172623746, 9.756611988208155, -9.726702905390795, -10.580554486987626, -15.737149961119318]","[7.163386367407602, 9.573389893840837, 0.9070692199392775, 0.1118703591005514, -3.1405483439845754]"
ADA,"[1.3358788170927294, -4.166573960702613, 8.10996293698794, 2.7243003315739, 0.8793271478797678]","[-44.098110209500696, -47.368708673550714, -18.206374133737025, -44.23850716086385, -31.37879015462245]","[0.5144234493212532, -4.317654595670906, 10.30034432869609, -2.133985499762851, -6.370359049434864]","[1.3108943826536585, 0.2566964719562368, 8.955895439105635, -1.2236508419685053, -2.702623836497188]","[-1.593049811401499, -4.904639838214303, 3.3525908157315376, -12.5406685029679, -9.324758075524738]","[1.7071994789395635, 0.39054390462490535, 10.165886314921064, 3.654189791303785, 1.737354885196005]","[0.2898124571701183, -3.6687821161785235, 6.139380458738164, 3.4642548856511066, 1.9289875274015096]","[1.958344592672916, 1.4988431263423803, 9.826702361317585, 3.4088845180697436, 1.1474462615995797]","[2.386682295780386, -2.7011090869836836, 10.75915633310578, 1.659758368684243, -2.2267137374804347]","[-58.79772844280075, -77.12986318349255, -22.271800269789725, -45.33519843198685, -88.04856179559664]","[-3.529537116440567, -2.1503521226503555, 7.401085048313923, -10.92338618521477, -6.299604441758822]","[1.9424944591602218, 2.6153728887737486, 9.686214086277904, 3.8160337587789375, 0.810991209032938]"
DOGE,"[9.447698639274236, -1.1929091347282694, 5.239319284022478, -3.346954030567716, 6.781817163233963]","[-10.56096040315603, -13.889954173754282, -7.502518199585461, -8.417641653238341, -12.271784112812563]","[11.602929526393693, -1.7308577705510697, 4.480393165988051, -0.28177722205282113, 9.808000148514015]","[9.59350179983301, -6.487122245301946, 4.773444357016254, -1.6021926352172082, 6.188916981613723]","[11.411074436533806, -22.22540370198684, 1.249724262902127, -5.89618843288802, -1.3345734915615903]","[6.872709595588421, -4.2131448565094844, 5.418080493330804, -1.3875084188248974, 8.024104993869036]","[10.40583339753536, -45.20918610163195, -4.477863898732323, -4.21161447425959, 5.609992264879666]","[6.202567444041905, -14.365139718561643, 5.843581039791798, -5.5883743962669925, 7.817935809934802]","[5.397009756222967, -5.8746454464374915, 4.115737703371923, -4.48867554081488, 6.8971754239826115]","[-73.15811901214543, -207.47001444123012, -31.80324028100059, -22.73991105470644, -62.01210520773416]","[-41.96017689236824, -103.19448013538819, -5.6841925887059706, -11.371562829146612, -0.7802272246930074]","[12.192572996668988, 0.6178379710382923, 5.072452917034855, -1.3632487998446696, 7.0229446002728375]"
MATIC,"[-22.006897146879865, -13.53938004285121, -2.483164091865038, -10.53223700701225, -10.563663758729765]","[-42.24840167862468, -40.74473173686108, -13.119646219569809, -26.742144986070077, -52.56264464877477]","[0.8505702452462851, 0.7849526085571835, -5.7725061508810755, 2.824686398220131, 4.700950145489922]","[-0.9295871538688019, 1.499217187626787, 7.051356639269077, 3.0598757968625727, 3.991826732570088]","[-1.569937757108237, 2.0626099076267557, -20.03354892097268, -7.167259683523343, -2.1129873889638944]","[1.086624825467828, 1.1423104644675477, 6.909969056552294, 4.322313759237878, 3.233631068506394]","[-2.1459794720975154, -1.7306997037946703, -8.593705312940623, 1.5595051806760023, 3.677670729286462]","[-23.059136663436476, -19.8889398734483, -23.833552192199175, 3.7439694658661336, -4.638883535721485]","[-3.118329480596883, -1.6282838372956874, 7.051642879999211, 2.2305614361673296, 4.23280259230052]","[-77.18831746560659, -95.1251842833564, -26.100566162086054, -42.52620313978138, -88.46652436499586]","[-10.419593243551617, -15.398893120328024, 1.951053105521728, -2.4015613285562893, -4.448643767307222]","[0.6516650575768098, 2.1169794366928683, 6.979776916839034, 4.376895510925862, 4.385224403615844]"
LINK,"[4.428879710666409, 0.5097556343024063, 4.5422206991556395, 8.361950333724575, 9.507942626679851]","[-16.91673995780994, -16.723246161768635, -5.024785699745374, -11.187179293113264, -5.886772678137996]","[9.743391320860495, 1.6226400345167098, 4.644470658927623, 5.4545325136679566, 8.811569297294785]","[-1.669211430923697, -9.513902780546383, -6.57852813132727, 6.876137503615677, 5.0022880876527624]","[-7.9866858597028525, -12.982091465064974, -13.596048971026892, -25.977854750834428, -9.820775744926987]","[10.159328615603993, 0.3176764904938933, 3.1076895058621554, -0.7809215015089294, 9.992919028510682]","[9.766362997184464, 1.9239002527310547, 4.733077739433723, 7.330090685772254, 9.0626394550981]","[9.398754878229722, -0.1294363505339226, 4.144687021999192, 8.009591468666715, 8.997809135520495]","[-0.08845109963454412, -14.065209460421144, -11.080720157322991, -12.061735680322146, -2.4614251368737423]","[-46.1046290152988, -57.763596241089466, -44.97884860759931, -44.9766950060149, -69.46450526073328]","[-5.039109991654367, 0.17151827065457745, -5.629454939936801, 5.75952791082983, -7.336250006409411]","[10.0272967904169, 1.4079491319697297, 3.8647257354009867, 7.010498110809743, 9.626882236468848]"
ETC,"[4.608197013278355, 3.500407299347789, 4.524585709181288, 6.808249758051435, 9.033491328317881]","[-18.94693878786471, -13.541819409694734, -6.015638757989515, -6.112873660909373, -8.577163968405598]","[-6.627836445751102, 0.21600222384796888, 5.630156186589774, 0.16246342703856897, 0.5067893783916058]","[-12.257116661247021, -15.148353278914051, -10.246303110472683, -0.7916263141140727, -7.700421883349029]","[-9.461801319011988, 2.7936645077040465, 2.9582230091783237, -5.611060517984218, 6.303448127397469]","[-19.651898100608477, -31.629577315997892, -4.01646699795287, 5.148884985120683, -31.60627479090924]","[4.924004878842792, 1.5817235572622406, -0.0805059366698274, 7.579625365063716, 0.3107340081042469]","[3.4993017842051506, 3.7782639901204744, 3.2306508315013778, 7.030436908142688, 8.091549434374274]","[-2.9349370472984657, -1.0164897590752642, 7.490572930895198, -7.121791923047449, -3.0402084955265662]","[-60.30692279215993, -30.548508851034423, -30.23437891165839, -15.255006694931133, -104.83507463938122]","[2.6088616329838437, 4.463099300896288, 6.201014714443677, -9.921998080445364, 3.168555014836875]","[3.7637954010175325, 1.9019781077737736, 3.3409149354458276, 7.225208575239867, 7.291051135559562]"
XLM,"[2.2542583398642444, 3.5840314360182353, 6.6328643547348705, 11.152322504232314, 5.175833994348424]","[-13.172054074091482, -25.627418098561378, 0.21395700166945147, -8.330660903642324, -18.184277218315625]","[2.386978628274409, 0.5346647740474113, 6.2507644417838, 8.103064689590594, -0.11039139619417503]","[1.9222414819412406, 5.034696467170616, 3.6424466513047196, 6.739046123780475, 2.751025107636112]","[-15.393648250524508, 5.388472582947971, 1.7431701436428197, -3.3080878424921196, -9.05372682494389]","[5.2671178589310435, 6.12985180808791, 7.433563309249553, 12.294541617513337, 6.9458770257810745]","[4.692864808188994, 6.7571835095779855, 7.168407677760369, 11.532826326609166, 4.462876495359561]","[2.1000223793909703, 6.845793902265952, 6.301820325966699, 11.71106939738151, 4.004981670257131]","[3.164699615659465, 5.322962102281751, 7.754846886446759, 12.999527854061018, 5.54306619343037]","[-50.2335233955999, -76.45660797025916, -64.15800287717514, -34.06781622850577, -64.7848743410037]","[-2.141765750310267, 4.380978850278158, 7.700555616020516, 14.54919941673802, 6.549872901615405]","[4.899826848365807, 7.052876948298153, 6.6047596598100595, 9.973146674469467, 5.668418836537721]"
