,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-31.797486774435924, 26.068743157000746, -77.30136053752183, 19.21011619241891, 17.524491394762677]","[-2.2607033836701302, 25.685223771703967, -88.58612470754919, 8.322702785572098, 13.371984794722131]","[2.771211992796045, 20.416064331589855, -78.37995051052141, -1.9192339052740555, 21.758978706335803]","[26.02152133641574, 28.037690363122326, 34.54905042049574, 27.243144300723728, 24.55178724079319]","[3.9408591549485847, -3.78022321419274, -4.6857309604982715, -26.3187357085575, -3.652649305375567]","[27.175701258178414, -129.06653347387734, -120.04664212731973, -155.59995087329165, -109.99399965596162]","[27.175701258178414, 27.131503987882787, 24.340399028975312, 20.941520891357044, 15.421396497057307]","[27.175701258178414, 26.167350079506118, 37.63329923203288, 16.999983599129624, 15.806665382729676]","[0.5032981316149325, 8.33726810695597, 6.855014850867095, -3.1810866078667734, 7.239072957087399]","[-15271.0909885066, -4976.318152534809, -5481.117606917324, -7924.482608648833, -7717.790982749453]","[21.980464714371266, 21.891185951372215, 31.260486225822376, 27.243421294290986, 3.9716847861404463]","[2.803173880779414, 3.2840725042200662, -0.7017634089113997, -1.9817403834203395, -0.2264312192723937]"
ETH,"[-14.27186389036158, 15.201782391202915, -5.7487443301682255, 16.24170603974278, 13.708715154882789]","[9.871702275112678, 15.030148604062484, -22.33232808198423, 13.98416620118641, 15.500413391159931]","[9.46426169977126, 21.015615384782457, -15.790477311590074, 15.96959190137602, 16.096156730489895]","[21.113001827237724, 17.61976878594355, 27.414526929301235, 21.607620790903844, 33.63903378972359]","[20.178319878517613, 8.57244947105061, 23.44736612747555, 16.211395287745447, 30.279355112430522]","[26.156510678363386, -87.56919278342549, -87.73579380880359, -69.20604380132717, 15.658341147855909]","[26.156510715304414, -131.43830821121927, -410.38392914060563, -1297.1904028163672, -26.5594226686734]","[26.156510678362533, 17.705430981431928, 14.229820732728474, 27.565632180793752, 35.808697845782625]","[-1.1090424241538694, -48.077988151440984, -4.127789378162255, -5.84265060697268, -0.12839257090059214]","[-5203.065397566148, -5641.388796482669, -4404.833951162997, -3631.8632160173415, -1802.2168259517452]","[23.09540285876617, 10.814604572586841, 23.450152636266868, 16.37617249327255, 32.351355693668815]","[1.5248377142819851, 0.25026528990171854, -1.281277107375554, -0.17738947950116965, 0.1162227023555027]"
BNB,"[-15.067711271218883, 22.284608943617503, -93.56336872092203, -118.23651619141249, -8.273677565808315]","[-21.60654339016534, 22.46270109351178, -121.84536719451478, -69.2484268856178, 9.108332438718042]","[11.093586583997453, 25.762654845431527, 12.282598655480426, -26.03713199548794, 12.946741065523002]","[11.956549911999758, 28.241416612993454, 27.026187773219622, 19.614991313693167, 21.93675652498372]","[8.278484029823673, 20.300161472015194, -20.2818262195259, 4.772714499383566, 0.5788759990194988]","[24.157380925201156, 23.35154955476536, 15.479850804852044, -29.81643271109865, 20.393147625574866]","[24.155225528084188, 26.729438674972595, 30.27949140112693, 20.541559537973402, 25.808008201089105]","[24.155225529673814, 27.3300684234652, 29.002660693257337, 27.371041026966115, 26.812374899844983]","[2.590467853629179, -10.62670611586534, -1.11756349619789, -7.159313597458206, 0.01230851217375227]","[-2028.0132893382477, -629.064343257745, -583.0438958659108, -1079.2521456929437, -552.5181561876863]","[22.749047481447704, -39.8702617358157, 16.047365646597196, -210.85642080149546, -140.02899615874284]","[0.573326073459156, -2.8458487330512465, -1.8603382895214788, -2.6043119368167886, -2.445314703196042]"
XRP,"[-12.608555440581206, 21.645112217075948, -5.432374852456124, -22.941293883090893, 20.60475331282358]","[14.093722578724638, 25.77837543922396, 24.374553620806388, -12.022661026059536, 21.120632988500493]","[31.208474182243624, 28.974558794176197, 28.417820494666728, 30.572013838723745, 28.23774718208925]","[14.522110940615818, 19.33926034760197, 21.036413946528025, 20.345576089348693, 19.669389942898302]","[31.349646666013054, 2.0626667623705344, 18.31177860648415, -48.79029908652094, 19.46304139665894]","[31.027451295053282, 29.607409055079987, 28.52832084206386, 31.628714346384957, 27.17507034227561]","[31.21004714203448, 19.882294316004522, 25.9682953681918, 23.566115497308466, 28.257227308742515]","[31.20406944172811, 26.36099287593255, 20.9986565343974, -0.7691848484926347, 28.380702362592757]","[23.967031896165405, 11.31513314328184, 22.435168631108642, 9.883677606618157, 27.578908616678817]","[-6269.307644025853, -12620.349391780186, -2354.6890872515996, -666.4505719516746, -332.1479288546623]","[29.761745075403734, -21.960987445376283, -6.616285731150162, 28.649796477970362, 18.98190588035014]","[-2.636748974305637, -2.0907625856264787, -0.3084366013960891, -0.5879299455077259, -1.2143608633120495]"
ADA,"[-7.837451624736076, 10.25798184151396, -21.766955079502836, 11.360896098675571, 20.79115497757732]","[-16.733850133477038, 19.445621752065946, 8.329348629468482, 6.921486683274898, 26.642658415263725]","[30.746981708585285, 23.710647406404203, 24.045916110685596, 20.787005139034097, 33.497806767149726]","[27.683072340410252, 26.21874631967911, 24.043897877705835, 25.365610254146702, 37.00933152745187]","[nan, 24.723456832754795, -318.82037306623283, -142.57659695640837, 23.12275976093988]","[30.76051979372393, 11.810939163779754, 24.402106119302452, 12.044055026416258, 36.92929525614923]","[30.739241575796868, 24.64404127211085, 24.11627428860721, 20.77109859094796, 30.283985395001505]","[28.827562514340755, 21.898437531425785, 25.234890080932377, 22.276454873024836, 30.32567541769512]","[17.411561411330524, 26.470728941984977, 6.920814397196722, 26.121248396415726, 21.702689607072664]","[-657.9286035089171, -1822.588224652425, -851.9293839857797, -433.40095447662054, -390.39892844261976]","[29.71705983208151, 24.50232295460264, -20.33499759266954, -53.87068572541727, 37.95328852456636]","[-0.9047983887401575, -1.5270063939987684, -1.8641602523093401, 0.14029593167603244, 0.09581576717885709]"
DOGE,"[29.130475277655975, -54.931984060775896, -19.60835694374734, -1.2164696831527888, 13.668736953979247]","[29.130475277655975, -45.95965316196759, 17.123175134806274, 16.49751539620859, 32.29430500338631]","[29.130475277655975, -46.405469958099054, 16.748631417273725, 16.444821559111933, 32.37551063328938]","[23.116012564957376, 23.667334590766178, 25.825555652892106, 14.43940926426808, 31.268166637850786]","[23.97915113296316, -383.0604456367782, -326.8085228717862, -145.6075599135074, -351.1960088009737]","[29.17639150786975, -19.851832335041568, 15.710431747408574, 12.735775810073003, 32.99367984567018]","[29.12396234138835, -128.0097588702614, -59.856094041070996, -13.226809471349807, 31.019579118943458]","[28.748610151309766, 9.004451226906784, 27.810444274649647, 13.050959747733387, 34.38357458248787]","[26.36633419743338, -26.846714645506474, 16.77231446358386, -11.349396076737884, 18.09310626579157]","[-2343.788307371131, -1605.5263894091115, -783.2619464517675, -1010.4129247879529, -631.8836892441848]","[28.801257793332034, -260.24561099848825, -50.99014528705014, 8.127857562764499, 9.367595342450489]","[0.7660811357707348, 2.718352597881519, 1.868761287824596, 1.2054802077257865, 1.241573489846343]"
MATIC,"[18.47147741316499, -5.674878559118021, 3.7452596844695027, 12.068556024966968, 27.40830478183252]","[25.510101351591803, 11.984795055059685, 25.596653604408033, 3.741025693238864, 28.079971054118708]","[25.510101351591803, 6.533805946876773, 29.935095380886967, 27.99430903705462, 27.992893635187123]","[22.566471922267915, 22.587314158447032, 28.851576518696742, 25.3992181658809, 26.438916286317887]","[26.191996503357124, 17.87413035547265, 7.726464563470696, 23.121480388676474, 15.631968720906887]","[25.676377525269633, 12.431488386573497, 26.300721991867977, 23.593268180668062, 28.104597564050316]","[24.646906678229474, 21.61042428044119, 29.923292256589523, 26.364996754319588, 29.140521387994234]","[25.499322803610454, 13.168617699072035, 25.871922206231396, 27.2332762614066, 25.24868600177085]","[19.740710750083714, 16.811662309241854, 22.509383164509273, 7.21283005163873, 12.96947529904147]","[-9287.79615262774, -1947.0685530716594, -3983.571582014627, -494.8715479141479, -2808.376323834333]","[25.324149494054126, 6.969719643898505, 27.383869780562918, 24.812015539487074, 23.68768110488031]","[1.4829337243532272, -0.35570919665831413, -2.071228833196063, -2.0541555301914256, -1.7548051786560714]"
LINK,"[12.753594489190867, 12.547770307258817, 5.586669294891323, 8.848185622750835, 29.905089661865077]","[16.980074804497804, 11.769105801959027, 4.587572016709252, 10.59701322287857, 30.30962372167511]","[20.36454207363951, 17.42588995502028, 29.95005328210427, 19.295814553734512, 30.93794190315549]","[12.61144694399067, 12.207175417494309, 22.074459948505986, 21.534989049465228, 27.011288096445913]","[14.679970843096735, -18.553671597028917, 25.544879262710747, 21.89368597588214, 29.56026501567852]","[20.364575246120147, 11.205020768972773, 27.989827501508408, 30.02625894900553, 30.811169400096905]","[20.482573836189843, 10.664436229159199, 27.990130091486563, 30.28982479113665, 31.00220016541898]","[20.466272398927366, -6.5081042256823, 17.240044567281554, 22.843342260121567, 31.373100003174198]","[3.2103143835216224, -10.088276500031771, -0.4506298265620007, 8.58970984067626, 9.741605429203966]","[-14158.275965566494, -14881.702602745216, -8206.297060656007, -10877.261033000203, -7370.108867061681]","[16.84668006868327, 13.000276015350723, 18.877137431881433, 25.956572834222534, 28.33769993190669]","[1.0843691528762154, -0.4871197263889124, -0.28516079088094193, 0.6308748930563823, -0.47351955871465484]"
ETC,"[15.928188160149256, 26.72089414284946, 21.885306400447803, 23.92098556007424, 9.965856026488716]","[6.854614231448789, 17.6069024423883, 18.405805504746965, 17.543363173886657, 10.795880931224499]","[21.329131707526756, 27.091264993112734, 21.568447999730058, 19.948232862781833, 14.800194457513227]","[24.881114136862355, 27.951604022727693, 23.999137884842614, 33.1239652774259, 33.60955793904986]","[2.9384773250437957, 4.41708278787934, 14.36446515316746, 7.271772952089339, 6.623673397741414]","[26.02132166387824, 14.493922789463271, 24.248717822051365, 26.81790842865871, 26.203460414785205]","[27.316838028936623, -561.0122661349609, -312.0514647033272, -206.48239262659663, -14.992793864624455]","[27.34657161033997, -56.97010928067152, -33.71455664822785, -31.367773315686044, 10.299221931130537]","[3.7319063884448016, -4.0394408727171855, 8.424433041117574, 18.256359330769538, 5.4734992603701675]","[-5094.070879969859, -3916.3980351919195, -1569.9827897393084, -2865.540039060777, -1315.94374838173]","[23.86734682597896, -1.3397368813696522, 17.86510320192209, 29.75982245863075, 30.22127416309192]","[2.4213261199584877, -0.9823592049443013, 2.8628413898862415, 0.45760156307145183, -0.31886877464628305]"
XLM,"[20.49440875073226, 7.672600427950423, 11.944814599922184, -3.371556057047705, 21.653441029099007]","[28.44978114964406, 15.72994248172264, 30.694574221346844, 35.31099246941829, 28.064707872197918]","[28.44978114964406, 15.653581789296977, 30.64807006105388, 35.41767133189939, 27.945437123124776]","[27.14415696877212, 24.692670030849857, 30.027730539160586, 31.268935791767998, 27.376288308701152]","[25.844891992355358, -67.23255504935433, -118.07889629097272, 26.351188862184287, 4.526099637115808]","[28.492172979514134, 21.70055623747036, 31.935198769935226, 27.367094540918536, 25.449180982701492]","[28.493263767861855, 5.840458310892963, 26.910053656730476, 22.01508035027848, 28.503699739224007]","[28.4373278397713, 17.171953651589458, 28.933617616283286, 35.4982213284773, 28.241306321663313]","[25.30201080192483, -58.69000588718409, -12.983183606744616, 35.50994676717828, 20.221869628850285]","[-981.4013815916917, -47707.93097218033, -1540.9988648232872, -3650.134752962797, -1578.97429340644]","[28.45675648243631, -215.32122952842445, -416.0150671420493, -507.410081713848, -421.5353785726239]","[-1.8297070887613922, 0.3654807129450691, -1.1279678283662598, -2.07263428659079, 0.9615912051240384]"
