,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-31.508777436979713, -22.586676062115128, 20.16874571842847, 9.09535982163883, -18.528509653996768]","[-27.121001849020132, -18.832930297947147, 21.721395839930718, 0.6870232254578823, -20.50504484517466]","[3.460923944214913, -6.890158383573229, 26.261669668572747, -0.2619360330450857, -28.02999193437573]","[27.141364839725295, 22.23228707467776, 23.526848560181442, 28.30019452746645, 14.560899365121502]","[7.859100718398889, 6.379127214109184, 12.011353211484826, 14.130511350920827, 12.2328476395923]","[28.76661167256987, 26.70654244804543, 30.25962649542197, 31.515572771919544, 23.8001545139727]","[28.76661167256987, 26.80329033807022, 29.872252406298344, 31.69302684752698, 23.820790913504894]","[28.76661167256987, 26.651583967215593, 30.543405508146186, 30.498455736503317, 22.32622488137415]","[-1.2559174267368691, -0.17350256217274282, 0.650366939427713, 0.014028141483132044, 1.165187630084422]","[-384.3888893311131, -302.55624875482744, -327.80763920229276, -344.53600463704987, -355.945162835824]","[8.393381135705749, 7.89863383777643, 15.506547544928429, 20.611134932543152, 13.50251383549704]","[1.360965956713884, 1.9883265804633552, 2.777181430505902, -1.3209652938079286, 0.6814457228198764]"
ETH,"[18.856553692798663, -111.24906381961488, 25.249542227067188, 1.964734752405704, -3.7920911206579984]","[-8.831486521006505, -38.24598369928898, 5.64169978714228, -28.403760428248397, -10.042808085697196]","[28.925829195636037, -38.813152458019474, 20.99943831925774, 9.042765672405446, 0.6860674450355536]","[29.414379069195384, 19.881761974173326, -19.874786116904776, 23.017689860464962, -31.752954330871617]","[3.3362694595250297, 3.3038406200698276, -4.886969963953395, 11.224630696089186, 7.832721753223562]","[28.95414212244381, 22.487568964531572, 27.52159072540792, 32.25238251924225, 28.510282191994868]","[28.95414212244381, -18.130981585513815, 29.19189932401404, 5.430225770959916, -109.10428359211977]","[28.95414212244381, 22.16859329668942, 28.7349352542575, 32.110125075194844, 28.51068244698183]","[-1.0849775648365856, 4.437160391267823, 0.47410851720172487, 5.141071828513486, 2.0895495746429673]","[22.92073650124134, 14.706635633998614, 22.416384414645865, 31.538030628914086, 16.264369402993182]","[9.778584010986428, 9.881192090039972, 14.34036773499372, 16.272529758217104, 11.954895071902664]","[-1.1264567983613805, -0.08340848985591132, 1.1408467304906245, -0.07114723340707031, 1.7915028437921834]"
BNB,"[-6.686505608589638, -12.235422377890368, -1.7183729869650906, -20.142371841608327, -3.75412630535805]","[-38.4684068803674, -20.14363570775705, 3.7774453181284473, -25.432694835599463, -14.511510229656718]","[-47.38219664565669, -6.8637658758646785, 18.863245452993677, -43.39694090514208, -7.515368032015397]","[-12.413797161336207, 16.928389551687996, -15.640900807141856, -99.71717283088057, 17.33461260471454]","[8.226427508352115, 11.096705714142603, 14.478884418424103, 19.323637562688738, 14.643218064043879]","[27.2549000157277, 27.27733458188069, 30.621172036838757, 33.26515455738288, 28.566514313834535]","[27.254831589381705, 26.281536330202034, 29.710506177298335, 32.61345114784099, 27.010272054606837]","[27.254831590343677, 26.915890212474924, 30.19184840553566, 33.379301305089356, 28.468506359982378]","[-2.388733211345026, -2.992657866647512, -5.537121221369607, -0.0985524955003023, -5.40753001276943]","[-184.86903110989425, -983.4473697733968, 21.831934426222247, 24.528438387152107, -3.4137585305652522]","[-2.751313053044415, -4.02881975918438, -5.92209700930566, -0.167953029382673, -5.395847693851066]","[-0.2372227911712323, -0.0204932305052985, 1.0445096295315446, 3.301172596161892, -0.2351766380924376]"
XRP,"[-43.46802162008655, -124.57274379107264, 6.938200289027047, -2.23542717066467, -13.02358202572364]","[-16.386988236374204, -13.509094030575017, 20.87517620230938, -7.694532191805186, 4.568998698016819]","[17.345936278087173, -34.65798060882967, 22.715723921940118, -9.2720740618657, -1.964846074994136]","[2.611414735316892, 27.2449434108041, -271.0932276214388, -46.76363714141348, 26.55313884023351]","[17.889824074757442, 8.455410480533981, 15.445354029009145, 21.668925432157042, 21.08660322562045]","[5.74881362702337, 2.5243600347498365, -3.8132204813823525, 4.608627470945514, -3.2145288824939944]","[31.300336640497704, 8.582060434498018, 26.04025534051283, 30.730522313782867, -0.5519860094478596]","[10.533307614370505, 11.59024260915948, 18.773223647497133, 19.135385663266604, 19.97485454909958]","[3.0476745100585347, 6.411052762045329, 20.87771980863269, 5.044960276056931, 17.82431751776735]","[-1701.504531128173, -992.7399609187239, -869.0368652403395, -1096.01062246789, -2320.9535505269914]","[12.079188283421367, -5.043528925513477, 3.807053323082156, 17.462981469656437, -1.791681291549963]","[0.3224881429347815, 0.36079520995629694, -0.6579632645655241, 2.1636840989013155, 0.6062157360985213]"
ADA,"[6.360736046634817, 0.09466049458738192, 24.060389517218965, -1.05572684562293, -5.4689124509261475]","[-38.441492425451735, -11.609504774089045, 20.34933720753559, 3.608225027870989, -15.076340880188127]","[27.468959327933373, 2.048575123574029, 29.79833662569837, -2.8975554240829546, 4.900887065004105]","[23.784623227503545, -0.9816387169383992, 21.586719213249417, 17.74966252225482, 7.6789996353510785]","[12.853198671664826, 5.841448020212624, 15.300267806536153, 22.793313550611213, 23.6968476231385]","[9.54431886713659, 13.109195873479418, 16.527000551146077, 21.494260549568338, -3.8355134017076327]","[7.007695772291416, 6.46685125767265, 25.31654915064444, 23.88313679826333, 22.297617317815206]","[28.315417729715627, 27.08592215375049, 30.56508049705375, 15.893133996115012, -2.3963703045591673]","[5.304077482601064, 1.3085803298113001, 8.733356421353902, 12.291342740100184, 1.5703094831151294]","[-282.8032156069868, -380.9192833815269, -222.42902959350764, -508.3110441386831, -474.2991600563805]","[18.047774699289192, 10.726600355508822, 12.616487235070032, 20.154037204607437, 13.81367762162801]","[2.065970105324289, -1.6997147510873525, 0.3615816985269484, 3.084170210756111, 1.450800026736451]"
DOGE,"[28.31265783644951, 17.613651237006643, 25.61941193526178, -23.907634589629705, -58.285091271342495]","[-5.667279379560649, -12.403816235286138, -38.1635225178075, 9.151541291660577, -39.6823925098483]","[-3.4502223298677333, 15.31403019220146, 33.59966708727018, 8.846202998082715, 11.218489205296018]","[27.97075011348908, 16.218866659281677, 32.59780844956479, 22.897413218856116, 27.276062151242584]","[22.215100100436672, -15.813011545914469, 2.2710783932513507, 12.434114190983378, -24.583174653995318]","[24.8721002571883, 12.632560163191439, 24.037204726988282, 21.932087701722093, 23.72730658424459]","[18.503615535945624, 11.915913234901181, 12.42083159869897, 23.715356026161317, -1.3604583753696713]","[1.9854085985981276, 9.113875782171085, 10.705777959415776, 23.263073561734544, 14.99946910018779]","[6.469648742300323, 6.954937538543813, 2.7063203986989706, 20.960530167879465, 23.69511241632084]","[-228.46350175455146, -462.2066646368634, -544.5538877178283, -231.5922897455367, -272.0967604266139]","[13.660283353815952, -6.974039004635675, -8.157954685775493, -13.450358636471424, -116.67198991229597]","[-5.810278505621418, -7.598530575800703, -1.3344231311494548, 0.24320910627191572, -3.149275545007165]"
MATIC,"[-26.77833425825768, -18.90706190151884, -51.94855670430957, -13.56002635838564, -40.72355256112629]","[-26.53415994628653, -2.208151927254898, -61.54287362786117, -6.42849105053601, -16.905800336185838]","[11.095778816065254, 12.42644661206906, 11.1380895549777, 4.050009186977758, 7.07686249778933]","[30.482519949058318, 29.366553577648336, 24.180585850399357, 30.077649489215517, 25.257269682420596]","[0.15554105019421569, 12.489225656641375, -6.9490056326018905, 0.05939134009334951, -3.4570216830075493]","[16.705924807018413, 22.498309047300843, 18.27075140793585, 28.640942437333862, 17.680070368132235]","[31.16634834826951, 17.29995285166935, 20.89930735253373, 23.757421482057893, 12.351724627960865]","[17.661176467614712, -0.024167050274909344, 21.215265460892283, -18.007051037358487, 22.218515070658185]","[-0.18297521440285136, 3.401488977167689, 11.847937875451557, 0.546896392533363, -3.635173789409566]","[-565.7967379453263, -1224.9856364268371, -755.4338530368012, -581.597986152163, -1331.6196323220638]","[5.795184556329403, 8.777280894334892, 9.902304175754956, 11.542788286541613, 9.942575280814175]","[-0.9369538310437832, 2.643649723047921, -1.0543560269675458, 1.7832445324887412, -0.9193405166265237]"
LINK,"[-22.79834917880053, -31.775334915293524, 24.75771361650491, -27.104235611871776, 32.801215142479904]","[-5.763204570106676, -19.623681602062526, 24.123794126911093, -18.425988239528948, -7.942336878545415]","[1.505566717484033, 0.2923780179107841, 21.914866299321034, -18.341221264000307, 8.970157269909649]","[1.2223518686020638, -26.723285448954005, -488.78389061279205, -152.0296902279862, 1.2150201264324807]","[-1.1218655341720691, 0.5729109474541867, 4.568817612720897, -6.810358801368169, 10.421366906663945]","[28.443371763873674, 20.41646920698243, 25.045232499109567, 28.139918310074368, 32.419470516746166]","[28.443814459103283, 20.963015940578536, 24.769935042676742, 29.536792652396677, 32.3681454861786]","[28.443353485757957, 21.34262594824751, 25.5872031815308, 29.58971175430562, 32.446543818270676]","[-6.764207527379101, -4.208828273461573, -1.261006511518024, 0.5858765662116114, 0.48643623764951843]","[-147.02434191311312, -516.1537944620017, -101.85790109501372, -183.97161421405235, -329.63759290083107]","[13.037647536652875, 7.149857771651252, 11.269257001996591, 10.9236691093472, 17.063490723386764]","[-0.7847127125254781, -1.3428160619505893, -2.501618678895493, 0.15044241497904356, 1.4912563091157838]"
ETC,"[-1.0340382760449776, -10.816819513763761, 9.22886204213996, 26.630706513234337, -64.2423161324086]","[-24.160419761634177, -15.745871298134514, -12.32359620944744, 4.253205686418326, -4.878650189353273]","[-54.7423067246411, -11.730122426489679, 2.697945257501632, -20.148036206069392, -6.820579062784494]","[-2.091804443508397, 12.221635882497225, -292.5531461780392, -42.01887388426092, -43.09865522849313]","[-0.6692282238032148, 0.5315378033615715, -1.8083033107797666, 11.023240477308551, 3.5130797633637356]","[31.815164475331397, 25.27628340543465, 25.68698453547621, 35.1181663856204, 32.47570628907386]","[31.808084190980008, 24.24292918996298, 26.287609846887495, 35.03092287909667, 34.78306990017653]","[31.839076676996815, 25.290745095873294, 25.950475780337474, 32.63093432463181, 18.011852034193048]","[-2.8564228116350026, -0.14077174664857073, 1.4038077877694835, -0.03195639302392316, 1.656781703700552]","[-386.78185849942446, -248.9595971018347, -602.3628943103427, -483.66829503038684, -683.525223033218]","[7.165022190812555, 12.410276397727758, 14.623311889983606, 26.53260747927434, 19.546125346088406]","[-3.338739270737966, -3.6184263930070406, -1.2155225180416995, -1.5692760496730012, 0.3260522015989705]"
XLM,"[0.1648014109751226, -0.5369856439900533, 26.38256479922286, -16.79142940457561, 18.571049603279562]","[0.2221895771643075, -49.40819435105992, 18.741343926453016, 13.867240397188052, 11.883209534350943]","[2.6467769472212526, 9.923972846041968, 26.187909930165898, 3.7958875363145452, 21.10265336822725]","[23.498636815365163, 16.867589172104935, -10.447942920352945, 20.57344478140275, 17.286272796909465]","[1.3898951829065547, 5.534116848201949, 12.769824576888253, 19.459678509681424, -3.3686848740127973]","[22.577038210255452, 23.45549492148728, 23.52082934302372, 18.806966344756958, -13.367872949783091]","[17.33713894310121, 20.810945661154882, 23.135535987071883, 28.495544162318936, 25.294003227640417]","[17.549836396479122, 18.795360892467095, 14.987078534916979, 27.6700042289962, -10.945175111011608]","[-1.0090588903481914, -3.9803250046259246, -6.394726672192555, 10.074848595973803, 10.35460933842693]","[-1280.8062327080947, -694.8294420563072, -561.634650988599, -977.2571264065929, -1118.8741069189018]","[8.167339442542364, 1.5833049258309775, 11.275047106934613, 17.984562672310194, 20.038479709457366]","[-3.4000955858232893, -1.482821328403918, -3.4901339568442324, -1.4074542781058301, 1.2211120455267863]"
