,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[12.21181306449272, 11.231006060149308, 15.117949762159583, -4.839723169037616, -42.465973249689306]","[5.6447744981389265, -14.214442931775459, 19.527212712251586, 26.05046588988217, -36.31946116738584]","[3.747950525640747, 29.008164402127317, 21.55081456416871, 22.028242248028597, -16.38043766555103]","[25.3872649081491, 32.24842231478719, 26.60310377616049, 30.876499312942983, 23.886609400159468]","[24.12917629986529, 30.670642514895203, 25.017703540725257, 28.465173809692967, 14.239848670071211]","[25.69569849497857, 34.72150850600229, 30.38700153444815, 33.260802830183486, 28.865845029133208]","[25.69569849497857, -37.979098607350075, 29.009361789265746, 33.19660306996722, 15.039577457299238]","[25.69569849497857, -3.3977627398622965, -66.88210639076321, 26.855297942433072, 10.364412600136358]","[5.1856423889968095, 4.495559912644476, 6.836123300887762, 2.8112652819948116, 0.7508118947512479]","[-5620.776677661367, -3347.646364717832, -7867.867554217029, -1419.0341148053858, -4065.883627773091]","[18.175719707890835, 21.531096546370858, 21.648562814124034, 21.814027753231898, 15.450561365422486]","[2.0731739372444093, -0.532296949557321, -1.0391019587855765, -1.6375050830949596, 0.9385297295536575]"
ETH,"[4.187919489704791, 5.424502483336275, 16.280523517056036, 21.648670872350703, 14.724870233578665]","[-47.04756407333295, -6.946811356532639, 4.249266786006489, 20.021344706199663, 1.3276851757220518]","[1.1496698046015794, 31.67645439153281, 19.50830860812779, 24.08335239699503, 21.991392930438113]","[26.01106303679425, 29.837161335019154, 29.428327715580004, 29.702024382175008, 30.111744558324588]","[12.40521274423044, 20.999516575824078, 21.52977192662295, 21.135568693520213, 17.86972075252834]","[26.574791500903427, 32.22256988460571, 31.630653098518614, 31.09445386323782, 32.00267958611981]","[26.57479150112373, 32.17664360793086, 31.391829059245296, 31.148472732656586, 31.345158803143818]","[26.574794376753452, 32.18011203367642, 31.385450140983735, 31.16081963154555, 31.61996402115832]","[4.494953762794983, 5.836791087704464, 2.5925228522895716, 0.8494912708585816, 1.2145321189273037]","[-1158.033437177067, -1427.1974019400136, -1292.6118874018778, -727.1664133837579, -875.5200977400181]","[23.18898954807563, 24.19218117259874, 26.858002988906776, 24.489280592634376, 24.36211009563068]","[2.351296580030128, -0.08894108024348645, -1.8410997022577784, -1.102072169922495, 2.198592519053064]"
BNB,"[1.827613269566352, 8.090149328792299, -8.69134264100445, 17.159718923046615, -8.341607104088004]","[-35.202816365042665, 9.649530623181638, -21.6393110399993, 10.502428530943323, -20.21948222593336]","[-2.573172434945329, 28.958102653862145, 1.7757926700995699, 5.831544626331063, -10.384606579320595]","[19.745388108678334, 30.490095481902628, 26.163340476433405, 33.69266548122398, 10.743132160376716]","[7.8363988570117575, 17.4261726467244, 14.95743732382057, 24.475236841519667, 8.385097773405011]","[28.426153233409966, 20.439012310439576, 29.775016963840223, 24.264808263434237, 24.67933075964287]","[28.425260421651448, 33.31329316444584, 27.454751230700126, 35.47799653709083, 21.58696754322281]","[28.42557065683411, 33.23995470592387, 27.033657441854746, 36.50605408701074, 24.82016199726069]","[9.865436070334784, 11.332529308854582, 7.736231967605217, 6.49103330923577, 5.008312627078569]","[-473.6067272068793, -336.7009206314321, -500.7943148977194, -143.66510909656577, -661.2003164537887]","[16.3072020695397, 23.238598784475773, 19.737155742839327, 25.107358735495044, 13.144106806068976]","[2.0004255407906824, 1.1145111590155212, 0.3100218299945462, -2.4124085420160877, 0.8932747129697912]"
XRP,"[2.054305664586918, 8.200201389015154, -23.243160976107916, 19.535718569446352, 35.929112323622455]","[14.364559201240457, 17.53097807498353, -12.910292134052206, 15.267424747979105, 34.94693986331596]","[10.801143145375844, 13.48399540681685, -6.823310721830074, 15.007172010930898, 36.696669381292594]","[25.67332683034172, 31.0341389173936, 30.548591011077107, 24.5958840137129, 35.76415719784817]","[27.177275717990472, 28.646056718314394, 27.077459570343027, 23.887852707788134, 33.233551253606045]","[30.169198780912566, 27.885370228883204, 30.24747706916275, 23.075531479637114, 35.72999627630118]","[30.176797704235277, 27.537593652974145, 28.997050163493547, 21.776194017211246, 35.311845843302855]","[26.500194920565168, 28.141208697132452, 26.16255923833833, 22.24437212086737, 35.54962223974312]","[14.686823305511476, 9.042296284362935, 8.915106910620334, 13.296288170044793, 9.107911788717745]","[-631.0880573160921, -519.425934693353, -631.6118873326229, -179.63364610871352, -208.9479968966855]","[17.28658278678448, 24.976238612641026, 24.643693172758603, 24.401513871705216, 33.06074679252735]","[2.6966913655855618, 2.871757292704575, 1.7355307403221383, 1.8485405120904106, -0.29885097714690473]"
ADA,"[-0.23537589449383473, 32.65019947898799, -1.9942798480990391, -7.284660725972553, 6.055377269157703]","[5.387003533205731, 31.511760558100466, 8.877904818090345, 1.515590999620615, 11.658903298456886]","[22.116722998465875, 29.53614892069168, 15.091918648197183, 30.572886397572546, 29.05568310081776]","[20.094996082354907, 30.390554092791227, 28.13838767730959, 30.587571180095047, 27.584299641459893]","[6.4348459130579805, 24.91271933009256, 13.920553578891038, -40.52901622016368, -1.4900034927094927]","[11.60711504367254, 24.506905346963954, 20.34180345674653, 26.721647674447084, 24.88104621906558]","[23.35866559615543, 33.2697285217891, 2.5360100886001735, 31.808899819879173, 29.081907462198814]","[18.11482508709892, 29.472498239803446, 29.722621852112567, 29.986887532971423, 26.874440604065185]","[21.848860846301594, 25.134133361718934, 22.271478044042826, 2.159120546569197, 21.28954921050729]","[-2860.226773572127, -758.1810097804035, -1160.2262892143767, -759.8271246386508, -558.8468320266703]","[19.045622113780116, 17.399828950382183, 27.88302599865403, 26.480779582056396, 24.363034295967697]","[-0.7981591306591815, -0.0670979561277224, -1.6474578014049568, 0.9505216840242154, 2.5102155983813623]"
DOGE,"[-63.86491379786631, -21.553425263418134, -10.734519539739747, 10.078057190298287, 0.6805998227437092]","[-15.882804057961064, -14.711418946743148, 6.4248363617918445, 27.54663499529841, 22.73500602516407]","[13.584737720071988, 18.774520662012034, 26.790776617565292, 27.906280422231553, 25.86971827676837]","[24.582105452307616, 31.72308524732774, 30.884760820924022, 28.58161225743727, 28.559362875789233]","[26.253017001237478, -7.64863587873862, 25.374506449200503, 14.929820708125352, 17.14790993728707]","[28.563543577611306, 21.439282354950127, 33.97984108066391, 28.8388523987742, 26.254828900076564]","[28.731508844671538, 23.843675709216487, 30.321299272000797, 27.42201519468689, 28.544917887458794]","[24.914796371393326, 32.678421567272345, 32.031252407951605, 30.37645000605258, 28.46684206919105]","[27.306574660871842, -5.458567559809658, -0.8414136720820902, 27.932417559424717, 19.83459364411037]","[-1115.3711862697653, -707.5376120873548, -1267.3794398071338, -260.69804154850385, -371.27927272179613]","[24.666700497130243, 2.418182383877503, 15.915320748800285, 13.706194392351653, -22.160359028435835]","[1.7112780244104917, -1.2967218982504711, 0.5271253820498772, 2.4526003867270187, 0.14887368204801982]"
MATIC,"[-38.550178141735245, 27.836378434966356, -10.975829725250327, -24.401527924819835, -2.708982806717981]","[-39.79156036903488, 28.220088298740002, -14.65209615092317, -19.534936433631234, -4.911313786371868]","[-28.058541962895177, 29.65661273689866, -14.045699351540073, -10.690959712759385, 17.710625122638262]","[21.906599018831884, 32.168993858055465, 28.15789487060355, 28.966233075563757, 30.45358661464506]","[14.20130563526393, 31.165636941022562, 7.59558317416366, 23.16765803806686, 23.26951445031779]","[15.837149683632518, 30.015468473025575, 24.6148557616789, 24.721068320431392, 25.7236519983365]","[12.117427791915283, 22.914424216313016, 24.3450341772403, 19.909847424990687, 28.82792385944865]","[21.04001392466535, 31.102064715965096, 28.563771470850853, 26.136117793768054, 29.81498106150181]","[5.974362227494765, 16.771086874786196, -0.4798803666224191, 1.0735030564505086, 20.165500346022885]","[-711.5022604010645, -89.3255297500902, -310.8477837242715, -99.47439336983763, -234.42979033326418]","[16.98830881879242, 29.329296153066096, 26.02175115004209, 23.68486172576589, 27.661622639671446]","[0.2238111392975332, 2.3948496608703445, -1.717204883525011, -1.0995553778976768, 2.0392983511447986]"
LINK,"[-4.758320799737639, -1.3208416595643147, 21.22572624185096, -0.7446307887905729, -11.12153429202781]","[-34.58150216339031, -0.3399353345491381, 15.18655654479396, -1.0022533298280216, -7.815627313902786]","[5.045886066423721, 5.390259449092727, 29.068144212558455, 6.365469938734209, 3.386375611866235]","[-52.53083399928447, 22.28036487591577, 17.573383862450846, 22.786608908121973, 12.08137230383543]","[16.913944119478625, 21.246478473259426, 25.65076189712711, 26.682670471635024, 19.349919090459856]","[26.112003613013147, 27.543042331557665, 31.596560274603892, 26.549941343234472, 29.72274789685293]","[19.023621085897762, 24.003605390586934, 30.71462258877072, 24.409167946488257, 27.439460693502394]","[13.117494859733462, 24.055101915349383, 24.776646983589835, 26.674411882124915, 28.033460501409234]","[0.9993094752010089, 1.1934438015088136, 2.0509160580277226, 4.276305983107742, 3.950658012529203]","[-310.4366233628542, -92.67194802514481, -125.3879141358237, -336.25392115230574, -405.0124564742444]","[17.09363241875523, 19.9982366039308, 26.03369504040659, 23.925797417942203, 23.52897430394048]","[1.7246130775819812, -1.6459926570410812, -0.358529142491007, 1.9121911270544671, 2.1843878955354343]"
ETC,"[0.5240281604874346, 36.97372523191508, -31.81988513179696, 11.984935793416499, 2.1627381761142876]","[-43.7967384769151, -6.865249215716047, -18.747880750580993, -43.49158041232316, -27.763135987162794]","[-23.57281550406559, 32.14282718201398, 0.8570187140967677, -0.1904423302026029, -1.9260717490418873]","[20.25843168355479, 35.6907892520273, 25.184995734243206, 22.25739049436382, 32.67237299420662]","[16.240709717307055, 25.710392108462433, 20.90122587544264, 18.274243994879193, 25.634384824146938]","[24.438726395324387, 34.84931536475008, 26.435949091846744, 25.058104058483575, 32.43062571429538]","[24.433119306625777, 36.15791370228994, 30.884156296960104, 24.942027396971564, 36.672594378126966]","[24.433159490525753, 37.384709945400296, 30.228506171806085, 22.37648849730689, 32.54740107222976]","[5.139211706846667, 10.126708820873564, 0.9189527530769968, 0.822111762239356, 1.6530857261454157]","[-469.78132357170546, -438.23163276668026, -198.52813230469636, -202.2118049923539, -413.23839796919594]","[11.858704026029082, 23.098530397029045, 12.75961610833842, 11.50689114300128, 16.888693270307954]","[2.4359426019962416, 1.296035754326445, -3.7525410759158078, -2.177295947773522, -0.4510963501342255]"
XLM,"[-12.410975890005194, 20.556194422404232, -4.509912057006133, 11.841974872467418, 22.06657454243998]","[24.161603145491885, 26.154794960049916, 30.943746224662732, 21.650319684314987, 31.630553996816307]","[14.5724028222221, 17.147687868477853, 30.92634096605959, 21.67985361145758, 31.621779500175045]","[19.84932723026089, 32.7392438570495, 28.907506905304732, 24.857220094185408, 28.93060378751499]","[22.65597691053245, 25.30378917607599, nan, 24.97398060869523, -326.49249351075576]","[24.34069182974222, 17.620119378789216, 29.767949825330913, 10.148906175627099, 29.771855154833375]","[24.26002317672967, 12.874703706408267, 21.14426254777966, 21.389464360976877, 30.200337127767714]","[17.60480344581177, 27.787442946783848, 27.24673309583372, 17.820833097110235, 28.062802431634587]","[22.93401452981155, 25.60272072313018, 0.33755903005401067, 4.017673059906478, 29.074192146873774]","[-1102.9751772850495, -3505.4199512478312, -1064.9002580417773, -544.311135163754, -277.9516571910013]","[16.92596298955632, 29.38119010671286, 23.010447799870718, 17.839505297945315, 28.455531818044292]","[-0.19794130134003282, 0.14826920568593246, 0.5172854683818104, 0.08754123888083717, 0.6999027802720585]"
