,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[46.83641099521397, -43.71632632995616, 9.36063794837417, -38.894205524233215, -4.0808334207472114]","[-94.59566313793222, -43.85430864345344, 21.455506204388307, -31.225838499404805, -45.155415557949894]","[-81.52592817772472, -51.09867169850205, 20.994363193834232, -27.019584631624028, -22.57734230296729]","[-293.87086880849506, 45.10480592800613, -37.76688144379428, 35.687481293646606, 37.735587892321]","[-5396280.596129105, -12461.70355070913, -13954.762496678652, -2772.2446075847324, -73949.89855978616]","[-807.9872596818717, -184.25833455898925, -776.8505552168671, -78.63921010531422, -721.5160234806061]","[18.523042170788358, -87.62442375212004, 24.0365801862297, 0.561011648188931, -196.0460967979583]","[-1154.337425428835, -151.25362724478316, -2612.275649917519, -199.33900753692367, -1030.243996454167]","[-13871.597534716177, -2777.20062806366, -956.0962419407961, -5115.905533746589, -14341.719504226523]","[-974.8867067162778, -26509.008591014957, -201.41869783808605, -201.82732653911165, -3401.548571830588]","[-25065.986405060405, -26253.591837243737, -49397.74821310404, -90409.6864538097, -1585787.4633963548]","[24.044771069690743, 29.075988572603855, 26.736084082125355, -1.3958382819562611, 55.971860953418584]"
ETH,"[-3.10395874568775, -21.91127736144117, -233.0771441326875, -31.65379677620513, -7.762733331548937]","[-8.15786691539081, -29.374869105910317, -172.37926056376827, -26.254596539470775, -40.170959088289905]","[-6.29071968990162, -36.60503804791835, -119.62878746407688, -28.30184849027098, 11.441223418255985]","[-107.45688491700093, -10.834637489560176, 2.5989321713472116, 43.380748711526, 5.936269214631375]","[-33449.637520358556, -125370.86242969465, -46041.443869054856, -4051.566175872601, -34946.41295694454]","[-115.12439648050888, -106.75725905038237, -450.9269433347288, -397.9417467732703, -33.95699261413154]","[-84.17723574844695, -5094.58570634881, -635.3992935359398, -1004.8781008950928, -6492.040403978179]","[-372.3722107466845, -289.5143754657632, -1380.6645877996796, 5.788301348036478, -2568.0811644157147]","[-304.88561222876655, 22.495926881808337, -698.2485528518533, -2246.4036098027073, -1354.966055416731]","[-237.87842593893757, -423.91673718660144, -1002.4775677574688, -635.8189909728216, -12018.802619312837]","[-145398.37763201699, -6568.5796700725905, -36450.807389482834, -366629.9436867357, -1697047.2705598534]","[-12.057673846603118, 24.8483614688085, -40.8427301434337, 15.543547286727788, -47.23268441761636]"
BNB,"[-61.25128060735066, -36.37540576922719, 6.879840170666577, -113.9180338385578, -21.44171100757016]","[-105.586849397647, -50.530223021371654, -91.27661512382927, -13.745438977211858, 0.6825723856419375]","[-94.51661724300834, -60.88671006001019, -87.38951193184366, -13.68668282103763, 1.300835747772144]","[-234.60305584766422, -83.88086696653477, 16.632897541739965, 35.469285499743386, -11.736286157424136]","[-51677.24571969453, -31862.953974233995, -5504172.692263926, -32041.745931783065, -104832.16414563205]","[-48648.64288060713, -23614.5562595048, -14771.761573892823, -5995.464081200464, -2952.075849705349]","[-245.18911530358824, -15.597170727312164, -339.6102290903521, 15.611429950112251, -0.32654874366773773]","[-137.35233145406883, -210.22775058442832, -1057.7081328695053, -399.59259201567176, -887.6860317105326]","[-636.2711182615519, -512.027725491703, -5702.142775376644, -5.290323800957811, -9936.124798768138]","[-1831.4221392854834, -2362.2837150977703, -2366.5510861187868, -916.7192101374807, -690.8128005497159]","[-8254.013492980972, -1767.3860787231608, -9508.720195178203, -9987.752533408488, -36630.73440394146]","[-25.16405316967443, -5.581562536857641, -27.574156833213472, 36.970603950257235, -17.10041927158069]"
XRP,"[-90.0126283383047, -154.38901112256582, -73.27849868540308, -168.08142054568714, -114.9842277072993]","[-155.17294173222447, -77.24151638591243, -83.15236990603506, -112.47870615775248, 45.45889831436718]","[-151.59127226607046, -90.85823021799234, -82.63348125337484, -106.89763194577722, 44.284902146510504]","[0.5231733796206963, -22.68717161135765, 43.54560982704637, 4.3771756768110865, 24.50330288704917]","[-27563358.01935492, -4279.372490109651, -24320.953119033675, -25627.324398898236, -47720.857936110915]","[-534.6230397754402, -47.562467981796146, -46.52983583500683, -146.67189760754098, -283.12936177328135]","[-244.30826423945337, -79.2556222298201, -240.07356966502633, -301.8565549812442, -281.61384474386983]","[-144.55029426244403, -47.749048470665095, -928.0896503410123, -5564.274634803451, -6295.439784930388]","[-4441.411471433135, -4369.7755520691435, -389.7145765906425, -197.94339360488712, -2444.035839278437]","[-1464.0622368814877, -2562.671904132397, -1644.729989896501, -1335.606338758796, -1635.673744999337]","[-2522.9034529310443, -231.2645881470393, -2001.3046571964378, -1092.6060620870849, -703.2066561187903]","[13.289601133001023, 12.797821967524495, -8.542197556654829, 0.798727018611437, 29.513989490248214]"
ADA,"[34.01337535593598, 38.29483486096083, -154.55168782341423, -61.88047096964359, 9.791998577996749]","[10.343708774357207, 26.99167027935489, -109.88964210916822, -55.617099653830316, 3.32622831759405]","[23.43166373656197, 23.164407107088376, -146.12619119124207, -58.969532447184456, -31.58621326621116]","[30.373680616182913, 69.47073564031608, -99.37027860526108, 39.014260030239825, -138.25819712529415]","[-95264.56818707418, -17584056.01404556, -7729527.678714816, -1587.82094087546, -33509.265322253574]","[-303.8436287131499, 36.22217414531661, -262.83552493648233, -35.55304635322614, -1766.4945219249728]","[-9.456290729962493, 15.048741949198671, -460.81432182393576, 17.928557151059728, -416.7935882393898]","[-383.87307949448586, -303.3575931963716, -2096.46730273525, -218.88411542771794, -2502.7517461931807]","[-847.9158879080277, -1476.7284331734413, -803.1323801767077, -2895.4856724423325, -290.08503353385936]","[-342.25079041061053, -423.5741098265183, -533.6693692986627, -800.2417499391529, -1486.1071183304657]","[-809.55319906904, -17656.093663714124, -23073.249424317997, -10985.22625852108, -7889.091239135071]","[27.900943590464344, 27.01793069750736, -123.56977259558764, 1.056515509964383, -44.712894843714395]"
DOGE,"[-62.04305104120614, -103.79195202701264, 34.61408095697537, 16.42966605145051, -55.70082027381119]","[-31.978566061907753, -7.47827075922708, 45.25131296611546, -8.9382393911285, 14.077334669587547]","[-42.72213371044795, -22.13734792243151, 45.72014991489468, -7.687104558947136, 25.567686183578164]","[-5.374598402347366, 24.264100706940777, -71.11712433275882, 34.13016477175444, -32.28251668436036]","[-17611.247054683474, -1338.1345000535048, -11844.630918146568, -3606.8397721659367, -43871.80584920794]","[-1453.1691341673238, -76.32525144274108, -4.3942557287014195, 49.504058277280244, -634.4798621590651]","[-1328.306230506681, -647.8011565312319, -362.4213928299877, -81.81220869104094, -387.21320097140705]","[-726.5410435227786, -194.5697247956695, 14.431166787459631, -50.73535805218378, -111.85964516356873]","[-17443.931943810494, -828.1060131845724, -19593.471870073357, -4832.250435025459, -16884.49301775576]","[-3125.9624046243466, -780.2729190518118, -3601.2148744402025, -286.9657127377944, -5685.903500124393]","[-11258.903598062103, -4615.463213767846, -12351.655438841834, -960.1706829291237, -3564.723859488381]","[-16.25187235508723, 34.993658532675504, 32.358151836596356, 7.954539024161853, 17.174017269543313]"
MATIC,"[-22.5514956416868, -20.67275977478847, -12.729885195819193, -0.501052562169592, -60.088128042637024]","[-144.91611874069702, 10.380881580506074, -51.73984156035155, 4.484968331724326, 64.1668429901714]","[-129.80965596646024, 8.687187079221323, -25.642313817562794, 5.517810745533333, 51.12160008896636]","[-311.28109983810765, -296.5768711813267, -36.34781422216198, 49.14510748064073, 74.59503515327725]","[-49573.85570836035, -44618.02186791699, -168755.947524386, -189309.5492061748, -3593.2564356623025]","[-313.3150950008338, -287.11503469925026, -8953.815813807874, -23238.189548761588, -7113.238695806556]","[-2488.0117583972938, -673.8873829931326, -212.99904529285337, -42.8710661796137, -521.8454623065592]","[-205.30165781372142, -53.868440158436634, -1979.451403772241, -41.167175207875964, -11.666496634456053]","[-2993.673947708055, -1063.6612924683304, 10.12445508200283, 44.99317306350861, -577.0298747665577]","[-1372.0650833733343, -3813.696336940763, -1569.8976362490428, -327.6358637341019, -1241.2696112467886]","[-3837.6365061305023, -53470.41225181283, -32756.090338859667, -541453.5658810142, -29888.52670231084]","[-71.23973591643632, -40.516371366322296, 5.021416418033526, 27.527821341296754, 50.68262788514738]"
LINK,"[-59.31639658892468, -44.680808467178196, -41.36171401112133, -70.73448426201485, 14.85456434267434]","[-37.684669124476834, -33.34919351993906, -124.68753145747391, -42.31993628099261, 12.229481890928756]","[-36.46931623637404, -20.513080035514573, -84.87881821218272, -41.50063860363807, 49.34010944033923]","[22.762659472459728, -25.861814077764517, 30.339776159670244, 33.55164726787244, 30.589236154795234]","[-442618.8113562608, -5688.057402805352, -10818105.573091572, -9285.112716186479, -131179.559411738]","[-507.519140733091, -910.5642472027871, -1141.5471360113374, -2.2912087046001774, -1313.21265184099]","[-963.2205973219403, -672.6336144535799, -33.34914470709121, 42.50078662116152, -211.58856753411203]","[-83.42349132290111, -305.1858499228617, -202.18007282214342, -196.04454215049856, -1022.397549054376]","[-22.33516283620758, -62.34542414097169, 0.6858202883605723, 38.87698432171349, -2402.8436992622173]","[-12842.304901610123, -493.6358604884521, -1243.4232759832091, -85.90008494279418, -24421.48615861186]","[-5269.227703128319, -2404.5405662638314, -3362.638635736933, -6086.918530973115, -18450.896408354667]","[18.159127087946903, 3.345522447054943, 1.926873877249755, 17.528629905905298, 13.282097775255844]"
ETC,"[-60.896035494265256, -43.755756091075106, 17.73817332724035, -138.62350795846078, -154.9747886204235]","[-103.36920142650179, -16.188470668946593, -8.339937318215789, 3.0962674127227703, -61.40478989526126]","[-87.07453067595947, -7.591011853745454, -3.507208533025599, -3.5636621083576006, -23.672943310428842]","[-361.0842713328319, 19.253448435009528, -5.983359333761832, 54.2567053118563, -16.04745018153641]","[-30549.891023698838, -8223.344493354922, -4652.840832872885, -3237.6422691311673, -44704.78085662336]","[-149.42338035290624, -139.86911144696785, -416.8674231904793, -51.23916937635803, -65.31530182201108]","[-186.357836925457, -947.2019989148299, -609.9557249395842, -193.56275508328957, -2113.9850241301865]","[-47.069077967792055, -3660.4982992947093, -87.02036827519362, -1045.2760076523628, -1296.1612275402408]","[10.906060916143536, -759.7884548707297, -467.60240846543553, -65.33297295110243, -3580.2647069216923]","[-2041.8589844900534, -1244.2851012760714, -471.03472663145806, -619.231837550144, -744.4041239571553]","[-6078.901679267851, -12511.051166448056, -5208.779684154022, -665.9566764820736, -6748.871009241275]","[2.2303182710666936, -6.823086585046869, 12.09624547355022, 31.522360484923652, -44.82481132761276]"
XLM,"[17.62493879936859, -105.1567669977154, 14.50215803036598, -87.90298182622284, 49.23242065927227]","[-51.864163996930046, 3.404615175603249, -34.05387080584294, 6.612198044516436, 65.07020834230359]","[-47.02159721384624, -3.7452869867487375, -3.0006844120900196, 4.279192440211899, 58.730242936877296]","[29.6669312888192, 29.232286998745376, 56.497027333865816, 50.88456458689098, 59.85183907733954]","[-6029.630011667049, -1815.6623321525178, -20840.643802213883, -10423.619431776566, -8418.848186893047]","[-2966.448540128762, -1424.215984964885, 20.84645028892794, -50.62033994252525, -493.3408875886687]","[69.45399289244328, 6.164465905000297, -31.04919590948337, 28.298097229325865, -592.768142259735]","[-13828.194610387365, -136.07571779644596, -265.5695710631176, -3745.119525798557, -272.75812594621465]","[-1034.9215824020048, -578.3122827035602, -1057.73515686388, -1101.1022515878115, -3671.2521105286405]","[-1053.0499665282869, -5848.000982120937, -1020.6286069825682, -430.5812139316488, -655.8684216834315]","[-914.3556967257192, -3338.869153967868, -3281.5118107751723, -1492.542595145197, 42.272510769495625]","[28.97439007046077, 30.69521948768298, -26.239106853597853, 29.572033197888004, 30.459745239199552]"
