,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-50.16411551022919, -36.125692560815246, -89.84120723865544, -222.64147297805604, 17.216118882155733]","[-17.67028397084034, -52.29906667449128, -18.19204203936051, -172.32666936188537, 2.755658277856999]","[-19.587094135585748, -51.95784357769734, -21.10405163161479, -176.75037204712052, 3.931430857120936]","[1.7355752493925323, 15.623427921404817, -164.36333331014708, -16.312225214428697, 13.176312346551411]","[-15238.642236229089, -5086.857399357054, -5834.767832922017, -9119.729066861546, -6238.786595100578]","[-30.0444390994283, -39.67276539995581, 26.39310675902667, -149.5283495616185, 19.338662415722027]","[-111.42879328303874, -35.477625579850866, 38.16415362522337, -197.45284180279222, -14.561499875969533]","[-57.70037752678944, -88.72047394396846, -71.78551124685592, -23.244140230243122, -163.31291555810913]","[7.13672930310212, -5.47663991717287, -57.40121794938974, -2067.4075368407607, -1497.2142653328126]","[-860.3426627195603, -67.07532970411313, -102.56073296542243, -501.5218628466202, -268.6524171177985]","[-788.9433262087861, -338.9114177309735, -1196.290116370499, -11641.89619682971, -1442.055225077293]","[1.764720665029208, 16.220662720041858, -71.0355994844802, -42.118260648137884, 25.428275628307635]"
ETH,"[24.928165658152913, -26.77934787082828, -32.58277491006209, 18.497284034967283, 6.0472199006083995]","[30.451684535995376, -10.118287378269715, -31.462417754775856, 8.389714689514886, 7.235972511985595]","[30.30303739209348, -9.163931046441215, -37.68534401929243, 6.505728468829274, 10.630335905470373]","[41.10535448717743, 36.740707944668785, -56.19085869844831, 31.902604395273563, 33.96731568853987]","[-945.5526137326877, -284.76586933990757, -1225.9675132559182, -43.4965540791273, -715.8937440531664]","[-14.76759360722271, -304.43994845774006, -65.45125200222782, 18.286032377475994, -3747.672095428541]","[-227.38189443925427, -23.845525489735298, -79.68901978989489, 3.252112133984327, 31.937637074522883]","[-6.2209837781447055, -93.4412775167732, -54.323661881194596, 50.404484807669384, 31.430020839669865]","[-1482.7152098686277, -22.98134520384036, -97.15948304663927, -27.462387086451074, -243.13178055033387]","[12.010417398500165, -195.77663261948837, -3.3684410890742345, -135.94620263435172, 26.745669025375534]","[-38.43829887410355, -637.9698531572668, -185.05390250749306, -163.19334629483552, 16.719387936368275]","[24.856884158212555, 28.49479560887366, -22.578515973810813, 32.2258407331586, 43.07266755772511]"
BNB,"[-1.9951482644647163, -43.85926965110871, -10.416659437905272, -33.154300452599614, 17.746764861889503]","[-11.445470639653973, -41.850081693507235, 17.613711263711316, -11.167950472585622, 17.38059713215068]","[-14.803724939724166, -41.691236968018956, 16.992761749002668, -3.571766952846371, 16.93400899166346]","[39.51641026345705, 9.901032730397517, -11.671320522291602, -37.52014693341889, 31.059298036388842]","[-2806.2756279939226, -6283.6325960607355, -1100.1873634814397, -1869.594686104315, -1033.2234719896596]","[10.54211325642541, -69.19151613908507, 48.36922519841057, -115.8577566748038, -12.180789608104451]","[19.245565360317617, -40.62418466221601, 0.8173297819379002, -98.43140605441735, -2.7997580621144365]","[-162.13670773843813, -286.765488544844, 13.169840414791986, -25.7955256708066, -384.89636854809646]","[-1849.5969260703816, -75.62350667479313, -23.824737247287466, -3762.0708155559505, 1.9573942375751732]","[-4588.441806564816, -349.6763126464068, -318.48372999616817, -1260.8638228846312, -372.8287878231475]","[-2495.2394987939256, -2032.1571271032126, -450.580645971266, -3537.334610125854, -213.32766546099023]","[17.139246121422563, 20.477424186063047, 16.018295291340515, 25.717661281657417, 49.039581795012076]"
XRP,"[15.95109652941796, 37.70857124072637, -26.137438493582792, -2.5720372657020474, -36.79969006454267]","[3.443238385787981, 25.73030616875017, -26.419872683421, 9.0297660727491, 13.411114012419947]","[1.3460709344231203, 24.087395208379476, -26.49918078575163, -0.3952653807945452, 6.089410005911696]","[28.93079902221282, 69.38724968669369, 16.952354355699605, 44.239255846322145, 34.41890313938771]","[-6706.734053431785, -3380.609783187275, -2625.659269071253, -46179.491406786176, -307351.3789064907]","[-150.00844246272246, -82.2223546081795, 69.39479177647902, -13.352958470266, 19.84140968167423]","[-266.34393594970464, 25.561258895742238, 0.02622281774997054, -249.53034703294864, 22.750987619868447]","[43.6050048180033, -136.5011900604519, 50.44602411368544, -55.6668194540442, -118.49909627564126]","[-2405.369455675721, -260.2189170048349, 41.677504583384724, -2061.4304911455747, -596.6364555471672]","[-1844.7971235834184, -167.57499341031573, -161.8997699363273, -579.8533991078624, 9.14550130823799]","[-2085.0203521732965, -38.47330959272626, -152.5885790406067, -2411.136797005451, -367.5681732446026]","[23.36963180345775, 16.260667111257916, -31.767186795582546, -43.531206089808485, 25.84981332310609]"
ADA,"[-180.9286103435002, -21.99117814250632, -136.1292691252144, 11.621860693233637, 38.57654946797631]","[-27.289737345518706, -5.638336524666187, -56.054363072933754, 35.48738020919076, 43.195905164471505]","[-44.050705202993655, 18.208778318653504, -62.39645203241718, 37.43872926179025, 43.37889341434931]","[-49.97572449615949, 26.615056207707987, -86.23777079454067, 45.653426023960336, 13.368183673506692]","[-99633311.33276938, -1953043.1771385276, -3219683.95714931, -5342.684911221059, -986.9508761484547]","[-1984.8999765890405, -416.84940267175404, -419.18813773089096, -850.0397750990888, -287.88974828766766]","[9.454674989371663, -19.844004787587256, -60.52430056710446, -32.886012254780226, 24.68852714589234]","[-103.38161801966548, 20.474818923579324, -21.61589504757883, -23.782862041984465, 21.716201779505838]","[-101.49673447972806, 8.988113304821113, 35.14202511920107, -774.0070481782415, 2.6706842265082313]","[-3525.657063183391, -275.2897033446936, -1314.4158075751436, -19.14471382172, 37.81765932178065]","[-3539.4571766224212, -3143.0329382499453, -3614.0130542570446, -1244.5903531283232, -643.7456209315907]","[13.583511789056345, 13.404653719353474, -58.950589295211685, 41.37917213195981, 45.431490688488665]"
DOGE,"[-11.540064892328527, -87.33992525583217, -4.376988911395477, -1.3232421474291414, 11.709916211236317]","[-45.96475238197885, -153.28056205143596, -16.916735463668154, 4.4187659693816865, 19.2762054406486]","[-48.4631615304623, -163.09011600695106, -13.423171243974386, 3.145243321789928, 15.718960972776353]","[42.07821598429856, -93.8681524365764, 4.877741711273356, 22.44114826147325, 6.930852056778118]","[-44499.72493986215, 9.392019620071874, -3369.143435829269, -909.0971938087314, -1414.9787877590686]","[-72.35640970574909, -99.47790088975485, -38.902843009463204, 52.01922285616198, 24.343332811997698]","[-424.24580795467836, -1677.9809437637714, -167.5198798564192, -204.492219086042, -957.5497302966346]","[-111.45409169520867, -267.68467698599534, 12.891931745260404, -11.22560983532523, 13.171513459443695]","[-166.49093731460144, -186.54041750727558, -328.04503749941466, 39.07809315277151, -351.0298358318607]","[-1470.9181717197803, -438.8670533111423, 62.562949245391984, -109.45922182034154, -26.754675417215047]","[-392.3236688064457, -1493.3808403799871, -1328.4633308879593, -818.2337552675458, -705.3169650041516]","[-4.4154218555454126, 11.616987428459186, -13.71477059269927, 15.169756530779601, 33.50249377565044]"
MATIC,"[24.099632814830752, -33.21751275875735, -39.8744137480845, 6.7908160508399735, 13.557978138654525]","[29.90927828444508, -21.041588142025613, -18.827637311081165, -4.893054144923134, 5.593372499865183]","[32.48438674168636, -23.73376288538179, -20.306298707268425, -6.1384652042282095, 6.408067085379371]","[14.385879162088704, 37.325298844159036, -33.29082684311601, 12.385304212648975, 20.61706528120658]","[-2036.2647009123393, -6505.239319121543, -920.3618893493797, -127725.84795586024, -1652.5959949934593]","[55.49504499207192, -29.022409031744616, 1.0808850266069945, -10.660688309294605, -2.8974568629473105]","[60.01019331629147, -21.5499375925375, 40.87097924171493, -42.770752154733444, 34.450440099577214]","[-1435.3746726705795, -953.619997464061, -206.02239956169242, -402.1348387674169, -347.5916689188002]","[45.905013849248746, -307.09513121579323, 68.1544607695287, 36.58843696995574, -402.0895212023718]","[-1975.8526773162532, -118.70913209292479, -2331.295761666107, 16.873446468492347, -56.59518999532385]","[47.73163065722528, -653.3952854995799, -31.34452815705616, -96.23812626659564, -12.719945503373644]","[35.44104292483411, 4.140937086351103, -10.824363319714053, 11.437321220714097, 32.10135482278869]"
LINK,"[6.583562841655234, -37.700970996737475, -89.25091900882556, -3.1388737039020764, 17.104999243692404]","[37.13961375913156, -5.787086016105748, -24.25805745996757, -15.107757057990431, 0.7665628679829126]","[37.14112626419222, -6.053897952013091, -25.872165284395614, -15.305053526161927, 0.956860247327768]","[4.676704080103729, 50.98076307108693, -27.81330925935201, -10.725385838097653, 44.250297703205874]","[-106185.18683496979, -2298.4048369052052, -61771.33464632443, -46060.68280111101, -765.5723215222746]","[14.630545841838588, -131.30585767914445, -66.15531763697061, -22.75528922844781, -86.81183779477377]","[-87.53531946292343, -105.26073053099958, 57.02072437349494, -16.38898709551428, 44.35044185977279]","[7.413285920990538, -27.60831945874798, -3.0841146170597353, -360.2219172292047, -11.565597474001983]","[-1692.7875874474535, -1774.6880221027968, -1812.5075517836856, -43.410014972966025, -504.6675695139593]","[-2414.6620044171277, -159.15065509402316, -1567.734251811806, -1608.0362320821048, 0.6941276237175139]","[-404.14202977757395, -502.4529520567132, -762.0842191535934, -51.05336482122777, -112.1452482549276]","[39.21234484443674, 24.123428385065715, -18.853150370848184, -10.621746805763275, 37.09060046937441]"
ETC,"[14.361358214674592, -13.399410726376537, -241.86374204353882, 0.03658512125538037, -2.407410563410005]","[19.530366998625393, -7.901816967123035, -3.8404559149172375, 17.978454598562934, -12.20132424290654]","[25.036771222022868, -6.688869732181956, -3.2960202304450794, 14.288348251984932, -7.895573262387217]","[8.31309323059129, 12.617630733240851, -158.60744646454663, -52.06760157861273, 8.673380202260454]","[-426.8290207962492, -93452.57792601555, -1645.6010702688345, -258.6272638172205, -1838.5316476430162]","[-17.839163498683448, -15.876922774422125, 1.0319029519326026, 50.72943891612609, -9.435402526031424]","[-712.2994655703067, -23.317691196529662, -481.00863261665177, -61.59703757230158, -35.03318482564157]","[-26.956015470960697, -42.9733276247125, -89.32072036860347, 15.345431585213499, -80.7491960683544]","[-527.1803813861549, -15.294325868828048, -1136.0346244644559, -621.4270417500503, -957.8331043856044]","[-2065.4209144961164, -74.06384837587517, -385.83993744947117, 8.486253108077966, -50.204861579048895]","[-1237.4581601892532, -7825.191741126772, -1392.3432110275533, -1863.6365606626011, -1154.274529089417]","[28.507726495315033, 19.486415107110748, -21.285413087812124, 27.415178456759783, -7.049699620174928]"
XLM,"[25.64040939275089, -24.91639814752953, -44.04919256165654, -15.337002005665068, -8.02503438061596]","[20.014204862306087, -8.224554516982693, -24.77785043617977, -8.721378071387944, 12.416193139414169]","[32.82949951265335, -6.787219113210928, -30.43678504033216, -4.494058388198635, 11.387752884699646]","[37.3223659088693, 13.908789825892157, -62.18039314380661, -20.935443412486745, 45.956964867140414]","[-220.96196492279137, -2563.6550422751166, -597.6393544951657, 22.939035608094972, -379.6025401854915]","[-257.09491033310235, -52.806382366878815, -94.17883289502659, -305.0342632287752, 33.795931989104496]","[-342.13025406853393, -63.4138573783951, 50.29547494120457, -382.1318019527449, -372.92034412203765]","[-0.1711450664314424, -78.90719506135426, -0.1991062098066923, -470.79390146082653, -16.988776259332603]","[36.51440399637597, -730.64402636932, -150.50166218483602, -581.2528075334726, -82.64358511380884]","[-95.79922634276988, -225.14254625435578, -3291.8676632201264, -48.02218506573775, -1312.0426372990642]","[-9038.349340297096, -3664.8979203530616, -3023.234683738371, -2845.5447665046227, -2728.3831273651253]","[38.068150775231786, -4.265600566679228, -35.793561053009235, -16.5455091061276, 32.38439796009407]"
