,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[52.58034557376612, -97.80396327205658, 15.509697177010414, 59.227395366815436, -36.862967331318345]","[71.56747637830874, -86.96774715655401, 10.398997190337155, 40.44832314581544, -17.404036761413327]","[65.56919765501702, -89.68461489562158, -0.30461932233869976, 62.39926948656657, -62.12372914912363]","[-1.2835388771787433, 63.66786982941236, 26.58357013297269, 26.30264603547149, -5.909371382730306]","[-53.07365020553023, -152.05717853894976, -52.5470675698904, -992.2402817640366, -416.3960892102728]","[48.779955294673464, -108.82704362067162, -36.97489204865494, 41.11587947611591, -61.97359679702645]","[63.159185849765976, -50.32530831963318, 37.30348569030428, -34.83462303113881, -14.602780387206954]","[59.682498901991664, -65.36788592526871, 5.517220218541513, 61.99747973655306, -30.12304508180734]","[44.54686549615947, -100.42083119105789, -49.541364776258554, 61.750090005704585, 20.982292034129888]","[-128.3787563155379, -155.61589758684315, -89.39273463628801, 41.130892169938974, 14.691749307856494]","[-3708.0444171492645, -149097.72205161178, -450.4802665566917, -7397.01066259648, -488.37627001683927]","[45.88230247798635, 34.46768399642164, 27.461954134859234, 59.367895348237454, -14.338885554772043]"
ETH,"[73.75005833896829, -190.47027585410535, -30.986627833574065, 46.28956202762899, -75.61279024314696]","[-25.032476746176446, -227.82756697963453, -27.15151781439057, 27.64781972978676, -107.91434842904863]","[61.905781890969955, -301.27502374870744, -8.440146461105966, 47.95020128099159, -87.44262775147409]","[36.02429374465596, 36.74862032458866, 46.428258762920024, 29.624780271832957, 8.232941851789578]","[-17769.277987105652, -2530.776710362377, -14523.873786934639, -1126.2243824992925, -363.06065189840876]","[-15.377337442950509, -128.3456993920818, -55.757534466577994, 42.526474556580006, -73.44562067866599]","[47.23977485808758, -260.1443666888981, -35.22053928638566, 48.09480186915299, -75.90962955767677]","[68.99477286237577, -356.99068800794464, -87.39176410385657, -41.48275198672742, -175.04143474609853]","[59.986693835585605, -663.0041556920748, 16.543043386778464, 3.6125106367391706, -133.8495892852295]","[10.225242896433057, -449.06915092701496, 52.82901581570834, -76.29079632548871, -102.88918000645747]","[-88.4059295281991, -263.9520861723184, 81.00364261686381, -104.36448878276127, 40.84413797312147]","[55.01455311786266, -16.589052456242033, 26.24266051708526, 49.54547085036857, -33.33160843780836]"
BNB,"[63.189959257773445, -455.2655161644877, -65.71046122202408, -87.57996286943515, -103.54735645956535]","[7.212459581301502, -453.40540590382295, 43.06265919308515, -170.9650961971111, -119.43575201488012]","[51.03571260227194, -355.2574450889012, -44.703090978628374, 11.177573602903339, -85.87299784893683]","[62.890645393023966, 13.841706974711187, 24.894466631468067, -32.75123673174243, 13.31059556131934]","[-138.00216338409308, -176.35881098994668, 10.440238183627661, -657.766762444783, -26.612012409553092]","[-182706.92946215012, -566.0802507274024, -108.85481902124323, -482.6317555525624, -141.40188988126502]","[60.28683171709398, -368.1931468697865, -52.8383521608922, -6.77283405079465, -178.67141995233166]","[57.99303739269022, -245.06448102629946, -185.97690777765365, -1.977763405843996, -199.78715236816157]","[-115.93601870867349, -1295.3259619556163, -69.81475069181738, -22.226215556226705, -197.20958386202497]","[-20.314464716725645, -369.7794383111676, 47.2768821029767, -228.82214820030075, -225.5012917263552]","[-54.91536836981288, -21.185205303570925, -634.7598678808434, -129.23926815145623, -215.56058019735508]","[65.28004145610662, -51.94720918605592, 18.064669771766106, -1.0691591973577155, -8.070318752120434]"
XRP,"[35.63457994794258, -11.16107195894704, 25.617299905673242, -50.30802059342193, -92.52263599956152]","[30.028600782689146, -154.40362835506417, -33.685648609534915, -40.74689846861108, -153.5465253410804]","[17.215461346049324, -30.017734236221628, -0.157458390652802, -73.0779573193343, -141.41808015855523]","[39.97284780005428, -98.52565654321856, 50.590624697236386, -76.07384694929375, -76.01329357729941]","[-2714.2417869960414, -174784.75160646075, 20.792087827270702, -2491.0192894214215, -14784.279428826652]","[-204.97774589572768, -557.2416287985988, 16.38254740408104, -110.19765356584121, -276.84381080312323]","[14.509396797289636, -145.34169356925827, 7.661668275621217, -73.78717472996578, -186.7789780586933]","[40.66871914012181, -141.13906687881595, -18.41285077189088, -69.43822833472929, -252.01649312885314]","[41.643262539542135, -272.74254213437376, -59.469722176163174, -161.89767950805287, -226.6461500690896]","[-98.29560263107638, -1399.874274047345, -11857.852955121307, -16275.429106109741, -37834.46891204623]","[42.52292099659864, 14.1035420524215, -250.93369776343252, -412.5950225386789, 10.168166008874351]","[8.618847790847358, 34.670888291599326, 45.04813352802194, -62.21867959213713, -25.40994634229417]"
ADA,"[22.845271240461763, -241.7142229492216, 10.069627007722445, 72.45068241346884, -92.56291730366183]","[8.893330490114886, -1082.0209884064907, -51.95921886460041, 35.25506801632265, -137.04872941959368]","[20.591923213873734, -508.3834356912871, 15.090252342520028, 70.93792099386238, -94.24905572768387]","[43.2568550038326, -20.573061262906563, 75.69977361866465, 66.44767785742201, -52.61359935211702]","[-300.0607027687929, -36.10837004234105, -19.175067122768645, -311.68550345417117, -118.24286442793858]","[-3.2032131033584683, -1232.9758982788446, 17.70102529355139, 39.57593056917469, -137.36711803705046]","[-13.976479411061355, -945.3671642894117, -98.98908067881206, 67.62171631907485, -137.36661388611415]","[30.405471272943206, -697.2455217565318, -25.717212044697508, 42.76111375814912, -261.93088667855784]","[13.531596486411749, -404.41014816260594, 60.33773545624596, 33.34644612323284, -97.15486499241457]","[-511.64056286104824, -4456.482494855998, 67.21834496202315, -121.05191452761397, -41.598442264218036]","[-4.127782342180756, -236.77040903651206, 49.74980325425681, -10719.458288384778, -424.5136180387577]","[35.7825177250951, -14.220526701178295, 46.568494935850815, 67.68824907381324, -93.96944677305879]"
DOGE,"[28.261618709863708, -81.61679512640923, 13.612760407894209, -33.30835901823724, 3.431567284408569]","[30.599795489082382, -90.3445699419531, 3.4532389167280297, -40.47470766895287, 43.817432310992615]","[-199.9138312655357, -335.8654416841887, -5.065975664234276, -40.88634238614913, 20.001285083427522]","[-95.95926836669469, -34.99789590221205, 29.01409669806399, 19.50592453196799, -76.85718956143184]","[-1584.3797647053836, -99087.47277407121, 33.284044635654176, -116.76659452244587, -243.19061672991845]","[-347.14255609063207, -584.5632810354256, 38.86039594365513, -52.53086984139684, 31.182931124692466]","[-267.8852840022249, -3869.351135430826, -20.69906102814491, 16.86567238574741, 37.10385388686536]","[30.204297726340574, -1782.4477285803198, -340.8862546931912, -58.35607966517299, -12552.934789515704]","[37.803964371159154, -2160.1150605237967, -154.88037328683495, 8.687651208171241, -102.57723277561905]","[-519.065654714107, -2753.3118111890135, 27.385949855016463, -88.84885055944848, -3.9284785219036147]","[-168.53492137784266, -38415.67203242005, 58.28420042061768, -174.01845335638592, -215.65221584560618]","[-42.66301024972808, 1.213003061814518, 55.72264563747924, -40.39447082154512, -25.114224510442444]"
MATIC,"[-32.1894762050914, -145.81736759661405, -49.666840621818345, -55.79644760714096, 27.054943472787464]","[6.584836199765237, -141.24188145365878, -35.084580848589994, -204.24712102201198, -2.6702197483221983]","[52.04636134517278, -217.4819946789891, -65.49504003142233, 3.591662265521737, -44.513042928504674]","[-69.84910606655156, 2.448557040781867, 64.10975399163739, -260.0481164238178, 32.51479153118835]","[-214.2399257099187, -299.0195457978208, 50.445263228020174, -1095.3321261985752, -217.73213365274495]","[-179.49514264472654, -339.20210651084295, 44.26293720684991, -129.94404095452953, -146.79669699199022]","[-306.3098083117971, -911.8444405614184, -99.36485733303735, -126.53807469274784, -87.3851959638215]","[8.915114220222186, -611.7995215447462, -75365.54784307105, -1075.9643358383855, -272.87475701336973]","[-607.922957383899, -679.9374432266418, -53.22282990869688, -76.78660844532722, -2.7537201243422698]","[-76.1630365757034, -296.67796031147424, 9.818241830263373, -124.99805927585301, -31.54089625556058]","[-190.66551611100272, -115006.9997901975, 44.35320103558605, -242.82482705632958, -309.2124324871084]","[0.3102523524771831, -48.06645265538687, 30.2400907065606, -10.429094958652268, 13.137783651928958]"
LINK,"[31.347033215217614, -33.300200986595534, 5.905161661933851, -66.8062653610148, -29.449203159641847]","[50.07570941230727, -24.494895871786596, 5.961496343197396, -103.92189125259104, -0.5150185931204685]","[18.481004937089267, -27.461679579303393, 29.794523416422635, -131.31695798074497, -65.84141600162609]","[42.050592575728956, 61.040304002439825, 59.98538312862173, -169.17331525095437, -7.8237160552248195]","[-42.01420261140593, -73.00572967823983, 31.34505073232002, -21779.098586142347, -8481.363354341138]","[22.91211459555567, -19.35577075311009, 36.17880227326844, -101.67422180213958, -61.64149148081412]","[34.656722679535555, 18.293973886599893, 38.123905914108164, -204.43542913923199, -115.86909681564946]","[46.11617194286752, -20.13430365189393, 82.93813919085284, -99.84895219267602, -36.51200603472614]","[60.248154989108336, -69.67689019348035, -20.315759049638224, -64.38086128527148, -15.708657798818129]","[-117.45132299809877, 22.962209371102162, 25.292735070720624, -306.5096599628056, -346.0168755886637]","[-127339.36401963499, -278.51033349482884, 28.319837230390753, -384331.4612265973, -479.3901689941556]","[32.64655635344941, 38.580665689343185, 52.26790327485546, -126.85728904964715, 1.5112755229483106]"
ETC,"[-56.699671316522156, -96.53705474240387, -18.807871081541272, 1.500206864415078, -171.9876571677211]","[-53.725287131764254, -62.80687436040544, -128.40195449690643, 64.78702952609221, -187.870283444771]","[-146.73867672609387, -3.5948120145488214, -45.62800153259856, 30.426783157494146, -88.27680178269854]","[-685.4414557784141, -43.72337803036569, 67.16002275254726, 18.771737750766675, -54.2086131217725]","[7.302060774852398, -289.147470524473, 39.0708299957398, -222.70097537635002, -204.1985405112013]","[-286.94423279201555, -431.73809363377273, -43.70227647267963, -10.680750453318547, -230.3504847991618]","[-17912.285262845566, -350.7944279545462, 49.634943937336374, 44.218773448195485, -410.1973772520204]","[-135.84567388117358, -211.92624814898488, -21.93745296864187, -49.834531577818225, -67.84789517131301]","[24.779107280419808, -24.1536597418343, 62.10176907529588, 77.39226737943115, -48.563886394234466]","[-118.01180600891796, 7.541840872593155, -79.32187767193777, -26.672179526589325, -185.0637632974907]","[-49.03955256021241, -177.67111669293652, -212.39372127845448, -1395.2820740560903, -1456.2609383467]","[-100.98266944777396, 18.285343961280923, 21.459144799743967, -37.55875239091824, -72.61788014824218]"
XLM,"[-33.7363566976974, 25.591403352818226, 24.852607806348647, 14.110208030713917, -170.46700399310117]","[29.42052660038038, -85.65009941150839, 56.97896932751115, -20.786338485615474, -215.95465547343778]","[36.23937619725721, 2.4420363676879164, 35.197942444023056, -1.231802225098461, -150.69459146031193]","[-4.940401611496912, 71.42329116821439, 59.800650966200465, 4.640935750112116, -67.5261629514085]","[-148.38881917867832, 15.551254617980415, 66.29621349099337, -5187.088142242539, -238.41623614001733]","[-90.8240106976692, 38.54748655379624, 61.081578190942345, -130.50099347185466, -102.270267260991]","[-279.96403095024704, -149.1473505144063, 65.02828376690022, -23.292088702609192, -183.66563783506584]","[30.249099889671342, 54.380297110937605, 38.571233350595094, -13.030799220648227, 2.6683488542701217]","[44.47390940350039, -44.30678099200239, 33.14454101400415, -24.820745297238044, -183.2171905244816]","[-23.560553116576884, 56.62047607069304, -55.51805165034246, -29.92989310810983, -230.41679662349216]","[-88.96671872093255, -26.79412327393494, -135.01709148436848, -429.0486832926075, -463.3357134809597]","[18.323632158919725, 48.26989446201323, 51.531179124154235, -25.039013889191597, -85.88226389616374]"
LTC,"[43.62991473722651, -226.9835185644391, -2.7508041820561666, -88.85330010796572, -118.74452663295504]","[-25.698265805396808, -136.8111945564564, 19.493308353982027, -204.39450515951694, -85.83505165333702]","[33.67663168897908, -39.39256537298439, 8.775788501338216, -58.16934839602628, -77.19109321225899]","[-16.10413109663533, 64.91282950613146, 49.867542455016235, -95.59748828100707, -118.46563332774451]","[-197.99667136265614, -85307571.89277641, -4.679013578434884, -186044301.36430418, -26195474.583856463]","[-16.12547507592754, -53.89327930568529, 48.17747350550376, -105.46306734648903, -282.8890350243567]","[60.493453944033604, -70.62690338726502, -12.709752555641762, -63.02259218113407, -80.1819630040111]","[36.272933969319446, -16.224401871359895, 12.457708434379434, -109.86781190750095, -155.43010926130347]","[54.45433423685417, -102.01205165971598, 22.90630647806076, 26.458799792519706, -149.25241599740423]","[-113.57497904537763, -550.4232598649269, -254.17674861107335, -86.8348958486038, -104.7119858416242]","[-45.0333429089726, 36.94145332135641, 80.54859380932899, -2259.4544052678402, -387.81219704551745]","[13.510060339335014, 28.1217933670318, 43.97614397897956, -72.06386371752026, 14.433781732372164]"
TRX,"[46.25735543790987, -132.48913624780144, -4.146837503507247, 40.88351427929405, -36.6661093116871]","[35.331261324956245, -128.05073239307546, -31.577090243886303, 55.88167244086391, -26.4903192664745]","[53.5088856493505, -141.96319702628435, 13.884419387676422, 31.105034996366765, -16.584283127407154]","[40.76091591524513, -20.136144393751742, -75.62601484618668, 45.202179931157914, 17.625204582889904]","[-780648.3055422521, -1.4517715788958936, -590.2134132718194, -692267.6431424702, -1829.52929587604]","[53.8492504313614, -142.0304100030142, 10.244934942364003, -114.61308224146237, -7.145161566263793]","[10.888517124228594, -82.34964302545788, 3.6856357872649217, -40.70334425803653, 24.55315449902087]","[10.291864024480965, -419.90952772154975, -53.71056170325442, -305.378258719346, -20.15879036701464]","[-74.0787138586827, 1.1036923615369603, -190.13420792284833, -153.02551590065374, 39.45196583600049]","[26.557383116178695, -183.9258483630916, -294.988807149127, -87.24384775165454, -1.6103882522102593]","[-105.07404915337494, -203.74684812752557, -438.44504700417, -321.78282305241333, -391.30260442301113]","[36.53014141677637, 25.150400352598474, -17.663509017945945, 44.77423777837275, -21.0711013743394]"
ATOM,"[9.183764315840305, -10.435955915868988, -9.321860658374948, 35.235523749944115, -3.970315939446952]","[21.918537766395467, -95.4076669242005, -4.205467410495044, -106.18217844612705, -179.01599124746048]","[8.701020489280513, -83.4804260677627, -11.742106953419048, 12.102003535707874, -53.718718586665815]","[29.90790085639618, 24.17072021763683, 63.365476944215615, -82.52698878669948, 3.31884185314922]","[-35.18375636118383, -7236.168734827868, -924.3258102870391, -216.25177025855447, -311.8063672599721]","[-0.6576262152297176, -205.3536058424495, 19.55860581622229, -17.381474758853717, -109.95813052945832]","[39.616923761219056, -46.8263936545594, -257.91204445256875, -77.7467335368624, -128.30455256263446]","[35.25870765544104, 9.007327778200604, -170.30202825291408, -14.132796898881805, -139.66018610874625]","[0.1303099508782009, -147.22718090450707, -285.2051193925766, -56.63704130517807, -204.01718730034887]","[3.2000870578016283, -99.56109743660572, 70.95513142771306, -36.929618406132306, -716.604059523672]","[-19.15536272254693, -204.90572559075403, 60.12971673928109, -66.06998948381133, -241.58502931336955]","[27.724807629467957, 11.574077468026141, 36.715928805554825, 9.526270229290224, -21.88367698795897]"
XMR,"[-5.14382147391093, -39.51234372076649, 47.119037891463186, 31.871718738416888, 7.497288692737171]","[24.615892634851917, -78.21026988184552, 23.302981612708205, -140.43476155165084, -72.82256270831682]","[43.65783808827149, -20.978081824141174, 19.94949652662515, 50.13767724979768, -46.08651346792276]","[3.570367022435552, 52.28442975167687, 46.82480258919674, -2.076766757958066, -156.245304820063]","[-8835.150309851077, -120.2892190781852, -717.7980107709387, -161312.86896756204, -913.5859899144189]","[-10.578439684607678, 50.14703324756676, -138.2521442065284, -27.81433563422772, -153.10866692983004]","[4.9700666738073265, -7.618641261767789, -92.30471647277018, 36.086347545254895, -60.78166135461826]","[-47.964452640589414, -49.89559671285473, 35.31663612983345, -41.752409322266274, -79.573099659254]","[-434.4445526244047, 28.421163955616308, 32.295349740852785, 40.651528136294516, -176.467235146382]","[-61.664264662055466, -146.52053373624608, -38.249962700332254, -657.7083243712723, -51.389040450524156]","[-2667.650610227606, 18.090408556599293, 5.695136556768116, -238.50470395918427, -866.1140358153164]","[42.98167510475282, 41.01006088564358, 44.01296441947638, 50.22876975312583, -12.001987352386163]"
