date,close
2021-03-27,0.38185
2021-03-28,0.39755
2021-03-29,0.40446
2021-03-30,0.40076
2021-03-31,0.4056
2021-04-01,0.4243
2021-04-02,0.43897
2021-04-03,0.40809
2021-04-04,0.42851
2021-04-05,0.53706
2021-04-06,0.54206
2021-04-07,0.47257
2021-04-08,0.505
2021-04-09,0.48607
2021-04-10,0.56192
2021-04-11,0.5844
2021-04-12,0.59051
2021-04-13,0.65701
2021-04-14,0.63505
2021-04-15,0.63966
2021-04-16,0.61005
2021-04-17,0.59137
2021-04-18,0.54459
2021-04-19,0.49982
2021-04-20,0.52877
2021-04-21,0.48894
2021-04-22,0.44951
2021-04-23,0.45069
2021-04-24,0.42507
2021-04-25,0.4162
2021-04-26,0.486
2021-04-27,0.50963
2021-04-28,0.49687
2021-04-29,0.49162
2021-04-30,0.52966
2021-05-01,0.54
2021-05-02,0.55601
2021-05-03,0.55044
2021-05-04,0.50152
2021-05-05,0.60473
2021-05-06,0.65085
2021-05-07,0.63063
2021-05-08,0.6138
2021-05-09,0.62804
2021-05-10,0.65643
2021-05-11,0.73465
2021-05-12,0.59554
2021-05-13,0.65366
2021-05-14,0.66885
2021-05-15,0.68081
2021-05-16,0.71027
2021-05-17,0.64323
2021-05-18,0.6454
2021-05-19,0.44315
2021-05-20,0.49469
2021-05-21,0.41884
2021-05-22,0.38917
2021-05-23,0.362
2021-05-24,0.43964
2021-05-25,0.42922
2021-05-26,0.44368
2021-05-27,0.42058
2021-05-28,0.39933
2021-05-29,0.36728
2021-05-30,0.37466
2021-05-31,0.40243
2021-06-01,0.41864
2021-06-02,0.4188
2021-06-03,0.4253
2021-06-04,0.3845
2021-06-05,0.37488
2021-06-06,0.38053
2021-06-07,0.3463
2021-06-08,0.34928
2021-06-09,0.36501
2021-06-10,0.33887
2021-06-11,0.31816
2021-06-12,0.32784
2021-06-13,0.34486
2021-06-14,0.343
2021-06-15,0.33352
2021-06-16,0.31766
2021-06-17,0.31751
2021-06-18,0.29725
2021-06-19,0.28853
2021-06-20,0.29739
2021-06-21,0.23581
2021-06-22,0.23503
2021-06-23,0.25546
2021-06-24,0.2688
2021-06-25,0.24091
2021-06-26,0.2494
2021-06-27,0.25979
2021-06-28,0.26349
2021-06-29,0.2832
2021-06-30,0.28389
2021-07-01,0.2689
2021-07-02,0.26287
2021-07-03,0.26394
2021-07-04,0.26814
2021-07-05,0.25326
2021-07-06,0.26043
2021-07-07,0.25641
2021-07-08,0.24286
2021-07-09,0.24566
2021-07-10,0.24478
2021-07-11,0.24595
2021-07-12,0.23834
2021-07-13,0.23222
2021-07-14,0.23994
2021-07-15,0.24081
2021-07-16,0.23513
2021-07-17,0.2326
2021-07-18,0.22977
2021-07-19,0.21148
2021-07-20,0.21192
2021-07-21,0.22825
2021-07-22,0.26356
2021-07-23,0.26925
2021-07-24,0.26706
2021-07-25,0.26172
2021-07-26,0.26019
2021-07-27,0.2629
2021-07-28,0.27016
2021-07-29,0.27244
2021-07-30,0.27926
2021-07-31,0.28422
2021-08-01,0.27504
2021-08-02,0.27437
2021-08-03,0.27433
2021-08-04,0.28056
2021-08-05,0.28022
2021-08-06,0.28532
2021-08-07,0.30745
2021-08-08,0.28716
2021-08-09,0.2986
2021-08-10,0.31019
2021-08-11,0.33718
2021-08-12,0.32876
2021-08-13,0.35999
2021-08-14,0.39474
2021-08-15,0.39079
2021-08-16,0.37128
2021-08-17,0.3412
2021-08-18,0.34151
2021-08-19,0.36732
2021-08-20,0.38489
2021-08-21,0.37167
2021-08-22,0.37232
2021-08-23,0.37873
2021-08-24,0.35037
2021-08-25,0.35894
2021-08-26,0.3348
2021-08-27,0.3571
2021-08-28,0.3476
2021-08-29,0.3431
2021-08-30,0.3296
2021-08-31,0.3393
2021-09-01,0.3534
2021-09-02,0.359
2021-09-03,0.3688
2021-09-04,0.3699
2021-09-05,0.3976
2021-09-06,0.4239
2021-09-07,0.3358
2021-09-08,0.3298
2021-09-09,0.3326
2021-09-10,0.3169
2021-09-11,0.3252
2021-09-12,0.3326
2021-09-13,0.3186
2021-09-14,0.3313
2021-09-15,0.341
2021-09-16,0.3307
2021-09-17,0.3195
2021-09-18,0.3219
2021-09-19,0.3134
2021-09-20,0.282
2021-09-21,0.2659
2021-09-22,0.2926
2021-09-23,0.303
2021-09-24,0.2811
2021-09-25,0.2768
2021-09-26,0.276
2021-09-27,0.265
2021-09-28,0.2566
2021-09-29,0.2696
2021-09-30,0.2787
2021-10-01,0.3003
2021-10-02,0.3164
2021-10-03,0.3148
2021-10-04,0.3104
2021-10-05,0.3188
2021-10-06,0.3578
2021-10-07,0.3435
2021-10-08,0.3363
2021-10-09,0.3531
2021-10-10,0.3311
2021-10-11,0.3445
2021-10-12,0.3328
2021-10-13,0.368
2021-10-14,0.3698
2021-10-15,0.3616
2021-10-16,0.3967
2021-10-17,0.3834
2021-10-18,0.3796
2021-10-19,0.3737
2021-10-20,0.3918
