,train_volatility,test_volatility
BTC,"['low', 'low', 'low', 'low', 'normal']","['low', 'low', 'normal', 'normal', 'low']"
ETH,"['normal', 'normal', 'low', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']"
BNB,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'low']"
XRP,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
ADA,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
DOGE,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']"
MATIC,"['high', 'normal', 'normal', 'normal', 'high']","['normal', 'high', 'normal', 'high', 'normal']"
LINK,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
ETC,"['normal', 'normal', 'normal', 'normal', 'normal']","['high', 'normal', 'normal', 'high', 'normal']"
XLM,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']"
LTC,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
TRX,"['normal', 'low', 'low', 'low', 'normal']","['normal', 'low', 'low', 'normal', 'normal']"
ATOM,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
XMR,"['normal', 'low', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
VET,"['normal', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'high', 'high', 'normal']"
ALGO,"['high', 'normal', 'normal', 'normal', 'high']","['normal', 'high', 'high', 'high', 'normal']"
EOS,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
CHZ,"['high', 'high', 'high', 'high', 'high']","['normal', 'high', 'normal', 'high', 'normal']"
IOTA,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']"
NEO,"['normal', 'normal', 'normal', 'high', 'high']","['normal', 'normal', 'high', 'high', 'normal']"
XTZ,"['normal', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'high', 'high', 'normal']"
