Coin,Time Frame,Durbin-Watson
BTC,1m,Not Autocorrelated
BTC,1m,Not Autocorrelated
BTC,1m,Not Autocorrelated
BTC,1m,Not Autocorrelated
BTC,1m,Not Autocorrelated
BTC,15m,Not Autocorrelated
BTC,15m,Not Autocorrelated
BTC,15m,Not Autocorrelated
BTC,15m,Not Autocorrelated
BTC,15m,Not Autocorrelated
BTC,4h,Not Autocorrelated
BTC,4h,Not Autocorrelated
BTC,4h,Not Autocorrelated
BTC,4h,Not Autocorrelated
BTC,4h,Not Autocorrelated
BTC,1d,Not Autocorrelated
BTC,1d,Not Autocorrelated
BTC,1d,Not Autocorrelated
BTC,1d,Not Autocorrelated
BTC,1d,Not Autocorrelated
ETH,1m,Not Autocorrelated
ETH,1m,Not Autocorrelated
ETH,1m,Not Autocorrelated
ETH,1m,Not Autocorrelated
ETH,1m,Not Autocorrelated
ETH,15m,Not Autocorrelated
ETH,15m,Not Autocorrelated
ETH,15m,Not Autocorrelated
ETH,15m,Not Autocorrelated
ETH,15m,Not Autocorrelated
ETH,4h,Not Autocorrelated
ETH,4h,Not Autocorrelated
ETH,4h,Not Autocorrelated
ETH,4h,Not Autocorrelated
ETH,4h,Not Autocorrelated
ETH,1d,Not Autocorrelated
ETH,1d,Not Autocorrelated
ETH,1d,Not Autocorrelated
ETH,1d,Not Autocorrelated
ETH,1d,Not Autocorrelated
BNB,1m,Not Autocorrelated
BNB,1m,Not Autocorrelated
BNB,1m,Not Autocorrelated
BNB,1m,Not Autocorrelated
BNB,1m,Not Autocorrelated
BNB,15m,Not Autocorrelated
BNB,15m,Not Autocorrelated
BNB,15m,Not Autocorrelated
BNB,15m,Not Autocorrelated
BNB,15m,Not Autocorrelated
BNB,4h,Not Autocorrelated
BNB,4h,Not Autocorrelated
BNB,4h,Not Autocorrelated
BNB,4h,Not Autocorrelated
BNB,4h,Not Autocorrelated
BNB,1d,Not Autocorrelated
BNB,1d,Not Autocorrelated
BNB,1d,Not Autocorrelated
BNB,1d,Not Autocorrelated
BNB,1d,Not Autocorrelated
XRP,1m,Not Autocorrelated
XRP,1m,Not Autocorrelated
XRP,1m,Not Autocorrelated
XRP,1m,Not Autocorrelated
XRP,1m,Not Autocorrelated
XRP,15m,Not Autocorrelated
XRP,15m,Not Autocorrelated
XRP,15m,Not Autocorrelated
XRP,15m,Not Autocorrelated
XRP,15m,Not Autocorrelated
XRP,4h,Not Autocorrelated
XRP,4h,Not Autocorrelated
XRP,4h,Not Autocorrelated
XRP,4h,Not Autocorrelated
XRP,4h,Not Autocorrelated
XRP,1d,Not Autocorrelated
XRP,1d,Not Autocorrelated
XRP,1d,Not Autocorrelated
XRP,1d,Not Autocorrelated
XRP,1d,Not Autocorrelated
ADA,1m,Not Autocorrelated
ADA,1m,Not Autocorrelated
ADA,1m,Not Autocorrelated
ADA,1m,Not Autocorrelated
ADA,1m,Not Autocorrelated
ADA,15m,Not Autocorrelated
ADA,15m,Not Autocorrelated
ADA,15m,Not Autocorrelated
ADA,15m,Not Autocorrelated
ADA,15m,Not Autocorrelated
ADA,4h,Not Autocorrelated
ADA,4h,Not Autocorrelated
ADA,4h,Not Autocorrelated
ADA,4h,Not Autocorrelated
ADA,4h,Not Autocorrelated
ADA,1d,Not Autocorrelated
ADA,1d,Not Autocorrelated
ADA,1d,Not Autocorrelated
ADA,1d,Not Autocorrelated
ADA,1d,Not Autocorrelated
DOGE,1m,Not Autocorrelated
DOGE,1m,Not Autocorrelated
DOGE,1m,Not Autocorrelated
DOGE,1m,Not Autocorrelated
DOGE,1m,Not Autocorrelated
DOGE,15m,Not Autocorrelated
DOGE,15m,Not Autocorrelated
DOGE,15m,Not Autocorrelated
DOGE,15m,Not Autocorrelated
DOGE,15m,Not Autocorrelated
DOGE,4h,Not Autocorrelated
